id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available to the home-stay?,How much distance should one travel from this asset to avail public transport facility?,What is the type of the mobile network available at the home-stay?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this home-stay?,How many staff are employed in/for that asset?,Do you have grid connection for energy supply for this asset?,What is the alternative energy source available for that asset?,Is there landline connectivity for that asset?,Does this asset have wired internet connection?,How do you maintain operational records for this asset?,Are you using any digital tools for your operations for this asset?,Are there toilets available for guests and employees' usage at the eatery?,Are the premises of this home-stay cleaned with disinfectant regularly?,How do you deal with the waste generated in the eatery?,Where do you get drinking water from for using at this asset?,Where do you get water for operational purposes for this asset?,Select the category applicable,What is the seating capacity in your restaurant/ shop?,Which types of food is served?,Which of the following is served?,How many customers does the place serve per day?,Which of the following modes of payment do you accept?,Do you offer home-delivery services?,Are you processing perishable goods?,Which online portal are you registered with?,How is the eatery advertised to prospective visitors?,Are you asking your customers how they got to know about your place?
2687,Loadging and Boarding,Eateries,Tawang,Mukto,Mukto,27.54637,91.92543,pakka road,0.01,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",3,yes,none,no,no,traditional book keeping,no,no,no,discarded in open field,tap water from government,water from government,tea or coffee shop,12,tribal food#fast-food,both,15,cash payment,no,no,not registered with online portals,none of the above,no
2785,Loadging and Boarding,Eateries,West Kameng,Dirang,Dirang,27.897920000000006,93.54908,pakka road,0.3,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",2,yes,none,no,no,others,no,yes,yes,discarded in water bodies,tap water from government,water from government,tea or coffee shop,12,chinese cuisine,both,15,cash payment,no,no,not registered with online portals,word of mouth from former customers,no
3019,Loadging and Boarding,Eateries,Tawang,Lumla,Manpat,28.07638,93.42894,pakka road,0.1,4g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",1,yes,none,no,no,traditional book keeping,no,yes,yes,burnt within the premises,tap water from government,water from government,restaurant,10,tribal food#indian cuisine#others,both,7,cash payment,no,no,not registered with online portals,display boards in and around the site,yes
3196,Loadging and Boarding,Eateries,Tawang,Lumla,Manpat,27.53776,91.72063,pakka road,0.1,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",1,no,none,no,no,traditional book keeping,no,yes,yes,burnt within the premises,tap water from government,water from government,home cooked-food shop,10,tribal food#indian cuisine,both,6,cash payment,no,no,not registered with online portals,display boards in and around the site,yes
3593,Loadging and Boarding,Eateries,Tawang,Lumla,Manpat,27.53755,91.72073,pakka road,0.3,4g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",1,yes,none,no,no,traditional book keeping,no,yes,no,burnt within the premises,tap water from government,water from government,restaurant,6,tribal food#indian cuisine,both,5,cash payment,no,no,not registered with online portals,display boards in and around the site,no
6065,Loadging and Boarding,Eateries,Papumpare,Itanagar,Ganga,27.07851,93.59501,pakka road,1.0,4g reliable,vodafone#idea#bsnl#jio#airtel#others,"pakka/permenant(steel,concrete,etc.,)",2,yes,none,no,no,traditional book keeping,no,no,no,burnt within the premises,tap water from government,water from government,tea or coffee shop,4,fast-food,both,20,cash payment,no,no,not registered with online portals,none of the above,yes
6077,Loadging and Boarding,Eateries,Papumpare,Itanagar,Ganga,27.08705,93.59541,pakka road,0.5,4g reliable,vodafone#bsnl#jio,"kacha/temporary(wood,bamboo,etc.,)",2,yes,none,no,no,traditional book keeping,no,yes,yes,burnt within the premises,tap water from government,water from government,tea or coffee shop,12,fast-food,both,60,cash payment,no,no,not registered with online portals,display boards in and around the site,yes
6833,Loadging and Boarding,Eateries,West Kameng,Dirang,Dirang,28.05074,93.57655,pakka road,0.0,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",1,no,none,no,no,traditional book keeping,no,no,no,discarded in water bodies,tap water from government,water from government,others,8,fast-food,both,5,cash payment,no,yes,not registered with online portals,display boards in and around the site,no
854,Loadging and Boarding,Eateries,Lower Subansiri,Yachuli,Jara,27.52561,93.76892,pakka road,0.1,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",5,yes,none,no,no,traditional book keeping,no,yes,yes,discarded in open field,tap water from government,water from government,restaurant,44,tribal food#indian cuisine,both,1,cash payment,no,yes,not registered with online portals,display boards in and around the site,no
1803,Loadging and Boarding,Eateries,Lower Subansiri,Pistana,Did,27.59484,93.68033,kaccha road,1.0,4g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",3,yes,invertor,no,no,traditional book keeping,no,yes,no,discarded in govt. designated sites,tap water from government,water from government,others,16,fast-food#indian cuisine,vegetarian,30,cash payment,no,no,not registered with online portals,word of mouth from former customers,no
1820,Loadging and Boarding,Eateries,Lower Subansiri,Pistana,Did,27.59556,93.67968,kaccha road,0.0,4g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",2,yes,invertor,no,no,traditional book keeping,no,yes,yes,burnt within the premises,tap water from government,water from government,home cooked-food shop,20,tribal food,non-vegetarian,30,cash payment,no,no,not registered with online portals,display boards in and around the site,no
1821,Loadging and Boarding,Eateries,Lower Subansiri,Pistana,Did,27.5953,93.67994,kaccha road,0.0,4g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",2,yes,none,no,no,traditional book keeping,no,yes,yes,burnt within the premises,tap water from government,water from government,home cooked-food shop,20,tribal food#indian cuisine,non-vegetarian,25,cash payment,no,no,not registered with online portals,display boards in and around the site,no
1822,Loadging and Boarding,Eateries,Lower Subansiri,Pistana,Did,27.59572,93.67977,kaccha road,0.0,4g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",2,yes,none,no,no,traditional book keeping,no,yes,yes,others,tap water from government,water from government,home cooked-food shop,24,tribal food#indian cuisine,non-vegetarian,3,cash payment,no,no,not registered with online portals,display boards in and around the site,no
1914,Loadging and Boarding,Eateries,Lower Subansiri,Ziro,Hong,27.53318,93.84991,pakka road,10.0,4g unreliable,airtel#bsnl,"kacha/temporary(wood,bamboo,etc.,)",2,yes,none,no,no,traditional book keeping,no,yes,yes,burnt within the premises,tap water from government,water from government,tea or coffee shop,7,tribal food,both,10,cash payment,no,no,not registered with online portals,word of mouth from former customers,yes
