id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available to the asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,Does this electricity pole also have telephone lines ?,What is the electricity pole made of ?,What is the frequency of maintenance or safety audit ?,Are the wires insulated ?
2375,Energy & ICT,Electricity Pole,West Kameng,Dirang,Dirang,27.34247,92.27704,footway,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,yes
2376,Energy & ICT,Electricity Pole,West Kameng,Dirang,Dirang,27.345,92.27227,footway,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,yes
2380,Energy & ICT,Electricity Pole,West Kameng,Dirang,Dirang,27.34484,92.27235,footway,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,yes
2381,Energy & ICT,Electricity Pole,West Kameng,Dirang,Dirang,27.34399,92.27267,footway,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,yes
2382,Energy & ICT,Electricity Pole,West Kameng,Dirang,Dirang,27.34337,92.27375,footway,4g unreliable,vodafone#airtel#bsnl,no,steel,yearly,yes
2383,Energy & ICT,Electricity Pole,West Kameng,Dirang,Dirang,27.34337,92.27348,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,yes
2384,Energy & ICT,Electricity Pole,West Kameng,Dirang,Dirang,27.34186,92.27208,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,yes
2396,Energy & ICT,Electricity Pole,Tirap,Khonsa,Khonsa I,26.994670000000006,95.49693,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,yearly,yes
2397,Energy & ICT,Electricity Pole,Tirap,Khonsa,Khonsa I,26.99366,95.49657,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,yearly,yes
2398,Energy & ICT,Electricity Pole,Tirap,Khonsa,Khonsa I,26.99387,95.49587,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,yearly,yes
2399,Energy & ICT,Electricity Pole,Tirap,Khonsa,Khonsa I,26.99387,95.49634,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,yearly,yes
2400,Energy & ICT,Electricity Pole,Tirap,Khonsa,Khonsa I,26.99425,95.49567,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,yearly,yes
2402,Energy & ICT,Electricity Pole,West Kameng,Dirang,Dirang,27.32654,92.298,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,yes
2405,Energy & ICT,Electricity Pole,West Kameng,Dirang,Dirang,27.34419,92.27078,pakka road,4g unreliable,vodafone#idea#bsnl,no,steel,yearly,yes
2406,Energy & ICT,Electricity Pole,West Kameng,Dirang,Dirang,27.342270000000006,92.27277,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,yes
2408,Energy & ICT,Electricity Pole,West Kameng,Dirang,Dirang,27.34578,92.27302,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,yes
2409,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87838,95.32105,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2410,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87837,95.32102,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2411,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87782,95.32172,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2412,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87892,95.32166,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2413,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87796,95.32085,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2414,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87791,95.3211,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2415,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87778,95.32135,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2416,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87753,95.32156,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2417,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87749,95.32176,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2418,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.877090000000006,95.32235,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2421,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87721,95.32239,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2422,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87717,95.32271,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2423,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87692,95.32302,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2424,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87698,95.32346,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2425,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87677,95.32332,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2426,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.876590000000004,95.32363,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2427,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87623,95.3241,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2428,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87589,95.32422,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2429,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87556,95.32491,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2430,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87505,95.32577,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2431,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87599,95.32523,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2432,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87616,95.32509,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2433,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87603,95.32547,pakka road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2435,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87627,95.32549,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2436,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.8761,95.32573,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2437,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87629,95.32604,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2438,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87616,95.3257,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2439,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87683,95.326,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2440,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87657,95.32551,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2441,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87653,95.32524,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2442,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87672,95.32562,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2443,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87731,95.32543,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2444,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87765,95.32584,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2445,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87792,95.32591,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2446,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87816,95.32613,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2447,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87861,95.32623,kacha road,4g reliable,vodafone#bsnl#airtel#jio,no,steel,monthly,yes
2448,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87898,95.32643,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2449,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.876240000000006,95.3254,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2450,Energy & ICT,Electricity Pole,East Siang,Oyan,Oyan Village,27.87546,95.32548,kacha road,4g reliable,vodafone#bsnl#jio#airtel,no,steel,monthly,yes
2465,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.572940000000006,91.9019,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,yes
2467,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57271,91.90213,footway,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2468,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57261,91.90253,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2470,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57279,91.90128,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2471,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57348,91.89766,kacha road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2473,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57317,91.89772,kacha road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2474,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.573490000000003,91.90359,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2477,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57376,91.90054,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2478,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.572640000000003,91.90047,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2479,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57433,91.90063,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2480,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.573090000000004,91.90044,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2481,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.572440000000004,91.90035,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2482,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57171,91.90049,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2483,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57282,91.90047,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2485,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57496,91.9007,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2494,Energy & ICT,Electricity Pole,Papumpare,Parang,Parang,27.33091,93.50564,pakka road,nil,N/A,no,steel,monthly,yes
2503,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.569940000000006,91.89816,kacha road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2505,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57252,91.89714,kacha road,2g reliable,vodafone#bsnl#jio,no,steel,others,no
2507,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57052,91.89917,kacha road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2512,Energy & ICT,Electricity Pole,Namsai,Lekang,Old Mohang,27.55917,95.87751,pakka road,4g unreliable,vodafone#bsnl#jio#airtel,no,concrete,monthly,yes
2533,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57248,91.90435,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2534,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57273,91.90321,pakka road,2g unreliable,vodafone#bsnl#airtel,no,steel,others,no
2535,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57248,91.90438,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2536,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57282,91.90306,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2539,Energy & ICT,Electricity Pole,West Kameng,Nafra,Lower Dzong,27.370490000000004,92.53624,footway,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
2540,Energy & ICT,Electricity Pole,West Kameng,Nafra,Lower Dzong,27.37065,92.53611,footway,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
2541,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.5277,93.77822,pakka road,2g reliable,vodafone#airtel,no,steel,others,no
