id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the farm land until it was open and accesible?,What is the type of the road available to the farm land?,How much distance should one travel from the farm land to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the farm land?,What are different Mobile network service providers available at the location of the farm land?,What is the type of structure of the farm land?,What is the type of security available for the farm land?,How many are employed in the farm land?,Where do you get water for operational purposes for the farm land?,How do you deal with the agricultural waste generated from the farm land?,Are the premises of farm land cleaned with disinfectant regularly?,How frequently are the premises at the farm land cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the farm land?,How many hours per day are you facing power cuts in the farm land?,What is the alternative energy source available for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How do you maintain records for operations of the farm land?,What are the areas the farm land gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the farm land?,Are you using digital technologies that can be used in the farm land?,Where do you procure inputs required for the farm land?,What are different chemical inputs used in the farm land?,What is the type of covering material used in the farm land?,What is the water source used for irrigation mechanism?,What is the type of irrigation mechanism used in the farm land?,How does the farm land advertise about the services available?,What is the average operational cost per month to run the farm land?(Excluding Salary of the Employees),How much amount of products are produced in the farm land in a year?(In K.G),What is the type of agriculture products produced in the farm land?,What is the average cost per K.G of the products produced from the farm land?(In Rupees),Which type of customers purchase the products produced in the farm land?,How does the customers transport the goods produced from the farm land?
2401,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.35327,92.27716,1,pakka road,0.2,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,0,water from government,burnt within the premises,no,N/A,yes,1.0,none,N/A,others,none,no,no,local supplier,others,none,others,others,marketing team\/ sales agents,350,2500,"kiwi, apple,vegetables",1-100,others,2 wheeler
2487,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.13398,95.74489,1,kacha road,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,0,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,rainfed,others,others,0,40,banana plantation,1-100,none,head load#2 wheeler
2488,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.1334,95.74283,1,kacha road,3.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,0,others,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,rainfed,others,others,0,400,bamboo plantations,1-100,others,huge luggage transport vehicle#mini luggage transport vehicle
2495,Agriculture,Farm land,Namsai,Lekang,Lekang,27.55967,95.87619,2,pakka road,5.0,3g reliable,idea#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,2,ground water,discarded in open field,yes,1,yes,2.0,diesel generator,2.0,traditional book keeping,technical support,no,no,government agency,fertilizer,polysheet,ground water,canal irrigation,village meeting,10000,200,rice,101-200,farmers,2 wheeler
2510,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.57399,91.89775,10,kacha road,0.5,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,15,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,others,none,rainfed,canal irrigation,village meeting,5000,1500,potatos,1-100,farmers,head load#sumo\/tracker
2551,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.52542,93.77161,3,kacha road,0.15,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,others,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,lath/bamboo,rainfed,others,others,0,500,bamboo (taib local),1-100,others,head load
2584,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.527420000000006,93.77784,4,footway,0.2,2g unreliable,vodafone#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,river or canal,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,lath/bamboo,rainfed,others,others,0,55,large cardamon,>300,ngo#others,mini luggage transport vehicle#huge luggage transport vehicle
2585,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.52655,93.7777,5,pakka road,0.1,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,others,none,no,N/A,no,N/A,none,N/A,others,none,no,no,none,none,lath/bamboo,rainfed,others,others,1000,500,bamboo,1-100,others#farmers#ngo,mini luggage transport vehicle#huge luggage transport vehicle
2598,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.57576,91.89712,10,kacha road,0.5,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",others,6,river or canal,burnt within the premises,no,N/A,no,N/A,none,N/A,others,financial support,no,no,local supplier,others,none,rainfed,canal irrigation,others,500,2000,rice and wheat,1-100,farmers#others,head load
2600,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.56772,91.8946,10,kacha road,0.0,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,30,river or canal,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,others,others,none,river/stream,canal irrigation,others,5000,3000,"white ,rice and millet",1-100,others#farmers,head load#sumo\/tracker
