id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the fish pond until it was open?,What is the type of the road available to the fish pond?,How much distance should one travel from the fish pond to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What is the type of security available for the fish pond?,How many are employed in the fish pond?,Where do you get water for operational purposes for the fish pond?,How do you deal with the waste generated from the fish pond?,Do you have grid connection for energy supply for the fish pond?,What is the alternative energy source available for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How do you maintain records for operations of the fish pond?,What are the areas the fish pond gets support from government agencies?,Do you get any support from NGO(s) for the fish pond?,Are you using digital technologies that can be used in the fish pond?,Where do you primarily procure inputs required for the Fish Pond?,What are different chemical inputs used in the fish pond?,What are different organic inputs used in the fish pond?,How does this Asset advertise about the products produced in the fish pond?,How many KGs of fish are procured from fish pond per year?,What is the average cost per unit of the products produced from the fish pond?,Which type of customers purchase the products produced in the fish pond?,How does the customers transport the goods produced from the fish pond?,How do you determine the selling price of the products?
2391,Fisheries,Fish Pond,Papumpare,Doimukh,Doimukh,27.13171,93.77085,1,pakka road,2.0,4g+ reliable,vodafone#idea#bsnl#jio#airtel,compound wall\/ fencing,17,ground water,burnt within the premises,yes,diesel generator,2.0,traditional book keeping,none#marketing support,no,no,local supplier,fertilizer#none,fertilizer,posters\/ display boards#marketing team\/ sales agents,2000,250,others,others,based on market price
2501,Fisheries,Fish Pond,Namsai,Lekang,Old Mohang,27.554640000000006,95.88232,1,pakka road,3.0,4g unreliable,bsnl#jio#airtel,compound wall\/ fencing,1,ground water,discarded in open field,yes,none,N/A,traditional book keeping,financial support#technical support,no,no,local supplier,weedicides,fertilizer,village meeting,1000,200,farmers#others,2 wheeler,based on market price
2732,Fisheries,Fish Pond,Changlang,Changlang,Old Changlang,27.1428,95.74078,1,footway,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,compound wall\/ fencing,1,water from government,burnt within the premises,yes,invertor,2.0,digital records- using computer/mobile,none,no,no,supplier in other states,others,others,others,6,400,others,others,based on market price
2885,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Toon,27.46269,93.77192,1,kacha road,1.0,3g reliable,vodafone#bsnl#airtel,none,2,water from government,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,government agency,none,none,village meeting,300,50,farmers,head load#2 wheeler,based on market price
3133,Fisheries,Fish Pond,West Kameng,Shergaon,Shergaon,27.12778,92.23859,1,kacha road,30.0,nil,N/A,compound wall\/ fencing,0,water from government,burnt within the premises,yes,none,N/A,traditional book keeping,none,no,no,none,none,none,village meeting,2,200,others,mini luggage transport vehicle,dependent on buyers price
3137,Fisheries,Fish Pond,West Kameng,Shergaon,Shergaon,27.10697,92.24585,1,kacha road,30.0,4g unreliable,bsnl#airtel,compound wall\/ fencing,2,river or canal,burnt within the premises,yes,none,N/A,traditional book keeping,financial support,no,no,local supplier,none,none,village meeting,4,1200,others,sumo\/tracker,based on market price
3143,Fisheries,Fish Pond,Papumpare,Doimukh,Lekhi,27.21694,93.81814,2,footway,10.0,nil,N/A,none,0,ground water,discarded in open field,no,none,N/A,traditional book keeping,none,no,no,none,none,none,others,100,200,others,2 wheeler,based on market price
3155,Fisheries,Fish Pond,Papumpare,Doimukh,Lekha,27.1632,93.77051,3,kacha road,4.0,4g+ reliable,vodafone#idea#bsnl#jio#airtel,none,1,ground water,burnt within the premises,no,none,N/A,traditional book keeping,none#marketing support,no,no,none,none,none,marketing team\/ sales agents,100,250,others#farmers,tempo\/auto#others,based on market price
3675,Fisheries,Fish Pond,Papumpare,Itanagar,Ganga,27.08813,93.59394,4,kacha road,1.0,4g+ reliable,vodafone#bsnl#jio#airtel,none,0,river or canal,discarded in water bodies,no,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,marketing team\/ sales agents,90,180,farmers,tempo\/auto,dependent on buyers price
3819,Fisheries,Fish Pond,Papumpare,Doimukh,Chiputa,27.18358,93.78464,3,kacha road,7.0,4g+ reliable,vodafone#bsnl#jio#airtel,compound wall\/ fencing,1,ground water,discarded in water bodies,no,none,N/A,traditional book keeping,none,no,no,supplier in other states,none,none,marketing team\/ sales agents,120,250,govt. agencies#farmers#others#ngo,tempo\/auto,based on market price
3854,Fisheries,Fish Pond,Papumpare,Gumto,Gumto,27.13616,93.80652,5,kacha road,0.0,4g+ reliable,bsnl#jio#airtel#vodafone,none,2,river or canal,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,village meeting,100,200,farmers,2 wheeler,based on market price
3855,Fisheries,Fish Pond,Papumpare,Gumto,Gumto,27.13943,93.7996,5,pakka road,6.0,4g+ reliable,vodafone#bsnl#jio#airtel,none,3,ground water,burnt within the premises,no,none,N/A,traditional book keeping,financial support#technical support,no,no,government agency,none,none,village meeting,100,200,farmers,2 wheeler,government fixed
4889,Fisheries,Fish Pond,Lower Subansiri,Ziro,Hija,27.58525,93.84551,1,kacha road,3.0,2g reliable,bsnl#vodafone#airtel,none,2,ground water,discarded in water bodies,no,none,N/A,traditional book keeping,none,no,no,none,none,none,marketing team\/ sales agents#others,500,100,farmers,head load,based on market price
4908,Fisheries,Fish Pond,Lower Subansiri,Ziro,Hija,27.60295,93.84152,1,kacha road,3.0,2g reliable,bsnl#vodafone#airtel,none,5,river or canal,discarded in water bodies,no,none,N/A,traditional book keeping,none,no,no,none,none,none,marketing team\/ sales agents#others,500,100,farmers,head load,based on market price
4974,Fisheries,Fish Pond,Lower Subansiri,Ziro,Molyang (Tajang),27.59651,93.86494,3,kacha road,3.0,2g reliable,vodafone#bsnl#airtel,compound wall\/ fencing,4,spring water,discarded in open field,yes,none,N/A,traditional book keeping,none,no,no,none,fertilizer,fertilizer,others,2000,280,farmers,2 wheeler,based on market price
5148,Fisheries,Fish Pond,Lower Subansiri,Ziro,Keiliya,27.6118,93.86746,1,kacha road,3.0,2g reliable,bsnl#vodafone#airtel,none,2,ground water,discarded in water bodies,no,none,N/A,traditional book keeping,none,no,no,none,none,none,marketing team\/ sales agents#others,500,100,farmers,head load,based on market price
5449,Fisheries,Fish Pond,Lower Subansiri,Ziro,Hari,27.58787,93.84489,1,kacha road,2.0,2g unreliable,vodafone#bsnl#airtel,none,0,ground water,discarded in open field,no,none,N/A,traditional book keeping,support via subsidies,no,no,government agency,none,none,others,200,200,farmers#others,head load,based on market price
5450,Fisheries,Fish Pond,Lower Subansiri,Ziro,Hari,27.58787,93.84504,1,kacha road,2.0,2g unreliable,vodafone#bsnl#airtel,none,0,ground water,discarded in open field,no,none,N/A,traditional book keeping,support via subsidies,no,no,government agency,none,none,others,200,20,farmers#others,head load,based on market price
5467,Fisheries,Fish Pond,Papumpare,Banderdewa,Kharsingsa,27.11395,93.7772,1,kacha road,1.0,nil,N/A,compound wall\/ fencing,1,ground water,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,marketing team\/ sales agents,500,200,farmers,head load#2 wheeler,based on market price
5582,Fisheries,Fish Pond,Papumpare,Toru,Dokte Hoj,27.25422,93.80913,10,kacha road with block point,3.0,4g+ reliable,vodafone#bsnl#airtel,none,1,river or canal,none,no,none,N/A,traditional book keeping,none,yes,no,others,others,others,others,1,120,others,others,other
5633,Fisheries,Fish Pond,Lower Subansiri,Ziro,Modang Tage,27.5722,93.84557,4,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,compound wall\/ fencing,2,ground water,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,fertilizer,village meeting,320,300,farmers,2 wheeler#tempo\/auto#sumo\/tracker#others,based on market price
5731,Fisheries,Fish Pond,Lower Subansiri,Ziro,Modang Tage,27.57165,93.84548,2,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,none,2,ground water,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,fertilizer,village meeting,80,250,farmers,2 wheeler#tempo\/auto#sumo\/tracker,based on market price
5732,Fisheries,Fish Pond,Lower Subansiri,Ziro,Modang Tage,27.571790000000004,93.84572,3,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,none,1,ground water,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,fertilizer,village meeting,32,250,farmers,2 wheeler#tempo\/auto#sumo\/tracker#others,based on market price
