id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available to the asset?,How much distance should one travel from this asset to avail public transport facility?,Which of the following materials is the bridge made up of?,In which year was the bridge built?,When was the last technical maintenance and audit for the bridge?,What is the length of the bridge ?,What is the maximum height the bridge is above the ground?,What is the maximum load that the bridge can support at a time?,Which of the following can the bridge support?,What kind of connectivity is the bridge utilized for?,Is the bridge the sole means of transportation between the two end points?
1324,Tourism,Hanging Bridge,Lower Subansiri,Ziro,Siro,27.51542,93.84127,kaccha road,7.0,iron and steel#bamboo or wood,2010,0-4 months,0-100m,50,100,individual persons only,inter-village,yes
1461,Tourism,Hanging Bridge,East Siang,Oyan,Sille Village,27.901090000000003,95.2984,kaccha road,1.0,iron and steel,2002,12-16 months,0-100m,20,100,individual persons only,inter-village,no
2532,Tourism,Hanging Bridge,Tawang,Kitpi,Kitpi,27.55708,91.92333,pakka road,1.0,iron and steel#bamboo or wood#others,1200,more than 2 years,200-300m,40,3000,individual persons only,intra-village,yes
3014,Tourism,Hanging Bridge,West Kameng,Shergaon,Shergaon,27.13462,92.26488,pakka road,24.0,iron and steel,0,8-12 months,0-100m,30,0,two wheelers#individual persons only,inter-village,no
3148,Tourism,Hanging Bridge,Papumpare,Doimukh,Lekha,27.13096,93.76135,kaccha road,2.0,iron and steel,1998,12-16 months,0-100m,40,1000,two wheelers,inter-village,yes
3859,Tourism,Hanging Bridge,West Kameng,Dirang,Dirang,27.33554,92.27981,footway,0.3,iron and steel,1980,more than 2 years,0-100m,15,500,individual persons only,intra-village,yes
4288,Tourism,Hanging Bridge,Papumpare,Doimukh,Chiputa,27.19048,93.78413,footway,1.0,ropes#iron and steel,2009,20-24 months,100-200m,20,100000,two wheelers,inter-village,yes
5454,Tourism,Hanging Bridge,Papumpare,Doimukh,Doimukh,27.12537,93.71427,kaccha road,0.25,iron and steel,2005,16-20 months,0-100m,20,10000,individual persons only,inter-village,yes
5551,Tourism,Hanging Bridge,Lower Subansiri,Ziro,Modang Tage,27.566370000000006,93.84124,kaccha road,5.0,bamboo or wood,2018,0-4 months,100-200m,4,100,individual persons only,intra-village,yes
7255,Tourism,Hanging Bridge,Papumpare,Doimukh,Soppo,27.213520000000006,93.8117,kaccha road,2.0,bamboo or wood,2008,more than 2 years,0-100m,15,1000,two wheelers#individual persons only,inter-village,yes
