id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,Are the premises of this asset cleaned with disinfectant regularly?,The Over Ground water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,What is the type of the material that is used to cover the roof of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank ?,Are there any water level indicators marked?,What is the frequency of technical maintenance or safety audit ?,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
849.0,Water,Over Ground Tanks,Lower Subansiri,Yachuli,Jara,27.53,93.77,footway,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,discarded in open field,no,concrete,no,150.0,none,1.00,1.00,no,yearly,N/A,N/A,N/A,N/A,N/A,N/A
850.0,Water,Over Ground Tanks,Lower Subansiri,Yachuli,Jara,27.53,93.78,footway,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,discarded in open field,yes,concrete,no,4000.0,none,1.00,1.00,no,yearly,N/A,N/A,N/A,N/A,N/A,N/A
851.0,Water,Over Ground Tanks,Tirap,Khonsa,Khonsa I,27.01,95.5,kacha road,4g reliable,jio#airtel#vodafone,"pakka/permenant(steel,concrete,etc.,)",support via subsidies,discarded in open field,no,concrete,no,50000.0,none,1.00,2.00,no,never,N/A,N/A,N/A,N/A,N/A,N/A
895.0,Water,Over Ground Tanks,Tirap,Khonsa,Kheti,26.96,95.51,footway,4g reliable,jio#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support,discarded in open field,no,concrete,no,6000.0,tin sheets,2.00,2.00,no,yearly,N/A,N/A,N/A,N/A,N/A,N/A
922.0,Water,Over Ground Tanks,Tirap,Khonsa,Khonsa I,27.0,95.51,kacha road,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,mixes with the near by water bodies,no,concrete,yes,8000.0,cement slabs,1.00,1.00,no,never,N/A,N/A,N/A,N/A,N/A,N/A
969.0,Water,Over Ground Tanks,Changlang,Changlang,Changlang (CT),27.14,95.73,pakka road with block point,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support#technical support,discarded in open field,no,concrete,no,3000.0,cement slabs,1.00,1.00,no,irregular,N/A,N/A,N/A,N/A,N/A,N/A
980.0,Water,Over Ground Tanks,Changlang,Changlang,Changlang (CT),27.14,95.73,pakka road with block point,3g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support#technical support,discarded in open field,no,pvc,no,1000.0,pvc sheets,2.00,1.00,no,irregular,N/A,N/A,N/A,N/A,N/A,N/A
1023.0,Water,Over Ground Tanks,Tirap,Khonsa,Kheti,26.97,95.51,footway,4g reliable,bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,discarded in open field,yes,concrete,no,10000.0,cement slabs,3.00,1.00,no,yearly,N/A,N/A,N/A,N/A,N/A,N/A
1026.0,Water,Over Ground Tanks,Changlang,Changlang,Changlang (CT),27.14,95.74,footway,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support#technical support,discarded in open field,no,concrete,no,10000.0,cement slabs,2.00,2.00,no,irregular,N/A,N/A,N/A,N/A,N/A,N/A
1170.0,Water,Over Ground Tanks,Tirap,Khonsa,Kaimoi,27.04,95.5,pakka road,4g reliable,airtel#jio#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,discarded in open field,no,steel,no,2000.0,steel,1.00,1.00,no,never,N/A,N/A,N/A,N/A,N/A,N/A
1218.0,Water,Over Ground Tanks,Tirap,Khonsa,Lapnan,26.99,95.48,pakka road,4g unreliable,bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,none,no,concrete,no,500.0,tin sheets,2.00,2.00,no,never,N/A,N/A,N/A,N/A,N/A,N/A
1310.0,Water,Over Ground Tanks,Lower Subansiri,Ziro,Tajang,27.61,93.83,pakka road,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",technical support#financial support#support via schemes,mixes with the near by water bodies,no,concrete,no,5000.0,pvc sheets,2.00,2.00,no,yearly,N/A,N/A,N/A,N/A,N/A,N/A
1507.0,Water,Over Ground Tanks,Shi-Yomi,Monigong,Karle,28.74,94.3,footway,2g unreliable,bsnl,"pakka/permenant(steel,concrete,etc.,)",none,mixes with the near by water bodies,no,concrete,no,4000.0,tin sheets,1.00,1.00,no,irregular,N/A,N/A,N/A,N/A,N/A,N/A
1513.0,Water,Over Ground Tanks,Shi-Yomi,Monigong,Karle,28.74,94.31,kacha road,2g unreliable,bsnl,"pakka/permenant(steel,concrete,etc.,)",support via schemes,mixes with the near by water bodies,no,concrete,yes,10000.0,pvc sheets,1.00,1.00,no,never,N/A,N/A,N/A,N/A,N/A,N/A
1514.0,Water,Over Ground Tanks,Shi-Yomi,Monigong,Karle,28.74,94.3,kacha road,2g unreliable,bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,mixes with the near by water bodies,no,concrete,no,4000.0,tin sheets,1.00,1.00,no,irregular,N/A,N/A,N/A,N/A,N/A,N/A
1516.0,Water,Over Ground Tanks,Shi-Yomi,Monigong,Karle,28.74,94.31,footway,2g unreliable,bsnl,"pakka/permenant(steel,concrete,etc.,)",none,discarded in open field,no,concrete,yes,700.0,tin sheets,1.00,1.00,no,irregular,N/A,N/A,N/A,N/A,N/A,N/A
1734.0,Water,Over Ground Tanks,Tirap,Khonsa,Kheti,26.97,95.5,pakka road,4g reliable,jio#airtel#bsnl,"pakka/permenant(steel,concrete,etc.,)",financial support,none,yes,concrete,no,10000.0,none,1.00,1.00,no,irregular,N/A,N/A,N/A,N/A,N/A,N/A
1735.0,Water,Over Ground Tanks,Tirap,Khonsa,Kheti,26.97,95.5,pakka road,4g reliable,jio#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support,mixes with the near by water bodies,yes,steel,yes,250.0,tin sheets,1.00,1.00,no,irregular,N/A,N/A,N/A,N/A,N/A,N/A
1743.0,Water,Over Ground Tanks,East Siang,Mebo,Mebo,28.17,95.43,pakka road,4g reliable,jio#airtel#bsnl,"pakka/permenant(steel,concrete,etc.,)",technical support#financial support,discarded in govt. designated structures,yes,concrete,no,40000.0,none,2.00,2.00,no,monthly,N/A,N/A,N/A,N/A,N/A,N/A
1756.0,Water,Over Ground Tanks,East Siang,Mebo,Mebo,28.17,95.43,pakka road,4g reliable,jio#airtel#bsnl,"pakka/permenant(steel,concrete,etc.,)",financial support#technical support,discarded in govt. designated structures,yes,concrete,no,20000.0,none,2.00,1.00,no,monthly,N/A,N/A,N/A,N/A,N/A,N/A
1757.0,Water,Over Ground Tanks,East Siang,Mebo,Mebo,28.17,95.43,pakka road,4g reliable,bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support#technical support,discarded in govt. designated structures,yes,concrete,yes,20000.0,cement slabs,2.00,1.00,no,monthly,N/A,N/A,N/A,N/A,N/A,N/A
1765.0,Water,Over Ground Tanks,East Siang,Oyan,Murali,27.91,95.27,kacha road,3g reliable,jio#idea,"pakka/permenant(steel,concrete,etc.,)",support via subsidies#support via schemes,none,no,concrete,no,3000.0,cement slabs,2.00,2.00,yes,yearly,N/A,N/A,N/A,N/A,N/A,N/A
1819.0,Water,Over Ground Tanks,Lower Subansiri,Pistana,Did,27.6,93.68,kacha road,4g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support#technical support,none,yes,concrete,no,80000.0,tin sheets,more than 4,1.00,no,others,N/A,N/A,N/A,N/A,N/A,N/A
1837.0,Water,Over Ground Tanks,Lower Subansiri,Pistana,Did,27.6,93.67,kacha road,nil,N/A,"pakka/permenant(steel,concrete,etc.,)",financial support,mixes with the near by water bodies,no,concrete,yes,600.0,steel,1.00,1.00,no,irregular,N/A,N/A,N/A,N/A,N/A,N/A
