id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel from this asset to avail public transport facility?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the working days of that asset?,How many Technical staff are employed in/for that asset?,How many Non-Technical staff are employed in/for that asset?,Where do you get drinking water from for using at this asset?,Where do you get water for operational purposes for this asset?,Are there toilets available for public and employees usage at this asset?,How do you deal with the medical waste generated from that asset?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this asset?,What is the alternative energy source available for that asset?,How do you maintain operational records for this asset?,What are the areas the asset gets support from government agencies (not for customers)?,Do you get any support from NGO(s) for this asset?,Where do you procure inputs required for that asset?,How does this asset advertise about the services available?,How many patients visit this facility on an average in a month?,Which months have maximum footfall ?,What Medicines are available?,Which of the following data is maintained online?,"Which digital tools are you using, if any?",Are you running Jan Aushadhi Kendras ?,Did you tie up with any health insurance company?,How many villages does this pharmacy serve ?,Do you have proper cold chain system ?
2959,Healthcare,Pharmacy,Tawang,Lumla,Manpat,27.5373,91.72017,10,pakka road,0.5,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,630,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,0,tap water from government,water from government,no,burnt within the premises,yes,3,no,none,traditional book keeping,none,no,supplier in other states,others,50,march,"antipyretics: reducing fever (pyrexia\/pyresis)#analgesics: reducing pain (painkillers)#antibiotics: inhibiting germ growth#antiseptics: prevention of germ growth near burns#cuts and wounds#oral contraceptives: enovid#\""biphasic\"" pill#and \""triphasic\"" pill#ors",none,none,no,no,10,no
3074,Healthcare,Pharmacy,West Kameng,Dirang,Dirang,27.78863,93.31837,1,pakka road,5.0,4g unreliable,vodafone#airtel#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,660,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,0,tap water from government,water from government,yes,discarded in govt. designated sites,yes,7,yes,none,traditional book keeping,none,no,local supplier,posters\/ display boards,50,june#july,"antibiotics: inhibiting germ growth#analgesics: reducing pain (painkillers)#antiseptics: prevention of germ growth near burns#cuts and wounds#ors#oral contraceptives: enovid#\""biphasic\"" pill#and \""triphasic\"" pill",none,none,no,no,40,yes
3076,Healthcare,Pharmacy,West Kameng,Dirang,Dirang,27.32454,92.19167,1,pakka road,5.0,4g unreliable,vodafone#airtel#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,720,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,0,tap water from government,water from government,no,discarded in govt. designated sites,yes,5,yes,invertor,traditional book keeping,none,no,local supplier,posters\/ display boards,20,june#july#august,"antipyretics: reducing fever (pyrexia\/pyresis)#analgesics: reducing pain (painkillers)#antiseptics: prevention of germ growth near burns#cuts and wounds#ors#oral contraceptives: enovid#\""biphasic\"" pill#and \""triphasic\"" pill",none,none,no,no,50,yes
3077,Healthcare,Pharmacy,West Kameng,Dirang,Dirang,27.32843,93.30463,1,pakka road,5.0,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,0,tap water from government,water from government,no,discarded in govt. designated sites,yes,2,yes,invertor,traditional book keeping,none,no,local supplier,posters\/ display boards,500,june#july,"antipyretics: reducing fever (pyrexia\/pyresis)#analgesics: reducing pain (painkillers)#antibiotics: inhibiting germ growth#antiseptics: prevention of germ growth near burns#cuts and wounds#oral contraceptives: enovid#\""biphasic\"" pill#and \""triphasic\"" pill#ors",none,none,no,no,50,yes
3079,Healthcare,Pharmacy,West Kameng,Dirang,Dirang,27.79325,93.69173,1,pakka road,5.0,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,monday#tuesday#thursday#friday#wednesday#saturday#sunday,1,0,tap water from government,water from government,no,discarded in govt. designated sites,yes,1,yes,invertor,traditional book keeping,none,no,local supplier,posters\/ display boards,500,june#july,"antibiotics: inhibiting germ growth#antiseptics: prevention of germ growth near burns#cuts and wounds#oral contraceptives: enovid#\""biphasic\"" pill#and \""triphasic\"" pill#antipyretics: reducing fever (pyrexia\/pyresis)#analgesics: reducing pain (painkillers)#ors",none,none,no,no,50,yes
5313,Healthcare,Pharmacy,Papumpare,Doimukh,Mani,27.17486,93.77045,2,pakka road,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,840,monday#tuesday#wednesday#thursday#friday#saturday#sunday,2,0,bottled water,spring water,no,burnt within the premises,yes,7,yes,none,traditional book keeping,none,no,supplier in other states,others,200,june#july#august#september#october,analgesics: reducing pain (painkillers)#antiseptics: prevention of germ growth near burns#cuts and wounds#antipyretics: reducing fever (pyrexia\/pyresis)#tranquilizers: meprobamate#chlorpromazine#reserpine#chlordiazepoxide#diazepam#and alprazolam#ors#statins: lovastatin#pravastatin#and simvastatin ors,none,none,no,no,6,no
5462,Healthcare,Pharmacy,Papumpare,Banderdewa,Karsingsa Complex,27.12233,93.78157,2,pakka road,0.5,3g reliable,bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,660,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,0,ground water,ground water,yes,burnt within the premises,yes,5,yes,invertor,traditional book keeping,none,no,local supplier,others,100,june#july#august,antipyretics: reducing fever (pyrexia\/pyresis)#analgesics: reducing pain (painkillers)#ors,none,none,not aware,no,3,no
6069,Healthcare,Pharmacy,Papumpare,Itanagar,Ganga,27.08837,93.59809,1,pakka road,1.0,4g unreliable,vodafone#bsnl#jio#airtel#idea,"pakka/permenant(steel,concrete,etc.,)",none,780,saturday#friday#thursday#wednesday#tuesday#monday,1,1,tap water from government,water from government,yes,discarded in govt. designated sites,yes,3,yes,none,traditional book keeping,none,no,supplier in other states,posters\/ display boards#others,100,june#july,"ors#antibiotics: inhibiting germ growth#analgesics: reducing pain (painkillers)#antipyretics: reducing fever (pyrexia\/pyresis)#antiseptics: prevention of germ growth near burns#cuts and wounds#oral contraceptives: enovid#\""biphasic\"" pill#and \""triphasic\"" pill",none,none,no,no,3,no
1396,Healthcare,Pharmacy,East Siang,Oyan,Sille Village,27.89211,95.3099,1,pakka road,0.0,4g+ reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,120,monday#tuesday#thursday#wednesday#friday#saturday#sunday,0,1,tap water from government,water from government,no,burnt within the premises,yes,3,no,solar unit,traditional book keeping,none,no,local supplier,others,30,july#august,"antipyretics: reducing fever (pyrexia\/pyresis)#ors#antibiotics: inhibiting germ growth#oral contraceptives: enovid#\""biphasic\"" pill#and \""triphasic\"" pill",none,none,no,no,13,no
1398,Healthcare,Pharmacy,East Siang,Oyan,Oyan Village,27.88361,95.31537,1,pakka road,1.0,4g+ reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,540,monday#tuesday#wednesday#thursday#saturday#sunday#friday,1,0,tap water from government,water from government,yes,burnt within the premises,yes,2,yes,none,traditional book keeping,none,no,local supplier,posters\/ display boards,0,january,"antipyretics: reducing fever (pyrexia\/pyresis)#analgesics: reducing pain (painkillers)#antibiotics: inhibiting germ growth#antimalarial drugs: treating malaria#antiseptics: prevention of germ growth near burns#cuts and wounds#oral contraceptives: enovid#\""biphasic\"" pill#and \""triphasic\"" pill#ors#statins: lovastatin#pravastatin#and simvastatin ors#tranquilizers: meprobamate#chlorpromazine#reserpine#chlordiazepoxide#diazepam#and alprazolam#stimulants: methylphenidate#amphetamine",drugs,none,no,yes,7,yes
