id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel from the asset to avail public transport facility? (in K.M),What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of the asset?,What is the type of structure of the asset?,What is the type of security available for the asset?,What are the working hours of the asset?(Ex: 9.00A.M-5.A.M),What are the working days of that asset?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where do you get drinking water from for using at the asset?,Where do you get water for operational purposes for the asset?,Are there toilets available for public and employees usage at the asset?,How do you deal with the agricultural waste generated from that asset?,Are the premises of the asset cleaned with disinfectant regularly?,How frequently are the premises at the asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the asset?,What is the alternative energy source available for that asset?,Is there landline connectivity for that asset?,Does the asset have wired internet connection?,How do you maintain records for operations for the asset?,What are the areas the asset gets support from government agencies (not for customers)?,Do you get any support from NGO(s) for the asset?,Where do you procure inputs required for that asset?,How does the asset advertise about the services available?,Are you using any digital tools for your operations for the asset?,What is the breed of Hens reared in the poultry farm?,What is the number of hens reared in the poultry farm?,What is the type of structure of the poultry farm?,What is the size of the poultry farm?,Where are the chicks procured from?,What are different equipments available in the poultry farm?,Where do you procure feed & other inputs required?,What are the hens raised for?,How are the hens raised in the farm?,No. of people employed through the poultry farm?,Where do you procure medicines/ vaccines for the poultry?,When was the last time the cattle was vaccinated?,How frequently the Veterinary doctor/ Animal Husbandry department visits the farm?,Are the birds artificially inseminated?,How many eggs are produced from the farm per day?,Where do you market the eggs/ meat produced from the farm?,How do you pack the eggs/ meat to sell in the market?,At what price you sell the hen to the customers?,Do the vety doctors comes to the farm to check the diseases?,Is there any epidemic which have affected the farm in past?
2647,Animal Husbandry,Poultry Farm,Changlang,Changlang,Old Changlang,27.14306,95.73731,1,footway,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,660,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,0,tap water from government,water from government,no,burnt within the premises,no,N/A,no,none,no,no,others,none,no,none,others,no,country chicken,7,temporary shed,4,local market#from fellow farmers,none,local market,eggs#meat,open farm,1,local market,more than two years back,not fixed,no,2,local market#personal consumption,polythene bags,500,no,no
4826,Animal Husbandry,Poultry Farm,Lower Subansiri,Ziro,Modang Tage,27.57346,93.82972,2,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,540,monday#tuesday#wednesday#thursday#friday#sunday#saturday,0,0,tap water from government,water from government,no,burnt within the premises,no,N/A,yes,solar unit,no,no,traditional book keeping,none,no,local supplier,village meeting,no,country chicken,12,temporary shed,1,local market#other,feed preperation equipment,local market,meat#others,other technique,1,local market,more than two years back,not fixed,no,3,local market#others,none,300,no,no
4827,Animal Husbandry,Poultry Farm,Lower Subansiri,Ziro,Modang Tage,27.5736,93.82985,3,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,540,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,0,tap water from government,water from government,no,burnt within the premises,no,N/A,yes,solar unit,no,no,traditional book keeping,none,no,local supplier,village meeting,no,country chicken,21,temporary shed,3,local market,feed preperation equipment,local market#others,meat#eggs#others,both,1,local market,more than two years back,not fixed,no,2,local market#personal consumption#others,none,250,no,no
7295,Animal Husbandry,Poultry Farm,Lower Subansiri,Ziro,Bamin,27.56942,93.82917,1,kacha road,0.5,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,sunday#saturday#friday#thursday#wednesday#tuesday#monday,2,1,tap water from government,water from government,no,burnt within the premises,no,N/A,no,none,no,no,traditional book keeping,none,no,local supplier,others,no,country chicken,35,temporary shed,250,other#from fellow farmers,others,local market#others,eggs#others#meat,other technique,2,none,within the last 6 months,not fixed,no,15,local market#others,others,500,no,no
1030,Animal Husbandry,Poultry Farm,Changlang,Changlang,Changlang (CT),27.12741,95.70638,1,kacha road,6.0,3g reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,monday#tuesday#thursday#wednesday#friday#saturday#sunday,0,0,tap water from government,water from government,no,burnt within the premises,no,N/A,yes,none,no,no,traditional book keeping,none,no,local supplier,others,no,broiler chicken,15,temporary shed,10,local market,water feeding equipment#feeding equipment,local market,meat#others,cage,0,local market,more than two years back,not fixed,yes,0,local market,none#others,250,no,no
1066,Animal Husbandry,Poultry Farm,Changlang,Changlang,Changlang (CT),27.134590000000006,95.74521,1,kacha road,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1440,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,1,tap water from government,water from government,yes,burnt within the premises,no,N/A,yes,none,no,no,traditional book keeping,none,no,local supplier,others,no,broiler chicken,50,temporary shed,2,local market,none,local market,meat#others,both,1,local market,6 months-12 months back,not fixed,no,0,local market#others#personal consumption,polythene bags,300,no,no
1082,Animal Husbandry,Poultry Farm,Tirap,Khonsa,Khonsa I,27.00448,95.50382,1,pakka road,0.01,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",security guard,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,2,0,others,others,yes,discarded in open field,yes,1.0,yes,solar unit,no,no,traditional book keeping,none,no,supplier in other states,others,no,broiler chicken,200,temporary shed,300,local market,others,local market,meat,other technique,2,local market,within the last 6 months,not fixed,no,0,local market,none,150,no,yes
1084,Animal Husbandry,Poultry Farm,Changlang,Changlang,Changlang (CT),27.13418,95.74405,5,kacha road,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,1440,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,1,tap water from government,water from government,yes,burnt within the premises,yes,2.0,yes,others,no,no,traditional book keeping,none,no,local supplier,others,no,broiler chicken,50,permanent shed,4,local market,water feeding equipment#feeding equipment,local market,meat,both,1,local market,6 months-12 months back,not fixed,no,0,local market#personal consumption,polythene bags,300,no,no
1211,Animal Husbandry,Poultry Farm,Papumpare,Sangdupota,Poma,27.07277,93.51717,1,kacha road,1.5,3g reliable,bsnl#jio,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,660,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,1,tap water from government,water from government,yes,burnt within the premises,yes,7.0,yes,others,no,no,traditional book keeping,none,no,local supplier,posters\/ display boards,yes,broiler chicken,200,permanent shed,105,other#govt. agency#local market,water feeding equipment#feed preperation equipment#feeding equipment,local market#govt. agency,meat,open farm,1,govt. agency#local market#others,more than two years back,not fixed,no,0,local market#others,polythene bags,160,no,no
1215,Animal Husbandry,Poultry Farm,Changlang,Changlang,Changlang (CT),27.133540000000004,95.74392,1,kacha road,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,1440,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,1,tap water from government,water from government,no,burnt within the premises,no,N/A,yes,solar unit,no,no,traditional book keeping,none,no,local supplier,others,no,broiler chicken,50,temporary shed,3,local market,water feeding equipment#feeding equipment,local market,meat,open farm,1,local market,6 months-12 months back,not fixed,no,0,personal consumption#local market,polythene bags,300,no,no
1216,Animal Husbandry,Poultry Farm,Changlang,Changlang,Changlang (CT),27.13345,95.74351,1,kacha road,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1440,monday#tuesday#wednesday#friday#thursday#saturday#sunday,0,1,tap water from government,water from government,yes,burnt within the premises,no,N/A,yes,none,no,no,traditional book keeping,none,no,local supplier,others,no,broiler chicken,50,temporary shed,2,local market,water feeding equipment#feeding equipment,local market,meat,cage,1,local market,6 months-12 months back,not fixed,no,0,local market,polythene bags,300,no,no
1250,Animal Husbandry,Poultry Farm,Changlang,Changlang,Changlang (CT),27.14177,95.74217,1,footway,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,660,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,0,tap water from government,water from government,yes,burnt within the premises,no,N/A,no,none,no,no,others,none,no,local supplier,others,no,others,10,temporary shed,5,local market,none,local market,meat#eggs,open farm,0,none,more than two years back,not fixed,no,2,others#personal consumption,polythene bags,450,no,no
1525,Animal Husbandry,Poultry Farm,Changlang,Changlang,Changlang (CT),27.14312,95.74094,1,footway,2.0,4g+ reliable,vodafone#jio#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,600,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,0,tap water from government,water from government,yes,burnt within the premises,no,N/A,no,none,no,no,others,none,no,local supplier,others,no,country chicken,1,temporary shed,2,local market#from fellow farmers,none,local market,eggs#meat,open farm,0,none,more than two years back,not fixed,no,1,personal consumption,polythene bags,400,no,no
1799,Animal Husbandry,Poultry Farm,East Siang,Mebo,Mebo,28.16651,95.41951,1,pakka road,0.2,4g+ reliable,bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,0,tap water from government,water from government,no,burnt within the premises,yes,1.0,no,none,no,no,traditional book keeping,none,no,local supplier,others,no,broiler chicken,50,temporary shed,30,local market,water feeding equipment#feeding equipment,local market,meat,cage,1,none,within the last 6 months,not fixed,no,0,local market,polythene bags,160,no,no
