id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where does the waste water generated from that asset goes to?,Are the premises of this asset cleaned with disinfectant regularly?,Is that Tap in working condition?,Is check valve working in the tap ?,How far is the tap from the water tank/Source ?,What is the diameter of the Pipe ?,How many Taps are connected to one standpod?,What is the length of the service tap?,What is the basement/ foundation is made of ?,Is there any rust on the tap ?,Were people drinking water while you visited this spot?,Are there any charges which come when getting water from this tap?,What is the frequency of technical maintenance or safety audit ?
840,Water,Public Taps/ Public Stand Pod,Changlang,Changlang,Changlang (CT),27.13397,95.74352,pakka road with block point,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,120,financial support#technical support,1,0,mixes with the near by water bodies,no,yes,yes,above 500 meters,others,1,1,cement,no,no,no,irregular
896,Water,Public Taps/ Public Stand Pod,Tirap,Khonsa,Kheti,26.96043,95.51044,footway,4g reliable,jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,financial support,5,0,discarded in open field,yes,yes,no,between 200-500 meters,24mm,1,1.5,cement#rock like structure,no,yes,no,never
901,Water,Public Taps/ Public Stand Pod,Tirap,Khonsa,Kheti,26.96094,95.51,footway,4g reliable,jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,financial support,5,0,discarded in open field,no,yes,no,between 200-500 meters,36mm,1,2,cement,yes,yes,no,monthly
904,Water,Public Taps/ Public Stand Pod,Tirap,Khonsa,Kheti,26.96133,95.50984,footway,4g reliable,jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,financial support,5,0,discarded in open field,no,yes,no,below 200 meters,24mm,1,2,cement,no,yes,no,monthly
960,Water,Public Taps/ Public Stand Pod,Changlang,Changlang,Changlang (CT),27.13528,95.7255,pakka road with block point,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,financial support#technical support,2,1,discarded in open field,no,no,no,above 500 meters,12mm,1,1,cement,yes,no,no,irregular
961,Water,Public Taps/ Public Stand Pod,Changlang,Changlang,Changlang (CT),27.13511,95.72545,pakka road with block point,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,financial support#technical support,2,1,discarded in open field,no,no,no,above 500 meters,12mm,1,1,cement,yes,no,no,irregular
964,Water,Public Taps/ Public Stand Pod,Changlang,Changlang,Changlang (CT),27.13516,95.72588,pakka road with block point,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,financial support#technical support,2,1,discarded in open field,no,yes,yes,above 500 meters,12mm,1,1,cement,yes,no,no,irregular
966,Water,Public Taps/ Public Stand Pod,Changlang,Changlang,Changlang (CT),27.13536,95.72555,footway,4g unreliable,vodafone#airtel#jio#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,1440,financial support#technical support,1,0,mixes with the near by water bodies,no,yes,yes,above 500 meters,12mm,1,1,cement,no,yes,no,irregular
971,Water,Public Taps/ Public Stand Pod,Changlang,Changlang,Changlang (CT),27.13576,95.72645,pakka road with block point,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,financial support#technical support,2,1,discarded in open field,no,yes,yes,below 200 meters,12mm,1,1,cement,yes,no,no,irregular
1022,Water,Public Taps/ Public Stand Pod,Tirap,Khonsa,Kheti,26.97127,95.50585,footway,4g reliable,jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1440,none,1,0,mixes with the near by water bodies,no,yes,no,below 200 meters,others,1,2,others,no,yes,no,irregular
1042,Water,Public Taps/ Public Stand Pod,Changlang,Changlang,Changlang (CT),27.12741,95.70589,kacha road,3g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,technical support#financial support,1,0,discarded in open field,no,yes,yes,above 500 meters,12mm,1,1,cement,no,yes,no,irregular
1053,Water,Public Taps/ Public Stand Pod,Papumpare,Sangdupota,Poma,27.1138,93.53334,kacha road,2g reliable,bsnl,"pakka/permenant(steel,concrete,etc.,)",none,1440,others,2,0,none,no,yes,yes,above 500 meters,12mm,1,1,cement,yes,no,no,irregular
1058,Water,Public Taps/ Public Stand Pod,East Siang,Pasighat,Rengging,28.14204,95.27214,footway,2g unreliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,support via schemes,2,0,mixes with the near by water bodies,yes,yes,yes,below 200 meters,24mm,2,5,cement,yes,yes,no,monthly
1079,Water,Public Taps/ Public Stand Pod,Tirap,Khonsa,Kaimoi,27.039340000000006,95.49891,footway,4g reliable,airtel,"pakka/permenant(steel,concrete,etc.,)",none,180,none,30,0,discarded in open field,no,yes,yes,between 200-500 meters,12mm,1,2,cement,yes,yes,no,never
1102,Water,Public Taps/ Public Stand Pod,Changlang,Changlang,Changlang (CT),27.14425,95.73794,pakka road with block point,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,120,none,1,0,discarded in open field,no,yes,yes,between 200-500 meters,12mm,1,1,cement,no,yes,no,irregular
1110,Water,Public Taps/ Public Stand Pod,Changlang,Changlang,Changlang (CT),27.14261,95.73734,footway,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,120,none,1,0,discarded in open field,no,yes,yes,above 500 meters,12mm,1,2,cement,no,yes,no,irregular
1125,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Yachuli,Yoglo,27.52176,93.70635,kacha road,2g reliable,airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,none,1,3,discarded in open field,no,yes,no,between 200-500 meters,12mm,1,2,cement,no,no,no,never
1128,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Yachuli,Yoglo,27.52186,93.70705,kacha road,2g reliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,none,1,3,discarded in open field,no,yes,no,between 200-500 meters,12mm,1,1,others,no,no,no,never
1133,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Yachuli,Yoglo,27.51541,93.70278,kacha road,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,none,1,3,discarded in open field,no,yes,yes,between 200-500 meters,12mm,1,2,others,no,no,no,never
1135,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Yachuli,Yoglo,27.51618,93.70361,kacha road,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,none,1,3,discarded in open field,no,yes,yes,between 200-500 meters,12mm,2,2,others,no,no,no,never
1142,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Yachuli,Yoglo,27.51555,93.70331,kacha road,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,none,1,3,discarded in open field,no,yes,yes,between 200-500 meters,12mm,1,2,others,no,no,no,never
1158,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Yachuli,Yoglo,27.51778,93.70734,kacha road,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,technical support,1,0,none,no,yes,yes,above 500 meters,24mm,1,0.7,others,yes,no,no,never
