id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel from this asset to avail public transport facility?,What is the type of structure of this asset?,What is the type of security available for the asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are the working hours of this asset?,What are the working days of that asset?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where do you get drinking water from for using at this asset?,Where do you get water for operational purposes for this asset?,Are there toilets available for public usage and employees at this asset?,How do you deal with the medical waste generated from that asset?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this asset?,What is the alternative energy source available for that asset?,Is there landline connectivity for that asset?,Does this asset have wired internet connection?,How do you maintain operational records for this asset?,What are the areas the asset gets support from government agencies (not for customers)?,Do you get any support from NGO(s) for this asset?,Where do you procure inputs required for that asset?,How does this asset advertise about the services available?,How many doctors are present at this point?,How many nurses are present at this point?,How many staff are present at this point?,Is FRU functional 24*7 hours?,How many patients visit this facility on an average in a month?,Which months have maximum footfall ?,People from which fields are working in the Sub-centre?,How many beds are available in this facility?,What is the average occupancy rate?,What Medicines are available?,Does this facility have a bloodbank?,Is this facility equipped for operation of tele-medicine?,Is there an emergency vehicle available ?,What kind of specialist services are available ?,What kind of tests are conducted in the Sub centre?,What services are available in First Referral Unit (FRU) of this CHC?,What kind of emergency services are available?,Do you conduct health camps?,Do you have in house Pharmacy ?,Is at least one doctor available during your operational hours?,Are offered services free of cost?,Which of the following data is maintained online?,Are you running Jan Aushadhi Kendras ?,What are the 3 most common cases of your patients?,Did you tie up with any health insurance company?,Are there areas which need to be improved?,How many villages does this SC serve ?,Is this Sub-Centre rented or owned by Gov.?
3668,Healthcare,Sub Center,Papumpare,Itanagar,Ganga,27.08125,93.60052,5,pakka road,1.0,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,4g+ reliable,vodafone,300,monday#tuesday#wednesday#thursday#friday,2,3,tap water from government,water from government,yes,burnt within the premises,no,N/A,yes,none,no,no,traditional book keeping,insurance support,no,government agency,village meeting,1,2,6,no,6,april,none of the above,5-10 bedded,6,antipyretics: reducing fever (pyrexia\/pyresis)#ors#analgesics: reducing pain (painkillers)#antimalarial drugs: treating malaria#antibiotics: inhibiting germ growth,no,no,no,none of the above,blood,child heath,none,i don't know,no,no,i don't know,drugs,not aware,"fever, malaria, and allergy",no,quality of care,1,owned by government
3743,Healthcare,Sub Center,East Siang,Ruksin,Mangnang,27.91042,95.277,1,kacha road,10.0,"pakka/permenant(steel,concrete,etc.,)",watchman#compound wall\/ fencing,3g reliable,jio,480,monday#tuesday#wednesday#thursday#friday#saturday,3,3,tap water from government,water from government,yes,burnt within the premises,yes,2,yes,others,no,no,traditional book keeping,none,no,government agency,posters\/ display boards#village meeting#announcements \/ broadcast,0,1,3,no,11,july#august,gnm\/ anm -,5-10 bedded,1,antipyretics: reducing fever (pyrexia\/pyresis),no,no,no,none of the above,N/A,none of the above,road traffic accidents#burns and trauma,no,no,no,most are for free,none,no,daireah malaria dysentery,no,quality of care#on time reporting of doctors#staff etc#stock of medicines & consumables#requisition of medical equipment#pharmacy#infrastructure of the facility such as water supply#climating of the rooms#etc.,1,owned by government
1000,Healthcare,Sub Center,Papumpare,Gumto,Gumto-i,27.1504,93.80036,1,kacha road,6.0,"pakka/permenant(steel,concrete,etc.,)",none,nil,N/A,420,monday#tuesday#wednesday#thursday#friday#saturday,14,5,tap water from government,water from government,yes,burnt within the premises,yes,5,no,none,no,no,traditional book keeping,none,no,government agency,village meeting,0,3,19,no,0,august,gnm\/ anm -,no beds available,5,antipyretics: reducing fever (pyrexia\/pyresis)#analgesics: reducing pain (painkillers)#antiseptics: prevention of germ growth near burns#cuts and wounds#ors,no,no,no,none of the above,malaria,none of the above,none,no,no,no,most are for free,none,no,fever/cough/lose motion and cut injury.,no,stock of medicines & consumables#quality of care#pharmacy,4,owned by government
1020,Healthcare,Sub Center,Tirap,Khonsa,Kaimoi,27.03981,95.49839,1,kacha road,3.0,"pakka/permenant(steel,concrete,etc.,)",none,4g+ reliable,airtel,240,monday#tuesday#wednesday#thursday#friday#saturday,0,4,tap water from government,water from government,no,burnt within the premises,yes,3,yes,none,no,no,traditional book keeping,none,no,none,village meeting,0,1,4,no,20,june,none of the above,no beds available,5,"analgesics: reducing pain (painkillers)#enovid#\""biphasic\"" pill#and \""triphasic\"" pill#tranquilizers: meprobamate#chlorpromazine#reserpine#chlordiazepoxide#diazepam#and alprazolam#ors",no,no,no,public health nurse,N/A,none of the above,none,no,yes,no,most are for free,none,no,"fever, dyriah and cough",no,stock of medicines & consumables,1,owned by government
1197,Healthcare,Sub Center,Lower Subansiri,Yachuli,Jara,27.51132,93.77163,15,kacha road,0.2,"pakka/permenant(steel,concrete,etc.,)",none,2g reliable,airtel,420,monday#tuesday#wednesday#thursday#friday#saturday,6,0,tap water from government,water from government,yes,burnt within the premises,no,N/A,yes,none,no,no,traditional book keeping,financial support#technical support,no,government agency,others,0,2,6,yes,30,june#july#august,public health nurse#gnm\/ anm -,no beds available,0,antibiotics: inhibiting germ growth#ors#analgesics: reducing pain (painkillers),no,no,no,none of the above,N/A,monitoring of vital signs#including blood pressure,none,yes,no,no,half/half,none,not aware,"cold fever, cugh & diarrihaie",no,infrastructure of the facility such as water supply#climating of the rooms#etc.#direct benefit transfer#appointment of vacant posts#on time reporting of doctors#staff etc#on time payment of salaries#cleanliness#quality of care#need for new medical equipiment,7,owned by government
1534,Healthcare,Sub Center,East Siang,Mebo,Mottum,28.08153,95.43065,1,pakka road,0.1,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,4g+ reliable,jio,240,monday#saturday#friday#thursday#wednesday#tuesday,3,0,tap water from government,water from government,yes,burnt within the premises,yes,1,no,none,no,no,traditional book keeping,financial support,no,government agency,posters\/ display boards,0,2,3,no,20,july#may#june,public health nurse#gnm\/ anm -,no beds available,2,antimalarial drugs: treating malaria#antibiotics: inhibiting germ growth#antiseptics: prevention of germ growth near burns#cuts and wounds#ors#hormone replacements: premarin oral contraceptives,no,no,no,public health nurse,blood test,none of the above,road traffic accidents,no,no,no,most are for free,attendance of employees#drugs#health service delivery data#accounts,no,"mild fever, accidents",no,quality of care#discharge time#cleanliness#ventilation#on time reporting of doctors#staff etc#stock of medicines & consumables#requisition of medical equipment#appointment of vacant posts#pharmacy#diagnostic services#direct benefit transfer#need for new medical equipiment#infrastructure of the facility such as water supply#climating of the rooms#etc.,3,owned by government
1559,Healthcare,Sub Center,Changlang,Changlang,Changlang (CT),27.1292,95.70584,1,kacha road,6.0,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,3g reliable,vodafone,180,tuesday#saturday,2,0,tap water from government,water from government,no,burnt within the premises,no,N/A,yes,none,no,no,traditional book keeping,financial support#technical support,no,government agency,village meeting#announcements \/ broadcast,0,2,0,no,5,may#june#july,public health nurse,0-5 bedded,5,antipyretics: reducing fever (pyrexia\/pyresis)#analgesics: reducing pain (painkillers)#antimalarial drugs: treating malaria#antiseptics: prevention of germ growth near burns#cuts and wounds#ors,no,no,no,public health nurse,N/A,provision of warmth#monitoring of vital signs#including blood pressure,others,i don't know,no,no,i don't know,none,no,"malaria, fever and typhoid",no,quality of care#on time reporting of doctors#staff etc#stock of medicines & consumables#requisition of medical equipment#pharmacy#appointment of vacant posts#direct benefit transfer#need for new medical equipiment,6,owned by government
1760,Healthcare,Sub Center,East Siang,Oyan,Murali,27.91008,95.27679,2,pakka road with block point,9.0,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,3g reliable,jio,360,monday#tuesday#wednesday#thursday#friday#saturday,0,1,tap water from government,water from government,no,burnt within the premises,yes,2,no,others,no,no,traditional book keeping,financial support,no,government agency,posters\/ display boards,0,1,2,no,10,july#june#august,gnm\/ anm -,5-10 bedded,2,antimalarial drugs: treating malaria#analgesics: reducing pain (painkillers)#antipyretics: reducing fever (pyrexia\/pyresis)#ors,no,no,no,public health nurse,N/A,none of the above,none,no,no,no,most are for free,none,no,"malaria, cough,diarrhea",no,quality of care#requisition of medical equipment#need for new medical equipiment#infrastructure of the facility such as water supply#climating of the rooms#etc.#pharmacy#on time reporting of doctors#staff etc,1,owned by government
2257,Healthcare,Sub Center,East Siang,Ruksin,Ngorlung,27.87627,95.23068,1,pakka road,2.0,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,4g+ reliable,jio,240,monday#tuesday#wednesday#thursday#friday#saturday,4,2,tap water from government,water from government,yes,burnt within the premises,yes,1,yes,none,no,no,traditional book keeping,none,no,government agency,village meeting#posters\/ display boards,0,3,6,no,50,july#august,cold chain & vaccine logistic assistant#gnm\/ anm -,0-5 bedded,0,antipyretics: reducing fever (pyrexia\/pyresis)#analgesics: reducing pain (painkillers)#antimalarial drugs: treating malaria#antibiotics: inhibiting germ growth#antiseptics: prevention of germ growth near burns#cuts and wounds#hormone replacements: premarin oral contraceptives#ors,no,no,no,none of the above,sugar and maleria,maternal health#referral services#monitoring of vital signs#including blood pressure#family planning services,stroke#gynecology#paediatrics,yes,yes,no,most are for free,health service delivery data,not aware,"hypertension, diabetes",no,stock of medicines & consumables#on time payment of salaries#requisition of medical equipment#infrastructure of the facility such as water supply#climating of the rooms#etc.#need for new medical equipiment#direct benefit transfer#diagnostic services#pharmacy#appointment of vacant posts#quality of care#discharge time#cleanliness#ventilation#on time reporting of doctors#staff etc,2,owned by government
920,Healthcare,Sub Center,Papumpare,Doimukh,Chiputa,26.35073,94.35066,1,pakka road with block point,7.0,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,N/A,N/A,360,monday#thursday#tuesday#wednesday#friday#saturday,20,0,tap water from government,water from government,yes,burnt within the premises,yes,more than 7 times,yes,none,no,no,traditional book keeping,technical support#financial support,no,government agency,posters\/ display boards,4,5,20,no,70,june#july#august,public health nurse#lab. technician#mo ayush#gnm\/ anm -#pharmacist - pharmacist (ayush),no beds available,0,antipyretics: reducing fever (pyrexia\/pyresis)#analgesics: reducing pain (painkillers)#antimalarial drugs: treating malaria#antibiotics: inhibiting germ growth#antiseptics: prevention of germ growth near burns#cuts and wounds#ors,no,no,no,physician,N/A,maternal health,road traffic accidents#burns and trauma,yes,yes,yes,most are for free,none,not aware,"diarroheea ,cough and cold",no,stock of medicines & consumables#requisition of medical equipment#appointment of vacant posts#diagnostic services#need for new medical equipiment#infrastructure of the facility such as water supply#climating of the rooms#etc.,18,owned by government
