id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the unit until it was open?,What is the type of the road available to the unit?,How much distance should one travel from the unit to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the unit?,What are different Mobile network service providers available at the location of the unit?,What is the type of structure of the unit?,What is the type of security available for the unit?,What are the working hours of the unit?(Ex: 9.00A.M-5.A.M),What are the working days of the unit?,How many Technical staff are employed in the unit?,How many Non Technical staff are employed in the unit?,Where do you get drinking water from for using at the unit?,Where do you get water for operational purposes for the unit?,Are there toilets available for public and employees' usage at the unit?,How do you deal with the agricultural waste generated from the unit?,Are the premises of unit cleaned with disinfectant regularly?,How frequently are the premises at the unit cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the unit?,How many hours per day are you facing power cuts in the unit?,What is the alternative energy source available for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the unit?,Does the unit have wired internet connection?,How do you maintain records for operations of the unit?,What are the areas the unit gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the unit?,Are you using any digital technologies that can be used in the unit?,What is the type of products stored in the unit?,How does the unit advertise about the services available?,What is the average operational cost per month to run the unit?(Excluding Salary of the Employees),What are the products purchased by the customers from the unit?,What is the average cost per unit to store in the unit?(In Rupees),Which type of customers store the produce in the unit?,How does the customers transport the goods to store in the unit?,How many cubic meters are available for storage?,Do you have a cold storage facility?,How often did you need to throw away agricultural produce last week?,How do you document wastage of food?
3257,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58361,93.84512,1,kacha road,0.0,2g unreliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,0,others,others,no,discarded in open field,no,N/A,no,N/A,none,N/A,no,no,others,none,no,no,food grains,others,1000,rice,>300,farmers,head load,8.0,no,1,none
3259,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.5836,93.84516,1,kacha road,0.0,2g unreliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,0,others,others,no,discarded in open field,no,N/A,no,N/A,none,N/A,no,no,others,none,no,no,food grains,others,1000,rice,>300,farmers,head load,5.0,no,1,none
3313,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58446,93.84598,1,pakka road,3.0,2g unreliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,0,others,others,no,discarded in open field,no,N/A,no,N/A,none,N/A,no,no,others,none,no,no,food grains,others,0,rice,>300,farmers,head load,4.0,no,1,none
3314,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.584540000000004,93.84585,1,pakka road,3.0,2g unreliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,0,others,others,no,discarded in open field,no,N/A,no,N/A,none,N/A,no,no,others,none,no,no,food grains,others,0,rice,>300,farmers,head load,5.0,no,1,none
3315,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.5845,93.84572,1,pakka road,3.0,2g unreliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#wednesday#tuesday#thursday#friday#saturday#sunday,0,0,others,others,no,discarded in open field,no,N/A,no,N/A,none,N/A,no,no,others,none,no,no,food grains,others,0,rice,>300,farmers,head load,4.0,no,1,none
3316,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58453,93.84573,1,pakka road,3.0,2g unreliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,0,others,others,no,discarded in open field,no,N/A,no,N/A,none,N/A,no,no,others,none,no,no,food grains,others,500,rice,>300,farmers,head load,4.0,no,1,none
3317,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.584570000000006,93.84564,1,pakka road,3.0,2g unreliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#sunday#saturday,0,0,others,others,no,discarded in open field,no,N/A,no,N/A,none,N/A,no,no,others,none,no,no,food grains,others,500,rice,>300,farmers,head load,4.0,no,1,none
3363,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.606890000000003,93.83775,1,kacha road,2.5,2g reliable,airtel#bsnl#vodafone,"kacha/temporary(wood,bamboo,etc.,)",none,420,monday#tuesday#wednesday#thursday#friday#saturday#sunday,2,2,ground water,ground water,no,burnt within the premises,no,N/A,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,timber,others,1500,timber,1-100,others,mini luggage,80.0,no,0,book keeping
3364,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.6171,93.91536,1,kacha road,2.0,2g reliable,airtel#bsnl#vodafone,"kacha/temporary(wood,bamboo,etc.,)",none,780,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,2,ground water,ground water,no,burnt within the premises,no,N/A,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,food grains,others,1500,grain,1-100,farmers,head load,24.0,no,0,book keeping
3366,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.587020000000006,93.88542,1,kacha road,2.0,2g reliable,airtel#bsnl#vodafone,"kacha/temporary(wood,bamboo,etc.,)",none,300,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,2,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,food grains,others,1500,grain,1-100,farmers,head load,40.0,no,0,book keeping
3367,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.6118,93.86347,1,kacha road,2.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,600,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,2,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,food grains,others,1500,grain,1-100,farmers,head load,20.0,no,0,book keeping
3368,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.5764,93.83952,1,kacha road,2.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,2,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,food grains,others,1500,grain,1-100,farmers,head load,20.0,no,0,book keeping
3369,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.60118,93.90738,1,kacha road,2.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,2,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,food grains,others,1500,grain,1-100,farmers,head load,24.0,no,0,book keeping
3370,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.58525,93.85948,1,kacha road,2.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,2,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,food grains,others,1500,grain,1-100,farmers,head load,16.0,no,0,book keeping
3371,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.56933,93.8974,1,kacha road,2.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,0,saturday#sunday,0,2,ground water,ground water,no,none,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,food grains,others,1500,grain,1-100,farmers,head load,18.0,no,0,book keeping
3372,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.58816,93.81687,1,kacha road,2.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,2,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,food grains,others,1500,grain,1-100,farmers,head load,26.0,no,0,book keeping
