id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the facility until it was open?,What is the type of the road available to the facility?,How much distance should one travel from the facility to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the facility?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What is the type of structure of the facility?,What is the type of security available for the facility?,What are the working hours of the facility?(Ex: 9.00A.M-5.P.M),What are the working days of the facility?,How many staff are employed in the facility?,How many labour are employed in the facility?,Where do you get drinking water from for using at the facility?,How much do you pay per litre of bottled water?,Where do you get water for operational purposes for the facility?,What are the other source of water you depend upon?,Are there toilets available for public and employees' usage at the facility?,Are there toilets available seperately as per gender at the unit?,Is there running water available in the toilets at the unit?,Is there soap for handwash available at the unit?,How do you deal with the agricultural waste generated from the facility?,What are the other mechanism used to discard the waste from the unit?,Are the premises of facility cleaned with disinfectant regularly?,How frequently are the premises at the facility cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the facility?,How many hours per day are you facing power cuts in the unit?,What is the alternative energy source available in the facility?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the facility?,What is the number with STD Code of the unit?,Does the facility have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for operations of the facility?,What are the other record mechanism used in the facility?,What are the areas the facility gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the facility?,What is the name of the organization?,Are you using any digital technologies that can be used in the facility?,For what purpose are you using digital tools here at the unit?,Where do you procure inputs required for the facility?,What are other sources are used to get needed inputs?,What are different organic inputs available in the facility?,Where do you store the agri inputs sold in the shop?,What are the other storage mechanism used in the facility?,How many cubic meters are available for storage?,How does the facility advertise about the services available?,What is the average operational cost per month to run the facility?(Excluding Salary of the Employees),What is the total average income per month generated from the facility?,How many types of inputs are available in the facility?,What are the 5 major type of inputs purchased by the customers from the facility?,What is the average cost of the top 5 most purchased goods in facility?(In Rupees),Which type of customers purchase the inputs from the facility?,How many customers purchase the inputs from the facility in a year?,How do the customers transport goods from the facility?
3080,2019-04-29 08:20:22,Agriculture,Agriculture Input Shops/ Suppliers,taba rancho,Private,In Use,Papumpare,Doimukh,Lekha,27.09196,93.6192,Rejected,https://smartvillage.imagetrekk.com/storage/images/ZyxUtWLrBrWKxOnUB5d5PVzacmF43Os1Ov7Auud1.jpeg?asset_id=3080,good,8,Pakka Road,3,4G+ Reliable,"[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Others""]",13:0 to 0:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",63,5,Tap Water from Government,,Water from Government,,Yes,Yes,Yes,Yes,Others,thro at a nallah,No,,Yes,2,Others,3,3,3,3,3,3,Yes,36024486732,Yes,0,Traditional Book Keeping,,"[""Others""]",No,,No,,Local Supplier,,"[""Fertilizers""]",Home,,3,"[""Marketing team\/ Sales Agents""]",5555,2000,65,cabbage,1-100,"[""Others""]",200,"[""Tempo\/Auto""]"
3373,2019-05-05 11:30:58,Agriculture,Agriculture Input Shops/ Suppliers,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.57994,93.86547,Rejected,https://smartvillage.imagetrekk.com/storage/images/cXX1bE7bAGs1yZJD3srlneX0WgzzXifnfQaIf5hX.jpeg?asset_id=3373,good,1,Kacha Road,2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",5:0 to 5:0,"[""Sunday"",""Saturday"",""Friday "",""Thursday"",""Wednesday"",""Tuesday""]",1,2,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,>7,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,"[""None""]",Private Godown/Warehouse,,36,"[""Others"",""Marketing team\/ Sales Agents""]",1000,5000,2,grain and maize,1-100,"[""Farmers""]",120,"[""Head Load""]"
4626,2019-05-11 09:54:10,Agriculture,Agriculture Input Shops/ Suppliers,taba rancho,Private,Ir-repairable,Papumpare,Toru,Kheel,27.21264,93.68668,Rejected,https://smartvillage.imagetrekk.com/storage/images/izo8OQwAPwex40IdpFFTnhCK8gXpLo80vswlLIaV.jpeg?asset_id=4626,bad,7,Kacha Road,1,4G+ Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Others"",""None""]",10:44 to 14:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",0,0,Tap Water from Government,,Others,natural water,No,,,,Others,throw dustbin,Yes,5,No,,Others,1,1,1,1,1,1,No,,No,,Traditional Book Keeping,,"[""Others""]",No,,No,,Others,local,"[""Others""]",Home,,1,"[""Village Meeting ""]",100,20,5,greenchilli,1-100,"[""Others"",""Farmers""]",1,"[""Others""]"
4627,2019-05-11 09:54:40,Agriculture,Agriculture Input Shops/ Suppliers,taba rancho,Private,Ir-repairable,Papumpare,Toru,Kheel,27.21264,93.68668,Rejected,https://smartvillage.imagetrekk.com/storage/images/dbsXn8uQ4AyPMrmeUlppv2IuZpUUtrPN0Wp6oUTP.jpeg?asset_id=4627,bad,7,Kacha Road,1,4G+ Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Others"",""None""]",10:44 to 14:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",0,0,Tap Water from Government,,Others,natural water,No,,,,Others,throw dustbin,Yes,5,No,,Others,1,1,1,1,1,1,No,,No,,Traditional Book Keeping,,"[""Others""]",No,,No,,Others,local,"[""Others""]",Home,,1,"[""Village Meeting ""]",100,20,5,greenchilli,1-100,"[""Others"",""Farmers""]",1,"[""Others""]"
4796,2019-05-11 18:16:23,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57328,93.83061,Rejected,https://smartvillage.imagetrekk.com/storage/images/4crvrK3Oi2oAMsMmjQ8EY9CqCeJW7rOKpk6QlFJj.jpeg?asset_id=4796,Grenery house (Locally called Nesu Ude) no. (1),2,Footway,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",1,1,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,5,"[""Village Meeting ""]",10000,15000,3,"Rice, maize, vegetables and fruits",201-300,"[""Farmers"",""Others""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4797,2019-05-11 18:16:34,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57353,93.83029,Rejected,https://smartvillage.imagetrekk.com/storage/images/mhPqTSNNGorrlEKArrwfJpLh0JR8UPhr2ppfqi8e.jpeg?asset_id=4797,Grenery house (Locally called Nesu Ude) no. (2),2,Footway,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Others""]",9:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",1,1,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,3,"[""Village Meeting ""]",10000,15000,5,"Rice, maize ,vegetables and fruits",201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4798,2019-05-11 18:16:46,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57294,93.83087,Rejected,https://smartvillage.imagetrekk.com/storage/images/QeW4miM4pA2fwXegIA8a2E32e4Cel9e6GuFHZKTC.jpeg?asset_id=4798,The local grenery house ( Locally called Nesu Ude) No.3,2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",2,2,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,4,"[""Village Meeting ""]",10000,15000,5,"Rice, maize vegetables and fruits",201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4799,2019-05-11 18:17:02,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.5731,93.8309,Rejected,https://smartvillage.imagetrekk.com/storage/images/LSJZFvvxUNf12yXjCfQ9PDRxMpNJCXZkSEL4IKAT.jpeg?asset_id=4799,The local grenery house (Locally called Nesu Ude) No. (4),1,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",2,2,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,6,"[""Village Meeting ""]",10000,15000,5,"Rice, Maize vegetables and fruits",201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4800,2019-05-11 18:17:14,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57303,93.83086,Rejected,https://smartvillage.imagetrekk.com/storage/images/DTLJkU6NdhBY1V4FVgUgVKc7qQ0K9CGDYzd2MyTo.jpeg?asset_id=4800,The local grenery house (Locally called Nesu Ude) No. (5),2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",2,2,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides"",""Others""]",Private Godown/Warehouse,,11,"[""Village Meeting ""]",10000,15000,5,rice maize vegetables and fruits,201-300,"[""Farmers"",""Others""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4801,2019-05-11 18:17:27,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57337,93.83073,Rejected,https://smartvillage.imagetrekk.com/storage/images/P3OeBw0DpUNtVRmcfeVtBxm9WHRdgHzAorKUwCWa.jpeg?asset_id=4801,The local grenery house (Locally called Nesu Ude ) No. (6),3,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",2,2,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,22,"[""Village Meeting ""]",10000,15000,5,Rice maize vegetables and fruits,201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
