id	created at (UTC)	category	sub-category	user	type	status	district	circle	village	latitude	longitude	confirmation	Image link	remarks	How many times did you go there until it was open?	What is the type of the road available to the asset?	How much distance should one travel to avail public transport facility? (in K.M)	What is the type of the mobile network available at the asset?	What are different Mobile network service providers available at the location of this asset?	What are different Mobile network service providers available at the location of this asset?	What are different Mobile network service providers available at the location of this asset?	What are different Mobile network service providers available at the location of this asset?	What are different Mobile network service providers available at the location of this asset?	What are different Mobile network service providers available at the location of this asset?	What is the type of structure of this asset?	What is the type of security available for the asset?	What are the working hours of the facility?(Ex: 9.00A.M-5:00P.M)	What are the working days of the facility?	How many teachers are employed in the facility?	How many support staff are employed in the facility?	Where do you get drinking water from?	How much do you pay per litre of bottled water? (In Rupees)	Are there toilets available for public usage?	Are there toilets available separately as per gender?	Is there running water available in the toilets at this asset?	Is there soap for handwash available at this asset?	How do you deal with the waste generated from the facility?	What are the other mechanism used to discard the waste?	Are the premises cleaned with disinfectant regularly?	How frequently are the premises cleaned with disinfectant in a week?	Do you have grid connection for energy supply?	How many hours per day are you facing power cuts?	What is the alternative energy source available in the facility?	How many hours do you rely on the alternative energy source in a day?	How many hours do you rely on the alternative energy source in a day?	How many hours do you rely on the alternative energy source in a day?	How many hours do you rely on the alternative energy source in a day?	How many hours do you rely on the alternative energy source in a day?	How many hours do you rely on the alternative energy source in a day?	Do you have landline connectivity	What is the number with STD Code	Do you have wired internet connection?	How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS)	How do you maintain records for operations?	What are the other modes of record keeping?	What are the areas you get support from government agencies for the facility?	What are the areas you get support from government agencies for your students?	Where do you gets textbooks for the children?	What is the total campus area?	Where do you get the curriculum for classes and educational programs?	Are you using digital tools for teaching?	For what purpose are you using these?	Are there checkups or medical facilities available?	What is the frequency of these checkups?	Are there any meals served?	Is the nutritional value monitored?	Is there presence of any recreational/playing material for the kids?	What kind of residential facilities are available?	How many classrooms are there in the institute ?	How many people are enrolled or are students at this asset?	Apart from academics what are the co-curricular activities available for students ?	What is the percentage of drop-outs?	What is the reason for dropouts?	What is the reason for dropouts?	What is the reason for dropouts?	What is the reason for dropouts?	Are there any disaster management courses or drills practice at the institute?	To how many women is this institution providing services?	How many buses go to this asset?	Do the centers get timely supplies of the government goods?	What is the source of the supplies?	For what all materials the government is providing fund ?
2385	2019-03-13 04:51:26	Education	Anganwadi Building	dobum raju	Government	In Use	Papumpare	Doimukh	Lekha	27.16322	93.77228	Approved	https://smartvillage.imagetrekk.com/storage/images/Tq2i5prGtDn1KIe0JcxOwNJulNp5vXEKH8dbZnLH.jpeg?asset_id=2385	ok	2	Kacha Road	3	3G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	6:0 to 7:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Tap Water from Government		Yes	Yes	Yes	Yes	Discarded in Open Field Burnt within the premises		Yes	7	Yes	0	None							No		No		Traditional Book		"[""Financial Support "",""Technical Support""]"	"[""Financial Support "",""Technical Support ""]"	Government Agency	150	Government Agency	No		No		Yes	Yes	Yes	None	1	43	"[""Sports"","" Dance "",""Art ""]"	20-40%	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	No	0-5	0	Yes	"[""Government ""]"	"[""Food"",""Books ""]"
2386	2019-03-13 05:27:31	Education	Anganwadi Building	dobum raju	Government	In Use	Papumpare	Doimukh	Lekha	27.1142	93.73624	Approved	https://smartvillage.imagetrekk.com/storage/images/VyKmlvcX8qfygfA01AwjEBZ8pxBPPu2X8QJDUczY.jpeg?asset_id=2386	Good	2	Kacha Road	4	3G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	7:0 to 9:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Tap Water from Government		Yes	No	Yes	Yes	Discarded in Open Field Burnt within the premises		Yes	7	Yes	24	None							No		No		Traditional Book		"[""Financial Support "",""Technical Support""]"	"[""Financial Support "",""Technical Support ""]"	Government Agency	150	Government Agency	No		No		Yes	Yes	Yes	None	1	19	"[""Sports"","" Dance "",""Art ""]"	0-10%	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	No	0-5	0	Yes	"[""Government ""]"	"[""Food""]"
2489	2019-03-16 09:55:23	Education	Anganwadi Building	ngurang tagum	Government	In Use	Papumpare	Parang	Parang	27.3305	93.50597	Approved	https://smartvillage.imagetrekk.com/storage/images/tOj5QZjYNcQBbcBpOzRcvkdiDk1J6p1aJNXcMAft.jpeg?asset_id=2489	ok	1	Pakka Road	1	None							Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	8:0 to 12:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Tap Water from Government		Yes	No	No	No	Discarded in Govt. designated sites		No		Yes	3	None							No		No		Traditional Book		"[""Others ""]"	"[""Others ""]"	Government Agency	20	Government Agency	No		Yes	Not fixed	Yes	Yes	Yes	Off-site Residential Areas	2	22	"[""Sports""]"	0-10%	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	No	0-5	1	Yes	"[""Government ""]"	"[""Food""]"
2521	2019-03-18 05:15:49	Education	Anganwadi Building	chow arvind jeinow	Government	In Use	Namsai	Namsai	Kaisu L/C	27.4133	96.24263	Approved	https://smartvillage.imagetrekk.com/storage/images/ihTX556k9GmsfRFyKu5seVQV4SZOV0JF8N34RZCL.jpeg?asset_id=2521	Anganwadi Centre Kaisu	2	Pakka Road	0.2	3G Unreliable	"[""Jio"",""BSNL"",""Airtel""]"	"[""Jio"",""BSNL"",""Airtel""]"	"[""Jio"",""BSNL"",""Airtel""]"	"[""Jio"",""BSNL"",""Airtel""]"	"[""Jio"",""BSNL"",""Airtel""]"	"[""Jio"",""BSNL"",""Airtel""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	9:0 to 12:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Others		No				None		No		No		None							No		No		Traditional Book		"[""Others ""]"	"[""Others ""]"	None	150	Self-created Others	No		Yes	Not fixed	Yes	Yes	Yes	None	1	10	"[""Sports""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	6-10	0	No		"[""Food""]"
2524	2019-03-18 05:29:41	Education	Anganwadi Building	chow arvind jeinow	Government	In Use	Namsai	Namsai	Kaisu L/C	27.4133	96.24263	Rejected	https://smartvillage.imagetrekk.com/storage/images/p9PoPbsExDzwNUhv228ssJHPovkx2iypjuShKSSJ.jpeg?asset_id=2524	Anganwadi Centre Kaisu	2	Pakka Road	0.2	3G Unreliable	"[""Jio"",""BSNL"",""Airtel""]"	"[""Jio"",""BSNL"",""Airtel""]"	"[""Jio"",""BSNL"",""Airtel""]"	"[""Jio"",""BSNL"",""Airtel""]"	"[""Jio"",""BSNL"",""Airtel""]"	"[""Jio"",""BSNL"",""Airtel""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	9:0 to 12:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Others		No				None		No		No		None							No		No		Traditional Book		"[""Others ""]"	"[""Others ""]"	None	150	Self-created Others	No		Yes	Not fixed	Yes	Yes	Yes	None	1	10	"[""Sports""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	6-10	0	No		"[""Food""]"
2527	2019-03-18 07:04:08	Education	Anganwadi Building	chow arvind jeinow	Government	In Use	Namsai	Namsai	Kaisu L/C	27.4133	96.24263	Rejected	https://smartvillage.imagetrekk.com/storage/images/2AOgIWPxuPylN87VMKj1bgZyuJfwDcRCJbSqNECg.jpeg?asset_id=2527	Anganwadi Centre Kaisu	2	Pakka Road	0.2	3G Unreliable	"[""Jio"",""BSNL"",""Airtel""]"	"[""Jio"",""BSNL"",""Airtel""]"	"[""Jio"",""BSNL"",""Airtel""]"	"[""Jio"",""BSNL"",""Airtel""]"	"[""Jio"",""BSNL"",""Airtel""]"	"[""Jio"",""BSNL"",""Airtel""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	9:0 to 12:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Others		No				None		No		No		None							No		No		Traditional Book		"[""Others ""]"	"[""Others ""]"	None	150	Self-created Others	No		Yes	Not fixed	Yes	Yes	Yes	None	1	10	"[""Sports""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	6-10	0	No		"[""Food""]"
2589	2019-03-21 08:21:56	Education	Anganwadi Building	tajum dagium	Government	In Use	Tawang	Kitpi	Kitpi	27.5689	91.89838	Approved	https://smartvillage.imagetrekk.com/storage/images/7gv2T7ouFUCie4Tx74NdUqJMIknjqC9EvRdtcqGk.jpeg?asset_id=2589	Anganwadi Centre	10	Kacha Road	1	2G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	9:0 to 2:0	"[""Monday "",""Wednesday "",""Tuesday "",""Thursday "",""Friday "",""Saturday ""]"	0	2	Tap Water from Government		Yes	No	Yes	Yes	Discarded in Govt. designated sites		Yes	5	Yes	2	Solar Unit	2	2	2	2	2	2	No		No		Traditional Book		"[""Financial Support "",""Technical Support"",""Transport Support""]"	"[""Financial Support "",""Technical Support "",""Transportation Support ""]"	Government Agency	1500	Government Agency	No		Yes	Atleast once in three month	Yes	Yes	No	None	1	15	"[""Others "","" Dance ""]"	0-10%	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	No	0-5	0	Yes	"[""Government ""]"	"[""Food""]"
2593	2019-03-21 08:37:37	Education	Anganwadi Building	tajum dagium	Government	In Use	Tawang	Kitpi	Kitpi	27.5689	91.89838	Rejected	https://smartvillage.imagetrekk.com/storage/images/Gf981TIqXoL3eON69N7VgUSzjDWI5WqO5Wal01TF.jpeg?asset_id=2593	Anganwadi Centre	10	Kacha Road	1	2G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	9:0 to 2:0	"[""Monday "",""Wednesday "",""Tuesday "",""Thursday "",""Friday "",""Saturday ""]"	0	2	Tap Water from Government		Yes	No	Yes	Yes	Discarded in Govt. designated sites		Yes	5	Yes	2	Solar Unit	2	2	2	2	2	2	No		No		Traditional Book		"[""Financial Support "",""Technical Support"",""Transport Support""]"	"[""Financial Support "",""Technical Support "",""Transportation Support ""]"	Government Agency	1500	Government Agency	No		Yes	Atleast once in three month	Yes	Yes	No	None	1	15	"[""Others "","" Dance ""]"	0-10%	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	No	0-5	0	Yes	"[""Government ""]"	"[""Food""]"
2595	2019-03-21 10:01:02	Education	Anganwadi Building	tajum dagium	Government	In Use	Tawang	Kitpi	Kitpi	27.5689	91.89838	Rejected	https://smartvillage.imagetrekk.com/storage/images/yxGFwWhPwmlLwjIYs7B8XhpXT2wbl1ii9z9ECH3D.jpeg?asset_id=2595	Anganwadi Centre	10	Kacha Road	1	2G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	9:0 to 2:0	"[""Monday "",""Wednesday "",""Tuesday "",""Thursday "",""Friday "",""Saturday ""]"	0	2	Tap Water from Government		Yes	No	Yes	Yes	Discarded in Govt. designated sites		Yes	5	Yes	2	Solar Unit	2	2	2	2	2	2	No		No		Traditional Book		"[""Financial Support "",""Technical Support"",""Transport Support""]"	"[""Financial Support "",""Technical Support "",""Transportation Support ""]"	Government Agency	1500	Government Agency	No		Yes	Atleast once in three month	Yes	Yes	No	None	1	15	"[""Others "","" Dance ""]"	0-10%	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	No	0-5	0	Yes	"[""Government ""]"	"[""Food""]"
2611	2019-03-24 11:01:19	Education	Anganwadi Building	joram temin	Government	In Use	Lower Subansiri	Yachuli	Toon	27.46362	93.77408	Approved	https://smartvillage.imagetrekk.com/storage/images/faE57frHqsoV0sB5iUgVfYvXOHh6zGuW9Ijy50Ju.jpeg?asset_id=2611	anganwadi	1	Kacha Road with Block Point	1	3G Reliable	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	9:0 to 12:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday ""]"	1	1	Others		No				Discarded in Open Field Burnt within the premises		Yes	3	No		None							No		No		Traditional Book		"[""Financial Support ""]"	"[""Financial Support ""]"	Government Agency	100	Government Agency	No		Yes	Not fixed	Yes	Yes	Yes	None	1	20	"[""Sports"","" Dance ""]"	0-10%	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	No	0-5	0	No		"[""Food"",""Books ""]"
