id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel from the asset to avail public transport facility? (in K.M),What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What is the type of structure of the asset?,What is the type of security available for the asset?,What are the working hours of the asset?(Ex: 9.00A.M-5.A.M),What are the working days of that asset?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where do you get drinking water from for using at the asset?,How much do you pay per litre of bottled water? (In Rupees),Where do you get water for operational purposes for the asset?,What are the other source of water you depend upon?,Are there toilets available for public and employees usage at the asset?,Are there toilets available seperately as per gender at the asset?,Is there running water available in the toilets at the asset?,Is there soap for handwash available at the asset?,How do you deal with the waste generated from that asset?,What are the other mechanism used to discard the waste from the asset?,Are the premises of the asset cleaned with disinfectant regularly?,How frequently are the premises at the asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the asset?,How many hours per day are you facing power cuts at the asset?,What is the alternative energy source available for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,Is there landline connectivity for that asset?,What is the number with STD Code,Does the asset have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for operations for the asset?,What are the other record mechanism used in the market?,What are the areas the asset gets support from government agencies (not for customers)?,Do you get any support from NGO(s) for the asset?,From what Organization(s) did you get support?,Where do you procure inputs required for that asset?,What are other sources are used to get needed inputs?,How does the asset advertise about the services available?,Are you using any digital tools like for your operations for the asset?,For what purpose are you using digital tools here at the asset?,What is the breed of cattle reared in the animal rearing farm?,What is the number of cattle reared in the animal rearing farm?,What is the type of structure of the farm?,What other type of structure?,What is the size of the farm?,Where are the calfs/ cattle procured from?,What are different equipments available in the farm?,Where do you procure feed & other inputs required?,What is the purpose of rearing Animal?,No. of people employed through the Animal farm?,Where do you procure medicines/ vaccines for the Animal?,When was the last time the animals were vaccinated?,How frequently does the Vety doctor/Animal husbandry department visits the farm?,What is the Most common disease for the Animals?,Are the Animals artificially inseminated?,Where do you market the milk/ meat produced from the farm?,On an average what is the selling price of cattle?,Do the Vety doctors comes to the farm to check the diseases?,Is there any epidemic which have affected the farm in past?,How many animals were affected?,Name the Epidemic
2630,2019-03-26 09:36:44,Animal Husbandry,Animal Rearing Farm,tajum dagium,Private,In Use,Tawang,Kitpi,Kitpi,27.57127,91.89681,Pending,https://smartvillage.imagetrekk.com/storage/images/mJSROKoJqi8AeVEDbHId8Q33LcdghmNtdwkpZnFT.jpeg?asset_id=2630,private cow rearing farm,10,Footway,1.5,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None"",""Others""]",5:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,2,Tap Water from Government,,Water from Government,,No,,,,Others,used in farmland as manure,No,,No,,None,,,,,,,No,,No,,Others,no documention,"[""None""]",No,,Local Supplier,,"[""Others""]",No,,"[""Other""]",7,Temporary Shed,,800,"[""From fellow farmers""]","[""Others""]","[""From fellow farmers"",""Others""]","[""Milk"",""Others""]",2,"[""Local Market"",""Fellow Farmers""]",More than two years back,Not fixed,foot and mouth disease,No,"[""Personal Consumption"",""Others""]",60000,No,No,,
2632,2019-03-26 09:37:15,Animal Husbandry,Animal Rearing Farm,nemcha nyoungja,Private,In Use,Changlang,Changlang,Old Changlang,27.14495,95.73793,Approved,https://smartvillage.imagetrekk.com/storage/images/kYZMN2POO24es0Zun6H3m6rowzUTD0gJsC1y7McO.jpeg?asset_id=2632,Piggery,1,Footway,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",6:0 to 18:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,1,Tap Water from Government,,Water from Government,,Yes,No,Yes,No,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Others,nil,"[""None""]",No,,Local Supplier,,"[""Others""]",No,,"[""Pigs""]",2,Temporary Shed,,2,"[""Local Market""]","[""Others""]","[""Local Market""]","[""Meat""]",0,"[""Local Market""]",18-24 months back,Not fixed,nil,No,"[""Local Market"",""Personal Consumption""]",25000,No,No,,
2641,2019-03-26 10:10:35,Animal Husbandry,Animal Rearing Farm,nemcha nyoungja,Private,In Use,Changlang,Changlang,Old Changlang,27.14325,95.73707,Approved,https://smartvillage.imagetrekk.com/storage/images/wOiS46j6xIwx7IytnTg5WdlBZeY07xziW0jYbLiu.jpeg?asset_id=2641,piggery,1,Footway,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",6:0 to 18:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",1,0,Tap Water from Government,,Water from Government,,Yes,No,No,Yes,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Others,nil,"[""None""]",No,,None,,"[""Others""]",No,,"[""Pigs""]",2,Temporary Shed,,2,"[""Local Market""]","[""Others""]","[""Local Market""]","[""Meat""]",1,"[""Local Market""]",18-24 months back,Not fixed,nil,No,"[""Local Market""]",25000,No,No,,
2644,2019-03-26 10:33:54,Animal Husbandry,Animal Rearing Farm,nemcha nyoungja,Private,In Use,Changlang,Changlang,Old Changlang,27.14296,95.73671,Approved,https://smartvillage.imagetrekk.com/storage/images/Sb5njsKLm7S5poh5a3ubwOMlbh7aO2ADG3arbdRB.jpeg?asset_id=2644,piggery,1,Footway,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",6:0 to 18:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Saturday"",""Sunday"",""Friday""]",1,0,Tap Water from Government,,Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,Yes,7,No,,None,,,,,,,No,,No,,Others,nil,"[""None""]",No,,Local Supplier,,"[""Others""]",No,,"[""Pigs""]",2,Temporary Shed,,2,"[""Local Market""]","[""Others""]","[""Local Market""]","[""Meat""]",1,"[""Local Market""]",18-24 months back,Not fixed,nil,No,"[""Local Market""]",25000,No,No,,
4828,2019-05-11 18:25:59,Animal Husbandry,Animal Rearing Farm,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57308,93.82999,Approved,https://smartvillage.imagetrekk.com/storage/images/2Ot1GUL4UOLVY9coI4whZPM1DGawqUM2fkVdYvAf.jpeg?asset_id=4828,self local individual Pig farm no. (7),2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Village Meeting ""]",No,,"[""Pigs""]",2,Temporary Shed,,2,"[""Local Market"",""Others""]","[""Feed Preperation Equipment""]","[""Local Market"",""Others""]","[""Meat"",""Others""]",1,"[""Local Market""]",More than two years back,Not fixed,swime,No,"[""Milk Processing Unit"",""Local Market"",""Personal Consumption""]",250,No,No,,
4829,2019-05-11 18:26:17,Animal Husbandry,Animal Rearing Farm,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57331,93.82994,Approved,https://smartvillage.imagetrekk.com/storage/images/QdOjvpZlqoD0J5tnzaaFr0aSeuJe5dhoyStVQcYS.jpeg?asset_id=4829,The local self and Individual pig farm no. (6) owned by Tage Kime Maya,5,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Village Meeting ""]",No,,"[""Pigs""]",1,Temporary Shed,,1,"[""Local Market"",""Others""]","[""Feed Preperation Equipment"",""Water Feeding Equipment""]","[""Local Market"",""Others""]","[""Meat"",""Others""]",1,"[""Local Market""]",More than two years back,Not fixed,swime,No,"[""Local Market"",""Personal Consumption"",""Others""]",250,No,No,,
4830,2019-05-11 18:26:33,Animal Husbandry,Animal Rearing Farm,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57336,93.83026,Approved,https://smartvillage.imagetrekk.com/storage/images/iHhQyPGDPoU2Ha8h2v94fNLRww32DuMFoG543Yrd.jpeg?asset_id=4830,Local self and Individual pig farm no. (5),2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Saturday"",""Sunday"",""Friday""]",1,1,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Village Meeting ""]",No,,"[""Pigs""]",1,Temporary Shed,,2,"[""Local Market""]","[""Feed Preperation Equipment""]","[""Local Market""]","[""Meat"",""Others""]",1,"[""Local Market""]",More than two years back,Not fixed,swime,No,"[""Local Market"",""Personal Consumption"",""Others""]",250,No,No,,
4831,2019-05-11 18:26:47,Animal Husbandry,Animal Rearing Farm,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57353,93.82996,Approved,https://smartvillage.imagetrekk.com/storage/images/NjkbhPiiZ8DXmLX7dN5bpbNx41lgn9888sC7vZXl.jpeg?asset_id=4831,The local self and Individual pig farm no. (4) owned by Tage Tachang,3,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",1,1,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Village Meeting ""]",No,,"[""Pigs""]",1,Temporary Shed,,2,"[""Local Market"",""Others""]","[""Feed Preperation Equipment""]","[""Local Market"",""Others""]","[""Meat"",""Others""]",1,"[""Local Market""]",More than two years back,Not fixed,swime,No,"[""Local Market"",""Personal Consumption"",""Others""]",250,No,No,,
4832,2019-05-11 18:27:00,Animal Husbandry,Animal Rearing Farm,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57365,93.83032,Approved,https://smartvillage.imagetrekk.com/storage/images/7y5nG2wZaNhH7o4dUvpcvTc3sGduYl3f86GbyVyp.jpeg?asset_id=4832,local self and Individual pig farm (3),2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",1,1,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Village Meeting ""]",No,,"[""Pigs""]",1,Temporary Shed,,2,"[""Local Market"",""Others""]","[""Feed Preperation Equipment""]","[""Local Market"",""Others""]","[""Meat"",""Others""]",1,"[""Local Market"",""Others""]",More than two years back,Not fixed,swime,No,"[""Local Market"",""Personal Consumption""]",250,No,No,,
4835,2019-05-11 18:27:53,Animal Husbandry,Animal Rearing Farm,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57435,93.83015,Approved,https://smartvillage.imagetrekk.com/storage/images/qGF7MC4ItEgBn31Q5E959hprDuN2jrPnUJNBrL4T.jpeg?asset_id=4835,Local self and Individual pig farm of Apatani tribe no. (2),2,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",1,1,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Village Meeting ""]",No,,"[""Pigs""]",2,Temporary Shed,,3,"[""Local Market""]","[""Feed Preperation Equipment""]","[""Local Market"",""From fellow farmers"",""Others""]","[""Meat"",""Others""]",1,"[""Local Market""]",More than two years back,Not fixed,swime,No,"[""Local Market"",""Personal Consumption""]",250,No,No,,
