id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the unit until it was open?,What is the type of the road available to the market?,How much distance should one travel from the market to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the market?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What is the type of structure of the market?,What is the type of security available for the market?,What are the working hours of the market?(Ex: 9.00A.M-5.A.M),What are the working days of the market?,How many people are employed in the market?,Where do you get drinking water from for using at the market?,How much do you pay per litre of bottled water?,Where do you get water for operational purposes for the market?,What are the other source of water you depend upon?,Are there toilets available for public and employees' usage at the market?,Are there toilets available seperately as per gender at the unit?,Is there running water available in the toilets at the unit?,Is there soap for handwash available at the unit?,How do you deal with the waste generated from the market?,What are the other mechanism used to discard the waste from the unit?,Are the premises of market cleaned with disinfectant regularly?,How frequently are the premises at the market cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the market?,How many hours per day are you facing power cuts in the unit?,What is the alternative energy source available for the market?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the market?,What is the number with STD Code of the unit?,Does the market have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do people maintain records for operations of the market?,What are the other record mechanism used in the market?,What are the areas the market gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the market?,What is the name of the organization?,Are you using digital technologies that can be used in the market?,For what purpose are you using digital tools here at the unit?,Where do you procure inputs required for the market?,What are other sources are used to get needed inputs?,Where do you store the produce sold in the shops?,What are the other storage mechanism used in the market?,How many cubic meters are available for storage?,Do you have a cold storage facility?,What is the capacity in cubic meters?,How often did you need to throw away agricultural produce last week?,How do you document wastage of food?,How does the market advertise about the services available?,What is the average operational cost per month to run the stall?(Excluding Salary of the Employees),What is the average income per month from each stall?,What kind of permission is required to setup a stall in the market?,What is the other mechanism of getting permission to setup a stall in the market?,What is the amount to be paid to setup a stall in the market?(In Rupees),What is the payment mechanism used in the market?,What are the other payment mechanism used in the market?,What is the weighing mechanism used in the market?,How many types of products are available in the market?,What are the 5 major type of products purchased by the customers from the market?,What is the average cost of the top 5 most purchased goods in market?(In Rupees),How does sellers determine the selling price of the products?,Which type of customers purchase the inputs from the market?,How many customers purchase the inputs from the market in a year?,How do the customers transport goods from the market?
2491,2019-03-16 09:55:47,Agriculture,Community Local Market,ngurang tagum,Private,In Use,Papumpare,Parang,Parang,27.33142,93.50579,Approved,https://smartvillage.imagetrekk.com/storage/images/5scUGfoJpM5FzfEjOD9aMY5Hq7igoW1tSrXA81ph.jpeg?asset_id=2491,ok,1,Pakka Road with Block Point,0.5,Nil,,,,,,,"Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",9:0 to 6:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",6,Others,,Others,bottle water,No,,,,Discarded in Govt. designated sites,,No,,Yes,4,None,,,,,,,No,,No,,Others,traditional,"[""None""]",No,,No,,Local Supplier,,Home,,6,No,,2,None,"[""Village Meeting ""]",500,400,Permission from Village Head/ Community,,10,Others,nil,None,5,cardamom,700,kg,"[""Others""]",4,"[""Mini Luggage Transport Vehicle""]"
2617,2019-03-25 06:49:09,Agriculture,Community Local Market,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.36725,92.24531,Approved,https://smartvillage.imagetrekk.com/storage/images/cOkVvXIczKOPSD21zazMWYFdNAjsPLOMDxq1GTOJ.jpeg?asset_id=2617,"Local market,Drg",1,Pakka Road,5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",8:0 to 7:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",12,Tap Water from Government,,Water from Government,,Yes,Yes,Yes,No,Discarded in Govt. designated sites,,No,,Yes,1,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,Within the shop,,2,No,,5,None,"[""Others""]",300,3000,Permission from Govt. Agency,,5000,Cash,,Mechanical weighing scale,20,vegetables,40,hindi,"[""Govt. Agencies"",""Others""]",8000,"[""2 Wheeler""]"
2619,2019-03-25 07:16:05,Agriculture,Community Local Market,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.35934,92.24432,Approved,https://smartvillage.imagetrekk.com/storage/images/Ml5xQBpyUrc0tDohGFwIrcaAkuT0ZWJlInwkXMhT.jpeg?asset_id=2619,local market Drg,1,Pakka Road,5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",8:0 to 7:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",12,Tap Water from Government,,Water from Government,,Yes,No,Yes,Yes,Discarded in Govt. designated sites,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,Within the shop,,4,No,,2,None,"[""Others""]",300,5000,Permission from Govt. Agency,,5000,Cash,,Mechanical weighing scale,20,vegetables,20,hindi,"[""Govt. Agencies""]",4000,"[""2 Wheeler""]"
3075,2019-04-29 07:39:26,Agriculture,Community Local Market,nabam banio,Community,In Use,Papumpare,Itanagar,Jollang,27.0919,93.61913,Rejected,https://smartvillage.imagetrekk.com/storage/images/SvSNg0fmuVqsmXjp5C26CciH5DHwC4cbmgE8PbJz.jpeg?asset_id=3075,gpo,1,Pakka Road,1,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio""]","[""Vodafone"",""BSNL"",""Jio""]","[""Vodafone"",""BSNL"",""Jio""]","[""Vodafone"",""BSNL"",""Jio""]","[""Vodafone"",""BSNL"",""Jio""]","[""Vodafone"",""BSNL"",""Jio""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",17:22 to 17:0,"[""Monday"",""Wednesday"",""Friday"",""Saturday""]",45,Spring Water,,Water from Government,,No,,,,Discarded in Water Bodies,,Yes,3,Yes,0,Kerosene Generator,2,2,2,2,2,2,No,,No,,Others,hhjj,"[""Insurance Support"",""Others""]",Yes,hshsjs,Yes,"[""Education""]",Local Supplier,,Private Godown/Warehouse,,56,No,,5,Digital tools on computer,"[""Announcements \/ Broadcast""]",45,963,Permission from Village Head/ Community,,646464,POS Machine,,None,12,chuno,20,Guggenheim's​,"[""Others""]",459,"[""Tempo\/Auto""]"
3338,2019-05-05 08:16:39,Agriculture,Community Local Market,nabam tadap,Private,Repairable,Papumpare,Doimukh,Soppo,27.21396,93.79716,Approved,https://smartvillage.imagetrekk.com/storage/images/8zIdmg3tp8b3rzneDxAiBOzzpivKjDrexp9mLat7.jpeg?asset_id=3338,Need improvement of infrastructure,3,Pakka Road,1,2G Unreliable,"[""Airtel"",""Vodafone""]","[""Airtel"",""Vodafone""]","[""Airtel"",""Vodafone""]","[""Airtel"",""Vodafone""]","[""Airtel"",""Vodafone""]","[""Airtel"",""Vodafone""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 17:0,"[""Monday""]",15,Tap Water from Government,,Water from Government,,No,,,,None,,No,,Yes,1,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Home,,300,No,,1,None,"[""Posters\/ Display Boards""]",800,10000,Others,Get permission from Land owner,5000,Cash,,Mechanical weighing scale,70,"Vegetables, Utensils items, cloths, fruits and beverages",750,Process products are determine according to MRP and local items are pre-detetermine by community.,"[""Farmers"",""NGO"",""Govt. Agencies""]",4800,"[""Tempo\/Auto"",""Sumo\/Tracker"",""Mini Luggage Transport Vehicle""]"
5308,2019-05-14 05:40:36,Agriculture,Community Local Market,dobum raju,Private,In Use,Papumpare,Doimukh,Doimukh,27.14395,93.75376,Approved,https://smartvillage.imagetrekk.com/storage/images/HDtf6OOiE3tmo25igN255Jh2c47ISWpGTX4MWp7J.jpeg?asset_id=5308,good,10,Pakka Road,5,4G+ Reliable,"[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",7:0 to 8:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",100,Ground Water,,Ground Water,,No,,,,Discarded in Govt. designated sites,,Yes,7,Yes,1,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Marketing Support"",""Financial Support""]",No,,No,,Local Supplier,,Private Godown/Warehouse,,200,No,,50,None,"[""Marketing team\/ Sales Agents""]",10000,100,Permission from the Market Union,,5000,Cash,,Mechanical weighing scale,50,local vegitable,50,as per the wholesale price,"[""Farmers"",""Research Organizations"",""Govt. Agencies"",""Others""]",11000,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Mini Luggage Transport Vehicle"",""Huge Luggage Transport Vehicle"",""Others""]"
5549,2019-05-16 04:26:39,Agriculture,Community Local Market,tage tajung,Community,Not in Use,Lower Subansiri,Ziro,Modang Tage,27.57601,93.83239,Approved,https://smartvillage.imagetrekk.com/storage/images/7y9NyEJiN8vj7Cr8Z1oCBxerZjgGRY3a4lGW2puS.jpeg?asset_id=5549,The community market at Tadu Pengu,2,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",8:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""]",0,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,22,No,,2,None,"[""Village Meeting ""]",1,1,Permission from Village Head/ Community,,100,Cash,,None,5,vegetables,20,market is not in use,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker""]"
7190,2019-06-07 09:15:18,Agriculture,Community Local Market,tilling saha,Community,In Use,Lower Subansiri,Ziro,Bamin,27.54559,93.82551,Approved,https://smartvillage.imagetrekk.com/storage/images/YRfkgzPCF3XSjMrEet5p1XWDGbZO0sXI2hfGI2ZK.jpeg?asset_id=7190,sunday community market,1,Pakka Road,1.5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 6:0,"[""Sunday""]",50,Others,,Others,bottel water,No,,,,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Home,,100,No,,1,None,"[""Posters\/ Display Boards""]",500,1000,Permission from Village Head/ Community,,100,Cash,,Mechanical weighing scale,100,groceries,100,self priced,"[""Farmers"",""Research Organizations"",""Govt. Agencies"",""NGO""]",1000,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker""]"
713,2019-02-08 11:25:03,Agriculture,Community Local Market,phassang kamak,Private,In Use,Papumpare,Banderdewa,Karsingsa Complex,27.12181,93.78276,Approved,https://smartvillage.imagetrekk.com/storage/images/6DsWCvrJ3yM5coKoTNuzwY79mRucPRLhzC9qvVt8.jpeg?asset_id=713,-,1,Pakka Road,0,4G+ Reliable,"[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",5.00 am to 8.00 pm,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",14,Bottled Water,20,Ground Water,,No,,,,Burnt within the premises,,Yes,3,Yes,2,None,,,,,,,No,,No,,Others,ownership,"[""None""]",No,,No,,Local Supplier,,Within the shop,,2,No,,1,None,"[""Posters\/ Display Boards""]",600,15000,None,,10000,Cash,,Mechanical weighing scale,8,"Tomato,potato,chilly,Green veg,Meat",240,Green vegetables and Meats,"[""Farmers""]",6000,"[""Head Load"",""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker""]"
715,2019-02-08 11:27:13,Agriculture,Community Local Market,phassang kamak,Private,In Use,Papumpare,Banderdewa,Karsingsa Complex,27.12181,93.78276,Rejected,https://smartvillage.imagetrekk.com/storage/images/7bvYKk6PGoDC6mcq3mlltU9GBSQOHvwLUwKyhabT.jpeg?asset_id=715,-,1,Pakka Road,0,4G+ Reliable,"[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",5.00 am to 8.00 pm,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",14,Bottled Water,20,Ground Water,,No,,,,Burnt within the premises,,Yes,3,Yes,2,None,,,,,,,No,,No,,Others,ownership,"[""None""]",No,,No,,Local Supplier,,Within the shop,,2,No,,1,None,"[""Posters\/ Display Boards""]",600,15000,None,,10000,Cash,,Mechanical weighing scale,8,"Tomato,potato,chilly,Green veg,Meat",240,Green vegetables and Meats,"[""Farmers""]",6000,"[""Head Load"",""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker""]"
