id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel from this asset to avail public transport facility?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the working days of that asset?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where do you get drinking water from for using at this asset?,How much do you pay per litre of bottled water?,Where do you get water for operational purposes for this asset?,What are the other source of water you depend upon?,Are there toilets available for public and employees usage at this asset?,Are there toilets available separately as per gender at this asset?,Is there running water available in the toilets at this asset?,Is there soap for hand-wash available at this asset?,How do you deal with the waste generated from that asset?,What are the other mechanism used to discard the waste from this asset?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this asset?,How many hours per day are you facing power cuts at this asset?,What is the alternative energy source available for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,Is there landline connectivity for that asset?,What is the number with STD Code?,Does this asset have wired internet connection?,How much speed can you get through the broadband?,How do you maintain records for operations for this asset?,What are the areas the asset gets support from government agencies (not for customers)?,Do you get any support from NGO(s) for this asset?,From what Organization(s) did you get support?,Where do you procure inputs required for that asset?,What are other sources are used to get needed inputs?,How does this asset advertise about the services available?,Are you using digital tools for your operations for this asset?,For what purpose are you using digital tools here at this asset?,Select the category applicable,Please specify,In which year was the site established?,What is the entry fee charge?,Who among the following are available at the site?,What is the footfall in a week?,How do you document the visitors coming to your site?,On which months do you receive the maximum number of customers?,Which of the following does the compound have?,What are the provisions available for the differently-abled?,Can entry tickets be booked online?,How is the place advertised to prospective visitors?,Are you asking your visitors how they got to know about you?,Which of the following means of advertisement bring you the maximum customers?,Is the site listed in the tourism department’s website?,What are the celebration/ fests/ exhibitions/ other events that take place in the site?,How often is technical maintenance work done in the spot?,Describe the involvement of the local community in the running and management of the structure?,Are entities working for the conservation of the site?,What is the name of the entity?,What makes this site special and unique compared to similar sites?
2508,2019-03-17 07:51:11,Tourism,Cultural Heritage/ Historical Site,tajum dagium,Community,In Use,Tawang,Kitpi,Kitpi,27.5784,91.89769,Approved,https://smartvillage.imagetrekk.com/storage/images/ohGEesSpewc26iPEdmsmpsg7lfJCVEhTHi9Bs39B.jpeg?asset_id=2508,Passang Gorpu( local Name),10,Kacha Road,0.4,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc)","[""None""]",7:0 to 17:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,"[""None of the above""]",No,,Local Supplier,,"[""Others""]",No,,Cultural sites,,1200,0,"[""None of the above""]",2,No documentation,"[""January"",""February"",""December"",""November"",""October"",""September"",""May""]","[""Display of information about the structure""]","[""None of the above""]",No,"[""Others""]",Yes,Others,No,ritual practice once in a year,Others,High involvement,Yes,villagers,according to beliefs this asset will develop human after the existing people vanish
2683,2019-03-30 05:00:29,Tourism,Cultural Heritage/ Historical Site,tashi drema,Religion,In Use,Tawang,Mukto,Mukto,27.54855,91.90539,Approved,https://smartvillage.imagetrekk.com/storage/images/ENnw7ja5B63F0AlATSxGA6kijWvqC5S2cBsVRrYJ.jpeg?asset_id=2683,...,1,Footway,1.5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc)","[""None""]",6:0 to 17:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Ground Water,,Ground Water,,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,"[""None of the above""]",No,,Local Supplier,,"[""Others""]",No,,Memorials,,0,0,"[""Tour guides""]",30,No documentation,"[""February"",""March""]","[""None of the above""]","[""None of the above""]",No,"[""Others""]",No,Display boards around the site,No,nothing,Monthly,High involvement,No,,Holy Place
2823,2019-04-23 05:39:10,Tourism,Cultural Heritage/ Historical Site,kejang pema,Community,In Use,West Kameng,Dirang,Dirang,29.38274,94.18629,Rejected,https://smartvillage.imagetrekk.com/storage/images/AXUuCc4cU8MO2AollMrc8IAGqv0l80Idgr601Rsf.jpeg?asset_id=2823,Dirang Dzong,1,Footway,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc)","[""None""]",5:0 to 17:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,1,Tap Water from Government,,Water from Government,,No,,,,Discarded in Govt. designated sites,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,"[""None of the above""]",No,,Local Supplier,,"[""Posters\/ Display Boards""]",No,,Heritage centers,,800,0,"[""None of the above""]",0,No documentation,"[""June"",""July""]","[""Display of information about the structure""]","[""None of the above""]",No,"[""Display boards around the site ""]",No,Display boards around the site,No,nothing,Yearly,Medium involvement,No,,structure is very large
2838,2019-04-23 06:40:03,Tourism,Cultural Heritage/ Historical Site,kejang pema,Community,In Use,West Kameng,Dirang,Dirang,27.34224,92.27415,Approved,https://smartvillage.imagetrekk.com/storage/images/nkMyXvHqbcJfu4mgrgrwWAKAvQxvijOto78x9LvY.jpeg?asset_id=2838,gate of Dirang Dzong,1,Footway,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc)","[""None""]",5:0 to 17:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Tap Water from Government,,Water from Government,,No,,,,Discarded in Govt. designated sites,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,"[""None of the above""]",No,,Local Supplier,,"[""Posters\/ Display Boards""]",No,,Heritage centers,,700,0,"[""None of the above""]",0,No documentation,"[""June"",""July""]","[""Display of information about the structure""]","[""None of the above""]",No,"[""Display boards around the site ""]",No,Display boards around the site,No,nothing,Irregular,Medium involvement,No,,gate of Dirang Dzong
3256,2019-05-04 01:24:18,Tourism,Cultural Heritage/ Historical Site,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.58389,93.84477,Approved,https://smartvillage.imagetrekk.com/storage/images/Npeyd99zmYzj7OkUnrp0ZFvA4yp4nH3uurxLXPXf.jpeg?asset_id=3256,Nending Lapang,1,Pakka Road,0,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc)","[""None""]",0:0 to 0:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Others,,Others,bring water from house,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Others,"[""None of the above""]",No,,Others,log from jungle,"[""Others""]",No,,Cultural sites,,1885,0,"[""Tour guides"",""Photographers on site ""]",0,No documentation,"[""January"",""March""]","[""None of the above""]","[""None of the above""]",No,"[""None of the above""]",No,Others,No,"Murung,myoko",Yearly,Very High Involvement,No,,uru platform
3829,2019-05-08 05:29:38,Tourism,Cultural Heritage/ Historical Site,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.5837,93.84416,Approved,https://smartvillage.imagetrekk.com/storage/images/mh3YY1m1Wk3o4NP1BgKnCePUycko8XLCvnWgxkrs.jpeg?asset_id=3829,dokang lapang,1,Pakka Road,3,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc)","[""None""]",0:0 to 0:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Others,,Others,bottle water,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Others,"[""None of the above""]",No,,Others,from jungle,"[""Others""]",No,,Others,community hall,1880,0,"[""None of the above""]",50,Others,"[""January"",""March""]","[""None of the above""]","[""None of the above""]",No,"[""None of the above""]",No,Others,No,"murung,myoko",Yearly,Very High Involvement,Yes,miido clan,oldest lapang of hari village
3836,2019-05-08 06:23:50,Tourism,Cultural Heritage/ Historical Site,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.58335,93.844,Approved,https://smartvillage.imagetrekk.com/storage/images/e0D43kojkmK9R3h708qy9v4Gj0s4y2bi3AcAzuAW.jpeg?asset_id=3836,tasso lapang1,1,Pakka Road,3,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc)","[""None""]",0:0 to 0:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Bottled Water,20,Others,bottle water,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Others,"[""None of the above""]",No,,Others,from jungle,"[""Others""]",No,,Others,community hall,1880,0,"[""None of the above""]",10,Others,"[""January"",""March""]","[""None of the above""]","[""None of the above""]",No,"[""None of the above""]",No,Others,No,"murung,myoko",Yearly,Very High Involvement,Yes,tasso clan,ritual worship
3839,2019-05-08 06:36:44,Tourism,Cultural Heritage/ Historical Site,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.58329,93.84403,Approved,https://smartvillage.imagetrekk.com/storage/images/cCYlKVQZvUNexG7b18VvzIXWqGQrf7byg3QF5onP.jpeg?asset_id=3839,tasso lapang 2,1,Pakka Road,3,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc)","[""None""]",0:0 to 0:0,"[""Monday"",""Wednesday"",""Thursday"",""Tuesday"",""Friday"",""Saturday"",""Sunday""]",0,0,Bottled Water,20,Others,bottle water,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Others,"[""None of the above""]",No,,Others,from jungle,"[""Others""]",No,,Others,community hall,1880,0,"[""None of the above""]",10,Others,"[""January"",""March""]","[""None of the above""]","[""None of the above""]",No,"[""None of the above""]",No,Others,No,"murung,myoko",Yearly,Very High Involvement,Yes,tasso clan,ritual worship during murung festival
3857,2019-05-08 10:28:54,Tourism,Cultural Heritage/ Historical Site,pema ledan thungon,Community,In Use,West Kameng,Shinchung,Shinchung,27.1925,92.4702,Approved,https://smartvillage.imagetrekk.com/storage/images/508GheIcadxv9w4egZA7cXihuZfCKq95OPY8MIK5.jpeg?asset_id=3857,This historical sits need all kinda of infrastructure like toilets,4,Footway,1,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc)","[""Others""]",0:0 to 23:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Others,"[""None of the above""]",No,,Others,look after by community,"[""Others""]",No,,Heritage centers,,300,0,"[""None of the above""]",9,Others,"[""April""]","[""None of the above""]","[""None of the above""]",No,"[""Others""]",Yes,Others,No,community prayers,Others,High involvement,Yes,Singchung village council,It was constructed by about 300 years back very old sites
3941,2019-05-08 12:19:47,Tourism,Cultural Heritage/ Historical Site,tilling saha,Community,In Use,Lower Subansiri,Ziro,Bamin,27.56951,93.82939,Approved,https://smartvillage.imagetrekk.com/storage/images/R07geEZ0hpa7MA5AR3xaJXbSrSFWGw0kMaO1hMV3.jpeg?asset_id=3941,Tilling Lapang,1,Pakka Road,0.5,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc)","[""None""]",6:0 to 18:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",1,1,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Others,"[""None of the above""]",No,,Others,others,"[""Others""]",No,,Cultural sites,,800,0,"[""None of the above""]",10,No documentation,"[""January"",""March""]","[""None of the above""]","[""None of the above""]",No,"[""Word of mouth from former customers""]",Yes,Word of mouth from former customers,No,murung and myoko,Yearly,Very High Involvement,Yes,apatani priest,apatani traditional platform
