id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel from the asset to avail public transport facility? (in K.M),What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What is the type of structure of the asset?,What is the type of security available for the asset?,What are the working hours of the asset?(Ex: 9.00A.M-5.A.M),What are the working days of that asset?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where do you get drinking water from for using at the asset?,How much do you pay per litre of bottled water? (In Rupees),Where do you get water for operational purposes for the asset?,What are the other source of water you depend upon?,Are there toilets available for public and employees usage at the asset?,Are there toilets available seperately as per gender at the asset?,Is there running water available in the toilets at the asset?,Is there soap for handwash available at the asset?,How do you deal with the agricultural waste generated from that asset?,What are the other mechanism used to discard the waste from the asset?,Are the premises of the asset cleaned with disinfectant regularly?,How frequently are the premises at the asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the asset?,How many hours per day are you facing power cuts at the asset?,What is the alternative energy source available for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,Is there landline connectivity for that asset?,What is the number with STD Code?,Does the asset have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for operations for the asset?,What are the other record mechanism used?,What are the areas the asset gets support from government agencies (not for customers)?,Do you get any support from NGO(s) for the asset?,From what Organization(s) did you get support?,Where do you procure inputs required for that asset?,What are other sources are used to get needed inputs?,How does the asset advertise about the services available?,Are you using any digital tools like for your operations for the asset?,For what purpose are you using digital tools here at the asset?,What is the breed of cattle reared in the dairy farm/ herd,What is the number of cattle reared in the dairy farm/herd?,What is the type of structure of the dairy farm/ herd?,What is the size of the dairy farm/ herd?,Where are the calfs/ cattle procured from?,What are different equipments available in the dairy farm/herd?,Where do you procure feed & other inputs required?,What is the cattle raised for?,No. of people employed through the dairy farm?,Where do you procure medicines/ vaccines for the cattle?,When was the last time the animals were vaccinated?,How frequently does the Vety doctor/Animal husbandry department visits the farm?,What is the Most common disease for the cattle?,Are the cattle artificially inseminated?,How much milk is produced from the farm per day?,Where do you market the milk/ meat produced from the farm?,How do you pack the milk to sell in the market?,Do the vety doctors comes to the farm to check the diseases?,Is there any epidemic which have affected the farm in past?,How many cattles were affected?,Name the epidemic
2607,2019-03-24 08:54:47,Animal Husbandry,Dairy Farm/ Cattle Herd,joram temin,Government,In Use,Lower Subansiri,Yachuli,Toon,27.46826,93.77331,Approved,https://smartvillage.imagetrekk.com/storage/images/cQFlYkIbOT3d8BMX6PnbB3Q5WODVJbZtMabAQnX8.jpeg?asset_id=2607,dairy farm,1,Kacha Road,1,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Watchman"",""Compound Wall\/ Fencing""]",9:0 to 6:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",4,7,Tap Water from Government,,Water from Government,,No,,,,Discarded in Open Field,,Yes,3,Yes,4,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support""]",No,,Government Agency,,"[""Village Meeting ""]",No,,"[""Exotic Cow""]",23,Permanent shed,110,"[""Govt. Agency""]","[""Others""]","[""Govt. Agency""]",Milk,6,"[""Govt Agency""]",Last Six Months,Not fixed,food and mouth disease FMD,No,32,"[""Local Market""]",Milk containers,Yes,No,,
2626,2019-03-26 09:00:53,Animal Husbandry,Dairy Farm/ Cattle Herd,tajum dagium,Private,In Use,Tawang,Kitpi,Kitpi,27.57223,91.90122,Approved,https://smartvillage.imagetrekk.com/storage/images/juEi0YUM5xmOXqJOeEG3fWkqsm1SWcdyWLDViuca.jpeg?asset_id=2626,private cattle shad,10,Footway,0.8,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None"",""Others""]",6:0 to 6:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,2,Tap Water from Government,,Water from Government,,No,,,,Others,use in farmland,No,,No,,None,,,,,,,No,,No,,Others,No documentation,"[""None""]",No,,Local Supplier,,"[""Others""]",No,,"[""Indegenous Cow""]",6,Temporary shed,200,"[""Local Market""]","[""Others""]","[""Others""]",Milk,2,"[""Local Market"",""Govt Agency""]",More than two years back,Not fixed,foot and mouth,No,25,"[""Others"",""Personal Consumption""]",Steel/Brass vessels,No,No,,
2627,2019-03-26 09:34:18,Animal Husbandry,Dairy Farm/ Cattle Herd,tajum dagium,Private,In Use,Tawang,Kitpi,Kitpi,27.57223,91.90122,Approved,https://smartvillage.imagetrekk.com/storage/images/ySpgWVcGbXfqrnpmEcbs2si8xDoXGAj6bjRHLu28.jpeg?asset_id=2627,private cattle shad,10,Footway,0.8,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None"",""Others""]",6:0 to 6:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,2,Tap Water from Government,,Water from Government,,No,,,,Others,use in farmland,No,,No,,None,,,,,,,No,,No,,Others,No documentation,"[""None""]",No,,Local Supplier,,"[""Others""]",No,,"[""Indegenous Cow""]",6,Temporary shed,200,"[""Local Market""]","[""Others""]","[""Others""]",Milk,2,"[""Local Market"",""Govt Agency""]",More than two years back,Not fixed,foot and mouth,No,25,"[""Others"",""Personal Consumption""]",Steel/Brass vessels,No,No,,
3154,2019-05-02 03:35:27,Animal Husbandry,Dairy Farm/ Cattle Herd,dobum raju,Private,In Use,Papumpare,Doimukh,Lekha,27.13934,93.7331,Approved,https://smartvillage.imagetrekk.com/storage/images/vdAVGpIdW32xcrU10SYl3nfaCvYS5pBHfMTjturO.jpeg?asset_id=3154,good,3,Kacha Road,4,4G+ Reliable,"[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",7:0 to 4:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,2,Ground Water,,Water from Government,,Yes,No,No,No,Burnt within the premises,,Yes,7,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None"",""Marketing Support""]",No,,None,,"[""Marketing team\/ Sales Agents""]",No,,"[""Indegenous Cow""]",20,Temporary shed,300,"[""Local Market"",""From fellow farmers""]","[""Others""]","[""Local Market"",""From fellow farmers""]",Milk,2,"[""None""]",Last Six Months,Not fixed,non,No,30,"[""Local Market"",""Personal Consumption""]",Others,Yes,No,,
3156,2019-05-02 03:35:55,Animal Husbandry,Dairy Farm/ Cattle Herd,dobum raju,Private,In Use,Papumpare,Doimukh,Lekha,27.16318,93.77121,Pending,https://smartvillage.imagetrekk.com/storage/images/GdQix75GBdxeWJ2vwlTn1Q6EHQHS4YqyiewxqRsp.jpeg?asset_id=3156,good,3,Kacha Road,4,4G+ Reliable,"[""Vodafone"",""Idea"",""BSNL"",""Jio""]","[""Vodafone"",""Idea"",""BSNL"",""Jio""]","[""Vodafone"",""Idea"",""BSNL"",""Jio""]","[""Vodafone"",""Idea"",""BSNL"",""Jio""]","[""Vodafone"",""Idea"",""BSNL"",""Jio""]","[""Vodafone"",""Idea"",""BSNL"",""Jio""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",7:0 to 4:0,"[""Monday"",""Tuesday"",""Wednesday"",""Friday"",""Thursday"",""Saturday"",""Sunday""]",0,1,Tap Water from Government,,Ground Water,,Yes,No,Yes,No,Burnt within the premises,,Yes,4,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None"",""Marketing Support""]",No,,None,,"[""Others""]",No,,"[""Indegenous Cow""]",6,Temporary shed,150,"[""From fellow farmers""]","[""Others""]","[""From fellow farmers""]",Milk,2,"[""None""]",Last Six Months,Not fixed,non,No,10,"[""Personal Consumption""]",Milk containers,No,No,,
3875,2019-05-08 10:56:50,Animal Husbandry,Dairy Farm/ Cattle Herd,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.33635,92.27894,Approved,https://smartvillage.imagetrekk.com/storage/images/EZ3C6tz5TNKzXsvYJoyTVLNPA5pAjnoy0q6Bz2sc.jpeg?asset_id=3875,Tsering Gombu dairy farm,1,Footway,0.3,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Watchman""]",7:0 to 4:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,1,Tap Water from Government,,Water from Government,,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,None,,"[""Others""]",No,,"[""Indegenous Cow""]",20,Open Land,150,"[""Others""]","[""Milk-Fat Separating Unit"",""Others""]","[""Local Market""]",Milk,2,"[""None""]",Last Six Months,Once a year,none,No,6,"[""Personal Consumption""]",Milk containers,No,No,,
4893,2019-05-12 10:15:39,Animal Husbandry,Dairy Farm/ Cattle Herd,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.66486,93.87944,Approved,https://smartvillage.imagetrekk.com/storage/images/o0hbLGd6WSmNyabqnRop9yqNruRoMKqB3ev8i3Ev.jpeg?asset_id=4893,cattel herd,1,Kacha Road,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",7:0 to 7:0,"[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Tap Water from Government,,Water from Government,,No,,,,Discarded in Water Bodies,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,None,,"[""Others"",""Marketing team\/ Sales Agents""]",No,,"[""Indegenous Cow""]",14,Open Land,50,"[""Local Market"",""Others""]","[""Others""]","[""Others""]",Others,2,"[""Others""]",6-12 Months Back,Not fixed,none,No,30,"[""Others""]",Others,No,No,,
7174,2019-06-07 09:10:41,Animal Husbandry,Dairy Farm/ Cattle Herd,tilling saha,Private,Not in Use,Lower Subansiri,Ziro,Bamin,27.5276,93.83177,Pending,https://smartvillage.imagetrekk.com/storage/images/Soei71On2ROl6wDskI4xlKxlraYZTnjCI0iaZuaB.jpeg?asset_id=7174,cattle farm taring,1,Pakka Road,3,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",6:0 to 6:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",1,1,Tap Water from Government,,Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,None,,"[""Others""]",No,,"[""Indegenous Cow""]",0,Permanent shed,300,"[""Local Market""]","[""Others""]","[""Others""]",Milk,1,"[""None""]",More than two years back,Not fixed,mouth to mouth,No,1,"[""Local Market"",""Others"",""Personal Consumption""]",Others,No,No,,
7210,2019-06-08 08:38:10,Animal Husbandry,Dairy Farm/ Cattle Herd,taakhe rakesh,Private,In Use,Lower Subansiri,Ziro,Hong,27.52362,93.83539,Approved,https://smartvillage.imagetrekk.com/storage/images/6E9IAveD7zgvhDfsTpWjaXz6ACqdY8cnZDuPaYHR.jpeg?asset_id=7210,takhe taki farm,1,Pakka Road with Block Point,3,3G Unreliable,"[""Vodafone"",""Idea"",""BSNL"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",9:0 to 3:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""]",1,2,Tap Water from Government,,Water from Government,,Yes,No,Yes,No,Burnt within the premises,,Yes,7,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Supplier in other states,,"[""Others""]",No,,"[""Indegenous Cow""]",10,Permanent shed,250,"[""Local Market"",""Others""]","[""Others""]","[""Local Market""]",Milk,5,"[""Govt Agency""]",6-12 Months Back,Not fixed,mouth to mouth,No,50,"[""Local Market"",""Personal Consumption""]",Milk containers,No,No,,
804,2019-02-11 12:32:48,Animal Husbandry,Dairy Farm/ Cattle Herd,phassang kamak,Private,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.12158,93.79588,Pending,https://smartvillage.imagetrekk.com/storage/images/f8ajB9o7t6P7b32lIPSDZcBAV0PaYk5tNTF7T2Ji.jpeg?asset_id=804,-,1,Pakka Road,1,2G Reliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Watchman""]",0.00-24.00,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",1,1,Spring Water,,River or Canal,,No,,,,Discarded in Open Field,,Yes,7,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support""]",Yes,uco bank,Local Supplier,,"[""Posters\/ Display Boards""]",No,,"[""Indegenous Cow""]",30,Permanent shed,120,"[""Local Market"",""From fellow farmers""]","[""Feed Preparation Equipment""]","[""From fellow farmers""]",Milk,1,"[""Govt Agency""]",6-12 Months Back,Not fixed,legs diseases,No,4,"[""Milk Processing Unit"",""Personal Consumption""]",Milk containers,Yes,No,,
