id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel to avail public transport facility?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What is the type of security available for the asset?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,How do you deal with the waste generated from this asset?,What are the other mechanism used to discard the waste?,Do you have grid connection for energy supply?,How many hours do you face power cuts in a day?,What is the alternative energy source available in case of power failure from regular supplier for that asset?,How many hours in a day do you use alternate energy resource?,How many hours in a day do you use alternate energy resource?,How many hours in a day do you use alternate energy resource?,How many hours in a day do you use alternate energy resource?,How many hours in a day do you use alternate energy resource?,How many hours in a day do you use alternate energy resource?,Do you have landline connectivity for telephone?,What is the number with STD Code,Do you have wired internet connection?,How much speed can you get through the broadband?,How do you maintain records of operations?,What other recording mechanisms do you use in the asset?,What are the areas you get support from government agencies (not for costumers)?,Do you get any support from NGO(s)?,From what Organization(s) did you get support?,How many hours on average do you apply load shedding per day meaning facing Brown Outs?,How many hours are you facing power cuts on average per day meaning black outs?,How do you record hours of load shedding and blackouts?,How are staff trained to handle transformers ?,What type of substation is this?,What is the type of operating voltage?,What is the number of transformers linked to the substation ?,What are the issues pertaining to maintenance to ensure technical functionality ?,Do you use smart metering ?,What are the categories of customers availing power from this substation?,What is the source of power to the asset?,What is the minimum distance to the nearest grid connected Solar PV Power generating station?,Where is the nearest Off grid Solar PV generating station ?,How many times has there been maintenance or safety audits in the last year ?
2451,2019-03-14 11:27:08,Energy & ICT,Electrical Substation,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87606,95.32473,Approved,https://smartvillage.imagetrekk.com/storage/images/E5mIPnytPqGqfoHsNxQtGkqzUNfsAsgXPBJPVXwt.jpeg?asset_id=2451,Electrical Substation -226,1,Kacha Road,1,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Security Cameras"",""Watchman""]",1,0,Burnt within the premises,,Yes,4,Invertor,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support"",""Support via Schemes""]",No,,4-8hrs,4-8hrs,Traditional book keeping,"[""By the Department "",""On the job""]","[""Distribution""]",Low Voltage,6,"[""Timely funds for maintenance "",""Skilled manpower ""]",No,"[""Households "","" Commercial"",""Agriculture "",""Others""]","[""Hydro""]",0,0,1-2 times
2511,2019-03-17 08:52:04,Energy & ICT,Electrical Substation,bini yabi,Government,In Use,East Siang,Oyan,Sille Village,27.90044,95.302,Approved,https://smartvillage.imagetrekk.com/storage/images/7kV66zgvjwBSioSFBlvE3fyEUnyi7oggm7ysB19K.jpeg?asset_id=2511,electrical substations,1,Pakka Road with Block Point,0,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Compound Wall\/ Fencing""]",1,0,Discarded in Govt. designated sites,,Yes,4,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support"",""Support via Schemes""]",No,,4-8hrs,4-8hrs,Traditional book keeping,"[""By the Department "",""On the job""]","[""Distribution""]",Low Voltage,6,"[""Timely funds for maintenance "",""Skilled manpower "",""Training ""]",No,"[""Households "","" Commercial"",""Agriculture "",""Others""]","[""Hydro""]",0,0,1-2 times
2514,2019-03-17 08:58:39,Energy & ICT,Electrical Substation,bini yabi,Government,In Use,East Siang,Sille-Oyan,Sille,27.89846,95.30262,Approved,https://smartvillage.imagetrekk.com/storage/images/VPNm3sM8pVZDrplCwJh2iJ0eqqfbsRCqYfPc03vp.jpeg?asset_id=2514,electrical substation,1,Pakka Road,0,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Compound Wall\/ Fencing""]",1,0,Discarded in Govt. designated sites,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support"",""Support via Schemes""]",No,,4-8hrs,4-8hrs,Traditional book keeping,"[""By the Department "",""On the job""]","[""Distribution""]",Low Voltage,6,"[""Timely funds for maintenance "",""Skilled manpower "",""Training ""]",No,"[""Households "","" Commercial"",""Agriculture "",""Others""]","[""Hydro""]",0,0,1-2 times
2515,2019-03-17 09:04:39,Energy & ICT,Electrical Substation,bini yabi,Government,Not in Use,East Siang,Sille-Oyan,Sille,27.89579,95.30506,Rejected,https://smartvillage.imagetrekk.com/storage/images/BWHuzwjzmNVaLRMBJ23KzTKXm2jndXp88JcwOXJ1.jpeg?asset_id=2515,electrical substation,1,Pakka Road,0,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Compound Wall\/ Fencing""]",1,0,Discarded in Govt. designated sites,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support"",""Support via Schemes""]",No,,4-8hrs,4-8hrs,Traditional book keeping,"[""By the Department "",""On the job""]","[""Distribution""]",Low Voltage,6,"[""Timely funds for maintenance "",""Skilled manpower "",""Training ""]",No,"[""Households "","" Commercial"",""Agriculture ""]","[""Hydro""]",0,0,1-2 times
2516,2019-03-17 09:10:20,Energy & ICT,Electrical Substation,bini yabi,Government,In Use,East Siang,Sille-Oyan,Sille,27.89353,95.30911,Approved,https://smartvillage.imagetrekk.com/storage/images/7xX71oBGCEcNIJ65JybdDEoMjapZ1RNn05iamQEu.jpeg?asset_id=2516,electrical substations,1,Pakka Road,0,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""None""]",1,0,Discarded in Govt. designated sites,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support"",""Support via Schemes""]",No,,4-8hrs,4-8hrs,Traditional book keeping,"[""By the Department "",""On the job""]","[""Distribution""]",Low Voltage,6,"[""Skilled manpower "",""Timely funds for maintenance "",""Training ""]",No,"[""Households "","" Commercial"",""Agriculture "",""Others""]","[""Hydro""]",0,0,1-2 times
2517,2019-03-17 09:15:40,Energy & ICT,Electrical Substation,bini yabi,Government,In Use,East Siang,Sille-Oyan,Sille,27.89524,95.30986,Approved,https://smartvillage.imagetrekk.com/storage/images/TYYvGBCVXUa8J8lErySLP8595ZPKnmeBa2bXAIzV.jpeg?asset_id=2517,electrical substation,1,Kacha Road,0,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""None""]",1,0,Discarded in Govt. designated sites,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support"",""Support via Schemes""]",No,,4-8hrs,4-8hrs,Traditional book keeping,"[""By the Department "",""On the job""]","[""Distribution""]",Low Voltage,6,"[""Timely funds for maintenance "",""Skilled manpower "",""Training ""]",No,"[""Households "","" Commercial"",""Agriculture "",""Others""]","[""Hydro""]",0,0,1-2 times
2518,2019-03-17 11:38:40,Energy & ICT,Electrical Substation,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.88089,95.31382,Approved,https://smartvillage.imagetrekk.com/storage/images/AX2XAcneCCORHQ2eUtLdCz1FXKKHaRifbDCe9HFx.jpeg?asset_id=2518,Electricity substation -3,1,Pakka Road,0,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Compound Wall\/ Fencing""]",1,0,Burnt within the premises,,Yes,4,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support"",""Support via Schemes""]",No,,4-8hrs,4-8hrs,Traditional book keeping,"[""By the Department "",""On the job""]","[""Distribution""]",Low Voltage,6,"[""Skilled manpower "",""Timely funds for maintenance ""]",No,"[""Households "",""Agriculture "",""Others"","" Commercial""]","[""Hydro""]",0,0,1-2 times
2519,2019-03-17 11:42:27,Energy & ICT,Electrical Substation,ainai mize,Government,Not in Use,East Siang,Oyan,Oyan Village,27.88016,95.31351,Approved,https://smartvillage.imagetrekk.com/storage/images/dqEqmRBjdr5qdJTJFsN6tHLg2ui3lI4xOtCjlDid.jpeg?asset_id=2519,Electricity Substation -4,1,Pakka Road,0,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Compound Wall\/ Fencing""]",1,0,Burnt within the premises,,Yes,4,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support"",""Support via Schemes""]",No,,4-8hrs,4-8hrs,Traditional book keeping,"[""By the Department "",""On the job""]","[""Distribution""]",Low Voltage,6,"[""Timely funds for maintenance "",""Skilled manpower ""]",No,"[""Households "","" Industrial"",""Agriculture "",""Others""]","[""Hydro""]",0,0,1-2 times
2537,2019-03-19 12:21:27,Energy & ICT,Electrical Substation,tajum dagium,Government,In Use,Tawang,Kitpi,Kitpi,27.57248,91.90437,Approved,https://smartvillage.imagetrekk.com/storage/images/3oXbmKp101ngKhDK5QpUsPhbDdAG7SPxuZCWcZ56.jpeg?asset_id=2537,Distributors,10,Pakka Road,0.1,2G reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing"",""Watchman""]",1,4,Discarded in Govt. designated sites,,Yes,2,Solar Unit,1,1,1,1,1,1,No,,No,,Traditional Book Keeping,,"[""Transport Support"",""Marketing Support"",""Technical Support"",""Financial Support"",""Support via Schemes"",""Support via Subsidies""]",No,,4-8hrs,0-4hrs,Traditional book keeping,"[""By the Department ""]","[""Distribution"",""Transmission"",""Converter"",""Switching"",""Collector""]",Medium Voltage,3,"[""Timely funds for maintenance "",""Skilled manpower "",""Training ""]",No,"[""Households "","" Commercial""]","[""Hydro""]",5,150,11-12 times
2840,2019-04-23 07:56:14,Energy & ICT,Electrical Substation,kejang pema,Community,In Use,West Kameng,Dirang,Dirang,27.3422,92.27506,Rejected,https://smartvillage.imagetrekk.com/storage/images/oCk8HdtURgdsmBcqAkefuxrifSmv0BerYeRzkSBt.jpeg?asset_id=2840,Hydro power,1,Footway,0.5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Watchman""]",4,17,Discarded in Water Bodies,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Technical Support""]",No,,0-4hrs,0-4hrs,Traditional book keeping,"[""On the job"",""By the Department ""]","[""Distribution""]",Medium Voltage,4,"[""Other""]",No,"[""Households ""]","[""Hydro""]",0,0,11-12 times
