id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available to the asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,Does this electricity pole also have telephone lines ?,What is the electricity pole made of ?,What is the frequency of maintenance or safety audit ?,Are the wires insulated ?
2375,2019-03-12 08:33:28,Energy & ICT,Electricity Pole,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,27.34247,92.27704,Approved,https://smartvillage.imagetrekk.com/storage/images/o2PXkz3HlbHOXN0FBiNzNROQH9f2SEWJDiFYr9Zo.jpeg?asset_id=2375,used,Footway,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",No,"[""Steel""]",Yearly,Yes
2376,2019-03-12 08:34:08,Energy & ICT,Electricity Pole,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,27.345,92.27227,Approved,https://smartvillage.imagetrekk.com/storage/images/Dn7UOBQZ9c3S6sCTCGNykIlma9xHQs3CpuyAftd6.jpeg?asset_id=2376,used,Footway,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",No,"[""Steel""]",Yearly,Yes
2380,2019-03-12 08:41:08,Energy & ICT,Electricity Pole,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,27.34484,92.27235,Approved,https://smartvillage.imagetrekk.com/storage/images/D3fTfryvAznuyW9pCWk0ew41z7tvOQluSwXt5Q14.jpeg?asset_id=2380,Nearby Dukung Gompa,Footway,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",No,"[""Steel""]",Yearly,Yes
2381,2019-03-12 08:49:02,Energy & ICT,Electricity Pole,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,27.34399,92.27267,Approved,https://smartvillage.imagetrekk.com/storage/images/ovvK9BgYYMyd1zJO8hJDuD5VPLXcjEAaiy1xwLfB.jpeg?asset_id=2381,used,Footway,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",No,"[""Steel""]",Yearly,Yes
2382,2019-03-12 08:57:29,Energy & ICT,Electricity Pole,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,27.34337,92.27375,Approved,https://smartvillage.imagetrekk.com/storage/images/NLp7dlj5A1HsNZmVyBMZkObauPdIL9RVXo0M89nj.jpeg?asset_id=2382,pole dukung,Footway,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]",No,"[""Steel""]",Yearly,Yes
2383,2019-03-12 09:03:27,Energy & ICT,Electricity Pole,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,27.34337,92.27348,Approved,https://smartvillage.imagetrekk.com/storage/images/Vq6jy0qf3FY70yNvqKGOXRa1DCkbNLChThnl5wKG.jpeg?asset_id=2383,nearby road 1,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",No,"[""Steel""]",Yearly,Yes
2384,2019-03-12 09:11:14,Energy & ICT,Electricity Pole,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,27.34186,92.27208,Approved,https://smartvillage.imagetrekk.com/storage/images/K5vvUn429gueYShuDG3SBmojshPOd7JdNfFIY1GZ.jpeg?asset_id=2384,Nearby hiwhway pole 2,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",No,"[""Steel""]",Yearly,Yes
2396,2019-03-13 11:46:11,Energy & ICT,Electricity Pole,undefined,Government,In Use,Tirap,Khonsa,Khonsa I,26.99467,95.49693,Approved,https://smartvillage.imagetrekk.com/storage/images/dWSUPFQSKiTvhfUOwaBy0j2HPC9TArKErXEasKEO.jpeg?asset_id=2396,khonsa electric pole 38,Kacha Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Yearly,Yes
2397,2019-03-13 11:50:43,Energy & ICT,Electricity Pole,undefined,Government,In Use,Tirap,Khonsa,Khonsa I,26.99366,95.49657,Approved,https://smartvillage.imagetrekk.com/storage/images/IJAZQPbPElet7SfTCw0dyoO5ZKr5sqxO5Is6rdez.jpeg?asset_id=2397,khonsa electric pole 39,Kacha Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Yearly,Yes
2398,2019-03-13 11:52:17,Energy & ICT,Electricity Pole,undefined,Government,In Use,Tirap,Khonsa,Khonsa I,26.99387,95.49587,Approved,https://smartvillage.imagetrekk.com/storage/images/xRoj1UANHNQZrKhzjmbGeC6FQFBvLI71c3apEDly.jpeg?asset_id=2398,khonsa electric pole 40,Kacha Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Yearly,Yes
2399,2019-03-13 11:53:58,Energy & ICT,Electricity Pole,undefined,Government,In Use,Tirap,Khonsa,Khonsa I,26.99387,95.49634,Approved,https://smartvillage.imagetrekk.com/storage/images/Kyyz2CCKmMxvZUdw03KaPJKDRgRUz90I6TI1fPIa.jpeg?asset_id=2399,khonsa electric pole 41,Kacha Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Yearly,Yes
2400,2019-03-13 11:55:58,Energy & ICT,Electricity Pole,undefined,Government,In Use,Tirap,Khonsa,Khonsa I,26.99425,95.49567,Approved,https://smartvillage.imagetrekk.com/storage/images/0Y0vrAtvmM2GYpV99kuuRkmHrKbnllVIcIqOn1yB.jpeg?asset_id=2400,khonsa electric pole 41,Kacha Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Yearly,Yes
2402,2019-03-14 08:08:41,Energy & ICT,Electricity Pole,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,27.32654,92.298,Approved,https://smartvillage.imagetrekk.com/storage/images/CfP04HKBFJRcLr9cjAdygIuxJXw1x6mYZVvLRAYp.jpeg?asset_id=2402,under Dirang Dzong homestay,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",No,"[""Steel""]",Yearly,Yes
2405,2019-03-14 09:17:29,Energy & ICT,Electricity Pole,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,27.34419,92.27078,Approved,https://smartvillage.imagetrekk.com/storage/images/foIWzA8THUnmlUHnvT7ARGLG0j0DHhadbwiiQWB0.jpeg?asset_id=2405,under homestay 2,Pakka Road,4G Unreliable,"[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]",No,"[""Steel""]",Yearly,Yes
2406,2019-03-14 09:17:29,Energy & ICT,Electricity Pole,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,27.34227,92.27277,Approved,https://smartvillage.imagetrekk.com/storage/images/YCyQrzjpUjyUpaIraNo6JhVu7i7XPggw5caq5pJl.jpeg?asset_id=2406,under homestay 3,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",No,"[""Steel""]",Yearly,Yes
2408,2019-03-14 09:33:07,Energy & ICT,Electricity Pole,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,27.34578,92.27302,Approved,https://smartvillage.imagetrekk.com/storage/images/iubL10NUhf1YwjaD0iTgyw5lV0hkzYboskaJZCkP.jpeg?asset_id=2408,under the homestay 4,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",No,"[""Steel""]",Yearly,Yes
2409,2019-03-14 09:44:47,Energy & ICT,Electricity Pole,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87838,95.32105,Approved,https://smartvillage.imagetrekk.com/storage/images/B37RT0UZmB0CcwcY6hwIGdgfX1MsOU7dw3doestu.jpeg?asset_id=2409,Electricity Pole -187,Kacha Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Monthly,Yes
2410,2019-03-14 09:46:32,Energy & ICT,Electricity Pole,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87837,95.32102,Approved,https://smartvillage.imagetrekk.com/storage/images/T68XI98rK3AGMrHjBUEDisnQOCtRW5XQAXF4maQY.jpeg?asset_id=2410,Electricitu Pole -188,Kacha Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Monthly,Yes
2411,2019-03-14 09:48:40,Energy & ICT,Electricity Pole,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87782,95.32172,Approved,https://smartvillage.imagetrekk.com/storage/images/9AdMig7AsJEgypNXn2IUeGmNAZWMIa6qBrEEPzN3.jpeg?asset_id=2411,Electricity Pole -189,Kacha Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Monthly,Yes
2412,2019-03-14 09:50:16,Energy & ICT,Electricity Pole,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87892,95.32166,Approved,https://smartvillage.imagetrekk.com/storage/images/Zgrh1yR9kR2nQR8kgmaYNSr64vnYTu9uJ28YOSbf.jpeg?asset_id=2412,Electricitu Pole -190,Kacha Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Monthly,Yes
2413,2019-03-14 10:00:00,Energy & ICT,Electricity Pole,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87796,95.32085,Approved,https://smartvillage.imagetrekk.com/storage/images/BS22ymKQEMhZWPDvFp2Hl3W8XUp3MrjswXVKek4b.jpeg?asset_id=2413,Electricity Pole -191,Pakka Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Monthly,Yes
