id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the farm land until it was open and accesible?,What is the type of the road available to the farm land?,How much distance should one travel from the farm land to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What is the type of structure of the farm land?,What is the type of security available for the farm land?,How many are employed in the farm land?,Where do you get water for operational purposes for the farm land?,What are the other source of water you depend upon?,How do you deal with the agricultural waste generated from the farm land?,What are the other mechanism used to discard the waste from the farm land?,Are the premises of farm land cleaned with disinfectant regularly?,How frequently are the premises at the farm land cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the farm land?,How many hours per day are you facing power cuts in the farm land?,What is the alternative energy source available for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How do you maintain records for operations of the farm land?,What are the other record mechanisms?,What are the areas the farm land gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the farm land?,What is the name of the organization?,Are you using digital technologies that can be used in the farm land?,For what purpose are you using digital tools here at the farm land?,Where do you procure inputs required for the farm land?,What other sources are used to get needed inputs?,What are different chemical inputs used in the farm land?,What other chemical inputs are used in the farm land?,What is the type of covering material used in the farm land?,What other type of covering material are used in the farm land?,What is the water source used for irrigation mechanism?,What other source of water do you depend upon for irrigation?,What is the type of irrigation mechanism used in the farm land?,What are other mechanism used for irrigation?,How does the farm land advertise about the services available?,What is the average operational cost per month to run the farm land?(Excluding Salary of the Employees),How much amount of products are produced in the farm land in a year?(In K.G),What is the type of agriculture products produced in the farm land?,What is the average cost per K.G of the products produced from the farm land?(In Rupees),What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,Which type of customers purchase the products produced in the farm land?,How does the customers transport the goods produced from the farm land?
2377,2019-03-12 08:35:26,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.34191,92.27396,Rejected,https://smartvillage.imagetrekk.com/storage/images/633X1tCxS6UFdOxMYdXfWslvOawqAzoO3HqU66Gj.jpeg?asset_id=2377,data collected from sonam Tsering,1,Footway,1,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",0,Water from Government,,Others,own land,No,,Yes,1,None,,,,,,,Others,nothing,"[""None""]",No,,No,,Local Supplier,,Others,manure,None,,Others,tape water,Others,tape water,"[""Others""]",2000,60,kiwi,1-100,None,None,None,None,"[""Others""]","[""2 Wheeler""]"
2378,2019-03-12 08:36:21,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.34191,92.27396,Rejected,https://smartvillage.imagetrekk.com/storage/images/VnVygL8VJNIliFF6NKpvDMkhOvyJYQgXqBR7uPft.jpeg?asset_id=2378,data collected from sonam Tsering,1,Footway,1,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",0,Water from Government,,Others,own land,No,,Yes,1,None,,,,,,,Others,nothing,"[""None""]",No,,No,,Local Supplier,,Others,manure,None,,Others,tape water,Others,tape water,"[""Others""]",2000,60,kiwi,1-100,None,None,None,None,"[""Others""]","[""2 Wheeler""]"
2401,2019-03-14 08:04:59,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.35327,92.27716,Approved,https://smartvillage.imagetrekk.com/storage/images/6Z62NQLGv1o0CJklo5YWFka9sQYOOWxYzMlwt8da.jpeg?asset_id=2401,very good,1,Pakka Road,0.2,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",0,Water from Government,,Burnt within the premises,,No,,Yes,1,None,,,,,,,Others,nothing,"[""None""]",No,,No,,Local Supplier,,Others,manure,None,ir,Others,tape watet,Others,tape water,"[""Marketing team\/ Sales Agents""]",350,2500,"kiwi, apple,vegetables",1-100,None,None,None,None,"[""Others""]","[""2 Wheeler""]"
2419,2019-03-14 10:11:59,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.34872,92.26156,Rejected,https://smartvillage.imagetrekk.com/storage/images/j7RQ0fhvfjzKYo3X3TGbtSTsrt3B8c6RYZq71gC1.jpeg?asset_id=2419,kiwi farm,1,Pakka Road,1.5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",0,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Others,nothing,"[""None""]",No,,No,,Local Supplier,,Others,manure,None,,Others,tape watet,Others,tape water,"[""Marketing team\/ Sales Agents""]",200,1500,"kiwi,walnut",1-100,None,None,None,None,"[""None""]","[""2 Wheeler""]"
2487,2019-03-16 09:03:30,Agriculture,Farm land,hanhap taiju,Private,In Use,Changlang,Changlang,Changlang (CT),27.13398,95.74489,Approved,https://smartvillage.imagetrekk.com/storage/images/6Fkgz76tNp8Hg6c8oy8EvEXz8trq92xXf5hfu7Py.jpeg?asset_id=2487,Village name is new Changlang,1,Kacha Road,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",0,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Rainfed,,Others,rain water,"[""Others""]",0,40,Banana plantation,1-100,None,None,None,None,"[""None""]","[""Head Load"",""2 Wheeler""]"
2488,2019-03-16 09:14:56,Agriculture,Farm land,hanhap taiju,Private,In Use,Changlang,Changlang,Changlang (CT),27.1334,95.74283,Approved,https://smartvillage.imagetrekk.com/storage/images/uJdHUdYKZwDZg4Xo2JR60IfsnajgNIhXTDK1FGMx.jpeg?asset_id=2488,Village name is new Changlang,1,Kacha Road,3,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",0,Others,rain water,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,None,,Rainfed,,Others,rain water,"[""Others""]",0,400,Bamboo plantations,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others""]","[""Huge Luggage Transport Vehicle"",""Mini Luggage Transport Vehicle""]"
2495,2019-03-16 10:52:35,Agriculture,Farm land,binam jomang,Private,Repairable,Namsai,Lekang,Lekang,27.55967,95.87619,Approved,https://smartvillage.imagetrekk.com/storage/images/tEkrIPWJ2cZwK3C09aRQayIYFvNqF9mdIIcH68vV.jpeg?asset_id=2495,paddy field,2,Pakka Road,5,3G Reliable,"[""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Idea"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",2,Ground Water,,Discarded in Open Field,,Yes,1,Yes,2,Diesel Generator,2,2,2,2,2,2,Traditional Book Keeping,,"[""Technical Support""]",No,,No,,Government Agency,,Fertilizer,,Polysheet,,Ground Water,,Canal Irrigation,,"[""Village Meeting ""]",10000,200,rice,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""2 Wheeler""]"
2510,2019-03-17 07:51:41,Agriculture,Farm land,tajum dagium,Private,In Use,Tawang,Kitpi,Kitpi,27.57399,91.89775,Approved,https://smartvillage.imagetrekk.com/storage/images/l2a86f8aRBYp7SgWdu2AAdlXsbtNBkgwlzwTUBBa.jpeg?asset_id=2510,private farm land,10,Kacha Road,0.5,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",15,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Others,manure,None,,Rainfed,,Canal Irrigation,,"[""Village Meeting ""]",5000,1500,potatos,1-100,None,None,None,None,"[""Farmers""]","[""Head Load"",""Sumo\/Tracker""]"
2551,2019-03-20 08:49:48,Agriculture,Farm land,shri joram nera,Private,In Use,Lower Subansiri,Yachuli,Jara,27.52542,93.77161,Approved,https://smartvillage.imagetrekk.com/storage/images/JUUK1zklw5SOww4viuvlDdMOUU8kq8ELctccP7wo.jpeg?asset_id=2551,Rate of bamboo determined (in per piece 10 - 15 rupees),3,Kacha Road,0.15,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0,Others,None,Burnt within the premises,,No,,No,,None,,,,,,,Others,none,"[""None""]",No,,No,,None,,None,,Lath/Bamboo,,Rainfed,,Others,None,"[""Others""]",0,500,Bamboo (taib local),1-100,None,None,None,None,"[""Others""]","[""Head Load""]"
2584,2019-03-21 07:27:15,Agriculture,Farm land,shri joram nera,Private,In Use,Lower Subansiri,Yachuli,Jara,27.52742,93.77784,Approved,https://smartvillage.imagetrekk.com/storage/images/UnZyuZJ00GpXMJuLvrCa2Eoq7aNmDrDCvBaGkSnz.jpeg?asset_id=2584,large cardamon1,4,Footway,0.2,2G Unreliable,"[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0,River or Canal,,Burnt within the premises,,No,,No,,None,,,,,,,Others,None,"[""None""]",No,,No,,None,,None,,Lath/Bamboo,,Rainfed,,Others,None,"[""Others""]",0,55,large cardamon,>300,None,None,None,None,"[""NGO"",""Others""]","[""Mini Luggage Transport Vehicle"",""Huge Luggage Transport Vehicle""]"
