id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the fish pond until it was open?,What is the type of the road available to the fish pond?,How much distance should one travel from the fish pond to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What is the type of security available for the fish pond?,How many are employed in the fish pond?,Where do you get water for operational purposes for the fish pond?,What are the other source of water you depend upon?,How do you deal with the waste generated from the fish pond?,What are the other mechanism used to discard the waste from the fish pond?,Do you have grid connection for energy supply for the fish pond?,How many hours per day are you facing power cuts in the fish pond?,What is the alternative energy source available for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How do you maintain records for operations of the fish pond?,What other recording mechanisms are used in the asset?,What are the areas the fish pond gets support from government agencies?,Do you get any support from NGO(s) for the fish pond?,What is the name of the organization?,Are you using digital technologies that can be used in the fish pond?,For what purpose are you using digital tools here at the fish pond?,Where do you primarily procure inputs required for the Fish Pond?,What are other sources are used to get needed inputs?,What are different chemical inputs used in the fish pond?,What are different organic inputs used in the fish pond?,How does this Asset advertise about the products produced in the fish pond?,How many KGs of fish are procured from fish pond per year?,What types of fish are produced in the fish pond?,What is the average cost per unit of the products produced from the fish pond?,Which type of customers purchase the products produced in the fish pond?,How does the customers transport the goods produced from the fish pond?,How do you determine the selling price of the products?
2391,2019-03-13 08:16:26,Fisheries,Fish Pond,dobum raju,Private,In Use,Papumpare,Doimukh,Doimukh,27.13171,93.77085,Approved,https://smartvillage.imagetrekk.com/storage/images/MVgwjlJfQd0IV5hCzYWZhIAxfv7vvvUXgrEO3chy.jpeg?asset_id=2391,Good,1,Pakka Road,2,4G+ Reliable,"[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Compound Wall\/ Fencing""]",17,Ground Water,,Burnt within the premises,,Yes,24,Diesel Generator,2,2,2,2,2,2,Traditional Book Keeping,,"[""None"",""Marketing Support""]",no,,No,,Local Supplier,,"[""Fertilizer"",""None""]","[""Fertilizer""]","[""Posters\/ Display Boards"",""Marketing team\/ Sales Agents""]",2000,"Cattla, Pumplat, Rao, Grass carp",250,"[""Others""]","[""Others""]",Based on market price
2501,2019-03-17 07:04:07,Fisheries,Fish Pond,administrator,Private,Repairable,Namsai,Lekang,Old Mohang,27.55464,95.88232,Approved,https://smartvillage.imagetrekk.com/storage/images/E7aO4A8smTTphoUXCNYft2TOuy5UWZbV5aH1TjFq.jpeg?asset_id=2501,fish pond,1,Pakka Road,3,4G Unreliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""Compound Wall\/ Fencing""]",1,Ground Water,,Discarded in Open Field,,Yes,2,None,,,,,,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support""]",no,,No,,Local Supplier,,"[""Weedicides""]","[""Fertilizer""]","[""Village Meeting""]",1000,"babu ,rob ,common ,grass carp, carp",200,"[""Farmers"",""Others""]","[""2 Wheeler""]",Based on market price
2732,2019-03-30 10:45:55,Fisheries,Fish Pond,nemcha nyoungja,Private,In Use,Changlang,Changlang,Old Changlang,27.1428,95.74078,Approved,https://smartvillage.imagetrekk.com/storage/images/AgzN0yeWpVSumGrbFLp8ZAK8aTje87yYzBlAIfBN.jpeg?asset_id=2732,fish tank or Aquaponic,1,Footway,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Compound Wall\/ Fencing""]",1,Water from Government,,Burnt within the premises,,Yes,3,Invertor,2,2,2,2,2,2,Digital Records- Using Computer/Mobile,,"[""None""]",no,,No,,Supplier in other states,,"[""Others""]","[""Others""]","[""Others""]",6,cat fish ( magur),400,"[""Others""]","[""Others""]",Based on market price
2885,2019-04-24 10:28:57,Fisheries,Fish Pond,joram temin,Private,In Use,Lower Subansiri,Yachuli,Toon,27.46269,93.77192,Approved,https://smartvillage.imagetrekk.com/storage/images/RfcJHRHMDbL8Eq0k56AAbJPfeayBahcpKMBkHmRS.jpeg?asset_id=2885,fishpond,1,Kacha Road,1,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",2,Water from Government,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Village Meeting""]",300,grass carp,50,"[""Farmers""]","[""Head Load"",""2 Wheeler""]",Based on market price
3133,2019-04-30 12:26:27,Fisheries,Fish Pond,tendel zangmu wangja,Private,In Use,West Kameng,Shergaon,Shergaon,27.12778,92.23859,Approved,https://smartvillage.imagetrekk.com/storage/images/vQzkXWY8rFD31WoXYhwkPVt23Qb3WOfJI8msojzm.jpeg?asset_id=3133,fish pond,1,Kacha Road,30,Nil,,,,,,,"[""Compound Wall\/ Fencing""]",0,Water from Government,,Burnt within the premises,,Yes,4,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""None""]","[""None""]","[""Village Meeting""]",2,"Silver Carp,grass carp",200,"[""Others""]","[""Mini Luggage Transport Vehicle""]",Dependent on buyers price
3137,2019-04-30 12:27:12,Fisheries,Fish Pond,tendel zangmu wangja,Private,In Use,West Kameng,Shergaon,Shergaon,27.10697,92.24585,Approved,https://smartvillage.imagetrekk.com/storage/images/A3tAF8lNcrpKHVvNpNnjQo7HTZESqwBghmDnRBxr.jpeg?asset_id=3137,Owner Dorjee Khandu Thungon,1,Kacha Road,30,4G Unreliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",2,River or Canal,,Burnt within the premises,,Yes,4,None,,,,,,,Traditional Book Keeping,,"[""Financial Support""]",no,,No,,Local Supplier,,"[""None""]","[""None""]","[""Village Meeting""]",4,Rainbow and brown trout,1200,"[""Others""]","[""Sumo\/Tracker""]",Based on market price
3143,2019-05-01 10:08:03,Fisheries,Fish Pond,tana topu tara,Private,In Use,Papumpare,Doimukh,Lekhi,27.21694,93.81814,Approved,https://smartvillage.imagetrekk.com/storage/images/pOG4Pmcc0nVLqYeIXB8mb1GpjMTevMy2VsqVlsS1.jpeg?asset_id=3143,owned by Gaon Burch lekhi,2,Footway,10,Nil,,,,,,,"[""None""]",0,Ground Water,,Discarded in Open Field,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""None""]","[""None""]","[""Others""]",100,"local fish, common carp, palmflet, grass carp",200,"[""Others""]","[""2 Wheeler""]",Based on market price
3155,2019-05-02 03:35:44,Fisheries,Fish Pond,dobum raju,Private,In Use,Papumpare,Doimukh,Lekha,27.1632,93.77051,Approved,https://smartvillage.imagetrekk.com/storage/images/vWaO3Ivd8FqqAyT3KdwuvG86sctbONrbck3mGK0J.jpeg?asset_id=3155,good,3,Kacha Road,4,4G+ Reliable,"[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""None""]",1,Ground Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None"",""Marketing Support""]",no,,No,,None,,"[""None""]","[""None""]","[""Marketing team\/ Sales Agents""]",100,"mirga, grass carp",250,"[""Others"",""Farmers""]","[""Tempo\/Auto"",""Others""]",Based on market price
3675,2019-05-07 10:27:55,Fisheries,Fish Pond,nabam banio,Private,In Use,Papumpare,Itanagar,Ganga,27.08813,93.59394,Approved,https://smartvillage.imagetrekk.com/storage/images/PHvkDL3JeiwislWAPwdc8NeQSQ3azRqvzbT4eujJ.jpeg?asset_id=3675,good,4,Kacha Road,1,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""None""]",0,River or Canal,,Discarded in Water Bodies,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Local Supplier,,"[""None""]","[""None""]","[""Marketing team\/ Sales Agents""]",90,farming,180,"[""Farmers""]","[""Tempo\/Auto""]",Dependent on buyers price
3819,2019-05-08 04:46:04,Fisheries,Fish Pond,hibu yagam,Private,In Use,Papumpare,Doimukh,Chiputa,27.18358,93.78464,Approved,https://smartvillage.imagetrekk.com/storage/images/qZJjhVRwek44cdh7A4fH0RAMcjx9NB94gQ4Wzhsc.jpeg?asset_id=3819,fish pond,3,Kacha Road,7,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Compound Wall\/ Fencing""]",1,Ground Water,,Discarded in Water Bodies,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Supplier in other states,,"[""None""]","[""None""]","[""Marketing team\/ Sales Agents""]",120,,250,"[""Govt. Agencies"",""Farmers"",""Others"",""NGO""]","[""Tempo\/Auto""]",Based on market price
