id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available to the asset?,How much distance should one travel from this asset to avail public transport facility? (in K.M),What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,How many technical staff are employed in/for that asset?,How many non-technical staff are employed in/ for that asset,Do you have grid connection for energy supply for this asset?,How many hours per day are you facing power cuts at this asset?,What is the alternative energy source available for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,Is there landline connectivity for that asset?,What is the number with STD Code,Does this asset have wired internet connection?,How much speed can you get through the broadband?,How do you maintain operational records for this asset?,What are the other provisions available for the differently-abled?,What are the areas the asset gets support from government agencies (not for customers)?,Are you using digital tools for your operations in this asset?,For what purpose are you using digital tools here at this asset?,Are there toilets available for guests and employees' usage at this homestay?,Are there toilets available seperately as per gender at this homestay?,Is soap available for handwash in the washrooms?,Is there running water available in the washrooms,Are the premises of this home-stay cleaned with disinfectant regularly?,How frequently are the premises at this home-stay cleaned with disinfectant in a week?,Where do you get drinking water from for using at this asset?,How much do you pay per litre of bottled water?,Where do you get water for operational purposes for this asset?,What are the other source of water you depend upon?,How many single-rooms are available for guests?,How many shared-rooms are available for guests?,What categories of rooms are available in the hotel or resorts?,How many people do you host on an average per month?,What modes of payment do you accept?,How many guests can you accommodate at a time at maximum?,What is the average amount charged for a day's booking for a single-room?,What is the average amount charged for a day's booking for a shared-room?,What other facilities are available in this facility?,What are the provision available for the differently abled?,What are the other provisions available for the differently-abled?,How is the home-stay advertised to prospective visitors?,Which of the following means of advertisement bring you the maximum customers?,Which online portal are you registered with?,Are you asking your customers how they got to know about your place?,How do you maintain relations with your existing customers?,Which of the following agencies are you collaborating with?,What is the total monthly revenue generated?,What is the monthly operations cost of the home-stay?,When do you receive the maximum number of tourist?,How do tourists commute to your facility?
2852,2019-04-23 11:55:35,Loadging and Boarding,Hotel/ Guest House/ Resort,tsering palden yamchodu,Government,Not in Use,West Kameng,Nafra,Lower Dzong,27.37218,92.5406,Approved,https://smartvillage.imagetrekk.com/storage/images/QajpMtPIvO1SLsfAiEVdtRQQTcAV7EFFVETclPXb.jpeg?asset_id=2852,newly constructed,Pakka Road,0.8,4G Unreliable,"[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]",21,0,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Technical Support"",""Marketing Support""]",No,,Yes,Yes,Yes,Yes,Yes,3,Tap Water from Government,,Water from Government,,4,0,"[""Family rooms""]",0,"[""Cash payment""]",4,1000,0,"[""Restaurant"",""Conference halls"",""Parking lots"",""Television"",""Recreation centre""]",None of the above,,"[""Advertising by the tourism dept""]",Word of mouth from former customers,"[""None of the above""]",Yes,"[""None of the above""]","[""None of the above""]",0,0,"[""October""]",Bus/ sumo facilities nearby
2957,2019-04-25 10:15:07,Loadging and Boarding,Hotel/ Guest House/ Resort,tenjin yeshii,Government,In Use,Tawang,Lumla,Manpat,27.52924,91.71037,Approved,https://smartvillage.imagetrekk.com/storage/images/W3mGn7c0dbDl4NTWSWAwKHreXuIzXHPdkSR4Je2S.jpeg?asset_id=2957,Circuit House,Pakka Road,2,4G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]",0,1,Yes,1,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Others""]",No,,Yes,No,Yes,Yes,Yes,4,Tap Water from Government,,Water from Government,,5,2,"[""Dormitory"",""Single bedrooms"",""Deluxe rooms""]",15,"[""Cash payment""]",25,250,500,"[""Geyser"",""Room heater"",""Parking lots"",""Television""]",Ramps,,"[""Advertising by the tourism dept""]",Advertising by the tourism dept,"[""None of the above""]",Yes,"[""Phone calls""]","[""Government departments""]",5000,1500,"[""October""]",Bus/ sumo facilities nearby
3067,2019-04-26 10:14:17,Loadging and Boarding,Hotel/ Guest House/ Resort,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,28.34122,93.6919,Approved,https://smartvillage.imagetrekk.com/storage/images/GMHWYznFMhC00Mvf2jD9u7ZezYjn7IUMOvVjDH7t.jpeg?asset_id=3067,Tourist lodge not functioning,Kacha Road,0.6,4G Unreliable,"[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]",0,1,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,Yes,Yes,Yes,Yes,No,,Tap Water from Government,,Water from Government,,2,5,"[""Family rooms""]",0,"[""Cash payment""]",0,0,0,"[""None of the above""]",None of the above,,"[""Others""]",Others,"[""None of the above""]",No,"[""None of the above""]","[""None of the above""]",0,0,"[""June""]",Pvt cars
3161,2019-05-02 08:03:16,Loadging and Boarding,Hotel/ Guest House/ Resort,kejang pema,Religion,In Use,West Kameng,Dirang,Dirang,27.69626,93.52711,Approved,https://smartvillage.imagetrekk.com/storage/images/v0cubaOSFDxhy9ShiDFVwGf9cNz0GTSHV7tWQC7L.jpeg?asset_id=3161,Guest house at Leung Gompa,Pakka Road,4,4G Unreliable,"[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]",0,2,No,,Invertor,1,1,1,1,1,1,No,,No,,Traditional Book Keeping,,"[""Nil""]",No,,Yes,Yes,Yes,Yes,Yes,3,Tap Water from Government,,Water from Government,,0,10,"[""Family rooms""]",5,"[""Cash payment""]",20,0,1000,"[""Geyser"",""Garden"",""Parking lots"",""Television""]",None of the above,,"[""Booking sites""]",Booking sites,"[""None of the above""]",No,"[""Phone calls""]","[""None of the above""]",10000,8000,"[""March"",""April"",""May"",""October"",""November"",""December""]",Others
3162,2019-05-02 08:06:49,Loadging and Boarding,Hotel/ Guest House/ Resort,kejang pema,Religion,In Use,West Kameng,Dirang,Dirang,27.69626,93.52711,Pending,https://smartvillage.imagetrekk.com/storage/images/sivi97lWnJa8oQw1xGdGubMpf1jnLgoNa0dDg79s.jpeg?asset_id=3162,Guest house at Leung Gompa,Pakka Road,4,4G Unreliable,"[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]",0,2,No,,Invertor,1,1,1,1,1,1,No,,No,,Traditional Book Keeping,,"[""Nil""]",No,,Yes,Yes,Yes,Yes,Yes,3,Tap Water from Government,,Water from Government,,0,10,"[""Family rooms""]",5,"[""Cash payment""]",20,0,1000,"[""Geyser"",""Garden"",""Parking lots"",""Television""]",None of the above,,"[""Booking sites""]",Booking sites,"[""None of the above""]",No,"[""Phone calls""]","[""None of the above""]",10000,8000,"[""March"",""April"",""May"",""October"",""November"",""December""]",Others
3657,2019-05-07 08:08:15,Loadging and Boarding,Hotel/ Guest House/ Resort,kino tallo,Government,In Use,Papumpare,Sangdupota,Jote,27.04677,93.46476,Approved,https://smartvillage.imagetrekk.com/storage/images/tRkN8KuBb7vA56OsFzaft3N9LEpp8X0wueUPaAlp.jpeg?asset_id=3657,Resort/ homestays,Kacha Road,18,2G Reliable,"[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]",0,1,Yes,1,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support""]",No,,Yes,Yes,Yes,Yes,Yes,1,Tap Water from Government,,Water from Government,,0,3,"[""Family rooms""]",2,"[""Cash payment""]",10,0,1500,"[""Parking lots"",""Television"",""Recreation centre""]",None of the above,,"[""Advertising by the tourism dept"",""Display boards in and around the site"",""Newspaper advertisements""]",Display boards in and around the site,"[""Through social media""]",No,"[""Phone calls"",""Through social media""]","[""Tourism Centres"",""Tour operators""]",6000,0,"[""January"",""February"",""December""]",Pvt cars
5014,2019-05-12 17:30:31,Loadging and Boarding,Hotel/ Guest House/ Resort,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.56813,93.85298,Approved,https://smartvillage.imagetrekk.com/storage/images/yrgQuSRGhof2Tn4Ec7GkDlrEBjWvNrClb57Q87S4.jpeg?asset_id=5014,Nago Putu Hotel no. (4) at near Dree ground,Kacha Road,5,3G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]",2,2,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Nil""]",No,,Yes,No,Yes,Yes,Yes,5,Tap Water from Government,,Water from Government,,0,0,"[""Others ""]",4,"[""Cash payment""]",10,0,0,"[""Restaurant"",""Parking lots""]",None of the above,,"[""Word of mouth from former customers""]",Word of mouth from former customers,"[""None of the above""]",Yes,"[""None of the above""]","[""None of the above""]",10000,5000,"[""January"",""February"",""March"",""July"",""September"",""December""]",Private cab services booked by themselves
5016,2019-05-12 17:31:15,Loadging and Boarding,Hotel/ Guest House/ Resort,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.56834,93.84182,Approved,https://smartvillage.imagetrekk.com/storage/images/exCxisKkr5tZiczdBURHM27e9NkXFCmS1mco8kb3.jpeg?asset_id=5016,Ziro palace In no. (4) at biirii area,Kacha Road,5,3G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]",6,6,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Digital Records- Using Computer/Mobile,,"[""Nil""]",Yes,Billing and visitors record,Yes,Yes,Yes,Yes,Yes,6,Tap Water from Government,,Water from Government,,2,1,"[""Deluxe rooms"",""Dormitory"",""Suites"",""Single bedrooms"",""Family rooms""]",12,"[""Cash payment"",""Debit card"",""Credit card"",""E-payment""]",40,6000,6000,"[""Restaurant"",""Geyser"",""Room heater"",""Vehicle arrangement"",""Parking lots"",""Television"",""Newspapers""]",None of the above,,"[""Word of mouth from former customers"",""Booking sites"",""Online portals and articles"",""Advertising by the tourism dept"",""Display boards in and around the site""]",Word of mouth from former customers,"[""Make my Trip"",""Go Ibibo"",""Through social media""]",Yes,"[""Through social media"",""Phone calls"",""Emails"",""Text messages"",""Others ""]","[""Tour operators"",""Tourism Centres""]",4,2,"[""January"",""February"",""March"",""July"",""September"",""October"",""November"",""December""]",Private cab services booked by themselves
5017,2019-05-12 17:31:32,Loadging and Boarding,Hotel/ Guest House/ Resort,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.56864,93.84212,Approved,https://smartvillage.imagetrekk.com/storage/images/4vLGRGndtkJwbIQwzV9AxBOAsabJ9976eaGM3hye.jpeg?asset_id=5017,Ziro valley Resort no. (2) at biirii area,Kacha Road,5,3G Unreliable,"[""Airtel"",""Vodafone"",""Jio""]","[""Airtel"",""Vodafone"",""Jio""]","[""Airtel"",""Vodafone"",""Jio""]","[""Airtel"",""Vodafone"",""Jio""]","[""Airtel"",""Vodafone"",""Jio""]","[""Airtel"",""Vodafone"",""Jio""]",20,5,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Digital Records-Online,,"[""Nil""]",Yes,Visitors record,Yes,Yes,Yes,Yes,Yes,6,Tap Water from Government,,Water from Government,,8,6,"[""Dormitory"",""Deluxe rooms"",""Single bedrooms"",""Suites"",""Family rooms""]",25,"[""Cash payment"",""Debit card"",""Credit card"",""E-payment""]",100,2500,3000,"[""Restaurant"",""Garden"",""Room heater"",""Vehicle arrangement"",""Telephone service"",""Conference halls"",""Parking lots"",""Television""]",None of the above,,"[""Online portals and articles"",""Word of mouth from former customers"",""Advertising by the tourism dept"",""Display boards in and around the site"",""Booking sites""]",Word of mouth from former customers,"[""Through social media""]",No,"[""Through social media"",""Phone calls"",""Text messages"",""Emails""]","[""Tour operators"",""Trekking guides"",""Cab services""]",5,2,"[""January"",""February"",""March"",""July"",""September"",""December""]",Cab service provide by your home-stay
5018,2019-05-12 17:32:18,Loadging and Boarding,Hotel/ Guest House/ Resort,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.5673,93.84572,Approved,https://smartvillage.imagetrekk.com/storage/images/wQOkJxhbyxeGdwtD8Kt6wFovJpO2Zu44ZRtxjHVo.jpeg?asset_id=5018,Tourist lodge no. (1) at biirii area,Kacha Road,5,3G Unreliable,"[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]",2,7,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Nil""]",No,,Yes,Yes,Yes,Yes,Yes,5,Tap Water from Government,,Water from Government,,3,3,"[""Deluxe rooms"",""Single bedrooms"",""Family rooms""]",5,"[""Cash payment""]",10,1500,3000,"[""Restaurant"",""Room heater"",""Vehicle arrangement"",""Parking lots"",""Television"",""Conference halls""]",None of the above,,"[""Word of mouth from former customers"",""Advertising by the tourism dept"",""Booking sites""]",Word of mouth from former customers,"[""Through social media""]",No,"[""Phone calls"",""Text messages"",""Through social media""]","[""Government departments"",""Tourism Centres"",""Tour operators""]",1,1,"[""January"",""February"",""March"",""July"",""December""]",Private cab services booked by themselves
