id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the LPG Dealer/Shop?,How much distance should one travel from this LPG Dealer/Shop to avail public transport facility? (in K.M),What is the type of the mobile network available at the LPG Dealer/Shop?,What are different Mobile network service providers available at the location of this LPG Dealer/Shop?,What are different Mobile network service providers available at the location of this LPG Dealer/Shop?,What are different Mobile network service providers available at the location of this LPG Dealer/Shop?,What are different Mobile network service providers available at the location of this LPG Dealer/Shop?,What are different Mobile network service providers available at the location of this LPG Dealer/Shop?,What are different Mobile network service providers available at the location of this LPG Dealer/Shop?,What is the type of structure of this LPG Dealer/Shop?,What are the working hours of this LPG Dealer/Shop?,What are the working days of that LPG Dealer/Shop?,How many people are working in the LPG Dealer/Shop?,Where do you get drinking water from for using at this LPG Dealer/Shop?,How much do you pay per litre of bottled water?,Are there toilets available for public usage at this LPG Dealer/Shop?,Are there toilets available seperately as per gender at this LPG Dealer/Shop?,Is there running water available in the toilets at this asset?,Is there soap for handwash available next to the sink?,How do you deal with the waste generated from that LPG Dealer/Shop?,What are the other mechanism used to discard the waste from this LPG Dealer/Shop?,Are the premises of this LPG Dealer/Shop cleaned with disinfectant regularly?,How frequently are the premises at this LPG Dealer/Shop cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this LPG Dealer/Shop?,How many hours per day are you facing power cuts at this LPG Dealer/Shop?,What is the alternative energy source available for that LPG Dealer/Shop?,How many hours do you rely on the alternative energy source in a day for that LPG Dealer/Shop?,How many hours do you rely on the alternative energy source in a day for that LPG Dealer/Shop?,How many hours do you rely on the alternative energy source in a day for that LPG Dealer/Shop?,How many hours do you rely on the alternative energy source in a day for that LPG Dealer/Shop?,How many hours do you rely on the alternative energy source in a day for that LPG Dealer/Shop?,How many hours do you rely on the alternative energy source in a day for that LPG Dealer/Shop?,Is there landline connectivity for that LPG Dealer/Shop?,What is the number with STD Code?,Does this LPG Dealer/Shop have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for this LPG Dealer/Shop?,What are other type of book keeping methods used in the LPG Dealer/Shop?,What are the areas the LPG Dealer/Shop gets support from government agencies?,Do you get any support from NGO(s) for this LPG Dealer/Shop?,From what Organization(s) did you get support?,Are you using any digital technologies that can be used in the LPG Dealer/Shop?,What purpose are you using digital tools here at this LPG Dealer/Shop?,Is Home delivery service available?,Do you charge extra for that?,Is there Telephone booking facility available?,Is there any fire equipment in the centre?,Are the Employees sufficient in the shop?
2818,2019-04-18 05:18:32,Food & Civil Supplies,LPG Dealer/Shop,joram temin,Government,In Use,Lower Subansiri,Yachuli,Toon,27.47123,93.7728,Approved,https://smartvillage.imagetrekk.com/storage/images/9rziY3os1w2ImmLOIFESs4KCiLaXO013Cp8Z2Ru4.jpeg?asset_id=2818,LPG Dealer,3,Kacha Road,1,3G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",9:0 to 16:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",5,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,1,Yes,2,None,,,,,,,No,,No,,Digital Records-Online,,"[""Financial Support""]",No,,Yes,"[""Accounts""]",No,,Yes,Yes,Yes
3365,2019-05-05 11:27:36,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.64541,93.80959,Approved,https://smartvillage.imagetrekk.com/storage/images/yhbxikqLyGWd4d57Xrqf9xJghtYej82tzCOibAMw.jpeg?asset_id=3365,good,1,Pakka Road,2,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",9:30 to 17:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday"",""Sunday""]",2,Tap Water from Government,,Yes,No,No,No,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
3379,2019-05-05 11:33:43,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.58702,93.90339,Approved,https://smartvillage.imagetrekk.com/storage/images/MhfCQbk5LOMWSMFxwwbwgYaz7JXDB4NxRHny8Zmf.jpeg?asset_id=3379,good,1,Kacha Road,2,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)",8:0 to 4:0,"[""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday"",""Monday"",""Sunday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,2,Invertor,2,2,2,2,2,2,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
3401,2019-05-05 12:09:01,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.58348,93.83154,Approved,https://smartvillage.imagetrekk.com/storage/images/RpGdiuKBudwd7sEGfDSjqT8tkpjJD98JRidItnks.jpeg?asset_id=3401,good,1,Pakka Road,2,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",5:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday"",""Sunday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,No
3402,2019-05-05 12:10:37,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.58348,93.83154,Approved,https://smartvillage.imagetrekk.com/storage/images/o6bUKeqDhanzzTumq26hB7j7wv7k982DkvaR1Dl8.jpeg?asset_id=3402,good,1,Pakka Road,2,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",5:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday"",""Sunday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,No
3561,2019-05-06 09:59:05,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.53392,93.80759,Approved,https://smartvillage.imagetrekk.com/storage/images/PvOjz565wqAZs9vh7XIHuvVzORGnid8x06cAEY5X.jpeg?asset_id=3561,shop 1,1,Pakka Road,2,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 4:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday"",""Sunday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
3681,2019-05-07 10:52:25,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.60295,93.83952,Rejected,https://smartvillage.imagetrekk.com/storage/images/mNs0inA42HBABpER1Jg5M4W2AobuH2D8Iae7AQ8k.jpeg?asset_id=3681,nenchaya shop 3,1,Pakka Road,1,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 18:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday"",""Sunday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
3683,2019-05-07 10:52:26,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.6171,93.8515,Approved,https://smartvillage.imagetrekk.com/storage/images/rXJy4CBhZHlK7RAkibrTzVrWBfEYFDQTtIaW03H7.jpeg?asset_id=3683,nenchaya shop 1,1,Pakka Road,1,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",5:0 to 19:0,"[""Sunday"",""Saturday"",""Friday"",""Thusday"",""Wednesday"",""Tuesday"",""Monday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
3684,2019-05-07 10:52:26,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.61887,93.88143,Approved,https://smartvillage.imagetrekk.com/storage/images/D8NL6EWSq3FpsRdmILGabS2aLIPBMcaHyC92KCwY.jpeg?asset_id=3684,nenchaya shop 5,1,Pakka Road,1,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 18:0,"[""Sunday"",""Saturday"",""Friday"",""Thusday"",""Wednesday"",""Tuesday"",""Monday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
3685,2019-05-07 10:52:27,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.61003,93.89341,Approved,https://smartvillage.imagetrekk.com/storage/images/I5VIjUab9EW4zVp4ixrk7xLaDHwic6D80yJEjq3Y.jpeg?asset_id=3685,nenchaya shop 4,1,Pakka Road,1,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 18:0,"[""Sunday"",""Saturday"",""Friday"",""Thusday"",""Wednesday"",""Monday"",""Tuesday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
