id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available to the asset?,How much distance should one travel from this asset to avail public transport facility?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,Where do you get drinking water from for using at this asset?,How much do you pay per litre of bottled water?,Are there toilets available for public usage and for the employees at this asset?,Are there toilets available separately as per gender at this asset?,Is there running water available in the washrooms?,Is there soap available for hand-wash ?,How do you deal with the waste created from visitors at this site?,What are the other mechanism used to discard the waste from this asset?,Do you use digital tools for your operations for this asset?,For what purpose are you using digital tools here at this asset?,Select the categories applicable,How much do you pay per litre of bottled water?,What is the footfall in a week?,How do you document the visitors coming to your site?,On which months do you receive the maximum number of customers?,What is the entry fee charge?,How is the place advertised to prospective visitors?,Is the site listed in the tourism department’s website?,Which of the following does the compound have?,Which of the following provisions are available?,What are the provisions available for the differently abled?,What other provisions are available for the differently abled?,How often is the cleaning and maintenance work done in the spot?,Are there entities working for the conservation of the spot?,Name the entity,Describe the involvement of the local community in the running and management of the structure?,What makes this site special and unique compared to similar sites?
696,2019-02-07 11:27:30,Tourism,Nature Related,phassang kamak,Government,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.12329,93.75955,Approved,https://smartvillage.imagetrekk.com/storage/images/y6DXpRJQr4jYmHKZaw0ie8c8NLLK9N5memJGM1iF.jpeg?asset_id=696,_,Pakka Road,1,4G Reliable,"[""Airtel"",""Jio""]","[""Airtel"",""Jio""]","[""Airtel"",""Jio""]","[""Airtel"",""Jio""]","[""Airtel"",""Jio""]","[""Airtel"",""Jio""]",Bottled Water,20,No,,,,Burnt within the premises,,No,,Lake,20,2,Traditional Book Keeping,"[""June"",""August"",""July""]",0,"[""Display boards around the site ""]",No,"[""Display of information about the structure""]","[""None of the above""]",None of the above,,Everyday,No,,No Involvement,Restaurant
1064,2019-02-15 08:17:37,Tourism,Nature Related,hibu yagam,Private,Repairable,Papumpare,Doimukh,Chiputa,27.17505,93.7832,Approved,https://smartvillage.imagetrekk.com/storage/images/byVmYXi17gccYxuznfRibY491PwJvvfe2CrXF59n.jpeg?asset_id=1064,place,Kaccha Road,3,4G Reliable,"[""Vodafone"",""Airtel"",""Jio""]","[""Vodafone"",""Airtel"",""Jio""]","[""Vodafone"",""Airtel"",""Jio""]","[""Vodafone"",""Airtel"",""Jio""]","[""Vodafone"",""Airtel"",""Jio""]","[""Vodafone"",""Airtel"",""Jio""]",Bottled Water,20,No,,,,Burnt within the premises,,No,,River,20,20,Traditional Book Keeping,"[""January"",""December""]",200,"[""Word of mouth from former customers""]",No,"[""Parking area""]","[""Photographers on the site ""]",None of the above,,Everyday,No,,Minimal involvement,beauty of natural scenery
1520,2019-02-24 10:22:51,Tourism,Nature Related,oyi gao,Government,In Use,East Siang,Pasighat,Rengging,28.14042,95.27555,Approved,https://smartvillage.imagetrekk.com/storage/images/qy582kKTMz9Y03LA84DP1jQmWZqYFoIMml0tUS2P.jpeg?asset_id=1520,view point,Pakka Road,1,2G Reliable,"[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]",Others,,No,,,,Discarded in Open Field,,No,,,,1,No documentation,"[""December"",""February"",""March"",""April"",""January"",""May"",""June"",""July"",""August"",""September"",""October"",""November""]",0,"[""None of the above""]",Yes,"[""None of the above""]","[""None of the above""]",None of the above,,Less than once a week,No,,Minimal involvement,
2314,2019-03-07 05:27:26,Tourism,Nature Related,phassang kamak,Government,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.12296,93.75928,Approved,https://smartvillage.imagetrekk.com/storage/images/jptSGtXB4o81Ow6ByskdmaHmXL9fDNHddWORFTmq.jpeg?asset_id=2314,_,Pakka Road,1,4G Reliable,"[""Vodafone"",""BSNL"",""Airtel"",""Jio""]","[""Vodafone"",""BSNL"",""Airtel"",""Jio""]","[""Vodafone"",""BSNL"",""Airtel"",""Jio""]","[""Vodafone"",""BSNL"",""Airtel"",""Jio""]","[""Vodafone"",""BSNL"",""Airtel"",""Jio""]","[""Vodafone"",""BSNL"",""Airtel"",""Jio""]",Ground Water,,Yes,Yes,Yes,Yes,Burnt within the premises,,No,,Lake,,2,Traditional Book Keeping,"[""June"",""July""]",0,"[""Display boards around the site ""]",Yes,"[""None of the above""]","[""Photographers on the site ""]",None of the above,,Everyday,No,,Minimal involvement,its good lodge and restuarant for visitor
2387,2019-03-13 06:04:03,Tourism,Nature Related,dobum raju,Government,In Use,Papumpare,Doimukh,Lekha,27.16713,93.77763,Approved,https://smartvillage.imagetrekk.com/storage/images/vsiG0yIBiS9JCkHh9jh7VSQScTCgVHeaQLtRjZwL.jpeg?asset_id=2387,ok,Kaccha Road,5,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",Bottled Water,20,No,,,,Burnt within the premises,,No,,River,20,50,No documentation,"[""January"",""February"",""March"",""November"",""December""]",0,"[""Word of mouth from former customers""]",No,"[""None of the above""]","[""None of the above""]",None of the above,,Once a week,No,,Minimal involvement,River with the views of mountains
2390,2019-03-13 08:03:03,Tourism,Nature Related,dobum raju,Private,In Use,Papumpare,Doimukh,Doimukh,27.13163,93.77044,Approved,https://smartvillage.imagetrekk.com/storage/images/j1xvBBNeSygySe03hVPRQNNv9ZiaUWRhysYc8HYE.jpeg?asset_id=2390,Good,Kaccha Road,2,4G Reliable,"[""BSNL"",""Jio"",""Idea"",""Vodafone"",""Airtel""]","[""BSNL"",""Jio"",""Idea"",""Vodafone"",""Airtel""]","[""BSNL"",""Jio"",""Idea"",""Vodafone"",""Airtel""]","[""BSNL"",""Jio"",""Idea"",""Vodafone"",""Airtel""]","[""BSNL"",""Jio"",""Idea"",""Vodafone"",""Airtel""]","[""BSNL"",""Jio"",""Idea"",""Vodafone"",""Airtel""]",Ground Water,,Yes,Yes,Yes,Yes,Burnt within the premises,,No,,Pond,,200,Others,"[""January"",""February"",""March"",""April"",""November"",""December"",""May"",""June"",""July"",""August"",""September"",""October""]",0,"[""Online portals and articles"",""Word of mouth from former customers"",""Social Media"",""Advertising by the tourism dept""]",Yes,"[""Dustbins"",""Parking area"",""Public Washrooms""]","[""Boating""]",None of the above,,Everyday,Yes,Tana hari labours do this,Minimal involvement,"Boating,fishing and in future swimming pool will be added"
2531,2019-03-19 10:01:19,Tourism,Nature Related,tajum dagium,Community,In Use,Tawang,Kitpi,Kitpi,27.58763,91.97931,Approved,https://smartvillage.imagetrekk.com/storage/images/U4KTTYIcfq4XL5GhUY67R8RcnDbx0fWyVtgFpTmA.jpeg?asset_id=2531,Jang Waterfall,Kaccha Road,1,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",Spring Water,,No,,,,Burnt within the premises,,No,,Waterfall,,1,No documentation,"[""December"",""November"",""October"",""September"",""January"",""February"",""March"",""April""]",0,"[""None of the above""]",No,"[""None of the above""]","[""None of the above""]",None of the above,,Less than once a week,No,,Satisfactory involvement,valley with river along with water and also easily and safely accessible.
2538,2019-03-20 05:32:18,Tourism,Nature Related,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.55147,93.70391,Approved,https://smartvillage.imagetrekk.com/storage/images/BMN1SMXO2BlX0H2F1aCoMez2LLIpg2X9JuyEbXsC.jpeg?asset_id=2538,village nature beauty of mudang tage Village,Pakka Road,5,3G Unreliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]",Tap Water from Government,,No,,,,Burnt within the premises,,Yes,"[""Others""]",Forest,,5,Traditional Book Keeping,"[""January"",""March"",""July""]",0,"[""Advertising by the tourism dept"",""Word of mouth from former customers""]",Yes,"[""None of the above""]","[""Photographers on the site "",""Tour guides""]",None of the above,,Once a week,Yes,self and clan wise conservative,Minimal involvement,they have archological site too.
2565,2019-03-20 09:37:09,Tourism,Nature Related,tajum dagium,Community,In Use,Tawang,Kitpi,Kitpi,27.55506,91.89758,Approved,https://smartvillage.imagetrekk.com/storage/images/eM4xlnPoYdVRH2f6hapGZ7xOa3ciiHLLLs3hRQmh.jpeg?asset_id=2565,Hots Spring,Kaccha Road,10,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",Others,,No,,,,Burnt within the premises,,No,,Hot spring,,2,No documentation,"[""December"",""November"",""October"",""January"",""February"",""March"",""April"",""May"",""September""]",0,"[""None of the above"",""Advertising by the tourism dept""]",No,"[""None of the above""]","[""None of the above""]",None of the above,,Less than once a week,Yes,Karsening Welfare Association,Satisfactory involvement,Spring contain sulphur and heal many disease and it is in the basin bone melting chilled river.
2594,2019-03-21 09:55:45,Tourism,Nature Related,tajum dagium,Religion,In Use,Tawang,Kitpi,Kitpi,27.568,91.89439,Approved,https://smartvillage.imagetrekk.com/storage/images/vKemm7aaddCrSOceSAfLOMoiL1ZvE8sRpTvd8PYZ.jpeg?asset_id=2594,6th Dalai Lama Birth Place.,Kaccha Road,10,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",Tap Water from Government,10,Yes,Yes,Yes,Yes,Burnt within the premises,,No,,Others,10,0,No documentation,"[""January"",""February"",""March"",""April"",""December"",""November"",""October"",""September"",""May""]",0,"[""None of the above""]",Yes,"[""Dustbins"",""Parking area"",""Public Washrooms""]","[""None of the above""]",None of the above,,Less than once a week,Yes,Mon society and Kaesening welfare Association,High Involvement,it is Birth place of 6th Dalai Lama
