id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,What type of Open well it is by your observation?,Who built the Open well?,What is the material that is primarily used to case the Open well ?,The Open well is connected to which of the following assets ?,What is the capacity of the connected Structure ?,What is the capacity of the connected Structure ?,What is the capacity of the connected Structure ?,What is the capacity of the connected Structure ?,How do people fetch water from the Open well ?,What is the depth of the Open well that you can observe?,What are the assets that you can observe near the Open well ?,Are people using this open well on a regular basis?,For what purpose(s) are they using the water?,Were people drinking the water from this bore well while you visited this spot?,Would you drink the water from this bore well?,Are there any charges which come when getting water from this bore well?,What does one liter of water cost (in rupees)?,What is the frequency of technical maintenance or safety audit ?,How many times is the quality of water being checked?,How many times is the quality of water being checked?,How many times is the quality of water being checked?,How many times is the quality of water being checked?,How many times is the quality of water being checked?
1257,2019-02-18 06:27:14,Water,Open Wells,pema ledan thungon,Community,In Use,West Kameng,Singchung,Tenga Valley,27.20261,92.47719,Approved,https://smartvillage.imagetrekk.com/storage/images/IsaVqvVjte88ztz8tRqJw1JDu0kVIRFa6ialLyYg.jpeg?asset_id=1257,required maintenance,Pakka Road,4G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Concrete,"[""None"",""Others ""]",Deep Bore well,Communities,Cement,Storage tanks/ Underground tanks,250,250,250,250,Others,30-50 m,"[""Septic Tank""]",Yes,"[""Drinking water"",""Livestocks ""]",Yes,Yes,No,,Others,Never,Never,Never,Never,Never
3149,2019-05-02 03:08:53,Water,Open Wells,dobum raju,Private,In Use,Papumpare,Doimukh,Lekha,27.08346,93.75507,Approved,https://smartvillage.imagetrekk.com/storage/images/KC5hf0kYIU5BqdQM0OQ4LOoNiejvSF4ZLZpcL1jc.jpeg?asset_id=3149,good,Kacha Road,4G Reliable,"[""Vodafone "",""BSNL "",""Jio "",""Airtel "",""Idea ""]","[""Vodafone "",""BSNL "",""Jio "",""Airtel "",""Idea ""]","[""Vodafone "",""BSNL "",""Jio "",""Airtel "",""Idea ""]","[""Vodafone "",""BSNL "",""Jio "",""Airtel "",""Idea ""]","[""Vodafone "",""BSNL "",""Jio "",""Airtel "",""Idea ""]","[""Vodafone "",""BSNL "",""Jio "",""Airtel "",""Idea ""]",Concrete,"[""None""]",Deep Bore well,Others,Cement,None,,,,,Electrical Motor,51-70m,"[""None""]",Yes,"[""Drinking water"",""Farming "",""Livestocks ""]",Yes,Yes,No,,Irregular,Irregular,Irregular,Irregular,Irregular,Irregular
3300,2019-05-05 03:40:25,Water,Open Wells,karik tamuk,Private,In Use,East Siang,Sille-Oyan,Sika-Bamin,27.91098,95.34241,Approved,https://smartvillage.imagetrekk.com/storage/images/F50IhnVDfdzQbsZlVm6hOLLMFgtfd3z9UbFWr1dq.jpeg?asset_id=3300,"open well , 40 feet depth, obuk saroh",Kacha Road,4G Reliable,"[""Jio "",""BSNL "",""Airtel ""]","[""Jio "",""BSNL "",""Airtel ""]","[""Jio "",""BSNL "",""Airtel ""]","[""Jio "",""BSNL "",""Airtel ""]","[""Jio "",""BSNL "",""Airtel ""]","[""Jio "",""BSNL "",""Airtel ""]",Concrete,"[""None""]",Deep Bore well,Others,Cement,None,,,,,Electrical Motor,30-50 m,"[""None""]",Yes,"[""Drinking water"",""Livestocks ""]",Yes,Yes,No,,Yearly,Yearly,Yearly,Yearly,Yearly,Yearly
3383,2019-05-05 11:36:17,Water,Open Wells,bullo tatung,Community,In Use,Lower Subansiri,Ziro,Hija,27.59764,93.85749,Approved,https://smartvillage.imagetrekk.com/storage/images/E5l785CYzKhwAVyY4gQcFkVK2MDPlJfpXPU8IsXl.jpeg?asset_id=3383,not so good,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Concrete,"[""None""]",Shallow Bore well,Naturally found,None,None,,,,,Others,30-50 m,"[""None""]",Yes,"[""Livestocks ""]",No,Yes,No,,Irregular,Irregular,Irregular,Irregular,Irregular,Irregular
3384,2019-05-05 11:37:06,Water,Open Wells,bullo tatung,Community,In Use,Lower Subansiri,Ziro,Hija,27.59764,93.85749,Approved,https://smartvillage.imagetrekk.com/storage/images/11wwCXJLzo8COJbwesYJ7XZ9g2JBBGe8dwIioCkH.jpeg?asset_id=3384,not so good,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Concrete,"[""None""]",Shallow Bore well,Naturally found,None,None,,,,,Others,30-50 m,"[""None""]",Yes,"[""Livestocks ""]",No,Yes,No,,Irregular,Irregular,Irregular,Irregular,Irregular,Irregular
3385,2019-05-05 11:38:06,Water,Open Wells,bullo tatung,Community,In Use,Lower Subansiri,Ziro,Hija,27.59764,93.85749,Approved,https://smartvillage.imagetrekk.com/storage/images/1r3JVYaDuAYfLG9WZeH1uawAo9qUXAVlBVdxpERz.jpeg?asset_id=3385,not so good,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Concrete,"[""None""]",Shallow Bore well,Naturally found,None,None,,,,,Others,30-50 m,"[""None""]",Yes,"[""Livestocks ""]",No,Yes,No,,Irregular,Irregular,Irregular,Irregular,Irregular,Irregular
3386,2019-05-05 11:38:45,Water,Open Wells,bullo tatung,Community,In Use,Lower Subansiri,Ziro,Hija,27.59764,93.85749,Rejected,https://smartvillage.imagetrekk.com/storage/images/RaU2P7exFRiczRhFVEMWLzV5O27MlVkcdzlkWju2.jpeg?asset_id=3386,not so good,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Concrete,"[""None""]",Shallow Bore well,Naturally found,None,None,,,,,Others,30-50 m,"[""None""]",Yes,"[""Livestocks ""]",No,Yes,No,,Irregular,Irregular,Irregular,Irregular,Irregular,Irregular
3578,2019-05-06 10:00:51,Water,Open Wells,bullo tatung,Community,In Use,Lower Subansiri,Ziro,Hija,27.57463,93.86946,Approved,https://smartvillage.imagetrekk.com/storage/images/0g7dmCpzrbW3LS8IGbkzPu5FHgveKP7hvkNISavE.jpeg?asset_id=3578,kimey sukung 1,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Concrete,"[""None""]",Shallow Bore well,Naturally found,Cement,Over ground tanks,2000,2000,2000,2000,With Simple Bucket and Rope,30-50 m,"[""None""]",Yes,"[""Livestocks ""]",Yes,Yes,No,,Yearly,Yearly,Yearly,Yearly,Yearly,Yearly
3944,2019-05-08 12:35:42,Water,Open Wells,padi tara,Community,In Use,Lower Subansiri,Ziro,Reru,27.59832,93.84339,Approved,https://smartvillage.imagetrekk.com/storage/images/b4TOmbCme860NDnU5e8ehEw9BUEOoa3yP8GV6Na5.jpeg?asset_id=3944,padi sukung,Kacha Road,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Others,"[""Financial Support""]",Deep Bore well,Communities,Cement,Storage tanks/ Underground tanks,500,500,500,500,None,30-50 m,"[""None""]",Yes,"[""Drinking water""]",Yes,Yes,No,,Yearly,Yearly,Yearly,Yearly,Yearly,Yearly
3950,2019-05-08 12:36:24,Water,Open Wells,padi tara,Community,In Use,Lower Subansiri,Ziro,Reru,27.59785,93.84384,Approved,https://smartvillage.imagetrekk.com/storage/images/Oxj3ItaWsIdSw21bimEwMfHlXxxyafbtvJtRtPSO.jpeg?asset_id=3950,kuru sukung,Pakka Road,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Others,"[""None""]",Deep Bore well,Communities,Cement,None,,,,,Others,Above 150m,"[""None""]",Yes,"[""Drinking water""]",Yes,Yes,No,,Yearly,Yearly,Yearly,Yearly,Yearly,Yearly
3951,2019-05-08 12:36:32,Water,Open Wells,padi tara,Community,In Use,Lower Subansiri,Ziro,Reru,27.59816,93.845,Approved,https://smartvillage.imagetrekk.com/storage/images/6NfMT0ZyWGYSBk3plsGqJMnR37OEUKTQs36nD4vj.jpeg?asset_id=3951,nenker sukung,Kacha Road,2G Reliable,"[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]",Others,"[""Financial Support""]",Deep Bore well,Communities,Cement,Storage tanks/ Underground tanks,1000,1000,1000,1000,None,Above 150m,"[""None""]",Yes,"[""Drinking water""]",Yes,Yes,No,,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly
4065,2019-05-09 12:59:19,Water,Open Wells,padi tara,Community,In Use,Lower Subansiri,Ziro,Reru,27.59728,93.8444,Approved,https://smartvillage.imagetrekk.com/storage/images/YWodTwtfneF9r9AviAJcX36xAomPqdRLF6irMt8l.jpeg?asset_id=4065,habung sukung 1,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Others,"[""None""]",Shallow Bore well,Naturally found,Cement,Storage tanks/ Underground tanks,500,500,500,500,None,30-50 m,"[""None""]",Yes,"[""Drinking water""]",Yes,Yes,No,,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly
