id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,What are the other mechanism used to collect the waste water ?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,The Over Ground water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,What is the type of the material that is used to cover the roof of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank ?,Are there any water level indicators marked?,What is the frequency of technical maintenance or safety audit ?,,,,,,,,,,,,,,,,,,,
849,2019-02-12 11:19:13,Water,Over Ground Tanks,shri joram nera,Government,In Use,Lower Subansiri,Yachuli,Jara,27.52888,93.77452,Approved,https://smartvillage.imagetrekk.com/storage/images/zFVy17zoiz4Sy0Unr481KdLDuyEPS8eJcrska8Uu.jpeg?asset_id=849,"Need cover tank, maintenance/renovation",Footway,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Support via Schemes""]",Discarded in Open Field,,No,,Concrete,No,150,None,1,1,No,Yearly,,,,,,,,,,,,,,,,,,,
850,2019-02-12 11:19:48,Water,Over Ground Tanks,shri joram nera,Government,In Use,Lower Subansiri,Yachuli,Jara,27.53079,93.77519,Approved,https://smartvillage.imagetrekk.com/storage/images/Qkr5F5c0ezjeyDatmumFfHlbFRKY66makdZka19F.jpeg?asset_id=850,Need cover roof tank and good condition.,Footway,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Support via Schemes""]",Discarded in Open Field,,Yes,1,Concrete,No,4000,None,1,1,No,Yearly,,,,,,,,,,,,,,,,,,,
851,2019-02-12 11:48:29,Water,Over Ground Tanks,undefined,Government,In Use,Tirap,Khonsa,Khonsa I,27.00585,95.49954,Approved,https://smartvillage.imagetrekk.com/storage/images/r7dndjrE9ttHuhROQodzj5A1HpevwiD1VPVHuvT9.jpeg?asset_id=851,in deplorable condition,Kacha Road,4G Reliable,"[""Jio"",""Airtel"",""Vodafone""]","[""Jio"",""Airtel"",""Vodafone""]","[""Jio"",""Airtel"",""Vodafone""]","[""Jio"",""Airtel"",""Vodafone""]","[""Jio"",""Airtel"",""Vodafone""]","[""Jio"",""Airtel"",""Vodafone""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Support via Subsidies""]",Discarded in Open Field,,No,,Concrete,No,50000,None,1,2,No,Never,,,,,,,,,,,,,,,,,,,
895,2019-02-13 07:42:54,Water,Over Ground Tanks,makba nasi,Government,In Use,Tirap,Khonsa,Kheti,26.96085,95.50946,Approved,https://smartvillage.imagetrekk.com/storage/images/NLBVAGw3UwW8REymUL6zN0x5LeIDlwY8DvlXiGVQ.jpeg?asset_id=895,water tank,Footway,4G Reliable,"[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support""]",Discarded in Open Field,,No,,Concrete,No,6000,Tin sheets,2,2,No,Yearly,,,,,,,,,,,,,,,,,,,
922,2019-02-13 10:16:08,Water,Over Ground Tanks,undefined,Government,Not in Use,Tirap,Khonsa,Khonsa I,27.00244,95.51001,Approved,https://smartvillage.imagetrekk.com/storage/images/obEnuSnmhI4BGHSjVLhRGfQWgC0ir5UJlyOCGFLb.jpeg?asset_id=922,khonsa over ground water tank,Kacha Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Support via Schemes""]",Mixes with the near by Water Bodies,,No,,Concrete,Yes,8000,Cement Slabs,1,1,No,Never,,,,,,,,,,,,,,,,,,,
969,2019-02-14 04:28:44,Water,Over Ground Tanks,kamchi techi,Government,In Use,Changlang,Changlang,Changlang (CT),27.13576,95.72649,Approved,https://smartvillage.imagetrekk.com/storage/images/BfSZnwW0J65Ak2TxIylixyYffXK0uzNZEiIVxDfk.jpeg?asset_id=969,village name is Laktong,Pakka Road with Block Point,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support"",""Technical Support""]",Discarded in Open Field,,No,,Concrete,No,3000,Cement Slabs,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
980,2019-02-14 04:51:39,Water,Over Ground Tanks,kamchi techi,Government,In Use,Changlang,Changlang,Changlang (CT),27.13738,95.72607,Approved,https://smartvillage.imagetrekk.com/storage/images/sGmuu0zcmTG6u11n6eML4Bg5EJuEw4rNjgs1iXdT.jpeg?asset_id=980,Village name is Laktong,Pakka Road with Block Point,3G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support"",""Technical Support""]",Discarded in Open Field,,No,,PVC,No,1000,PVC sheets,2,1,No,Irregular,,,,,,,,,,,,,,,,,,,
1023,2019-02-15 04:50:25,Water,Over Ground Tanks,makba nasi,Private,In Use,Tirap,Khonsa,Kheti,26.97144,95.50592,Approved,https://smartvillage.imagetrekk.com/storage/images/tyCYq38LFmZifmpmUBabGvybzPvp0RUKBpn1LIsz.jpeg?asset_id=1023,water tank,Footway,4G Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Discarded in Open Field,,Yes,1,Concrete,No,10000,Cement Slabs,3,1,No,Yearly,,,,,,,,,,,,,,,,,,,
1026,2019-02-15 05:08:18,Water,Over Ground Tanks,hanhap taiju,Government,In Use,Changlang,Changlang,Changlang (CT),27.13566,95.74436,Approved,https://smartvillage.imagetrekk.com/storage/images/iOxa0mgteM01qsMoJusZ9Ph9qBKvNBX6x7ipmqQn.jpeg?asset_id=1026,Village name is New Changlang,Footway,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support"",""Technical Support""]",Discarded in Open Field,,No,,Concrete,No,10000,Cement Slabs,2,2,No,Irregular,,,,,,,,,,,,,,,,,,,
1170,2019-02-16 04:18:28,Water,Over Ground Tanks,panwang wangsa,Government,In Use,Tirap,Khonsa,Kaimoi,27.03924,95.49654,Approved,https://smartvillage.imagetrekk.com/storage/images/yUEgFer1xPKp7tv0N41are5iq5M3dV4TRzathzqC.jpeg?asset_id=1170,over ground water tank in use Kaimai 6,Pakka Road,4G Reliable,"[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Discarded in Open Field,,No,,Steel,No,2000,Steel,1,1,No,Never,,,,,,,,,,,,,,,,,,,
