id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,What are the other mechanism used to collect the waste water ?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,The Overhead water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank?,Are there any devices connected to see the water level?,What is the frequency of technical maintenance or safety audit ?
711,2019-02-08 07:31:46,Water,Over Head Tanks,bullo tagia,Government,In Use,Papumpare,Kimin,Durpa,27.30229,93.96906,Approved,https://smartvillage.imagetrekk.com/storage/images/z9MHBYWNlcbywtpDFFhwY0lQApqvgXpDvVDBjGoh.jpeg?asset_id=711,Santi nagar kimin 3 sample,Pakka Road,3G Reliable,"[""Airtel "",""Jio ""]","[""Airtel "",""Jio ""]","[""Airtel "",""Jio ""]","[""Airtel "",""Jio ""]","[""Airtel "",""Jio ""]","[""Airtel "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]","[""Financial Support"",""Technical Support"",""Support via Schemes""]",Mixes with the near by Water Bodies,,Yes,2,Concrete,Yes,5000,1,1,No,Monthly
1056,2019-02-15 07:49:44,Water,Over Head Tanks,oyi gao,Government,In Use,East Siang,Pasighat,Rengging,28.14291,95.27192,Rejected,https://smartvillage.imagetrekk.com/storage/images/Qs8YupTrpkKKbXUAz6RywYBXGk09SWs1lkUTRjAa.jpeg?asset_id=1056,done,Kacha Road,2G Unreliable,"[""Airtel "",""Jio "",""Vodafone ""]","[""Airtel "",""Jio "",""Vodafone ""]","[""Airtel "",""Jio "",""Vodafone ""]","[""Airtel "",""Jio "",""Vodafone ""]","[""Airtel "",""Jio "",""Vodafone ""]","[""Airtel "",""Jio "",""Vodafone ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]","[""Support via Schemes""]",Discarded in Open Field,,Yes,7,Concrete,No,12150,2,2,No,Irregular
1239,2019-02-17 05:18:53,Water,Over Head Tanks,oyi gao,Government,In Use,East Siang,Pasighat,Rengging,28.14189,95.26929,Rejected,https://smartvillage.imagetrekk.com/storage/images/xHFfpKbyMHjz7pxV6SFuWFOHWYufKWvKSJG3CdXJ.jpeg?asset_id=1239,water tank done,Footway,2G Reliable,"[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""Technical Support""]",Discarded in Open Field,,Yes,7,Concrete,No,3000,2,>4,No,Irregular
1240,2019-02-17 05:19:04,Water,Over Head Tanks,oyi gao,Government,In Use,East Siang,Pasighat,Rengging,28.143,95.27153,Rejected,https://smartvillage.imagetrekk.com/storage/images/nwjOQ8lvE4weUTgVJ3rCPs3D5dm2RWnaUSUVvzvP.jpeg?asset_id=1240,water tank done,Footway,2G Reliable,"[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]","[""Technical Support""]",Discarded in Open Field,,No,7,Concrete,No,6000,2,1,No,Irregular
1412,2019-02-22 10:16:51,Water,Over Head Tanks,tadu kani,Government,In Use,Lower Subansiri,Ziro,Hari,27.58457,93.84316,Approved,https://smartvillage.imagetrekk.com/storage/images/rtVI9cOBnd4v3QqVPBkQtWmwCnZVi3FttQNzN6a8.jpeg?asset_id=1412,hari 3,Pakka Road with Block Point,3G Unreliable,"[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""Support via Schemes""]",Mixes with the near by Water Bodies,,No,,Concrete,No,6000,4,3,No,Irregular
1447,2019-02-23 06:28:52,Water,Over Head Tanks,karik tamuk,Government,In Use,East Siang,Oyan,Sika Bamin,27.9138,95.34577,Approved,https://smartvillage.imagetrekk.com/storage/images/f9EvHt9KeH96M0DFhsCdOIYbHehz1SwlR9eYLuyI.jpeg?asset_id=1447,sika tode village constructed by PHED department,Pakka Road,4G+ Reliable,"[""Jio "",""Airtel "",""Vodafone ""]","[""Jio "",""Airtel "",""Vodafone ""]","[""Jio "",""Airtel "",""Vodafone ""]","[""Jio "",""Airtel "",""Vodafone ""]","[""Jio "",""Airtel "",""Vodafone ""]","[""Jio "",""Airtel "",""Vodafone ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]","[""Technical Support""]",Others,,No,,Concrete,No,60000,2,1,No,Yearly
1450,2019-02-23 06:48:10,Water,Over Head Tanks,karik tamuk,Private,In Use,East Siang,Oyan,Sika Bamin,27.91331,95.34677,Approved,https://smartvillage.imagetrekk.com/storage/images/iO4PRwHKA9owFHjVpb7M4gGYfHjqqJFESJc0MJrS.jpeg?asset_id=1450,sika bamin village,Pakka Road,4G+ Reliable,"[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]","[""None""]",Discarded in Govt. designated structures,,Yes,1,Concrete,No,4000,1,1,No,Yearly
1518,2019-02-24 07:27:37,Water,Over Head Tanks,tabey chijey,Government,Repairable,Shi-Yomi,Monigong,Karle,28.7402,94.30568,Rejected,https://smartvillage.imagetrekk.com/storage/images/uMRl5TUbZbLAOAYuhI3jSIDf8X8XwVUFCl2UbonC.jpeg?asset_id=1518,can be repaired as according for the growing population,Kacha Road,2G Unreliable,"[""Other ""]","[""Other ""]","[""Other ""]","[""Other ""]","[""Other ""]","[""Other ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""None""]",Mixes with the near by Water Bodies,,No,,Concrete,No,800,1,1,No,Never
1540,2019-02-25 05:38:44,Water,Over Head Tanks,nong tayeng,Government,In Use,East Siang,Mebo,Mottum,28.07828,95.44065,Approved,https://smartvillage.imagetrekk.com/storage/images/TiCGXVmCxpplskbbhEvkUED7k3Lz7BFDUYlHd3T3.jpeg?asset_id=1540,collected correct information from Shri basu basumutary water suppliers man motum village,Kacha Road,4G+ Reliable,"[""Jio ""]","[""Jio ""]","[""Jio ""]","[""Jio ""]","[""Jio ""]","[""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Watchman"",""Compound Wall\/ Fencing""]","[""Technical Support"",""Financial Support""]",Discarded in Open Field,,Yes,1,Concrete,No,20000,3,3,Yes,Monthly
1541,2019-02-25 05:42:41,Water,Over Head Tanks,nong tayeng,Government,Not in Use,East Siang,Mebo,Mottum,28.07807,95.44047,Approved,https://smartvillage.imagetrekk.com/storage/images/GilC016K8oCzRcy4gPrdeZKNb9duec8hN8Dz2Jg0.jpeg?asset_id=1541,collected correct information from Shri basu basumutary water suppliers man motum village,Kacha Road,4G+ Reliable,"[""Jio ""]","[""Jio ""]","[""Jio ""]","[""Jio ""]","[""Jio ""]","[""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Watchman"",""Compound Wall\/ Fencing""]","[""Technical Support"",""Financial Support""]",Discarded in Open Field,,No,,Steel,No,10000,1,1,No,Never
