id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel from this asset to avail public transport facility?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the working days of that asset?,How many Technical staff are employed in/for that asset?,How many Non-Technical staff are employed in/for that asset?,Where do you get drinking water from for using at this asset?,How much do you pay per litre of bottled water?,Where do you get water for operational purposes for this asset?,What are the other source of water you depend upon?,Are there toilets available for public and employees usage at this asset?,Are there toilets available separately as per gender at this asset?,Is there running water available in the toilets at this asset?,Is there soap for hand-wash available next to the sink?,How do you deal with the medical waste generated from that asset?,What are the other mechanism used to discard the waste from this asset?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this asset?,How many hours per day are you facing power cuts at this asset?,What is the alternative energy source available for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How do you maintain operational records for this asset?,What are the other mechanism of recording?,What are the areas the asset gets support from government agencies (not for customers)?,Do you get any support from NGO(s) for this asset?,From what Organization(s) did you get support?,Where do you procure inputs required for that asset?,What are other sources are used to get needed inputs?,How does this asset advertise about the services available?,How many patients visit this facility on an average in a month?,Which months have maximum footfall ?,What Medicines are available?,Which of the following data is maintained online?,"Which digital tools are you using, if any?",Are you running Jan Aushadhi Kendras ?,Did you tie up with any health insurance company?,How many villages does this pharmacy serve ?,Do you have proper cold chain system ?
2959,2019-04-25 10:15:44,Healthcare,Pharmacy,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.5373,91.72017,Approved,https://smartvillage.imagetrekk.com/storage/images/lNlRDYFCubMxwtN3CgRcytaYDTJPB7GbwP0UfGdc.jpeg?asset_id=2959,Pharmacy,10,Pakka Road,0.5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",8:0 to 18:30,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",1,0,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,Yes,3,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,Supplier in other states,,"[""Others""]",50,"[""March ""]","[""Antipyretics: reducing fever (pyrexia\/pyresis) "",""Analgesics: reducing pain (painkillers) "",""Antibiotics: inhibiting germ growth"","" Antiseptics: prevention of germ growth near burns, cuts and wounds "",""Oral contraceptives: Enovid, \""biphasic\"" pill, and \""triphasic\"" pill "",""ORS""]","[""None""]","[""None""]",No,No,10,No
2960,2019-04-25 10:16:11,Healthcare,Pharmacy,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.5373,91.72017,Rejected,https://smartvillage.imagetrekk.com/storage/images/DHnLP3PrJNQjVoksfmUgfsoL0P6w5LAliGwe6JJ9.jpeg?asset_id=2960,Pharmacy,10,Pakka Road,0.5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",8:0 to 18:30,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",1,0,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,Yes,3,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,Supplier in other states,,"[""Others""]",50,"[""March ""]","[""Antipyretics: reducing fever (pyrexia\/pyresis) "",""Analgesics: reducing pain (painkillers) "",""Antibiotics: inhibiting germ growth"","" Antiseptics: prevention of germ growth near burns, cuts and wounds "",""Oral contraceptives: Enovid, \""biphasic\"" pill, and \""triphasic\"" pill "",""ORS""]","[""None""]","[""None""]",No,No,10,No
3074,2019-04-29 07:01:20,Healthcare,Pharmacy,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.78863,93.31837,Approved,https://smartvillage.imagetrekk.com/storage/images/2ndHEfxygKAnSKyg10RpvT2YgEXwqxuSp4Gkz9om.jpeg?asset_id=3074,MS Dirang Medicos,1,Pakka Road,5,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",8:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",1,0,Tap Water from Government,,Water from Government,,Yes,No,Yes,Yes,Discarded in Govt. designated sites,,Yes,7,Yes,1,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Posters\/ Display Boards""]",50,"[""June"",""July ""]","[""Antibiotics: inhibiting germ growth"",""Analgesics: reducing pain (painkillers) "","" Antiseptics: prevention of germ growth near burns, cuts and wounds "",""ORS"",""Oral contraceptives: Enovid, \""biphasic\"" pill, and \""triphasic\"" pill ""]","[""None""]","[""None""]",No,No,40,Yes
3076,2019-04-29 07:40:45,Healthcare,Pharmacy,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.32454,92.19167,Approved,https://smartvillage.imagetrekk.com/storage/images/qnBqA62vcCjlSJnDxbIb8rXR4Rv31CeKObwcBMXR.jpeg?asset_id=3076,MS Tashi drugs,1,Pakka Road,5,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",8:0 to 20:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",1,0,Tap Water from Government,,Water from Government,,No,,,,Discarded in Govt. designated sites,,Yes,5,Yes,1,Invertor,1,1,1,1,1,1,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Posters\/ Display Boards""]",20,"[""June"",""July "",""August ""]","[""Antipyretics: reducing fever (pyrexia\/pyresis) "",""Analgesics: reducing pain (painkillers) "","" Antiseptics: prevention of germ growth near burns, cuts and wounds "",""ORS"",""Oral contraceptives: Enovid, \""biphasic\"" pill, and \""triphasic\"" pill ""]","[""None""]","[""None""]",No,No,50,Yes
3077,2019-04-29 07:51:21,Healthcare,Pharmacy,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.32843,93.30463,Approved,https://smartvillage.imagetrekk.com/storage/images/udFjvsW90mwKELEnVwLAZ05Ykxk3U416s3946peH.jpeg?asset_id=3077,MS Bapu drugs,1,Pakka Road,5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",8:0 to 20:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",1,0,Tap Water from Government,,Water from Government,,No,,,,Discarded in Govt. designated sites,,Yes,2,Yes,1,Invertor,1,1,1,1,1,1,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Posters\/ Display Boards""]",500,"[""June"",""July ""]","[""Antipyretics: reducing fever (pyrexia\/pyresis) "",""Analgesics: reducing pain (painkillers) "",""Antibiotics: inhibiting germ growth"","" Antiseptics: prevention of germ growth near burns, cuts and wounds "",""Oral contraceptives: Enovid, \""biphasic\"" pill, and \""triphasic\"" pill "",""ORS""]","[""None""]","[""None""]",No,No,50,Yes
3079,2019-04-29 08:19:33,Healthcare,Pharmacy,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.79325,93.69173,Approved,https://smartvillage.imagetrekk.com/storage/images/j6suCaHkkb5dazGHtcJeQ72eesAz0NTVCcrWTvXC.jpeg?asset_id=3079,MS N.T Drug,1,Pakka Road,5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",8:0 to 20:0,"[""Monday"",""Tuesday"",""Thursday"",""Friday"",""Wednesday"",""Saturday"",""Sunday ""]",1,0,Tap Water from Government,,Water from Government,,No,,,,Discarded in Govt. designated sites,,Yes,1,Yes,1,Invertor,1,1,1,1,1,1,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Posters\/ Display Boards""]",500,"[""June"",""July ""]","[""Antibiotics: inhibiting germ growth"","" Antiseptics: prevention of germ growth near burns, cuts and wounds "",""Oral contraceptives: Enovid, \""biphasic\"" pill, and \""triphasic\"" pill "",""Antipyretics: reducing fever (pyrexia\/pyresis) "",""Analgesics: reducing pain (painkillers) "",""ORS""]","[""None""]","[""None""]",No,No,50,Yes
5313,2019-05-14 08:48:39,Healthcare,Pharmacy,hibu yagam,Private,In Use,Papumpare,Doimukh,Mani,27.17486,93.77045,Approved,https://smartvillage.imagetrekk.com/storage/images/T8y0mwTeDoxBCov6B9EybiwwWvOOq6kXm25hq9Zt.jpeg?asset_id=5313,pharmacy at mani,2,Pakka Road,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 20:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",2,0,Bottled Water,20,Spring Water,,No,,,,Burnt within the premises,,Yes,7,Yes,1,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,Supplier in other states,,"[""Others""]",200,"[""June"",""July "",""August "",""September"",""October""]","[""Analgesics: reducing pain (painkillers) "","" Antiseptics: prevention of germ growth near burns, cuts and wounds "",""Antipyretics: reducing fever (pyrexia\/pyresis) "",""Tranquilizers: meprobamate, chlorpromazine, reserpine, chlordiazepoxide, diazepam, and alprazolam "",""ORS"",""Statins: lovastatin, pravastatin, and simvastatin ORS""]","[""None""]","[""None""]",No,No,6,No
5462,2019-05-15 12:31:53,Healthcare,Pharmacy,phassang kamak,Private,In Use,Papumpare,Banderdewa,Karsingsa Complex,27.12233,93.78157,Approved,https://smartvillage.imagetrekk.com/storage/images/NOo6yBbLNYtHBjYsjOnrS6QSmcKIli1DZuqUnx7h.jpeg?asset_id=5462,_,2,Pakka Road,0.5,3G Reliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",9:0 to 20:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",1,0,Ground Water,,Ground Water,,Yes,No,Yes,Yes,Burnt within the premises,,Yes,5,Yes,2,Invertor,1,1,1,1,1,1,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Others""]",100,"[""June"",""July "",""August ""]","[""Antipyretics: reducing fever (pyrexia\/pyresis) "",""Analgesics: reducing pain (painkillers) "",""ORS""]","[""None""]","[""None""]",Not aware,No,3,No
6069,2019-05-22 07:31:36,Healthcare,Pharmacy,nabam banio,Private,In Use,Papumpare,Itanagar,Ganga,27.08837,93.59809,Approved,https://smartvillage.imagetrekk.com/storage/images/8bs4kI2f6B10BxzSeRMoUvQU5m8hTeNjqGuYsPeo.jpeg?asset_id=6069,good,1,Pakka Road,1,4G Unreliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel"",""Idea""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel"",""Idea""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel"",""Idea""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel"",""Idea""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel"",""Idea""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel"",""Idea""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",8:0 to 21:0,"[""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Tap Water from Government,,Water from Government,,Yes,No,Yes,Yes,Discarded in Govt. designated sites,,Yes,3,Yes,1,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,Supplier in other states,,"[""Posters\/ Display Boards"",""Others""]",100,"[""June"",""July ""]","[""ORS"",""Antibiotics: inhibiting germ growth"",""Analgesics: reducing pain (painkillers) "",""Antipyretics: reducing fever (pyrexia\/pyresis) "","" Antiseptics: prevention of germ growth near burns, cuts and wounds "",""Oral contraceptives: Enovid, \""biphasic\"" pill, and \""triphasic\"" pill ""]","[""None""]","[""None""]",No,No,3,No
6104,2019-05-22 10:21:26,Healthcare,Pharmacy,nabam banio,Private,In Use,Papumpare,Itanagar,Ganga,27.0925,93.61642,Rejected,https://smartvillage.imagetrekk.com/storage/images/1trLhN1YQxjQUzOckTwcKX7gG22EuvTqW6PwLONC.jpeg?asset_id=6104,good,2,Pakka Road,1,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",3:0 to 20:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",1,1,Tap Water from Government,,Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,Yes,>7,Yes,1,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Others""]",150,"[""June"",""July ""]","[""Analgesics: reducing pain (painkillers) "",""ORS"",""Antibiotics: inhibiting germ growth"",""Antimalarial drugs: treating malaria "",""Mood stabilizers: lithium and valpromide "",""Hormone replacements: Premarin "",""Stimulants: methylphenidate, amphetamine ""]","[""Drugs ""]","[""None""]",No,No,9,Yes
