id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the unit until it was open?,What is the type of the road available to the unit?,How much distance should one travel from the unit to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What is the type of structure of the unit?,What is the type of security available for the unit?,What are the working hours of the unit?(Ex: 9.00A.M-5.A.M),What are the working days of the unit?,How many Technical staff are employed in the unit?,How many Non Technical staff are employed in the unit?,Where do you get drinking water from for using at the unit?,How much do you pay per litre of bottled water? (In Rupees),Where do you get water for operational purposes for the unit?,What are the other source of water you depend upon?,Are there toilets available for public and employees usage at the unit?,Are there toilets available seperately as per gender at the unit?,Is there running water available in the toilets at the unit?,Is there soap for handwash available at the unit?,How do you deal with the agricultural waste generated from the unit?,What are the other mechanism used to discard the waste from the unit?,Are the premises of unit cleaned regularly?,How frequently are the premises at the unit cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the unit?,How many hours per day are you facing power cuts in the unit?,What is the alternative energy source available for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the unit?,What is the number with STD Code of the unit?,Does the unit have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in KBPS),How do you maintain records for operations of the unit?,What are the other mechanism of maintaining records?,What are the areas the unit gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the unit?,What is the name of the organization?,Are you using digital technologies that can be used in the unit?,For what purpose are you using digital tools here at the unit?,Where do you procure inputs required for the unit?,What are other sources used to get needed inputs?,What are different chemical inputs used in the unit?,What type(s) of green house present in the unit?,What is the water source used for irrigation mechanism?,What are other source of water you depend upon for irrigation?,What is the type of irrigation mechanism used in the unit?,What are other mechanism used for irrigation?,How does the unit advertise about the services available?,What is the average operational cost per month to run the unit?(Excluding Salary of the Employees),How many square meters are available for storage of the seeds/ plants produced?,How many types of plants/ seeds are available in the unit?,What are the 5 major type of plants/seeds purchased by the customers from the unit?,Are the seeds / plants sold to the customers organic?,What is the average cost per plant/ per pack of seeds in the unit?(In Rupees),What is the payment mechanism used to recieve the payment from the customers?,What is the payment mechanism used to recieve the payment from the customers?,What is the payment mechanism used to recieve the payment from the customers?,What is the payment mechanism used to recieve the payment from the customers?,Which type of customers purchase the plants/seeds from the unit?,How many customers purchase the plants/seeds from the unit in a year?,How does the customers transport the goods purchased from the unit?
3670,2019-05-07 09:33:00,Agriculture,Plant unit/Seed unit,hibu yagam,Private,In Use,Papumpare,Doimukh,Chiputa,27.18308,93.78149,Approved,https://smartvillage.imagetrekk.com/storage/images/W5TctgWjOX49QLYGrtQYzUuxzpqESPIyyB4EHhXi.jpeg?asset_id=3670,toko plantation,6,Pakka Road,7,4G+ Reliable,"[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",7:0 to 12:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",0,2,Spring Water,,Spring Water,,No,,,,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Others,by sale,"[""None""]",No,,No,,None,,"[""None""]","[""None""]",Others,rain water,Others,plantation,"[""Others""]",3000,1500,1,none,No,1-100,"[""Cash""]","[""Cash""]","[""Cash""]","[""Cash""]","[""Others""]",2,"[""Huge Luggage Transport Vehicle""]"
3673,2019-05-07 09:54:20,Agriculture,Plant unit/Seed unit,hibu yagam,Private,In Use,Papumpare,Doimukh,Chiputa,27.18229,93.78046,Approved,https://smartvillage.imagetrekk.com/storage/images/3O9UhsCiTZjtKT7O55kEmhaEt1hQgSkeVnG2dXdU.jpeg?asset_id=3673,canut tree,5,Kacha Road,7,4G+ Reliable,"[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",7:0 to 8:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",0,1,Tap Water from Government,,Ground Water,,Yes,No,Yes,Yes,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,"[""None""]","[""None""]",Ground Water,,Others,jungle cutting n cleaning,"[""Others""]",3000,3000,5,canuts,No,101-200,"[""Cash""]","[""Cash""]","[""Cash""]","[""Cash""]","[""Others""]",1,"[""Tempo\/Auto""]"
3825,2019-05-08 05:13:41,Agriculture,Plant unit/Seed unit,hibu yagam,Private,In Use,Papumpare,Doimukh,Chiputa,27.18201,93.78512,Approved,https://smartvillage.imagetrekk.com/storage/images/n090zSj264XhbXyPdBduGIh4Y9iabRgNLwcNbCg6.jpeg?asset_id=3825,litchi/litchu garden,5,Footway,7,4G+ Reliable,"[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",7:0 to 3:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",0,2,Bottled Water,20,Spring Water,,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,"[""None""]","[""None""]",Ground Water,,Others,plantation by hand,"[""Others""]",20000,25000,6,"litchi, pineapple, banana, lemon",No,1-100,"[""Cash""]","[""Cash""]","[""Cash""]","[""Cash""]","[""Farmers"",""Others""]",50,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker""]"
4055,2019-05-09 11:16:48,Agriculture,Plant unit/Seed unit,hibu yagam,Private,In Use,Papumpare,Doimukh,Chiputa,27.18628,93.78302,Approved,https://smartvillage.imagetrekk.com/storage/images/K7aThlPnuSOcPDr9M9Aji2MnVZtgsCae3hxvsWbq.jpeg?asset_id=4055,tea garden,3,Footway,1,4G+ Reliable,"[""Vodafone"",""Jio"",""Airtel""]","[""Vodafone"",""Jio"",""Airtel""]","[""Vodafone"",""Jio"",""Airtel""]","[""Vodafone"",""Jio"",""Airtel""]","[""Vodafone"",""Jio"",""Airtel""]","[""Vodafone"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",7:0 to 4:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",0,8,Bottled Water,20,Spring Water,,No,,,,Burnt within the premises,,Yes,6,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,Supplier in other states,,"[""Fertilizer"",""Pesticide"",""Growth Harmones""]","[""Lath House\/Bamboo House""]",Rainfed,,Others,plantation themselves,"[""Others""]",10000,300000,1,tea,No,1-100,"[""Others""]","[""Others""]","[""Others""]","[""Others""]","[""Govt. Agencies""]",1,"[""Head Load""]"
5579,2019-05-16 05:32:07,Agriculture,Plant unit/Seed unit,taba rancho,Private,In Use,Papumpare,Toru,Dokte Hoj,27.25883,93.80467,Approved,https://smartvillage.imagetrekk.com/storage/images/NOrRN8RLUiwxQGaV4ZDl2U5eEUs9y1920Mn7nTZi.jpeg?asset_id=5579,good,8,Kacha Road with Block Point,2,4G+ Reliable,"[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Others""]",9:7 to 13:50,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",1,0,Tap Water from Government,,River or Canal,,No,,,,Others,throw one side,Yes,1,No,,Others,1,1,1,1,1,1,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,"[""Fertilizer""]","[""None""]",Rainfed,,Others,others,"[""Village Meeting ""]",100,500,10,maiz banana fine Apple,No,1-100,"[""Cash""]","[""Cash""]","[""Cash""]","[""Cash""]","[""Others"",""Farmers""]",1,"[""Others""]"
5593,2019-05-16 09:06:02,Agriculture,Plant unit/Seed unit,taba rancho,Private,Repairable,Papumpare,Toru,Dokte Hoj,27.25734,93.80233,Rejected,https://smartvillage.imagetrekk.com/storage/images/Ln2ftaCCq7PNMbxWx4PFHiB70UjDGiub0DTcLL2w.jpeg?asset_id=5593,good,4,Kacha Road with Block Point,6,4G+ Reliable,"[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing"",""Others""]",2:40 to 18:15,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",0,0,Bottled Water,80,Others,rain,No,,,,Others,no,Yes,6,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Others""]",Yes,no,No,,Others,market,"[""Others"",""Growth Harmones""]","[""Others""]",Rainfed,,Others,no,"[""Others""]",200,1000,9,banana fine apple orange,No,1-100,"[""Cash""]","[""Cash""]","[""Cash""]","[""Cash""]","[""Farmers""]",1,"[""Others""]"
7128,2019-06-07 04:20:53,Agriculture,Plant unit/Seed unit,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Lempiya,27.62328,93.81825,Rejected,https://smartvillage.imagetrekk.com/storage/images/Ifft6pGh8LtBscDOR8loVRARaW0IgsKDbpWKPrkP.jpeg?asset_id=7128,kiwi garden of misso halley at siike,1,Pakka Road,2,2G Reliable,"[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",21:0 to 4:0,"[""Monday"",""Wednesday"",""Thursday"",""Friday"",""Tuesday"",""Saturday"",""Sunday""]",1,2,Bottled Water,20,Others,rainfall,No,,,,Burnt within the premises,,Yes,3,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None"",""Financial Support""]",No,,No,,None,,"[""None""]","[""None""]",Rainfed,,Others,rainfall,"[""Others""]",2000,20000,300,kiwi,No,>300,"[""Cash""]","[""Cash""]","[""Cash""]","[""Cash""]","[""Farmers"",""Govt. Agencies""]",200,"[""2 Wheeler"",""Tempo\/Auto""]"
7205,2019-06-08 08:34:56,Agriculture,Plant unit/Seed unit,taakhe rakesh,Private,In Use,Lower Subansiri,Ziro,Hong,27.53309,93.83078,Approved,https://smartvillage.imagetrekk.com/storage/images/UffvY72WHZc5iPpIHuE6GvCheT4KXKC1Ch0CxUeX.jpeg?asset_id=7205,green house,1,Kacha Road,3,3G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Watchman""]",9:15 to 0:0,"[""Sunday"",""Saturday""]",1,2,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,"[""None""]","[""Net House""]",River/Stream,,Sprinklers,,"[""Others""]",2500,150,5,tomato,No,1-100,"[""Cash""]","[""Cash""]","[""Cash""]","[""Cash""]","[""Farmers"",""Research Organizations"",""Govt. Agencies"",""NGO""]",100,"[""Tempo\/Auto"",""Sumo\/Tracker""]"
7207,2019-06-08 08:36:11,Agriculture,Plant unit/Seed unit,taakhe rakesh,Private,In Use,Lower Subansiri,Ziro,Hong,27.52376,93.83526,Approved,https://smartvillage.imagetrekk.com/storage/images/QKdYs20xsxz4WNSbYJdw6kAWtCBHpOZGM52YVrYT.jpeg?asset_id=7207,Lily house in siiro,1,Pakka Road with Block Point,3.5,3G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 3:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""]",1,1,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Transport Support""]",No,,No,,Supplier in other states,,"[""None""]","[""Poly House""]",Rainfed,,Sprinklers,,"[""Others""]",1500,200,5,"tomato, cabbage, chills, byako",No,1-100,"[""Cash""]","[""Cash""]","[""Cash""]","[""Cash""]","[""Farmers"",""Research Organizations"",""Govt. Agencies"",""NGO""]",100,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker""]"
2496,2019-03-16 10:52:35,Agriculture,Plant unit/Seed unit,binam jomang,Private,Repairable,Namsai,Lekang,Old Mohang,27.55763,95.8757,Rejected,https://smartvillage.imagetrekk.com/storage/images/m6hcoIUMFYgGNGsL7zuSHZFZSD8ALCcEWAXgwKj5.jpeg?asset_id=2496,green house,1,Pakka Road,5,4G Unreliable,"[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",0.0-0.0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",1,2,Ground Water,,Water from Government,,No,,,,Discarded in Open Field,,Yes,1,Yes,2,Diesel Generator,2,2,2,2,2,2,No,,Yes,5,Traditional Book Keeping,,"[""Technical Support""]",No,,No,[],Government Agency,,"[""Fertilizer""]","[""Poly House""]",Ground Water,,Drip Irrigation,,"[""Village Meeting ""]",8000,152,5,cabbage carrot broccoli brinjal tomatoo,Yes,101-200,"[""Cash""]","[""Cash""]","[""Cash""]","[""Cash""]","[""Farmers""]",100,"[""2 Wheeler""]"
