id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel from this asset to avail public transport facility? (in K.M),What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the working days of that asset?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where do you get drinking water from for using at this asset?,How much do you pay per litre of bottled water?,Are there toilets available for public and employees usage at this asset?,Are there toilets available seperately as per gender at this asset?,Is there running water available in the toilets at this asset?,Is there soap for hand wash available at this asset?,How do you deal with the waste generated from that asset?,What are the other mechanism used to discard the waste from this asset?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this asset?,How many hours per day are you facing power cuts at this asset?,What is the alternative energy source available for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,Is there landline connectivity for that asset?,What is the number with STD Code?,Does this asset have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for operations for this asset?,What is the other recording mechanism?,Are you using any digital tools for your operations for this asset?,For what purpose are you using digital tools here at this asset?,How many of registered accounts in this post office are silent? (No deposit or withdrawal in the last 36 months),How many people in the village have a post office savings account?,What services does the post office offer?,How many registered customers have a recurring deposit ?,What is the percentage from all accounts of girl children in the village covered under (sukanya samriddhi account) SSA scheme ?,How many customers in total do you have using the money order facility ?,What is the percentage of people from the village to be insured by PO?,Is there remittance service provided by the PO?,How often are the postages sent to a central hub?,How is the logistics in the post office done?,How many post boxes have been installed by the PO?,How many households does a post-man cover on an average?,Does the post-office have computer facilities?,Does the post office have a tracking system enabled for the items that are delivered to and sent from the post office?,How many e-commerce packages does the PO receive every month on an average?,How often did customers have an issue of not delivered/received post last month?,How do you document issues such us non-delivered post?
2616,2019-03-25 06:16:34,Finance,Post Office,kejang pema,Government,In Use,West Kameng,,Dirang,27.35911,92.24055,Approved,https://smartvillage.imagetrekk.com/storage/images/0oyaSowBg1ZRJjhq4DFTUgj89Q9zewKgkIZZxWtD.jpeg?asset_id=2616,"sub post office,Drg",1,Pakka Road,5,4G Unreliable,"[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",9:0 to 5:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",1,4,Tap Water from Government,,No,,,,Discarded in Govt. designated sites,,Yes,6,No,,None,,No,,No,,Traditional Book Keeping,,No,,500,7500,"[""Speed Post "",""Registered Post "",""Normal Posts "",""parcel Service "",""Banking Service ""]",1700,10-30%,0,50-80%,Yes,Thrice in a week,"[""Private Vehicles ""]",2,100,Yes,Yes,20,10,"[""Traditional book keeping""]"
4998,2019-05-12 13:30:10,Finance,Post Office,kago yubbey,Government,In Use,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55718,93.84986,Approved,https://smartvillage.imagetrekk.com/storage/images/ngSXawBiaMgIxAMPipn2crwYZJcLo104T2PgmAGl.jpeg?asset_id=4998,post office,2,Pakka Road,3,3G reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Watchman""]",9:0 to 3:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",0,1,Tap Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,No,,Yes,1,None,,No,,No,,Traditional Book Keeping,,Yes,"[""Accounts ""]",2,0,"[""Normal Posts ""]",0,0-10%,0,0-10%,No,More than 3 times in week,"[""Private Vehicles ""]",0,300,No,No,0,0,"[""Traditional book keeping""]"
5402,2019-05-14 18:14:19,Finance,Post Office,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Nenchaliya,27.61356,93.85349,Approved,https://smartvillage.imagetrekk.com/storage/images/1MF69wn60QCMD4B2RX6JxgyxBWnDJJvR2IsxYEBM.jpeg?asset_id=5402,nenchaya post office,1,Pakka Road,1,2G Reliable,"[""BSNL "",""Airtel "",""Vodafone ""]","[""BSNL "",""Airtel "",""Vodafone ""]","[""BSNL "",""Airtel "",""Vodafone ""]","[""BSNL "",""Airtel "",""Vodafone ""]","[""BSNL "",""Airtel "",""Vodafone ""]","[""BSNL "",""Airtel "",""Vodafone ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",10:0 to 3:0,"[""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday ""]",1,0,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,4,No,,None,,No,,No,,Traditional Book Keeping,,No,,10,50,"[""Speed Post "",""Registered Post "",""Normal Posts "",""Banking Service ""]",50,10-30%,0,30-50%,No,Less than once in a week,"[""Private Vehicles ""]",1,30,No,No,10,2,"[""Traditional book keeping""]"
5516,2019-05-16 04:12:54,Finance,Post Office,tage tajung,Government,In Use,Lower Subansiri,Ziro,Modang Tage,27.56697,93.83967,Approved,https://smartvillage.imagetrekk.com/storage/images/Qnj2ytHejrzXm4iwGci19V1cVDZxaUXhgrS4FSpy.jpeg?asset_id=5516,Mudang Tage village post office at biirii,4,Kacha Road,5,3G Unreliable,"[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",9:0 to 4:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday ""]",0,1,Tap Water from Government,,Yes,No,No,No,Burnt within the premises,,Yes,5,No,,None,,No,,No,,Traditional Book Keeping,,No,,0,0,"[""Speed Post "",""Normal Posts "",""parcel Service ""]",0,0-10%,0,0-10%,Yes,Once in a week,"[""Private Vehicles ""]",1,100,No,No,0,0,"[""Traditional book keeping""]"
1364,2019-02-21 09:54:34,Finance,Post Office,panwang wangsa,Government,In Use,Tirap,Khonsa,Kaimoi,27.0399,95.49881,Approved,https://smartvillage.imagetrekk.com/storage/images/BnW8dkkqaltpMDviAxhFpjH8vi6bEEdD6t1Outid.jpeg?asset_id=1364,post office 7,5,Kacha Road,3,4G Reliable,"[""Airtel "",""BSNL "",""Jio ""]","[""Airtel "",""BSNL "",""Jio ""]","[""Airtel "",""BSNL "",""Jio ""]","[""Airtel "",""BSNL "",""Jio ""]","[""Airtel "",""BSNL "",""Jio ""]","[""Airtel "",""BSNL "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",9.00-1.00,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",0,2,Others,,No,,,,Burnt within the premises,,No,,No,,None,,No,,No,,Traditional Book Keeping,,No,,0,0,"[""Normal Posts ""]",0,0-10%,0,0-10%,No,Once in a week,"[""Private Vehicles ""]",1,50,No,No,0,20,"[""Traditional book keeping""]"
1771,2019-02-27 11:29:45,Finance,Post Office,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.88383,95.31583,Approved,https://smartvillage.imagetrekk.com/storage/images/40YKw30nJikhGbyJJofFr5rfTtsGPItP9PZ43lov.jpeg?asset_id=1771,Post Office Of Oyan Village Charali.,2,Pakka Road,0,4G Reliable,"[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9.00 am 12.00pm,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",1,0,Others,,No,,,,None,,Yes,2,No,,None,,No,,No,,Traditional Book Keeping,,No,,13,150,"[""Normal Posts "",""Speed Post "",""Registered Post "",""parcel Service "",""Banking Service ""]",0,0-10%,0,0-10%,Yes,Twice in a week,"[""Private Vehicles ""]",1,500,No,Yes,0,0,"[""Traditional book keeping""]"
2845,2019-04-23 10:06:48,Finance,Post Office,tendel zangmu wangja,Government,In Use,West Kameng,Shergaon,Shergaon,27.12712,92.26306,Approved,https://smartvillage.imagetrekk.com/storage/images/4nwzf4MrQUoAbDXKqNjNtXfCiqOSgW0Zc1q7NkqQ.jpeg?asset_id=2845,Branch Post Office,2,Pakka Road,24,4G Unreliable,"[""Airtel "",""BSNL ""]","[""Airtel "",""BSNL ""]","[""Airtel "",""BSNL ""]","[""Airtel "",""BSNL ""]","[""Airtel "",""BSNL ""]","[""Airtel "",""BSNL ""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9.00 A. M-2.00P.M,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",0,2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,3,Yes,4,None,,No,,No,,Traditional Book Keeping,,No,,0,700,"[""Normal Posts ""]",500,10-30%,0,0-10%,No,Twice in a week,"[""Private Vehicles ""]",1,100,No,No,3,0,"[""Traditional book keeping""]"
1061,2019-02-15 07:50:51,Finance,Post Office,oyi gao,Government,In Use,East Siang,Pasighat,Rengging,28.14287,95.27228,Approved,https://smartvillage.imagetrekk.com/storage/images/XUxsU1m0GogrL1QaxHYeFmtzdpaLaVXqh4kVuaI2.jpeg?asset_id=1061,done,3,Footway,1,2G Reliable,"[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0.00-0.00,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",0,1,Tap Water from Government,,No,,,,Burnt within the premises,,No,,No,,None,,No,,No,,Traditional Book Keeping,,No,,50,35,"[""Others""]",7,0-10%,0,0-10%,No,Thrice in a week,"[""APST ""]",1,25,No,No,0,0,"[""Others ""]"
1070,2019-02-15 09:11:52,Finance,Post Office,pema ledan thungon,Government,In Use,West Kameng,Singchung,Tenga Valley,27.20242,92.47648,Approved,https://smartvillage.imagetrekk.com/storage/images/Wq4ufa0nUGDAOY6779c4YSt3Kv8Js0RDvCIMD8AS.jpeg?asset_id=1070,building in bad condition need all aspects of infrastructure,2,Pakka Road,1,4G Reliable,"[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",10:00am- 2:00pm,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",0,2,Others,,No,,,,Burnt within the premises,,Yes,3,No,,None,,No,,No,,Traditional Book Keeping,,No,,1000,100,"[""Normal Posts "",""Registered Post "",""parcel Service ""]",50,10-30%,4,10-30%,Yes,Thrice in a week,"[""Private Vehicles ""]",1,40,No,No,5,20,"[""Traditional book keeping""]"
1336,2019-02-20 19:30:52,Finance,Post Office,jayanti ama,Government,In Use,Lohit,Tezu,Laboliang,27.97914,96.17754,Approved,https://smartvillage.imagetrekk.com/storage/images/lzLhBcnnjbRsOMZLbZ5QAcATnyx8YtW9AxZUta5c.jpeg?asset_id=1336,Currently using school property as their office,5,Pakka Road,0.1,4G Reliable,"[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","[""Vodafone "",""Airtel "",""BSNL "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",9.00 to 12.00,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday ""]",2,0,Bottled Water,20,No,,,,Burnt within the premises,,No,,No,,None,,No,,No,,Traditional Book Keeping,,No,,1,40,"[""Speed Post "",""Registered Post "",""Normal Posts "",""parcel Service "",""Banking Service ""]",80,0-10%,0,0-10%,Yes,More than 3 times in week,"[""Private Vehicles ""]",2,200,No,Yes,30,3,"[""Traditional book keeping""]"
