id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel from the asset to avail public transport facility? (in K.M),What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What is the type of structure of the asset?,What is the type of security available for the asset?,What are the working hours of the asset?(Ex: 9.00A.M-5.A.M),What are the working days of that asset?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where do you get drinking water from for using at the asset?,How much do you pay per litre of bottled water? (In Rupees),Where do you get water for operational purposes for the asset?,What are the other source of water you depend upon?,Are there toilets available for public and employees usage at the asset?,Are there toilets available seperately as per gender at the asset?,Is there running water available in the toilets at the asset?,Is there soap for handwash available at the asset?,How do you deal with the agricultural waste generated from that asset?,What are the other mechanism used to discard the waste from the asset?,Are the premises of the asset cleaned with disinfectant regularly?,How frequently are the premises at the asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the asset?,How many hours per day are you facing power cuts at the asset?,What is the alternative energy source available for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,Is there landline connectivity for that asset?,What is the number with STD Code?,Does the asset have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for operations for the asset?,What are the other record mechanism used in the market?,What are the areas the asset gets support from government agencies (not for customers)?,Do you get any support from NGO(s) for the asset?,From what Organization(s) did you get support?,Where do you procure inputs required for that asset?,What are other sources are used to get needed inputs?,How does the asset advertise about the services available?,Are you using any digital tools for your operations for the asset?,For what purpose are you using digital tools here at the asset?,What is the breed of Hens reared in the poultry farm?,What is the number of hens reared in the poultry farm?,What is the type of structure of the poultry farm?,What is the size of the poultry farm?,Where are the chicks procured from?,What are different equipments available in the poultry farm?,Where do you procure feed & other inputs required?,What are the hens raised for?,How are the hens raised in the farm?,No. of people employed through the poultry farm?,Where do you procure medicines/ vaccines for the poultry?,When was the last time the cattle was vaccinated?,How frequently the Veterinary doctor/ Animal Husbandry department visits the farm?,What is the Most common disease for the birds?,Are the birds artificially inseminated?,How many eggs are produced from the farm per day?,Where do you market the eggs/ meat produced from the farm?,How do you pack the eggs/ meat to sell in the market?,At what price you sell the hen to the customers?,Do the vety doctors comes to the farm to check the diseases?,Is there any epidemic which have affected the farm in past?,How many hens/chicks were affected?,Name the epidemic disease
2647,2019-03-26 17:14:36,Animal Husbandry,Poultry Farm,nemcha nyoungja,Private,In Use,Changlang,Changlang,Old Changlang,27.14306,95.73731,Approved,https://smartvillage.imagetrekk.com/storage/images/eZjemHQyHXwxkpUep5nh80FU8wBONgDDYDWBgxbE.jpeg?asset_id=2647,poultry,1,Footway,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",6:0 to 17:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",1,0,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Others,nil,"[""None""]",No,,None,,"[""Others""]",No,,"[""Country Chicken""]",7,Temporary shed,4,"[""Local Market"",""From fellow farmers""]","[""None""]","[""Local Market""]","[""Eggs"",""Meat""]",Open Farm,1,"[""Local Market""]",More than two years back,Not fixed,flu,No,2,"[""Local Market"",""Personal Consumption""]","[""Polythene Bags""]",500,No,No,,
3230,2019-05-03 07:30:45,Animal Husbandry,Poultry Farm,taba rancho,Private,Repairable,Papumpare,Doimukh,Chopo,27.09154,93.61949,Rejected,https://smartvillage.imagetrekk.com/storage/images/cAlpXwqa3VhHfzNHUHXDMzQXhthY0H2Fi4GQRvQd.jpeg?asset_id=3230,er,2,Pakka Road,5,4G Unreliable,"[""Idea""]","[""Idea""]","[""Idea""]","[""Idea""]","[""Idea""]","[""Idea""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",2:13 to 13:0,"[""Tuesday""]",2,6,Spring Water,,Spring Water,,Yes,Yes,Yes,Yes,Discarded in Open Field,,Yes,1,No,,Solar Unit,22,22,22,22,22,22,No,,No,,Digital Records- Using Computer/Mobile,,"[""Financial Support"",""Support via Subsidies""]",No,,Local Supplier,,"[""Village Meeting ""]",No,,"[""Layer Chicken""]",5,Temporary shed,5,"[""Local Market""]","[""Feeding Equipment""]","[""Local Market""]","[""Eggs""]",Open Farm,25,"[""NGOs""]",18 months-24 months back,Weekly,thy,No,55,"[""Local Market""]","[""Jute bags""]",25,No,No,,
3265,2019-05-04 05:56:55,Animal Husbandry,Poultry Farm,taba rancho,Private,Repairable,Papumpare,Doimukh,Chopo,27.09154,93.61949,Rejected,https://smartvillage.imagetrekk.com/storage/images/1UUw1JMNqEqNicm59D8dKFDyE79Z8AgrWGTZlEiJ.jpeg?asset_id=3265,er,2,Pakka Road,5,4G Unreliable,"[""Idea""]","[""Idea""]","[""Idea""]","[""Idea""]","[""Idea""]","[""Idea""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",2:13 to 13:0,"[""Tuesday""]",2,6,Spring Water,,Spring Water,,Yes,Yes,Yes,Yes,Discarded in Open Field,,Yes,1,No,,Solar Unit,22,22,22,22,22,22,No,,No,,Digital Records- Using Computer/Mobile,,"[""Financial Support"",""Support via Subsidies""]",No,,Local Supplier,,"[""Village Meeting ""]",No,,"[""Layer Chicken""]",5,Temporary shed,5,"[""Local Market""]","[""Feeding Equipment""]","[""Local Market""]","[""Eggs""]",Open Farm,25,"[""NGOs""]",18 months-24 months back,Weekly,thy,No,55,"[""Local Market""]","[""Jute bags""]",25,No,No,,
3996,2019-05-09 08:31:58,Animal Husbandry,Poultry Farm,kago yubbey,Private,In Use,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55856,93.84875,Pending,https://smartvillage.imagetrekk.com/storage/images/zBUxf4HAry1TdyrJDhBwguilMyFzbLkEiCWgiRUL.jpeg?asset_id=3996,own farm 1,1,Footway,4,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:0 to 0:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",0,1,Others,,Others,tap water,No,,,,Others,non,No,,No,,None,,,,,,,No,,No,,Others,non,"[""Others""]",No,,None,,"[""Others""]",No,,"[""Others""]",0,Temporary shed,4,"[""Other""]","[""None""]","[""Local Market"",""Others""]","[""Others""]",Both,1,"[""None"",""Others""]",6 months-12 months back,Not fixed,weather conditions,No,0,"[""Local Market"",""Others""]","[""Others""]",220,No,No,,
4826,2019-05-11 18:25:30,Animal Husbandry,Poultry Farm,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57346,93.82972,Approved,https://smartvillage.imagetrekk.com/storage/images/ULaNNIBQ7MnlNb4ntEKsFoSSocacUdh4S2wUFIcK.jpeg?asset_id=4826,local self individual poultry farm no.(2),2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Sunday"",""Saturday""]",0,0,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Village Meeting ""]",No,,"[""Country Chicken""]",12,Temporary shed,1,"[""Local Market"",""Other""]","[""Feed Preperation Equipment""]","[""Local Market""]","[""Meat"",""Others""]",Other Technique,1,"[""Local Market""]",More than two years back,Not fixed,local disease,No,3,"[""Local Market"",""Others""]","[""None""]",300,No,No,,
4827,2019-05-11 18:25:46,Animal Husbandry,Poultry Farm,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.5736,93.82985,Approved,https://smartvillage.imagetrekk.com/storage/images/s7OPpAhYMUdQg4TgEFBzbDPGCWYGnFFqxr9k5qVv.jpeg?asset_id=4827,Self local individual poultry farm no. (1) owned Tage Ajo,3,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Village Meeting ""]",No,,"[""Country Chicken""]",21,Temporary shed,3,"[""Local Market""]","[""Feed Preperation Equipment""]","[""Local Market"",""Others""]","[""Meat"",""Eggs"",""Others""]",Both,1,"[""Local Market""]",More than two years back,Not fixed,bird local disease,No,2,"[""Local Market"",""Personal Consumption"",""Others""]","[""None""]",250,No,No,,
4843,2019-05-11 18:30:00,Animal Husbandry,Poultry Farm,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57364,93.83093,Pending,https://smartvillage.imagetrekk.com/storage/images/ysDYzXWEfHaaAD5Q7ZLjgssNYnY2K1u0uPjVga5J.jpeg?asset_id=4843,The local self Pig farm no. (1),5,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",2,2,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Village Meeting ""]",No,,"[""Others""]",2,Temporary shed,2,"[""Local Market""]","[""Feeding Equipment"",""Others""]","[""Local Market""]","[""Meat""]",Cage,2,"[""None""]",6 months-12 months back,Not fixed,common disease,No,2,"[""Local Market""]","[""None""]",250,No,No,,
7295,2019-06-10 06:34:29,Animal Husbandry,Poultry Farm,tilling saha,Private,In Use,Lower Subansiri,Ziro,Bamin,27.56942,93.82917,Approved,https://smartvillage.imagetrekk.com/storage/images/S2YwIB8PSDyfYKcJtE9Ypa7TdJ25k25ngYgposOl.jpeg?asset_id=7295,Local chicken farm of apatani,1,Kacha Road,0.5,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",2,1,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Others""]",No,,"[""Country Chicken""]",35,Temporary shed,250,"[""Other"",""From fellow farmers""]","[""Others""]","[""Local Market"",""Others""]","[""Eggs"",""Others"",""Meat""]",Other Technique,2,"[""None""]",Within the last 6 months,Not fixed,not yet,No,15,"[""Local Market"",""Others""]","[""Others""]",500,No,No,,
733,2019-02-08 13:36:22,Animal Husbandry,Poultry Farm,nabam dimin,Private,In Use,Lower Subansiri,Yachuli,Yoglo,28.98774,93.78104,Pending,https://smartvillage.imagetrekk.com/storage/images/n5h4OlcjYt9dQZfUJZ3O56fhNbwxqZzP4twYmt2x.jpeg?asset_id=733,lots of enjoyed,3,Kacha Road with Block Point,2,2G Unreliable,"[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",9.00pm to 4.00pm,"[""Monday"",""Tuesday"",""Wednesday"",""Friday"",""Thursday"",""Saturday"",""Sunday""]",2,3,Tap Water from Government,,River or Canal,,No,,,,Burnt within the premises,,No,,Yes,6,Invertor,2,2,2,2,2,2,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Multimedia""]",No,,"[""Broiler Chicken""]",200,Permanent shed,20,"[""Govt. Agency""]","[""Others""]","[""Govt. Agency""]","[""Meat""]",Open Farm,10,"[""Govt. Agency""]",Within the last 6 months,Half Yearly,loss motion,No,100,"[""Local Market""]","[""Cardboard box""]",200,No,No,,
1030,2019-02-15 05:51:11,Animal Husbandry,Poultry Farm,khepsim mamai,Private,Not in Use,Changlang,Changlang,Changlang (CT),27.12741,95.70638,Approved,https://smartvillage.imagetrekk.com/storage/images/Gvd1qP3r0P8ileBxRxuL3ezenzSEIOmJIyT3JrCd.jpeg?asset_id=1030,Village name is Phangtip,1,Kacha Road,6,3G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0.00-0.00,"[""Monday"",""Tuesday"",""Thursday"",""Wednesday"",""Friday"",""Saturday"",""Sunday""]",0,0,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,5,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Others""]",No,,"[""Broiler Chicken""]",15,Temporary shed,10,"[""Local Market""]","[""Water feeding equipment"",""Feeding Equipment""]","[""Local Market""]","[""Meat"",""Others""]",Cage,0,"[""Local Market""]",More than two years back,Not fixed,NA,Yes,0,"[""Local Market""]","[""None"",""Others""]",250,No,No,,
