id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where does the waste water generated from that asset goes to?,What are the other mechanism used to discard the waste water ?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,Is that Tap in working condition?,Is check valve working in the tap ?,How far is the tap from the water tank/Source ?,What is the diameter of the Pipe ?,How many Taps are connected to one standpod?,What is the length of the service tap?,What is the basement/ foundation is made of ?,Is there any rust on the tap ?,Were people drinking water while you visited this spot?,Are there any charges which come when getting water from this tap?,What does one liter of water cost (in rupees)?,What is the frequency of technical maintenance or safety audit ?,How many times is the quality of water being checked?
840,2019-02-12 08:11:17,Water,Public Taps/ Public Stand Pod,hanhap taiju,Government,In Use,Changlang,Changlang,Changlang (CT),27.13397,95.74352,Approved,https://smartvillage.imagetrekk.com/storage/images/vhUrc8gWb6Pm8XLLysuMhF1AHsx2g80Fo8pPTjxW.jpeg?asset_id=840,Village Name is New Changlang,Pakka Road with Block Point,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",6:00 AM to 8:00 AM,"[""Financial Support"",""Technical Support""]",1,0,Mixes with the near by Water Bodies,,No,,yes,Yes,Above 500 meters,others,1,1,"[""Cement""]",No,No,No,,Irregular,Irregular
896,2019-02-13 07:43:57,Water,Public Taps/ Public Stand Pod,makba nasi,Government,In Use,Tirap,Khonsa,Kheti,26.96043,95.51044,Approved,https://smartvillage.imagetrekk.com/storage/images/4DyE5bpgJWQC91uiaLTActLxP6wYRrRpHAdpyaBP.jpeg?asset_id=896,tap water 1,Footway,4G Reliable,"[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 24:00,"[""Financial Support""]",5,0,Discarded in Open Field,,Yes,6,yes,No,Between 200-500 meters,24mm,1,1.5,"[""Cement"",""Rock like structure""]",No,Yes,No,,Never,Irregular
901,2019-02-13 07:51:20,Water,Public Taps/ Public Stand Pod,makba nasi,Government,In Use,Tirap,Khonsa,Kheti,26.96094,95.51,Approved,https://smartvillage.imagetrekk.com/storage/images/LX6MXIPNOY2QxyHxfpTbLZji1P2oAXIj7VDueDuj.jpeg?asset_id=901,tap water 3,Footway,4G Reliable,"[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 24:00,"[""Financial Support""]",5,0,Discarded in Open Field,,No,,yes,No,Between 200-500 meters,36mm,1,2,"[""Cement""]",Yes,Yes,No,,Monthly,Never
904,2019-02-13 07:55:15,Water,Public Taps/ Public Stand Pod,makba nasi,Government,In Use,Tirap,Khonsa,Kheti,26.96133,95.50984,Approved,https://smartvillage.imagetrekk.com/storage/images/TZVk70gOXnGjEQn4YNyPBh79zSaZqjZ7u7oU3jkO.jpeg?asset_id=904,Water tap 2,Footway,4G Reliable,"[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 24:00,"[""Financial Support""]",5,0,Discarded in Open Field,,No,,yes,No,Below 200 meters,24mm,1,2,"[""Cement""]",No,Yes,No,,Monthly,Never
930,2019-02-13 10:37:57,Water,Public Taps/ Public Stand Pod,undefined,Government,Not in Use,Tirap,Khonsa,Khonsa I,26.99988,95.5101,Rejected,https://smartvillage.imagetrekk.com/storage/images/BmF1V9S9l8NHbXUUBl0rC7Z4HpzxcQSPGyDLWoBO.jpeg?asset_id=930,khonsa public tap 1,Pakka Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""None""]",1,0,None,,No,,No,No,Above 500 meters,others,1,0,"[""Cement""]",No,No,No,,Never,Never
940,2019-02-13 12:27:38,Water,Public Taps/ Public Stand Pod,nemcha nyoungja,Government,Not in Use,Changlang,Changlang,Changlang (CT),27.14452,95.7372,Pending,https://smartvillage.imagetrekk.com/storage/images/A8gq58ngkKWaHiWjJcoi9ImoVoG8hyuoUIjnSYJK.jpeg?asset_id=940,Village name is Old Changlang,Pakka Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""None""]",1,0,None,,No,,No,No,Below 200 meters,others,1,0,"[""Cement""]",No,No,No,,Never,Never
958,2019-02-14 03:46:39,Water,Public Taps/ Public Stand Pod,kamchi techi,Government,Not in Use,Changlang,Changlang,Changlang (CT),27.13614,95.7255,Rejected,https://smartvillage.imagetrekk.com/storage/images/5lFrp9fxydLPYDwfQ2lxRV4X9rL02zHX98DqcncT.jpeg?asset_id=958,village name is Laktong,Pakka Road with Block Point,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""Financial Support"",""Technical Support""]",2,1,Discarded in Open Field,,No,,No,No,Above 500 meters,12mm,1,1,"[""Cement""]",Yes,No,No,,Monthly,Monthly
960,2019-02-14 04:00:18,Water,Public Taps/ Public Stand Pod,kamchi techi,Government,Not in Use,Changlang,Changlang,Changlang (CT),27.13528,95.7255,Approved,https://smartvillage.imagetrekk.com/storage/images/ppJs5mwVAzh89S0KEqsfEE51AjCe25GGYebEcGLZ.jpeg?asset_id=960,village name is Laktong,Pakka Road with Block Point,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""Financial Support"",""Technical Support""]",2,1,Discarded in Open Field,,No,,No,No,Above 500 meters,12mm,1,1,"[""Cement""]",Yes,No,No,,Irregular,Irregular
961,2019-02-14 04:02:48,Water,Public Taps/ Public Stand Pod,kamchi techi,Government,Not in Use,Changlang,Changlang,Changlang (CT),27.13511,95.72545,Approved,https://smartvillage.imagetrekk.com/storage/images/S92C4JQ8oelamA1G9j7XgFKPBsVylkwnRvZqIfKn.jpeg?asset_id=961,village name is Laktong,Pakka Road with Block Point,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""Financial Support"",""Technical Support""]",2,1,Discarded in Open Field,,No,,No,No,Above 500 meters,12mm,1,1,"[""Cement""]",Yes,No,No,,Irregular,Irregular
963,2019-02-14 04:03:34,Water,Public Taps/ Public Stand Pod,kamchi techi,Government,Not in Use,Changlang,Changlang,Changlang (CT),27.13528,95.7255,Rejected,https://smartvillage.imagetrekk.com/storage/images/ejq9ndDl1vWXKehAyNS1zlv11gPUk00LobBeM8hy.jpeg?asset_id=963,village name is Laktong,Pakka Road with Block Point,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""Financial Support"",""Technical Support""]",2,1,Discarded in Open Field,,No,,No,No,Above 500 meters,12mm,1,1,"[""Cement""]",Yes,No,No,,Irregular,Irregular
