id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,What are the other mechanism used to collect the waste water ?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this asset?,How many hours per day are you facing power cuts at this asset?,What is the alternative energy source available for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,What is the source of Water to the Public toilet ?,What are other source of water to the asset?,What is the area of the Public toilet ?,Who constructed the Public toilet ?,Who are the Others who constructed the asset?,The Asset is Constructed by which Material ?,Are there any leakages from the Public Toilet ?,How many toilets are available for men?,How many toilets are available for women?,Is there running water available in the toilets at this asset?,Is there soap for handwash available at this asset?,How much is the fee for using this toilet (in rupees)?,Is the public toilet connected with a sewer drainage?,How many people are using this public toilet on average per day?,What is the frequency of technical maintenance or safety audit ?,Was the toilet clean when you went there? (please do it for assessment)
3221,2019-05-02 11:59:37,Water,Public Toilets,tenjin yeshii,Government,Not in Use,Tawang,Lumla,Manpat,27.53822,91.72135,Approved,https://smartvillage.imagetrekk.com/storage/images/ikL1Zjzcb2grnOUtCM3PRYEc11TSNqKKdH8OjrW0.jpeg?asset_id=3221,public Toilets,Pakka Road,4G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)Galvanized steel","[""None""]",0:0 to 0:0,"[""None ""]",Discarded in Open Field,,No,,No,,None,,,,,,,Normal Storage Tank,,50,Government,,"[""Concrete"",""Rocks""]",Yes,1,1,No,No,0,No,0,Never,No
5029,2019-05-13 09:19:34,Water,Public Toilets,nabam banio,Government,In Use,Papumpare,Itanagar,Ganga,27.08725,93.59466,Approved,https://smartvillage.imagetrekk.com/storage/images/4JKbLl3RvdnxXyk4znawEXSqNolJCwujql4px9TE.jpeg?asset_id=5029,good,Pakka Road,4G+ Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)Galvanized steel","[""None""]",6:0 to 6:0,"[""None ""]",Mixes with the near by Water Bodies,,No,,No,,None,,,,,,,Over head tank,,15,Government,,"[""Concrete""]",No,2,2,Yes,No,5,Yes,35,Irregular,No
5512,2019-05-16 03:26:29,Water,Public Toilets,taba rancho,Government,Ir-repairable,Papumpare,Toru,Dokte Hoj,27.26263,93.79628,Approved,https://smartvillage.imagetrekk.com/storage/images/1rPAd8aEpEPj1SiCPJxi5b5oOyzGOtWvfzdcm4iD.jpeg?asset_id=5512,bad,Kacha Road,4G+ Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",20:45 to 1:0,"[""Others""]",Others,Bottle water,No,,No,,None,,,,,,,Normal Storage Tank,,1,Government,,"[""Concrete""]",Yes,1,1,No,No,0,No,5,Never,No
7197,2019-06-08 04:41:52,Water,Public Toilets,taakhe rakesh,Community,Not in Use,Lower Subansiri,Ziro,Hong,27.56554,93.84831,Approved,https://smartvillage.imagetrekk.com/storage/images/d0gkTtJZEFh0ajs5FdXJGA56BHJGv1kf5HK6RFJj.jpeg?asset_id=7197,community toilet 1 hanoko,Kacha Road,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",19:0 to 6:0,"[""None ""]",Discarded in Open Field,,No,,No,,None,,,,,,,Normal Storage Tank,,200,Others,community,"[""Bamboo""]",No,1,1,No,No,0,No,10,Irregular,Yes
1092,2019-02-15 13:38:19,Water,Public Toilets,makba nasi,Private,In Use,Tirap,Khonsa,Kheti,26.97112,95.50599,rejected,https://smartvillage.imagetrekk.com/storage/images/wx4m5W4Aw802z6U7fspccc8zMf4W019shRAePiqS.jpeg?asset_id=1092,toilet,Footway,4G+ Reliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:00 to 24:00,"[""None ""]",Mixes with the near by Water Bodies,,No,,No,,None,,,,,,,Others,bottle water,2,Others,self,"[""Bamboo""]",No,1,1,No,No,0,No,35,Irregular,Yes
1380,2019-02-21 13:19:56,Water,Public Toilets,tsering palden yamchodu,Community,In Use,West Kameng,Nafra,Lower Dzong,27.3709,92.53584,approved,https://smartvillage.imagetrekk.com/storage/images/WfAojZmSqP6YiwpiPHWzmIKOHnHv1KOhca7EHtML.jpeg?asset_id=1380,good condition,Pakka Road,4G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)Galvanized steel","[""None""]",5.00 am-10.00 pm,"[""Financial Support""]",Mixes with the near by Water Bodies,,Yes,3,Yes,1,None,,,,,,,Others,government tap water,8,Government,,"[""Concrete""]",No,1,1,Yes,Yes,0,Yes,10,Never,Yes
1449,2019-02-23 06:41:22,Water,Public Toilets,karik tamuk,Community,In Use,East Siang,Oyan,Sika Bamin,27.91351,95.34551,approved,https://smartvillage.imagetrekk.com/storage/images/P9cxptNAR7hsXQZRF0pWEG0ln1mR9nyYZIk6VlxD.jpeg?asset_id=1449,"Toilet at community hall ,Sika Bamin village",Pakka Road,4G+ Reliable,"[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","Pakka/Permenant(Steel,Concrete,etc.,)Galvanized steel","[""Compound Wall\/ Fencing""]",9.00A.M-5.00P.M,"[""Technical Support""]",Discarded in Govt. designated structures,,No,,No,,None,,,,,,,Others,nil,10,Government,,"[""Concrete""]",Yes,2,2,No,No,0,No,0,Never,No
1724,2019-02-27 05:27:41,Water,Public Toilets,makba nasi,Private,In Use,Tirap,Khonsa,Kheti,26.97118,95.50491,rejected,https://smartvillage.imagetrekk.com/storage/images/orJAeSJokEHy7ouQOmznKhsJoNW8NJkWFgTVZr8I.jpeg?asset_id=1724,Toilet1,Footway,4G+ Reliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",7:00am to 5:00pm,"[""None ""]",Others,Septic tank,No,,No,,None,,,,,,,Normal Storage Tank,,4,Others,owner,"[""Bamboo""]",No,1,1,No,No,0,No,5,Monthly,Yes
1725,2019-02-27 05:29:17,Water,Public Toilets,makba nasi,Private,In Use,Tirap,Khonsa,Kheti,26.97138,95.5046,rejected,https://smartvillage.imagetrekk.com/storage/images/cbut2HXQAqcWQAm12jkSmn4S19YrAtNMiNtWVzWx.jpeg?asset_id=1725,toilet private 2,Pakka Road,4G+ Reliable,"[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:00 to 24:00,"[""None ""]",Others,penetrate inside ground water,No,,No,,None,,,,,,,Normal Storage Tank,,4,Others,private,"[""Bamboo""]",No,1,1,No,No,0,No,10,Irregular,No
1836,2019-02-28 18:38:58,Water,Public Toilets,takam nilly likha,Community,Repairable,Lower Subansiri,Pistana,Did,27.59027,93.69869,approved,https://smartvillage.imagetrekk.com/storage/images/kSbK8ILCpiFjM63SdPUNcDd7ytA5VMB9uVxyHYGK.jpeg?asset_id=1836,Repairable,Kacha Road,4G Unreliable,"[""Airtel"",""Vodafone""]","[""Airtel"",""Vodafone""]","[""Airtel"",""Vodafone""]","[""Airtel"",""Vodafone""]","[""Airtel"",""Vodafone""]","[""Airtel"",""Vodafone""]","Pakka/Permenant(Steel,Concrete,etc.,)Galvanized steel","[""None""]",6.00 AM - 6.00 PM,"[""Support via Schemes & Subsidies""]",Discarded in Govt. designated structures,,No,,Yes,15,None,,,,,,,Others,Government supply Tape water,20,Government,,"[""Concrete""]",No,2,1,Yes,No,0,Yes,200,Never,No
