id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the Ration Shop/ Fair Price Shop?,How much distance should one travel from this Ration Shop/ Fair Price Shop to avail public transport facility? (in K.M),What is the type of the mobile network available at the Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What is the type of structure of this Ration Shop/ Fair Price Shop?,What are the working hours of this Ration Shop/ Fair Price Shop?(Ex: 9.00A.M-5.A.M),What are the working days of that Ration Shop/ Fair Price Shop?,How many people are working in the Ration Shop/ Fair Price Shop?,Where do you get drinking water from for using at this Ration Shop/ Fair Price Shop?,How much do you pay per litre of bottled water? (In Rupees),Are there toilets available for public usage at this Ration Shop/ Fair Price Shop?,Are there toilets available seperately as per gender at this Ration Shop/ Fair Price Shop?,Is there running water available in the toilets at this asset?,Is there soap for handwash available next to the sink?,How do you deal with the waste generated from that Ration Shop/ Fair Price Shop?,What are the other mechanism used to discard the waste from this Ration Shop/ Fair Price Shop?,Are the premises of this Ration Shop/ Fair Price Shop cleaned with disinfectant regularly?,How frequently are the premises at this Ration Shop/ Fair Price Shop eaned with disinfectant in a week?,Do you have grid connection for energy supply for this Ration Shop/ Fair Price Shop?,How many hours per day are you facing power cuts at this Ration Shop/ Fair Price Shop?,What is the alternative energy source available for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,Is there landline connectivity for that Ration Shop/ Fair Price Shop?,What is the number with STD Code?,Does this Ration Shop/ Fair Price Shop have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for this Ration Shop/ Fair Price Shop?,What are other type of book keeping methods used in the Ration Shop/ Fair Price Shop?,What are the areas the Ration Shop/ Fair Price Shop gets support from government agencies?,Do you get any support from NGO(s) for this Ration Shop/ Fair Price Shop?,From what Organization(s) did you get support?,Are you using any digital technologies that can be used in the Ration Shop/ Fair Price Shop?,For what purpose are you using digital tools here at this Ration Shop/ Fair Price Shop?,Do you have a POS device in your shop?,Does the POS device function smoothly?,How many times in a year does the supply comes?,How does the grains/product are weighed?,What are the foodgrains/items are available in the fair price shop?,How many people (villagers) are enrolled as beneficiaries in the fair price shop?,How many villages does your fair price shop covers?
2492,2019-03-16 09:55:55,Food & Civil Supplies,Ration Shop/ Fair Price Shop,ngurang tagum,Private,In Use,Papumpare,Parang,Parang,27.32944,93.50583,Approved,https://smartvillage.imagetrekk.com/storage/images/m2oB7R7qgeJZuvqdiG5V8pstMPynKnPJcwk6mgDk.jpeg?asset_id=2492,ok,1,Pakka Road with Block Point,0.5,Nil,,,,,,,"Pakka/Permenant(Steel,Concrete,etc.,)",9:0 to 12:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,5,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Support via Subsidies""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",204,4
2502,2019-03-17 07:50:58,Food & Civil Supplies,Ration Shop/ Fair Price Shop,tajum dagium,Private,In Use,Tawang,Kitpi,Kitpi,27.57126,91.89998,Approved,https://smartvillage.imagetrekk.com/storage/images/IUXLmhrifozX5PkJ9grfDLiG4lWnJ7P5OXF8K71I.jpeg?asset_id=2502,Ration shop,10,Kacha Road,0.3,2G Reliable,"[""Vodafone"",""BSNL"",""Jio""]","[""Vodafone"",""BSNL"",""Jio""]","[""Vodafone"",""BSNL"",""Jio""]","[""Vodafone"",""BSNL"",""Jio""]","[""Vodafone"",""BSNL"",""Jio""]","[""Vodafone"",""BSNL"",""Jio""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 4:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday""]",6,Tap Water from Government,,No,,,,None,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Support via Subsidies"",""Transport Support""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",800,12
2760,2019-04-01 12:17:31,Food & Civil Supplies,Ration Shop/ Fair Price Shop,tsering palden yamchodu,Government,In Use,West Kameng,Nafra,Lower Dzang,27.37116,92.53589,Approved,https://smartvillage.imagetrekk.com/storage/images/D5RI0EjJvKCJYiwiKExweoBABIjlLs2LAa6hy3tB.jpeg?asset_id=2760,rice supplied and stored on own private house,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)",9:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,None,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",105,1
2780,2019-04-02 08:08:19,Food & Civil Supplies,Ration Shop/ Fair Price Shop,nemcha nyoungja,Government,In Use,Changlang,Changlang,Old Changlang,27.14383,95.73962,Approved,https://smartvillage.imagetrekk.com/storage/images/KPYMzvz2NySemab3ZX0xZ2qdCpN12UbpJgpyUrs6.jpeg?asset_id=2780,Ration shop,1,Pakka Road with Block Point,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)",7:0 to 12:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,None,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Transport Support"",""Marketing Support""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",92,1
2783,2019-04-02 16:02:03,Food & Civil Supplies,Ration Shop/ Fair Price Shop,administrator,Government,In Use,Tawang,Mukto,Mukto,27.5464,91.92541,Approved,https://smartvillage.imagetrekk.com/storage/images/Rwl42PL6fHxdTWTnM0yg6kKjL1PPv1iIJx3gN1CL.jpeg?asset_id=2783,...,1,Pakka Road,0.001,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",9:0 to 4:0,"[""Saturday"",""Friday"",""Thusdayt"",""Wednesday"",""Tuesday"",""Monday""]",1,Others,,No,,,,Discarded in Open Field,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Technical Support"",""Financial Support"",""Transport Support""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",12,10
2791,2019-04-03 12:28:40,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,32.04397,92.6867,Approved,https://smartvillage.imagetrekk.com/storage/images/2It8onxntUA8Y4uGMqymmEc3DMCrCHYhy0Y3fwBu.jpeg?asset_id=2791,City store,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",5:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",1,Tap Water from Government,,No,,,,Discarded in Water Bodies,,Yes,2,No,,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Flour"",""Sugar"",""Others""]",0,1
2792,2019-04-03 12:29:00,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.44061,92.86518,Rejected,https://smartvillage.imagetrekk.com/storage/images/ePacVX4AiXpiXgpwyZ7RDkpp84UPkE8hBTHPHrFu.jpeg?asset_id=2792,Droma wine shop,1,Pakka Road,0,4G Unreliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",1,Tap Water from Government,,No,,,,Discarded in Water Bodies,,Yes,2,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Others""]",0,1
2793,2019-04-03 12:29:15,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,24.70415,93.57403,Approved,https://smartvillage.imagetrekk.com/storage/images/qumiEZLjPZhFO2RX2naKrdMsQvWTTmGbLBKcyhvY.jpeg?asset_id=2793,Gen zamba shop,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",1,Tap Water from Government,,No,,,,Discarded in Water Bodies,,Yes,2,No,,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Flour"",""Sugar"",""Others""]",0,1
2794,2019-04-03 12:29:47,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.28745,92.30494,Approved,https://smartvillage.imagetrekk.com/storage/images/lsYwyBLHpr4tI8JY5nZwJWbfQgkbTjl83p4olUuz.jpeg?asset_id=2794,Ration shop,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",1,Tap Water from Government,,No,,,,Discarded in Water Bodies,,Yes,2,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Rice"",""Flour"",""Sugar"",""Others""]",0,1
2795,2019-04-03 12:29:53,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.35425,92.28371,Approved,https://smartvillage.imagetrekk.com/storage/images/8FjHbZW7PW5vTpQHTU5muESbvfWjGWJYft7E05Na.jpeg?asset_id=2795,Sang khandu store,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",1,Tap Water from Government,,No,,,,Discarded in Water Bodies,,Yes,2,No,,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Flour"",""Rice"",""Sugar"",""Others""]",0,1
