id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel from this asset to avail public transport facility?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the working days of that asset?,Where do you get drinking water from for using at this asset?,How much do you pay per litre of bottled water?,Where do you get water for operational purposes for this asset?,What are the other source of water you depend upon?,Are there toilets available for public and employees usage at this asset?,Are there toilets available separately as per gender at this asset?,Is there running water available in the toilets at this asset?,Is there soap for hand-wash available at this asset?,How do you deal with the waste generated from that asset?,What are the other mechanism used to discard the waste from this asset?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this asset?,How many hours per day are you facing power cuts at this asset?,What is the alternative energy source available for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,Is there landline connectivity for that asset?,What is the number with STD Code,Are you using digital tools for your operations for this asset?,For what purpose are you using digital tools here at this asset?,Which of the following religious structure is it?,Does the Gompa also serve as a school?,On which year was the structure established?,What is the average footfall in a week?,How often are tourists part of the visitors (people not from this area)?,What is the most famous religious festival celebrated here?,What is the maximum footfall during these religious festivals ?,Which of the following does the compound have?,Describe the involvement of the local community in running and management of the site?,What are the provisions available for the differently abled?,What other provisions are there for the differently-abled?,What makes this site special and unique compared to similar religious sites?
2567,2019-03-21 06:29:44,Tourism,Religious Site,tenjin yeshii,Religion,In Use,Tawang,Lumla,Manpat,27.52346,91.69486,Approved,https://smartvillage.imagetrekk.com/storage/images/jkyaLzXnyZ5DCga3sllPihVflemp4TLE9MJEuXGi.jpeg?asset_id=2567,Statue of white Tara Devi,10,"[""Pakka Road""]",1.5,4G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Watchman"",""Others""]",5:0 to 18:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",Tap Water from Government,,Water from Government,,Yes,Yes,Yes,Yes,Discarded in Govt. designated sites,,Yes,5,Yes,1,Others,,,,,,No,,No,,Gompa,,2015,0,Sometimes,Monyul Monlam Chenmo,10,"[""Dustbins"",""Parking area""]",High involvement,Ramp,,this is a only statue of white tara devi in tawang district
2586,2019-03-21 07:42:25,Tourism,Religious Site,tenjin yeshii,Religion,Repairable,Tawang,Lumla,Lumla,28.15327,93.50961,Approved,https://smartvillage.imagetrekk.com/storage/images/kpZajMH4mONbYxv7cRjpqAnwp8RxBFthEeIiief8.jpeg?asset_id=2586,Tashi Choiling Gonpa,10,"[""Kacha Road""]",2,4G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Watchman"",""Security Cameras""]",5:0 to 16:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday""]",Tap Water from Government,,Water from Government,,Yes,No,No,No,Discarded in Open Field,,Yes,5,No,,Others,,,,,,No,,No,,Gompa,,2000,10,Seldom,"Choikor ,kangyur",10,"[""None of the above""]",Medium involvement,Ramp,,"this is a bodong Gompa ,"
2587,2019-03-21 08:20:33,Tourism,Religious Site,tenjin yeshii,Religion,In Use,Tawang,Lumla,Manpat,27.53121,91.71612,Rejected,https://smartvillage.imagetrekk.com/storage/images/qHiFolJFyRDp9RQxygSa4h4St2m7Z6GF06RvUKpC.jpeg?asset_id=2587,Statue of White Tara Devi,10,"[""Pakka Road""]",1.5,4G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Watchman"",""Others""]",5:0 to 18:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",Tap Water from Government,,Water from Government,,Yes,Yes,Yes,Yes,Discarded in Govt. designated sites,,Yes,5,Yes,1,Others,,,,,,No,,No,,Gompa,,2015,0,Sometimes,Monyul Monlam Chenmo,0,"[""Dustbins"",""Parking area""]",High involvement,Ramp,,this is a only statue of white tara devi in tawang district
2601,2019-03-21 11:26:16,Tourism,Religious Site,tajum dagium,Community,In Use,Tawang,Kitpi,Kitpi,27.57266,91.8973,Approved,https://smartvillage.imagetrekk.com/storage/images/jMC9a3cECQqfBHyRWz1WlLnsVLaAmtXYWLrwMwXv.jpeg?asset_id=2601,12 century old Mani,10,"[""Kacha Road""]",0,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc.,)","[""Others""]",5:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,No,,,,None of the above,,No,,No,,Others,,,,,,No,,No,,Gompa,,1000,0,Often,Lossar and Torgya,0,"[""Parking area""]",Very High Involvement,None of the above,,Material used in this asset brought from Tibet.
2604,2019-03-21 11:27:30,Tourism,Religious Site,tajum dagium,Religion,In Use,Tawang,Kitpi,Kitpi,27.56763,91.89353,Approved,https://smartvillage.imagetrekk.com/storage/images/nkOOK1NUl989bDbu1rqcHVZJWJ1ibjVuhst41w7f.jpeg?asset_id=2604,6th Dalai Lama resting place,10,"[""Footway""]",1,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc.,)","[""Others""]",6:0 to 18:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,Yes,Yes,Yes,No,Burnt within the premises,,No,,No,,Others,,,,,,No,,No,,Gompa,,1200,0,Often,Lossar and Torgya,0,"[""Parking area"",""Dustbins""]",Very High Involvement,None of the above,,Religious Priest hold here
2605,2019-03-21 20:41:22,Tourism,Religious Site,tajum dagium,Private,Not in Use,Tawang,Kitpi,Kitpi,27.57292,91.89759,Approved,https://smartvillage.imagetrekk.com/storage/images/29kKlv9Usv1qGE8sAUlm8QqJQzKhRE0C64kKAdKe.jpeg?asset_id=2605,Religious Jail,10,"[""Kacha Road""]",0.2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 18:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,No,,Yes,2,Solar Unit,2,2,2,2,2,No,,No,[],Gompa,,800,2,Sometimes,Lossar and Torgya,1,"[""None of the above""]",Very High Involvement,None of the above,,once upon a time it is jail for criminal and Gompa establish just above the jail
2606,2019-03-21 20:41:32,Tourism,Religious Site,tajum dagium,Religion,In Use,Tawang,Kitpi,Kitpi,27.56763,91.89353,Rejected,https://smartvillage.imagetrekk.com/storage/images/WzfN0jt50xfgVIN4V3AHR35m2WxlVWYTPCcUznIy.jpeg?asset_id=2606,6th Dalai Lama resting place,10,"[""Footway""]",1,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc.,)","[""Others""]",6:0 to 18:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,Yes,Yes,Yes,No,Burnt within the premises,,No,,No,,Others,,,,,,No,,No,,Gompa,,1200,0,Often,Lossar and Torgya,0,"[""Parking area"",""Dustbins""]",Very High Involvement,None of the above,,Religious Priest hold here
2625,2019-03-26 09:00:47,Tourism,Religious Site,tajum dagium,Community,In Use,Tawang,Kitpi,Kitpi,27.5713,91.90001,Approved,https://smartvillage.imagetrekk.com/storage/images/VQaAEyN0fQwvXo4KftSoMSK4C9evjR6OvjKWmXdT.jpeg?asset_id=2625,Gompa,10,"[""Pakka Road"",""Kacha Road""]",0.2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",5:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Wednesday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,Yes,No,Yes,No,Burnt within the premises,,Yes,5,Yes,2,Solar Unit,2,2,2,2,2,No,,No,,Gompa,,1991,2,Often,Losar and Torgya,1,"[""Parking area""]",Very High Involvement,None of the above,,community ritual practice done here
2734,2019-03-31 09:31:09,Tourism,Religious Site,tashi drema,Private,Not in Use,Tawang,Mukto,Gomkelling,27.5492,91.92906,Pending,https://smartvillage.imagetrekk.com/storage/images/30J81uL9AAJwsiBmvu7tNqoq4svs4YLjrrGFFuug.jpeg?asset_id=2734,Under Construction,1,"[""Footway""]",0.05,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",6:0 to 18:00,"[""Monday"",""Wednesday"",""Wednesday"",""Tuesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,Yes,No,Yes,No,Discarded in Open Field,,No,,No,,Others,,,,,,No,,No,,Gompa,,0,40,Sometimes,Lossar Festival,80,"[""Dustbins""]",Medium involvement,Ramp,,THE LORD DEMCHHO'S STATUE IS IN THIS GOMPA.
2822,2019-04-23 05:39:02,Tourism,Religious Site,kejang pema,Community,In Use,West Kameng,Dirang,Dirang,27.35363,92.30426,Approved,https://smartvillage.imagetrekk.com/storage/images/jRLK7DjPelf3fopZjaHFcpGUxeZwemoUI9pJNUdm.jpeg?asset_id=2822,Dirang Dzong Gompa,1,"[""Footway""]",0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",5:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,No,,,,Discarded in Govt. designated sites,,No,,No,,Others,,,,,,No,,No,,Gompa,,900,0,Sometimes,choskor,0,"[""None of the above""]",Medium involvement,None of the above,,it is very old
