id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel to avail public transport facility? (in K.M),What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What is the type of security available for the asset?,How many Technical staff are employed in/for the facility?,How many Non Technical staff are employed in/for the facility?,Where do you get drinking water from?,How much do you pay per litre of bottled water? (In Rupees),How do you deal with the waste generated from the facility?,What are the other mechanism used to discard the waste?,Do you have landline connectivity,What is the number with STD Code?,Do you have wired internet connection,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for operations?,What are the other recording mechanism?,What are the areas you get support from government agencies?,Do you get any support from NGO(s)?,From what Organization(s) did you get support?,Are you using digital tools for your operations?,For what purpose are you using these?,What is the type of renewable energy unit ?,What is the type of operating voltage?,What is the created energy of this unit (in kWh)?,What is the peak power of this unit (kWh)?,How many villagers can be provided sufficient electricity from this unit?,Do you use smart metering ?,What are the issues pertaning to maintenance ?,What are the categories of customers availing power from this asset?,Where is the nearest grid connected Solar PV Power generating station?,How far is the nearest station?,Have you ever initiated or tried a Biomass gasifier project in Arunachal Pradesh?,What is the frequency of maintenance or safety audit ?,What is the size of Biogas plant implemented by the APEDA?
4702,2019-05-11 12:41:33,Energy & ICT,Renewable Energy Unit,padi tara,Government,In Use,Lower Subansiri,Ziro,Reru,27.59697,93.84234,Approved,https://smartvillage.imagetrekk.com/storage/images/HXImB7760uWXwUJPNT0wcCzuwPmiQrn886BRQesZ.jpeg?asset_id=4702,solar light 1,1,Footway,1,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""None""]",1,1,Ground Water,,Burnt within the premises,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,200,200,2,No,"[""None""]","[""Household""]",Papum Pare,,No,Irregular,2CuM
4786,2019-05-11 17:18:17,Energy & ICT,Renewable Energy Unit,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Dutta,27.5711,93.87345,Approved,https://smartvillage.imagetrekk.com/storage/images/x386uaFALl0gwRFg4SP213ZKBFHKrNKzdDoBP4Nz.jpeg?asset_id=4786,solar electric pole 1,1,Kacha Road,1,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""None""]",1,0,Ground Water,,None,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,200,200,2,No,"[""None""]","[""Household""]",Papum Pare,,No,Irregular,Not applicable
4833,2019-05-11 18:27:23,Energy & ICT,Renewable Energy Unit,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57449,93.83047,Pending,https://smartvillage.imagetrekk.com/storage/images/Xp3LjOuBysZzQ2cuL5Ync4SDZITZjGk2rKKWNVTa.jpeg?asset_id=4833,Solar street electric pole at near Nami Tage Panchyat Hall,8,Pakka Road,5,3G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""None""]",2,2,Tap Water from Government,,Burnt within the premises,,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,"[""Hydro"",""Solar""]",Medium voltage,5,3,5,Yes,"[""Training"",""Other""]","[""Household""]",Others,5,No,Irregular,Not applicable
4888,2019-05-12 10:14:53,Energy & ICT,Renewable Energy Unit,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.63125,93.81957,Approved,https://smartvillage.imagetrekk.com/storage/images/S7AVXoefyO2jVSARdwHTsttRgnFENFpxr31gTOhp.jpeg?asset_id=4888,private solar light,1,Kacha Road,3,2G Reliable,"[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""None""]",1,0,Tap Water from Government,,Discarded in Water Bodies,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,200,200,2,No,"[""None""]","[""Household""]",Papum Pare,,No,Irregular,Not applicable
4914,2019-05-12 10:18:51,Energy & ICT,Renewable Energy Unit,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Dutta,27.64717,93.86946,Rejected,https://smartvillage.imagetrekk.com/storage/images/H1tJTNvkWuGwpQHgVzckgJ8pC5uPQV54Uv9hm9RR.jpeg?asset_id=4914,dutta solar electric pole 2,1,Kacha Road,1,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""None""]",1,0,Ground Water,,Burnt within the premises,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,200,200,2,No,"[""None""]","[""Household""]",Papum Pare,,No,Never,Not applicable
4917,2019-05-12 10:19:12,Energy & ICT,Renewable Energy Unit,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Dutta,27.64717,93.86946,Approved,https://smartvillage.imagetrekk.com/storage/images/sMot5SYS1L6B2I5xxYvaHixT94mV4Nn7brvLK4ff.jpeg?asset_id=4917,dutta solar electric pole 2,1,Kacha Road,1,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""None""]",1,0,Ground Water,,Burnt within the premises,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,200,200,2,No,"[""None""]","[""Household""]",Papum Pare,,No,Never,Not applicable
5140,2019-05-13 17:51:23,Energy & ICT,Renewable Energy Unit,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Keiliya,27.60295,93.88343,Approved,https://smartvillage.imagetrekk.com/storage/images/FUMpdKxp2PrZrS9kGLr9EMvtLaddWXY58k7VuSci.jpeg?asset_id=5140,solar light 4,1,Pakka Road,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""None""]",1,0,Tap Water from Government,,Discarded in Water Bodies,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,200,200,2,No,"[""None""]","[""Household""]",Papum Pare,,No,Never,Not applicable
5142,2019-05-13 17:51:50,Energy & ICT,Renewable Energy Unit,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Keiliya,27.70552,93.84152,Pending,https://smartvillage.imagetrekk.com/storage/images/ZMBSUigdL3wQ4cUh2DjW0helx5KWISCm1jOtokYJ.jpeg?asset_id=5142,solar light 3,1,Kacha Road,3,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""None""]",1,1,Ground Water,,Discarded in Water Bodies,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,200,200,2,No,"[""None""]","[""Household""]",Papum Pare,,No,Irregular,Not applicable
5145,2019-05-13 17:52:15,Energy & ICT,Renewable Energy Unit,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Keiliya,27.62772,93.8954,Pending,https://smartvillage.imagetrekk.com/storage/images/d5eFmgN1HLQG1ygJ4Zxh1RaWAMrYJh0n45VHcx9f.jpeg?asset_id=5145,solar light,1,Kacha Road,3,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""None""]",1,0,Tap Water from Government,,Discarded in Water Bodies,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,200,200,2,No,"[""None""]","[""Household""]",Papum Pare,,No,Irregular,Not applicable
5146,2019-05-13 17:52:26,Energy & ICT,Renewable Energy Unit,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Keiliya,27.66132,93.84751,Approved,https://smartvillage.imagetrekk.com/storage/images/mjgatovxCCncdZxnLB5hW92rorIRIciAnsDnvG5Q.jpeg?asset_id=5146,solar light,1,Kacha Road,3,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""None""]",1,0,Tap Water from Government,,Discarded in Water Bodies,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,200,200,2,No,"[""None""]","[""Household""]",Papum Pare,,No,Irregular,Not applicable
