id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel to avail public transport facility? (in K.M),How many school buses go to this asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What is the type of structure of this asset?,What is the type of security available for the asset?,What is the total campus area?,What are the working hours of the facility?(Ex: 9.00A.M-5.A.M),What are the working days of the facility?,How many teachers are employed in the facility?,How many support staff are employed in the facility?,Where do you get drinking water from?,How much do you pay per litre of bottled water? (In Rupees),Are there toilets available for public usage?,Are there toilets available seperately as per gender?,Is there running water available in the toilets at this asset?,Is there soap for handwash available next to the sink?,How do you deal with the waste generated from the facility?,What are the other mechanism used to discard the waste?,Are the premises cleaned with disinfectant regularly?,How frequently are the premises cleaned with disinfectant in a week?,Do you have grid connection for energy supply?,How many hours per day are you facing power cuts?,What is the alternative energy source available in the facility?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,Do you have landline connectivity?,What is the number with STD Code?,Do you have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records?,What is the other recording mechanism?,What are the areas you get support from government agencies?,Where do you majorly get textbooks for educational purposes?,What other places do you get textbooks from?,Where do you get the curriculum for classes and educational programs?,What other places do you get textbooks from?,Are you using digital tools for your operations?,For what purpose are you using these?,Are there checkups or medical facilities available?,What is the frequency of these checkups?,Are there any meals served?,Is the nutritional value monitored?,Is there presence of any recreational/playing material for the kids?,What kind of residential facilities are available?,How many classrooms are there in the institute ?,Does the institute have a hall or auditorium?,How many seats are there?,Which labs are present in the institute?,Does the institute have a designated library?,How many people are students at this asset?,Apart from academics what are the co-curricular activities available for students ?,What is the percentage of drop-outs?,What is the reason for dropouts?,What is the reason for dropouts?,What is the reason for dropouts?,What is the reason for dropouts?,Are there any disaster management courses or drills practice at the institute?,"Is this a primary, secondary, or senior secondary school?",Are there any counselors at this institute?,Do parent-teacher meetings take place?,How often do parent-teacher meetings occur?,Does the institute require uniforms?,Are the teachers certified?,How frequently does the teacher trainer visit the school?,Which Board/University is this school affiliated with?,Which other board/university is this institute affiliated with?
2388,2019-03-13 06:04:41,Education,Schools,dobum raju,Government,Not in Use,Papumpare,Doimukh,Lekha,27.16369,93.77163,Pending,https://smartvillage.imagetrekk.com/storage/images/V0BQtJRvjvtB0id35TqVJxQWJfaCgcVonQ95VOXv.jpeg?asset_id=2388,not use regularly,2,Kacha Road,3,0,3G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""None ""]",600,9:0 to 1:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",5,1,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,4,Yes,24,None,,,,,,,No,,Yes,0,Traditional Book Keeping,,"["" Financial Support"",""Technical Support ""]",Government Agency,,Government Agency,,No,,No,,Yes,Yes,No,None,2,No,,"[""None ""]",No,15,"[""None""]",10-20%,"[""Parallel Studies ""]","[""Parallel Studies ""]","[""Parallel Studies ""]","[""Parallel Studies ""]",No,Primary,No,Yes,Once a year,Yes,Yes,Not fixed,Others,Arun Broad
2464,2019-03-15 01:40:36,Education,Schools,tajum dagium,Government,In Use,Tawang,Kitpi,Kitpi,27.57303,91.90228,Pending,https://smartvillage.imagetrekk.com/storage/images/r8sh1umlkC7gFJfPTo2bAKrEOpkgZNwJKVVzgkzz.jpeg?asset_id=2464,Govt. Sec. School Kitpi,10,Pakka Road,0.01,0,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing "",""Watchman ""]",420000,9:0 to 4:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",13,2,Tap Water from Government,,Yes,Yes,Yes,No,Burnt within the premises,,No,,No,,Others,3,3,3,3,3,3,No,,No,,Traditional Book Keeping,,"["" Financial Support"",""Technical Support "",""Transport Support "",""Others""]",Local Supplier,Book stall,Others,Book stall,No,,Yes,Once in 3-6 Months,Yes,Yes,Yes,None,17,Yes,70,"[""Science "",""Computers "",""Other ""]",Yes,102,"[""Sports "",""Dance "",""Art "",""Other ""]",10-20%,"[""Parallel Studies "",""Health issues ""]","[""Parallel Studies "",""Health issues ""]","[""Parallel Studies "",""Health issues ""]","[""Parallel Studies "",""Health issues ""]",Yes,Secondary,No,Yes,Twice a year,Yes,Yes,Once in 9-12Months,CBSE,
2498,2019-03-16 11:47:31,Education,Schools,tajum dagium,Government,In Use,Tawang,Kitpi,Kitpi,27.57303,91.90228,Rejected,https://smartvillage.imagetrekk.com/storage/images/gyrZp90p6KGhQ1V3IFZd4Ku6u4ziwYqZIUlxP2Hl.jpeg?asset_id=2498,Govt. Sec. School Kitpi,10,Pakka Road,0.01,0,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing "",""Watchman ""]",420000,9:0 to 4:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",13,2,Tap Water from Government,,Yes,Yes,Yes,No,Burnt within the premises,,No,,No,,Others,3,3,3,3,3,3,No,,No,,Traditional Book Keeping,,"["" Financial Support"",""Technical Support "",""Transport Support "",""Others""]",Local Supplier,Book stall,Others,Book stall,No,,Yes,Once in 3-6 Months,Yes,Yes,Yes,None,17,Yes,70,"[""Science "",""Computers "",""Other ""]",Yes,102,"[""Sports "",""Dance "",""Art "",""Other ""]",10-20%,"[""Parallel Studies "",""Health issues ""]","[""Parallel Studies "",""Health issues ""]","[""Parallel Studies "",""Health issues ""]","[""Parallel Studies "",""Health issues ""]",Yes,Secondary,No,Yes,Twice a year,Yes,Yes,Once in 9-12Months,CBSE,
2500,2019-03-17 04:32:51,Education,Schools,tajum dagium,Government,In Use,Tawang,Kitpi,Kitpi,27.57303,91.90228,Rejected,https://smartvillage.imagetrekk.com/storage/images/nd5GegMBKkvKj2wgGEBPVYR5CbLNexO32olsXP7p.jpeg?asset_id=2500,Govt. Sec. School Kitpi,10,Pakka Road,0.01,0,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing "",""Watchman ""]",420000,9:0 to 4:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",13,2,Tap Water from Government,,Yes,Yes,Yes,No,Burnt within the premises,,No,,No,,Others,3,3,3,3,3,3,No,,No,,Traditional Book Keeping,,"["" Financial Support"",""Technical Support "",""Transport Support "",""Others""]",Local Supplier,Book stall,Others,Book stall,No,,Yes,Once in 3-6 Months,Yes,Yes,Yes,None,17,Yes,70,"[""Science "",""Computers "",""Other ""]",Yes,102,"[""Sports "",""Dance "",""Art "",""Other ""]",10-20%,"[""Parallel Studies "",""Health issues ""]","[""Parallel Studies "",""Health issues ""]","[""Parallel Studies "",""Health issues ""]","[""Parallel Studies "",""Health issues ""]",Yes,Secondary,No,Yes,Twice a year,Yes,Yes,Once in 9-12Months,CBSE,
2506,2019-03-17 07:51:03,Education,Schools,tajum dagium,Government,In Use,Tawang,Kitpi,Kitpi,27.57513,91.89719,Approved,https://smartvillage.imagetrekk.com/storage/images/lfH5P1fwOXJPoHOWyOrtK3pWKubfkIpBqQ47eSVP.jpeg?asset_id=2506,Angandwadi attached to school,10,Kacha Road,0.2,0,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",7000,9:0 to 4:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",2,0,Tap Water from Government,,Yes,Yes,Yes,No,Burnt within the premises,,No,,Yes,22,Solar Unit,2,2,2,2,2,2,No,,No,,Traditional Book Keeping,,"["" Financial Support"",""Technical Support "",""Transport Support ""]",Local Supplier,,Government Agency,,No,,Yes,Less than once a year,Yes,Yes,No,None,5,No,,"[""None ""]",No,14,"[""Sports "",""Dance "",""Art ""]",10-20%,"[""Parallel Studies ""]","[""Parallel Studies ""]","[""Parallel Studies ""]","[""Parallel Studies ""]",No,Primary,No,Yes,Once a year,Yes,Yes,Once in 9-12Months,Others,Arunachal Board
2520,2019-03-18 05:15:30,Education,Schools,chow arvind jeinow,Government,In Use,Namsai,Namsai,Kaisu L/C,27.67376,95.91639,Pending,https://smartvillage.imagetrekk.com/storage/images/7j6oE5Xc07C4ohlZFGsCUVYXfwQXEWiGOj6Elvb4.jpeg?asset_id=2520,GUPS Kaisu,2,Pakka Road,0.3,0,3G Unreliable,"[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",500,9:0 to 12:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",4,0,Tap Water from Government,,Yes,Yes,No,No,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Others""]",Government Agency,,Self-created,,No,,No,,Yes,No,No,None,5,No,,"[""None ""]",No,22,"[""Sports ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,No,No,,Yes,Yes,Not fixed,CBSE,
2523,2019-03-18 05:22:41,Education,Schools,chow arvind jeinow,Government,In Use,Namsai,Namsai,Kaisu L/C,27.67376,95.91639,Rejected,https://smartvillage.imagetrekk.com/storage/images/7mYnpPFXmrxmgk4TCbKlrvONjJRpydhf8zf2TLuH.jpeg?asset_id=2523,GUPS Kaisu,2,Pakka Road,0.3,0,3G Unreliable,"[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",500,9:0 to 12:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",4,0,Tap Water from Government,,Yes,Yes,No,No,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Others""]",Government Agency,,Self-created,,No,,No,,Yes,No,No,None,5,No,,"[""None ""]",No,22,"[""Sports ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,No,No,,Yes,Yes,Not fixed,CBSE,
2526,2019-03-18 07:03:39,Education,Schools,chow arvind jeinow,Government,In Use,Namsai,Namsai,Kaisu L/C,27.67376,95.91639,Rejected,https://smartvillage.imagetrekk.com/storage/images/AUIbaQbEE7RmaXYPVvhKntXUougS6jCYb5SDeSdR.jpeg?asset_id=2526,GUPS Kaisu,2,Pakka Road,0.3,0,3G Unreliable,"[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",500,9:0 to 12:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",4,0,Tap Water from Government,,Yes,Yes,No,No,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Others""]",Government Agency,,Self-created,,No,,No,,Yes,No,No,None,5,No,,"[""None ""]",No,22,"[""Sports ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,No,No,,Yes,Yes,Not fixed,CBSE,
2529,2019-03-18 07:38:16,Education,Schools,chow arvind jeinow,Government,In Use,Namsai,Namsai,Kaisu L/C,27.67376,95.91639,Rejected,https://smartvillage.imagetrekk.com/storage/images/8ZeZNUUPnu4HegsHvq5ytbaOlAd0nv1yhZJvMj4g.jpeg?asset_id=2529,GUPS Kaisu,2,Pakka Road,0.3,0,3G Unreliable,"[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",500,9:0 to 12:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",4,0,Tap Water from Government,,Yes,Yes,No,No,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Others""]",Government Agency,,Self-created,,No,,No,,Yes,No,No,None,5,No,,"[""None ""]",No,22,"[""Sports ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,No,No,,Yes,Yes,Not fixed,CBSE,
2566,2019-03-20 11:30:46,Education,Schools,binam jomang,Government,In Use,Namsai,Lekang,Old Mohang,27.63492,95.8096,Rejected,https://smartvillage.imagetrekk.com/storage/images/6WoraLhjFByn89EWjqd3iiNuHw94j3fZg6qCFatw.jpeg?asset_id=2566,school,1,Pakka Road,3,3,4G Unreliable,"[""Airtel"",""Jio"",""BSNL"",""Vodafone""]","[""Airtel"",""Jio"",""BSNL"",""Vodafone""]","[""Airtel"",""Jio"",""BSNL"",""Vodafone""]","[""Airtel"",""Jio"",""BSNL"",""Vodafone""]","[""Airtel"",""Jio"",""BSNL"",""Vodafone""]","[""Airtel"",""Jio"",""BSNL"",""Vodafone""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/Fencing ""]",36600,9:0 to 3:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",21,3,Ground Water,,No,,,,Discarded in Open Field,,No,,Yes,3,Invertor,2,2,2,2,2,2,No,,Yes,100,Traditional Book Keeping,,"["" Financial Support"",""Technical Support ""]",Government Agency,,Government Agency,,No,,No,,Yes,No,No,Off-site Residential Areas,22,No,,"[""Computers ""]",Yes,600,"[""Sports "",""Dance "",""Art ""]",10-20%,"[""Health issues "",""Lack of Awareness ""]","[""Health issues "",""Lack of Awareness ""]","[""Health issues "",""Lack of Awareness ""]","[""Health issues "",""Lack of Awareness ""]",No,Senior Secondary,No,Yes,Once a year,Yes,Yes,Once in 3-6 Months,CBSE,
