id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the SHG office?,How much distance should one travel from this SHG office to avail public transport facility? (in K.M),What is the type of the mobile network available at the SHG office?,What are different Mobile network service providers available at the location of this SHG office?,What are different Mobile network service providers available at the location of this SHG office?,What are different Mobile network service providers available at the location of this SHG office?,What are different Mobile network service providers available at the location of this SHG office?,What are different Mobile network service providers available at the location of this SHG office?,What are different Mobile network service providers available at the location of this SHG office?,What is the type of structure of this SHG office?,What is the type of security available for the asset?,What are the working hours of this SHG office?(Ex: 9.00A.M-5.A.M),What are the working days of that SHG office?,How many people are working in the SHG office?,Where do you get drinking water from for using at this SHG office?,How much do you pay per litre of bottled water? (In Rupees),Are there toilets available for public usage at this SHG office?,Are there toilets available seperately as per gender at this SHG office?,Is there running water available in the toilets at this asset?,Is there soap for hand-wash available at this asset?,How do you deal with the waste generated from that SHG office?,What are the other mechanism used to discard the waste from this SHG office?,Are the premises of this SHG office cleaned with disinfectant regularly?,How frequently are the premises at this SHG office cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this asset?,How many hours per day are you facing power cuts at this asset?,What is the alternative energy source available for that SHG office?,How many hours do you rely on the alternative energy source in a day for that SHG office?,How many hours do you rely on the alternative energy source in a day for that SHG office?,How many hours do you rely on the alternative energy source in a day for that SHG office?,How many hours do you rely on the alternative energy source in a day for that SHG office?,How many hours do you rely on the alternative energy source in a day for that SHG office?,How many hours do you rely on the alternative energy source in a day for that SHG office?,Is there landline connectivity for that SHG office?,What is the number with STD Code?,Does this SHG office have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for this SHG office?,What are other type of book keeping methods used in the SHG office?,What are the areas the SHG office gets support from government agencies?,Do you get any support from NGO(s) for this SHG office?,From what Organization(s) did you get support?,Are you using digital technologies that can be used in the SHG office?,For what purpose are you using digital tools here at this SHG office?,Name of the SHG?,How frequently is the meeting conducted?,What type of the Group is engaged in the SHG?,How many people are enrolled in the SHG?,Indicate the frequency of meetings happened for money collection?,Indicate the amount of money collected from every member per meeting?,Indicate the total amount received by the SHG till today?,What are the purposes of Credit Utilization?,Did the SHG lend money to other non group entities?,Specify the rate of interest?,"Name the organization, which promoted the SHG?",From what Organization(s) did you get support?,How does this asset advertise about the services available?,What types of intervention/social action programmes/activities/awareness taken up by SHG?,Is that SHG also registered under any other legal provisions?,Choose the relevant Act under which the SHG is registered?,Whether the SHG is affiliated to any of the following?,Specify?
2820,2019-04-18 06:33:54,Livelihood,SHG Office,joram temin,Government,In Use,Lower Subansiri,Yachuli,Toon,27.46917,93.76997,Approved,https://smartvillage.imagetrekk.com/storage/images/FyzHri1OacyNV5Am4lLU7qrN02BlKFQQ125i4JxV.jpeg?asset_id=2820,shg,1,Kacha Road,1,3G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",10:0 to 16:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday"",""Sunday""]",5,Bottled Water,20,No,,,,Burnt within the premises,,Yes,2,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support""]",No,,No,,"maj den, yeri ginch, mat, khu, yoma tada, ann aniya, dee den, lumri swcha ajin, dai appu SHG",Weekly,Savings Group,75,Weekly,50,15000,"[""Agriculture"",""Emergencies"",""Consumption (Domestic)"",""Income Generation (Starting Business)"",""Handloom and Handicraft""]",No,,Govt Department,,"[""Village Meetings""]","[""ICDS\/Nutrition\/Anganwadi""]",No,,NRLM,
3122,2019-04-30 10:42:07,Livelihood,SHG Office,kejang pema,Community,In Use,West Kameng,Dirang,Dirang,27.3344,92.27618,Approved,https://smartvillage.imagetrekk.com/storage/images/6NsFL0oDu6CXGgptxUanDJoMuM5y1y3qb6uEQyLQ.jpeg?asset_id=3122,women welfare association,1,Pakka Road,0.3,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 2:0,"[""Wednesday"",""Friday""]",10,Tap Water from Government,,No,,,,None,,No,,No,,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,women welfare association,Not fixed,Female Small Scale Business Group,30,Not fixed,200,1000,"[""Handloom and Handicraft""]",No,,Self,,"[""None""]","[""None""]",Yes,"[""Registration of Societies Act""]",Cooperative Society,
3151,2019-05-02 03:09:32,Livelihood,SHG Office,dobum raju,Private,In Use,Papumpare,Doimukh,Lekha,27.16406,93.77053,Pending,https://smartvillage.imagetrekk.com/storage/images/CL9MfMpcsRpPLm6K9UMTTfO4vV1dd1XApE03gHre.jpeg?asset_id=3151,good,3,Kacha Road,4,4G+ Reliable,"[""Vodafone"",""Idea"",""Airtel"",""Jio"",""BSNL""]","[""Vodafone"",""Idea"",""Airtel"",""Jio"",""BSNL""]","[""Vodafone"",""Idea"",""Airtel"",""Jio"",""BSNL""]","[""Vodafone"",""Idea"",""Airtel"",""Jio"",""BSNL""]","[""Vodafone"",""Idea"",""Airtel"",""Jio"",""BSNL""]","[""Vodafone"",""Idea"",""Airtel"",""Jio"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 3:0,"[""Sunday"",""Saturday"",""Friday"",""Thusday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,1,Yes,1,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,Lekha women Group,Monthly,Savings Group,30,Monthly,300,100000,"[""Emergencies"",""Income Generation (Starting Business)""]",Yes,3,Self,,"[""None"",""Announcement\/ Broadcast""]","[""Health and Immunization"",""Education"",""ICDS\/Nutrition\/Anganwadi"",""Adolescent programme"",""Non formal Education"",""Water and Sanitation programme "",""Total Literacy Campaign ""]",No,[],SHG Federation,
3268,2019-05-05 01:35:10,Livelihood,SHG Office,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.58374,93.84513,Approved,https://smartvillage.imagetrekk.com/storage/images/hlul4QWrb39GNIrUmz6jalR362JecKq8TgxYruOi.jpeg?asset_id=3268,SHG,1,Pakka Road,3,2G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 8:0,"[""Sunday""]",2,Tap Water from Government,,No,,,,Discarded in Open Field,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support""]",No,,No,,ANII RANTII,Weekly,Farmers Group,26,Weekly,50,56715,"[""Any other""]",No,,Self,,"[""None""]","[""None""]",No,[],SHG Federation,
3409,2019-05-05 14:17:06,Livelihood,SHG Office,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.58417,93.8438,Approved,https://smartvillage.imagetrekk.com/storage/images/DBg05SV3lmLTNv95m2hopndnFOaweEqetsLkwIUq.jpeg?asset_id=3409,myolyang,1,Pakka Road,3,2G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",5:0 to 9:0,"[""Sunday""]",10,Others,,No,,,,Discarded in Open Field,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support""]",No,,No,,myolyang self help group,Weekly,Farmers Group,26,Weekly,50,41000,"[""Income Generation (Starting Business)""]",No,,Self,,"[""None""]","[""None""]",Yes,"[""Cooperative Societies Act 1955""]",Cooperative Society,
4838,2019-05-11 18:28:41,Livelihood,SHG Office,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.72586,95.09675,Approved,https://smartvillage.imagetrekk.com/storage/images/zU4QQBHrnQ73xlxO1DLFXOXwSqVC8WN4vw0ObWOn.jpeg?asset_id=4838,Tadu Nago Arang Self Help Group for Tadu clan,2,Pakka Road,5,3G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Friday"",""Thusday"",""Saturday""]",9,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Financial Support""]",No,,No,,Tadu Nago Arang SHG,Weekly,Female Small Scale Business Group,112,Weekly,50,30000,"[""Income Generation (Starting Business)""]",Yes,1,Govt Department,,"[""Village Meetings""]","[""None""]",Yes,"[""Registration of Societies Act""]",Cooperative Society,
4841,2019-05-11 18:29:31,Livelihood,SHG Office,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57341,93.8302,Approved,https://smartvillage.imagetrekk.com/storage/images/IamPxjlSaq88bw1BR5fhL4CXYP3NdtqJ7YTuqC5m.jpeg?asset_id=4841,Tadu Tage Self Help Group no. (1),2,Pakka Road,5,3G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",7,Tap Water from Government,,Yes,No,Yes,No,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,Tadu Tage Self Help Group,Weekly,Female Small Scale Business Group,32,Weekly,50,11000,"[""Income Generation (Starting Business)""]",Yes,1,Self,,"[""Village Meetings""]","[""Water and Sanitation programme ""]",No,,Others,Self individual group
4842,2019-05-11 18:29:45,Livelihood,SHG Office,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.5739,93.83054,Approved,https://smartvillage.imagetrekk.com/storage/images/R9AhoG0Ol2EXbbMyJBBi57rI0SU6BPx5PMQaCrun.jpeg?asset_id=4842,Self village beauty parlour by Smti Mudang Asung,2,Pakka Road,5,3G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,4,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,individual Beauty Parlour run by Smti Mudang Meena,Not fixed,Female Small Scale Business Group,222,Not fixed,0,0,"[""Income Generation (Starting Business)""]",No,,Self,,"[""Village Meetings""]","[""None""]",No,,Others,Self and Individual beauty parlour at village primise for self lively hood
5328,2019-05-14 09:38:37,Livelihood,SHG Office,nending tasser,Private,Ir-repairable,Lower Subansiri,Ziro,Hari,27.58372,93.84506,Approved,https://smartvillage.imagetrekk.com/storage/images/SfQPj9IqYjEJNziFOAZtXoHI7gRwboY0MhGiOuDP.jpeg?asset_id=5328,SHG,1,Pakka Road,4,2G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 8:0,"[""Sunday""]",2,Tap Water from Government,,No,,,,Discarded in Open Field,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support""]",No,,No,,ANII RANTII LAKU TULU AYO URU AJI ATO URU,Weekly,Farmers Group,26,Weekly,50,56715,"[""Any other""]",No,,Self,,"[""None""]","[""None""]",Yes,"[""Not under any Act.""]",SHG Federation,
5591,2019-05-16 08:51:06,Livelihood,SHG Office,taba rancho,Private,Repairable,Papumpare,Toru,Dokte Hoj,27.25773,93.80224,Pending,https://smartvillage.imagetrekk.com/storage/images/784S1fr8LoejVMIHB425jLDt2PRwYmbPKgFHpKkA.jpeg?asset_id=5591,good,3,Kacha Road with Block Point,3,4G+ Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Others""]",13:29 to 14:5,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",11,Bottled Water,60,No,,,,Others,common meeting,Yes,1,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",Yes,no,No,,nahing ajing,Weekly,Savings Group,111,Weekly,50,550,"[""Emergencies""]",No,,Self,,"[""None""]","[""Health and Immunization""]",Yes,"[""Not under any Act.""]",Others,shg group
