id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the Shop?,How much distance should one travel from this Shop to avail public transport facility? (in K.M),What is the type of the mobile network available at the Shop?,What are different Mobile network service providers available at the location of this Shop?,What are different Mobile network service providers available at the location of this Shop?,What are different Mobile network service providers available at the location of this Shop?,What are different Mobile network service providers available at the location of this Shop?,What are different Mobile network service providers available at the location of this Shop?,What are different Mobile network service providers available at the location of this Shop?,What is the type of structure of this Shop?,What are the working hours of this Shop?(Ex: 9.00A.M-5.A.M),What are the working days of that Shop?,How many people are working in the Shop?,Where do you get drinking water from for using at this Shop?,How much do you pay per litre of bottled water? (In Rupees),Are there toilets available for public usage at this Shop?,Are there toilets available seperately as per gender at this Shop?,Is there running water available in the toilets at this asset?,Is there soap for handwash available next to the sink?,How do you deal with the waste generated from that Shop?,What are the other mechanism used to discard the waste from this Shop?,Are the premises of this Shop cleaned with disinfectant regularly?,How frequently are the premises at this Shop cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this Shop?,How many hours per day are you facing power cuts at this Shop?,What is the alternative energy source available for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,Is there landline connectivity for that Shop?,What is the number with STD Code,Does this Shop have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for this Shop?,What are other type of book keeping methods used in the Shop?,What are the areas the Shop gets support from government agencies?,Do you get any support from NGO(s) for this Shop?,From what Organization(s) did you get support?,Are you aware of digital technologies that can be used in the Shop?,For what purpose are you using digital tools here at this Shop?,Do you have a POS device in your shop?,Does the POS device function smoothly?,From where the goods are brought to the shop?,What other types of services are provided?,How are the goods transported to the shop?
2497,2019-03-16 11:36:34,Food & Civil Supplies,Shops,tajum dagium,Private,In Use,Tawang,Kitpi,Kitpi,27.57266,91.90179,Rejected,https://smartvillage.imagetrekk.com/storage/images/SnmSwd2MivDdUKr1lPjSjwhFnqev5hL6G2PQyUZn.jpeg?asset_id=2497,Small shop in the village,10,Pakka Road,0,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 20:30,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,1,Solar Unit,1,1,1,1,1,1,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,fast food,"[""Rental Vehicle""]"
2499,2019-03-17 04:31:49,Food & Civil Supplies,Shops,tajum dagium,Private,In Use,Tawang,Kitpi,Kitpi,27.57266,91.90179,Approved,https://smartvillage.imagetrekk.com/storage/images/WkeOkZo0hhkIQR7st6eb6QtwwAZRVel5txcJxHA5.jpeg?asset_id=2499,Small shop in the village,10,Pakka Road,0,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 20:30,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,1,Solar Unit,1,1,1,1,1,1,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,fast food,"[""Rental Vehicle""]"
2640,2019-03-26 09:59:01,Food & Civil Supplies,Shops,nemcha nyoungja,Private,In Use,Changlang,Changlang,Old Changlang,27.14352,95.73741,Approved,https://smartvillage.imagetrekk.com/storage/images/MuvgnhNFHDL8lxuDZGCxSIGLU4EVQvC5zYAurcsZ.jpeg?asset_id=2640,shop,1,Pakka Road,2,4G+ Reliable,"[""Vodafone"",""Airtel"",""BSNL"",""Jio""]","[""Vodafone"",""Airtel"",""BSNL"",""Jio""]","[""Vodafone"",""Airtel"",""BSNL"",""Jio""]","[""Vodafone"",""Airtel"",""BSNL"",""Jio""]","[""Vodafone"",""Airtel"",""BSNL"",""Jio""]","[""Vodafone"",""Airtel"",""BSNL"",""Jio""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,Yes,1,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,nil,"[""Bike""]"
2679,2019-03-29 09:38:52,Food & Civil Supplies,Shops,tashi drema,Private,In Use,Tawang,Mukto,Mukto,27.54643,91.92636,Rejected,https://smartvillage.imagetrekk.com/storage/images/Jep71H9WMY5s8tJmyrqWUTPowOHKb7ksx7mQYhoy.jpeg?asset_id=2679,....,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 7:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,>7,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,Clothes and Shoes,"[""Private Car"",""Load Carriage"",""Rental Vehicle""]"
2680,2019-03-30 05:00:14,Food & Civil Supplies,Shops,tashi drema,Private,In Use,Tawang,Mukto,Mukto,27.54624,91.92592,Rejected,https://smartvillage.imagetrekk.com/storage/images/Swhq0exNSvlx4eOReNYWMc8KyuPT7Q3hGoZJdUp6.jpeg?asset_id=2680,.....,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,Yes,No,Yes,No,Discarded in Open Field,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,nothing,"[""Private Car""]"
2681,2019-03-30 05:00:15,Food & Civil Supplies,Shops,tashi drema,Private,In Use,Tawang,Mukto,Mukto,27.54652,91.92587,Approved,https://smartvillage.imagetrekk.com/storage/images/MjDk9BZY8D34btPysEfZ6qeWc8Bw0djgRrjgw8Es.jpeg?asset_id=2681,...,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 20:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",2,Tap Water from Government,,Yes,No,Yes,No,Discarded in Open Field,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,nothing,"[""Private Car""]"
2684,2019-03-30 05:00:59,Food & Civil Supplies,Shops,tashi drema,Private,In Use,Tawang,Mukto,Mukto,27.54643,91.92636,Approved,https://smartvillage.imagetrekk.com/storage/images/MCJHo68LaUItEmyYzIOkwRumLYp85jqHnKDwElmi.jpeg?asset_id=2684,....,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 7:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,>7,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,Clothes and Shoes,"[""Private Car"",""Load Carriage"",""Rental Vehicle""]"
2688,2019-03-30 05:02:07,Food & Civil Supplies,Shops,tashi drema,Private,In Use,Tawang,Mukto,Mukto,27.54665,91.92545,Approved,https://smartvillage.imagetrekk.com/storage/images/wglU7e6pbdL24ddKBrxqDbnbECmB2hFRcOYrfcof.jpeg?asset_id=2688,...,1,Pakka Road,0.01,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 7:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",2,Tap Water from Government,,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,nothing,"[""Rental Vehicle""]"
2698,2019-03-30 09:24:45,Food & Civil Supplies,Shops,tashi drema,Private,In Use,Tawang,Mukto,Mukto,27.54538,91.92346,Approved,https://smartvillage.imagetrekk.com/storage/images/xPKvWaMT35vrpd2T0WmEc7hzVzCMPolFlFoeq0nD.jpeg?asset_id=2698,...,1,Pakka Road,0.002,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,Yes,No,Yes,No,Discarded in Open Field,,No,,Yes,2,Invertor,3,3,3,3,3,3,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,nothing,"[""Private Car""]"
2705,2019-03-30 09:25:14,Food & Civil Supplies,Shops,tashi drema,Private,In Use,Tawang,Mukto,Mukto,27.54389,91.91969,Approved,https://smartvillage.imagetrekk.com/storage/images/CncYcJn7C3kZJ3SL4PdRaY8pTUND9cuh2e8iOOQg.jpeg?asset_id=2705,...,1,Pakka Road,0.001,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)",6:0 to 5:30,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",3,Others,,Yes,No,No,No,Discarded in Open Field,,No,,Yes,2,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Whole Seller,nothing,"[""Rental Vehicle""]"
