id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available to the asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,How far is this street light from the nearest substation or transformer ?,Which type of street light is this?,What is the system of street lights used?,Has the street light been installed with the help of APEDA ?
2466,2019-03-15 01:57:15,Energy & ICT,Street Light,tajum dagium,Government,In Use,Tawang,Kitpi,Kitpi,27.57268,91.90197,Approved,https://smartvillage.imagetrekk.com/storage/images/Y2DVLkF3mfCKEJLgQpf0glvMAnAcyivXKgF4W8o2.jpeg?asset_id=2466,Teacher Quartars,Pakka Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",1,Off- grid,Traditional,No
2472,2019-03-15 06:47:00,Energy & ICT,Street Light,tajum dagium,Government,In Use,Tawang,Kitpi,Kitpi,27.57322,91.89774,Approved,https://smartvillage.imagetrekk.com/storage/images/MYlsgmFwVTe3K9puHfJuUV5g0kqDaxV8GSfCer78.jpeg?asset_id=2472,solar street light,Kacha Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0,Off- grid,Solar,Yes
2475,2019-03-15 07:20:39,Energy & ICT,Street Light,tajum dagium,Government,In Use,Tawang,Kitpi,Kitpi,27.57313,91.89776,Approved,https://smartvillage.imagetrekk.com/storage/images/xL2osikDxAOhobniD3gbZEcxsX778DyHstKfQQtF.jpeg?asset_id=2475,solar street light,Pakka Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0,Off- grid,Solar,Yes
2509,2019-03-17 07:51:27,Energy & ICT,Street Light,tajum dagium,Government,In Use,Tawang,Kitpi,Kitpi,27.57251,91.89716,Approved,https://smartvillage.imagetrekk.com/storage/images/db4EzFKGFfjkofVuQHY9ZqZqsAspRwFyzkCPXI3r.jpeg?asset_id=2509,solar street light,Kacha Road,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.4,Off- grid,Solar,Yes
2634,2019-03-26 09:38:14,Energy & ICT,Street Light,tajum dagium,Government,In Use,Tawang,Kitpi,Kitpi,27.57256,91.89714,Approved,https://smartvillage.imagetrekk.com/storage/images/H6V4rANgUqVTP7RiuA34PYIfgU9XROrfkkbj2hX1.jpeg?asset_id=2634,solar street light,Footway,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0,Off- grid,Solar,Yes
2651,2019-03-28 05:36:49,Energy & ICT,Street Light,tenjin yeshii,Government,Ir-repairable,Tawang,Lumla,Manpat,27.53209,91.71387,Approved,https://smartvillage.imagetrekk.com/storage/images/d43prp0Px5wc7pPOnwk95Jg3GazMcZbW4Fyk7htg.jpeg?asset_id=2651,street light,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.65,On-grid,Traditional,No
2652,2019-03-28 05:37:04,Energy & ICT,Street Light,tenjin yeshii,Government,In Use,Tawang,Lumla,Manpat,27.53146,91.71283,Approved,https://smartvillage.imagetrekk.com/storage/images/Tlz80g21Pb3XXM7yknoJ9WsjbCzBRGddKxz0pjBq.jpeg?asset_id=2652,Street Light,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.6,On-grid,Traditional,No
2653,2019-03-28 05:37:16,Energy & ICT,Street Light,tenjin yeshii,Government,In Use,Tawang,Lumla,Manpat,27.53122,91.71287,Approved,https://smartvillage.imagetrekk.com/storage/images/iv75ZGxwAd7dXrh8se4PpCsEdXmIGs2l7cOgRG7e.jpeg?asset_id=2653,street light,Pakka Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.5,On-grid,Traditional,No
2663,2019-03-28 06:56:00,Energy & ICT,Street Light,tenjin yeshii,Government,In Use,Tawang,Lumla,Lumla,27.54063,91.72637,Approved,https://smartvillage.imagetrekk.com/storage/images/fQdqGgmfoTA0TAHhdUoOt8iPql9ScNDehU6Ensn5.jpeg?asset_id=2663,Street Light,Kacha Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.4,On-grid,Traditional,No
2664,2019-03-28 12:22:53,Energy & ICT,Street Light,tenjin yeshii,Government,In Use,Tawang,Lumla,Manpat,27.53782,91.72018,Approved,https://smartvillage.imagetrekk.com/storage/images/4EGdm3BtWZAHPii0cBbcqQLVTy6fyGMLbftcMDQw.jpeg?asset_id=2664,street light,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.5,On-grid,Traditional,No
