id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the unit until it was open?,What is the type of the road available to the unit?,How much distance should one travel from the unit to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What is the type of structure of the unit?,What is the type of security available for the unit?,What are the working hours of the unit?(Ex: 9.00A.M-5.A.M),What are the working days of the unit?,How many Technical staff are employed in the unit?,How many Non Technical staff are employed in the unit?,Where do you get drinking water from for using at the unit?,How much do you pay per litre of bottled water? (In Rupees),Where do you get water for operational purposes for the unit?,What are the other source of water you depend upon?,Are there toilets available for public and employees' usage at the unit?,Are there toilets available seperately as per gender at the unit?,Is there running water available in the toilets at the unit?,Is there soap for handwash available at the unit?,How do you deal with the agricultural waste generated from the unit?,What are the other mechanism used to discard the waste from the unit?,Are the premises of unit cleaned with disinfectant regularly?,How frequently are the premises at the unit cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the unit?,How many hours per day are you facing power cuts in the unit?,What is the alternative energy source available for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the unit?,What is the number with STD Code of the unit?,Does the unit have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for operations of the unit?,What are the other recording mechanism used?,What are the areas the unit gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the unit?,What is the name of the organization?,Are you using any digital technologies that can be used in the unit?,For what purpose are you using digital tools here at the unit?,What is the type of products stored in the unit?,How does the unit advertise about the services available?,What is the average operational cost per month to run the unit?(Excluding Salary of the Employees),What are the products purchased by the customers from the unit?,What is the average cost per unit to store in the unit?(In Rupees),What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,Which type of customers store the produce in the unit?,How does the customers transport the goods to store in the unit?,How many cubic meters are available for storage?,Do you have a cold storage facility?,How often did you need to throw away agricultural produce last week?,How do you document wastage of food?
3250,2019-05-03 17:18:36,Agriculture,Warehouse / Godown/ Timber Depot,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.54691,93.82385,Rejected,https://smartvillage.imagetrekk.com/storage/images/jSmrP8c9IaphRNUhaaoNolEZFdVvSIPRDLkPf8iN.jpeg?asset_id=3250,traditional grainery,1,Pakka Road,1,2G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",5:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",0,0,Tap Water from Government,,Water from Government,,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Others,nothing,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",500,rice,>300,None,None,None,None,"[""Farmers""]","[""Head Load""]",5,No,1,none
3257,2019-05-04 01:30:46,Agriculture,Warehouse / Godown/ Timber Depot,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.58361,93.84512,Approved,https://smartvillage.imagetrekk.com/storage/images/mrYqfjdqq3cu8gIg7w1PQC54OLC2rLtzhf80zyWq.jpeg?asset_id=3257,traditional grainery,1,Kacha Road,0,2G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:0 to 0:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Others,,Others,from own house,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Others,no record,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",1000,rice,>300,None,None,None,None,"[""Farmers""]","[""Head Load""]",8,No,1,none
3259,2019-05-04 01:42:34,Agriculture,Warehouse / Godown/ Timber Depot,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.5836,93.84516,Approved,https://smartvillage.imagetrekk.com/storage/images/CxhMrtgzMN7KWlPb2uNRNRfMTpxpn0ndaejLSKn5.jpeg?asset_id=3259,traditional granary,1,Kacha Road,0,2G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:0 to 0:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Others,,Others,from own house,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Others,no record,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",1000,rice,>300,None,None,None,None,"[""Farmers""]","[""Head Load""]",5,No,1,none
3313,2019-05-05 04:52:24,Agriculture,Warehouse / Godown/ Timber Depot,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.58446,93.84598,Approved,https://smartvillage.imagetrekk.com/storage/images/0JAr8pqus5QirqunMn3Vy59cSNsYIcIvE6NwXuER.jpeg?asset_id=3313,traditional granary,1,Pakka Road,3,2G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:0 to 0:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Others,,Others,from home,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Others,no records,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",0,rice,>300,None,None,None,None,"[""Farmers""]","[""Head Load""]",4,No,1,none
3314,2019-05-05 04:56:17,Agriculture,Warehouse / Godown/ Timber Depot,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.58454,93.84585,Approved,https://smartvillage.imagetrekk.com/storage/images/sHTis8Bv6jSWf4QZu316XfPD5Qs7MkRtX73gep2S.jpeg?asset_id=3314,traditional granary,1,Pakka Road,3,2G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:0 to 0:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Others,,Others,from home,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Others,no records,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",0,rice,>300,None,None,None,None,"[""Farmers""]","[""Head Load""]",5,No,1,none
3315,2019-05-05 05:08:32,Agriculture,Warehouse / Godown/ Timber Depot,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.5845,93.84572,Approved,https://smartvillage.imagetrekk.com/storage/images/iLN4TYIDOE9K4KPyYlStAyuJLovVhqvmi7Q8Xcxw.jpeg?asset_id=3315,traditional granary,1,Pakka Road,3,2G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:0 to 0:0,"[""Monday"",""Wednesday"",""Tuesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Others,,Others,from home,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Others,no records,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",0,rice,>300,None,None,None,None,"[""Farmers""]","[""Head Load""]",4,No,1,none
3316,2019-05-05 05:14:53,Agriculture,Warehouse / Godown/ Timber Depot,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.58453,93.84573,Approved,https://smartvillage.imagetrekk.com/storage/images/J9HkKe90Dkn16jMOLvMUCNre4LPD5IgXIt7N9si3.jpeg?asset_id=3316,traditional granary,1,Pakka Road,3,2G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:0 to 0:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Others,,Others,from home,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Others,no records,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",500,rice,>300,None,None,None,None,"[""Farmers""]","[""Head Load""]",4,No,1,none
3317,2019-05-05 05:22:05,Agriculture,Warehouse / Godown/ Timber Depot,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.58457,93.84564,Approved,https://smartvillage.imagetrekk.com/storage/images/x4UuxqM80y7snEhpNssE61F5kx2N9KCf42PbwVrN.jpeg?asset_id=3317,traditional granary,1,Pakka Road,3,2G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:0 to 0:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Sunday"",""Saturday""]",0,0,Others,,Others,from home,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Others,no records,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",500,rice,>300,None,None,None,None,"[""Farmers""]","[""Head Load""]",4,No,1,none
3363,2019-05-05 11:27:02,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.60689,93.83775,Approved,https://smartvillage.imagetrekk.com/storage/images/9cGzzhqNrUvPbxwnm98C4pzyZlpaUFHVhOahp07M.jpeg?asset_id=3363,good,1,Kacha Road,2.5,2G Reliable,"[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",21:0 to 4:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",2,2,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Timber""]","[""Others""]",1500,timber,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others""]","[""Mini Luggage ""]",80,No,0,book keeping
3364,2019-05-05 11:27:20,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.6171,93.91536,Approved,https://smartvillage.imagetrekk.com/storage/images/9ohOFSgsepfMI2lh0lKtLz14bsZ7t6DH2J243NUg.jpeg?asset_id=3364,good,1,Kacha Road,2,2G Reliable,"[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:0 to 13:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,2,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",1500,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",24,No,0,book keeping
