id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel to avail public transport facility?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What is the type of security available for the asset?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,How do you deal with the waste generated from this asset?,Do you have grid connection for energy supply?,What is the alternative energy source available in case of power failure from regular supplier for that asset?,Do you have landline connectivity for telephone?,Do you have wired internet connection?,How do you maintain records of operations?,What are the areas you get support from government agencies (not for costumers)?,Do you get any support from NGO(s)?,How many hours on average do you apply load shedding per day meaning facing Brown Outs?,How many hours are you facing power cuts on average per day meaning black outs?,How do you record hours of load shedding and blackouts?,How are staff trained to handle transformers ?,What type of substation is this?,What is the type of operating voltage?,What is the number of transformers linked to the substation ?,What are the issues pertaining to maintenance to ensure technical functionality ?,Do you use smart metering ?,What are the categories of customers availing power from this substation?,What is the source of power to the asset?,What is the minimum distance to the nearest grid connected Solar PV Power generating station?,Where is the nearest Off grid Solar PV generating station ?,How many times has there been maintenance or safety audits in the last year ?
2451,Energy & ICT,Electrical Substation,East Siang,Oyan,Oyan Village,27.87606,95.32473,1,kacha road,1.0,4g reliable,vodafone#bsnl#jio#airtel,security cameras#watchman,1,0,burnt within the premises,yes,invertor,no,no,traditional book keeping,financial support#technical support#support via schemes,no,4-8hrs,4-8hrs,traditional book keeping,by the department#on the job,distribution,low voltage,6,timely funds for maintenance#skilled manpower,no,households#commercial#agriculture#others,hydro,0.0,0.0,1-2 times
2511,Energy & ICT,Electrical Substation,East Siang,Oyan,Sille Village,27.900440000000003,95.302,1,pakka road with block point,0.0,4g reliable,vodafone#bsnl#jio#airtel,compound wall\/ fencing,1,0,discarded in govt. designated sites,yes,none,no,no,traditional book keeping,financial support#technical support#support via schemes,no,4-8hrs,4-8hrs,traditional book keeping,by the department#on the job,distribution,low voltage,6,timely funds for maintenance#skilled manpower#training,no,households#commercial#agriculture#others,hydro,0.0,0.0,1-2 times
2514,Energy & ICT,Electrical Substation,East Siang,Sille-Oyan,Sille,27.898459999999996,95.30261999999999,1,pakka road,0.0,4g reliable,vodafone#bsnl#jio#airtel,compound wall\/ fencing,1,0,discarded in govt. designated sites,no,none,no,no,traditional book keeping,financial support#technical support#support via schemes,no,4-8hrs,4-8hrs,traditional book keeping,by the department#on the job,distribution,low voltage,6,timely funds for maintenance#skilled manpower#training,no,households#commercial#agriculture#others,hydro,0.0,0.0,1-2 times
2516,Energy & ICT,Electrical Substation,East Siang,Sille-Oyan,Sille,27.89353,95.30911,1,pakka road,0.0,4g reliable,vodafone#bsnl#jio#airtel,none,1,0,discarded in govt. designated sites,no,none,no,no,traditional book keeping,financial support#technical support#support via schemes,no,4-8hrs,4-8hrs,traditional book keeping,by the department#on the job,distribution,low voltage,6,skilled manpower#timely funds for maintenance#training,no,households#commercial#agriculture#others,hydro,0.0,0.0,1-2 times
2517,Energy & ICT,Electrical Substation,East Siang,Sille-Oyan,Sille,27.89524,95.30986,1,kacha road,0.0,4g reliable,vodafone#bsnl#jio#airtel,none,1,0,discarded in govt. designated sites,no,none,no,no,traditional book keeping,financial support#technical support#support via schemes,no,4-8hrs,4-8hrs,traditional book keeping,by the department#on the job,distribution,low voltage,6,timely funds for maintenance#skilled manpower#training,no,households#commercial#agriculture#others,hydro,0.0,0.0,1-2 times
2518,Energy & ICT,Electrical Substation,East Siang,Oyan,Oyan Village,27.88089,95.31381999999999,1,pakka road,0.0,4g reliable,vodafone#bsnl#jio#airtel,compound wall\/ fencing,1,0,burnt within the premises,yes,none,no,no,traditional book keeping,financial support#technical support#support via schemes,no,4-8hrs,4-8hrs,traditional book keeping,by the department#on the job,distribution,low voltage,6,skilled manpower#timely funds for maintenance,no,households#agriculture#others#commercial,hydro,0.0,0.0,1-2 times
2519,Energy & ICT,Electrical Substation,East Siang,Oyan,Oyan Village,27.880159999999997,95.31351,1,pakka road,0.0,4g reliable,vodafone#bsnl#jio#airtel,compound wall\/ fencing,1,0,burnt within the premises,yes,none,no,no,traditional book keeping,financial support#technical support#support via schemes,no,4-8hrs,4-8hrs,traditional book keeping,by the department#on the job,distribution,low voltage,6,timely funds for maintenance#skilled manpower,no,households#industrial#agriculture#others,hydro,0.0,0.0,1-2 times
2537,Energy & ICT,Electrical Substation,Tawang,Kitpi,Kitpi,27.57248,91.90437,10,pakka road,0.1,2g reliable,vodafone#bsnl#airtel,compound wall\/ fencing#watchman,1,4,discarded in govt. designated sites,yes,solar unit,no,no,traditional book keeping,transport support#marketing support#technical support#financial support#support via schemes#support via subsidies,no,4-8hrs,0-4hrs,traditional book keeping,by the department,distribution#transmission#converter#switching#collector,medium voltage,3,timely funds for maintenance#skilled manpower#training,no,households#commercial,hydro,5.0,150.0,11-12 times
3322,Energy & ICT,Electrical Substation,Lower Subansiri,Ziro,Hari,27.58127,93.84119,1,kacha road,2.0,2g unreliable,vodafone#bsnl#airtel,watchman,1,0,discarded in open field,yes,none,no,no,traditional book keeping,technical support,no,0-4hrs,0-4hrs,no records,by the department,distribution,high voltage,1,skilled manpower,yes,households,hydro,200.0,250.0,3-4 times
3470,Energy & ICT,Electrical Substation,Lower Subansiri,Ziro,Hari,27.58938,93.84269,1,pakka road,2.0,2g unreliable,vodafone#bsnl#airtel,none,1,0,discarded in open field,yes,none,no,no,traditional book keeping,technical support,no,0-4hrs,0-4hrs,traditional book keeping,by the department,distribution,high voltage,1,skilled manpower,yes,households#commercial,hydro,200.0,250.0,1-2 times
