id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,Are the premises of this asset cleaned with disinfectant regularly?,The Over Ground water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,What is the type of the material that is used to cover the roof of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank ?,Are there any water level indicators marked?,What is the frequency of technical maintenance or safety audit ?,,,,,,
849.00,Water,Over Ground Tanks,Lower Subansiri,Yachuli,Jara,27.53,93.77,footway,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,discarded in open field,no,concrete,no,150.00,none,1.00,1.00,no,yearly,,,,,,
850.00,Water,Over Ground Tanks,Lower Subansiri,Yachuli,Jara,27.53,93.78,footway,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,discarded in open field,yes,concrete,no,4000.00,none,1.00,1.00,no,yearly,,,,,,
851.00,Water,Over Ground Tanks,Tirap,Khonsa,Khonsa I,27.01,95.50,kacha road,4g reliable,jio#airtel#vodafone,"pakka/permenant(steel,concrete,etc.,)",support via subsidies,discarded in open field,no,concrete,no,50000.00,none,1.00,2.00,no,never,,,,,,
895.00,Water,Over Ground Tanks,Tirap,Khonsa,Kheti,26.96,95.51,footway,4g reliable,jio#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support,discarded in open field,no,concrete,no,6000.00,tin sheets,2.00,2.00,no,yearly,,,,,,
922.00,Water,Over Ground Tanks,Tirap,Khonsa,Khonsa I,27.00,95.51,kacha road,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,mixes with the near by water bodies,no,concrete,yes,8000.00,cement slabs,1.00,1.00,no,never,,,,,,
969.00,Water,Over Ground Tanks,Changlang,Changlang,Changlang (CT),27.14,95.73,pakka road with block point,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support#technical support,discarded in open field,no,concrete,no,3000.00,cement slabs,1.00,1.00,no,irregular,,,,,,
980.00,Water,Over Ground Tanks,Changlang,Changlang,Changlang (CT),27.14,95.73,pakka road with block point,3g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support#technical support,discarded in open field,no,pvc,no,1000.00,pvc sheets,2.00,1.00,no,irregular,,,,,,
1023.00,Water,Over Ground Tanks,Tirap,Khonsa,Kheti,26.97,95.51,footway,4g reliable,bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,discarded in open field,yes,concrete,no,10000.00,cement slabs,3.00,1.00,no,yearly,,,,,,
1026.00,Water,Over Ground Tanks,Changlang,Changlang,Changlang (CT),27.14,95.74,footway,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support#technical support,discarded in open field,no,concrete,no,10000.00,cement slabs,2.00,2.00,no,irregular,,,,,,
1170.00,Water,Over Ground Tanks,Tirap,Khonsa,Kaimoi,27.04,95.50,pakka road,4g reliable,airtel#jio#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,discarded in open field,no,steel,no,2000.00,steel,1.00,1.00,no,never,,,,,,
1218.00,Water,Over Ground Tanks,Tirap,Khonsa,Lapnan,26.99,95.48,pakka road,4g unreliable,bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,none,no,concrete,no,500.00,tin sheets,2.00,2.00,no,never,,,,,,
1310.00,Water,Over Ground Tanks,Lower Subansiri,Ziro,Tajang,27.61,93.83,pakka road,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",technical support#financial support#support via schemes,mixes with the near by water bodies,no,concrete,no,5000.00,pvc sheets,2.00,2.00,no,yearly,,,,,,
