id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go there until it was open?,What is the type of the road available to the Ration Shop/ Fair Price Shop?,How much distance should one travel from this Ration Shop/ Fair Price Shop to avail public transport facility? (in K.M),What is the type of the mobile network available at the Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What is the type of structure of this Ration Shop/ Fair Price Shop?,What are the working hours of this Ration Shop/ Fair Price Shop?(Ex: 9.00A.M-5.A.M),What are the working days of that Ration Shop/ Fair Price Shop?,How many people are working in the Ration Shop/ Fair Price Shop?,Where do you get drinking water from for using at this Ration Shop/ Fair Price Shop?,Are there toilets available for public usage at this Ration Shop/ Fair Price Shop?,How do you deal with the waste generated from that Ration Shop/ Fair Price Shop?,Are the premises of this Ration Shop/ Fair Price Shop cleaned with disinfectant regularly?,How frequently are the premises at this Ration Shop/ Fair Price Shop eaned with disinfectant in a week?,Do you have grid connection for energy supply for this Ration Shop/ Fair Price Shop?,What is the alternative energy source available for that Ration Shop/ Fair Price Shop?,Is there landline connectivity for that Ration Shop/ Fair Price Shop?,Does this Ration Shop/ Fair Price Shop have wired internet connection?,How do you maintain records for this Ration Shop/ Fair Price Shop?,What are the areas the Ration Shop/ Fair Price Shop gets support from government agencies?,Do you get any support from NGO(s) for this Ration Shop/ Fair Price Shop?,Are you using any digital technologies that can be used in the Ration Shop/ Fair Price Shop?,Do you have a POS device in your shop?,How many times in a year does the supply comes?,How does the grains/product are weighed?,What are the foodgrains/items are available in the fair price shop?,How many people (villagers) are enrolled as beneficiaries in the fair price shop?,How many villages does your fair price shop covers?
2492,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Papumpare,Parang,Parang,27.32944,93.50583,1,pakka road with block point,0.5,nil,N/A,"pakka/permenant(steel,concrete,etc.,)",180,monday#tuesday#wednesday#thusdayt#friday#saturday,2,tap water from government,no,burnt within the premises,no,N/A,yes,none,no,no,traditional book keeping,support via subsidies,no,no,no,monthly,manual,rice,204,4
2502,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Tawang,Kitpi,Kitpi,27.57126,91.89998,10,kacha road,0.3,2g reliable,vodafone#bsnl#jio,"pakka/permenant(steel,concrete,etc.,)",540,monday#tuesday#wednesday#thusdayt#friday#saturday,6,tap water from government,no,none,no,N/A,no,none,no,no,traditional book keeping,support via subsidies#transport support,no,no,no,monthly,manual,rice,800,12
2760,Food & Civil Supplies,Ration Shop/ Fair Price Shop,West Kameng,Nafra,Lower Dzang,27.371159999999996,92.53589000000001,1,pakka road,0.0,4g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",480,monday#tuesday#wednesday#thusdayt#friday#saturday,1,tap water from government,no,none,no,N/A,yes,none,no,no,traditional book keeping,financial support#technical support,no,no,no,monthly,manual,rice,105,1
2780,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Changlang,Changlang,Old Changlang,27.143829999999998,95.73962,1,pakka road with block point,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",300,monday#tuesday#wednesday#thusdayt#friday#saturday,1,tap water from government,no,none,no,N/A,no,none,no,no,traditional book keeping,transport support#marketing support,no,no,no,monthly,manual,rice,92,1
2783,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Tawang,Mukto,Mukto,27.5464,91.92541,1,pakka road,0.001,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",420,saturday#friday#thusdayt#wednesday#tuesday#monday,1,others,no,discarded in open field,no,N/A,yes,none,no,no,traditional book keeping,technical support#financial support#transport support,no,no,no,monthly,manual,rice,12,10
2791,Food & Civil Supplies,Ration Shop/ Fair Price Shop,West Kameng,Dirang,Dirang,32.04397,92.6867,1,pakka road,0.0,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",840,monday#tuesday#wednesday#thusdayt#friday#saturday#sunday,1,tap water from government,no,discarded in water bodies,yes,2,no,none,no,no,none,none,no,no,no,monthly,manual,flour#sugar#others,0,1
2793,Food & Civil Supplies,Ration Shop/ Fair Price Shop,West Kameng,Dirang,Dirang,24.70415,93.57403000000001,1,pakka road,0.0,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",720,monday#tuesday#wednesday#thusdayt#friday#saturday#sunday,1,tap water from government,no,discarded in water bodies,yes,2,no,none,no,no,none,none,no,no,no,monthly,manual,flour#sugar#others,0,1
2794,Food & Civil Supplies,Ration Shop/ Fair Price Shop,West Kameng,Dirang,Dirang,27.28745,92.30494,1,pakka road,0.0,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",720,monday#tuesday#wednesday#thusdayt#friday#saturday#sunday,1,tap water from government,no,discarded in water bodies,yes,2,no,none,no,no,traditional book keeping,none,no,no,no,monthly,manual,rice#flour#sugar#others,0,1
2795,Food & Civil Supplies,Ration Shop/ Fair Price Shop,West Kameng,Dirang,Dirang,27.35425,92.28371,1,pakka road,0.0,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",720,monday#tuesday#wednesday#thusdayt#friday#saturday#sunday,1,tap water from government,no,discarded in water bodies,yes,2,no,none,no,no,none,none,no,no,no,monthly,manual,flour#rice#sugar#others,0,1
2796,Food & Civil Supplies,Ration Shop/ Fair Price Shop,West Kameng,Dirang,Dirang,28.09194,93.59852,1,pakka road,0.0,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",660,monday#tuesday#wednesday#thusdayt#friday#saturday#sunday,1,tap water from government,no,discarded in water bodies,yes,2,no,none,no,no,none,none,no,no,no,monthly,manual,flour#sugar#others,0,1
