id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available to the asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,How far is this street light from the nearest substation or transformer ?,Which type of street light is this?,What is the system of street lights used?,Has the street light been installed with the help of APEDA ?
2466,Energy & ICT,Street Light,Tawang,Kitpi,Kitpi,27.57268,91.90196999999999,pakka road,2g reliable,vodafone#bsnl#airtel,1.0,off- grid,traditional,no
2472,Energy & ICT,Street Light,Tawang,Kitpi,Kitpi,27.573220000000003,91.89774,kacha road,2g reliable,vodafone#bsnl#airtel,0.0,off- grid,solar,yes
2475,Energy & ICT,Street Light,Tawang,Kitpi,Kitpi,27.57313,91.89775999999999,pakka road,2g reliable,vodafone#bsnl#airtel,0.0,off- grid,solar,yes
2509,Energy & ICT,Street Light,Tawang,Kitpi,Kitpi,27.572509999999998,91.89716,kacha road,2g unreliable,vodafone#bsnl#airtel,0.4,off- grid,solar,yes
2634,Energy & ICT,Street Light,Tawang,Kitpi,Kitpi,27.57256,91.89714000000001,footway,2g reliable,vodafone#bsnl#airtel,0.0,off- grid,solar,yes
2651,Energy & ICT,Street Light,Tawang,Lumla,Manpat,27.532090000000004,91.71387,pakka road,4g unreliable,vodafone#bsnl#airtel,0.65,on-grid,traditional,no
2652,Energy & ICT,Street Light,Tawang,Lumla,Manpat,27.53146,91.71283000000001,pakka road,4g unreliable,vodafone#bsnl#airtel,0.6,on-grid,traditional,no
2653,Energy & ICT,Street Light,Tawang,Lumla,Manpat,27.53122,91.71287,pakka road,3g reliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
2663,Energy & ICT,Street Light,Tawang,Lumla,Lumla,27.54063,91.72636999999999,kacha road,4g unreliable,vodafone#bsnl#airtel,0.4,on-grid,traditional,no
2664,Energy & ICT,Street Light,Tawang,Lumla,Manpat,27.53782,91.72018,pakka road,4g unreliable,vodafone#bsnl#airtel,0.5,on-grid,traditional,no
2665,Energy & ICT,Street Light,Tawang,Lumla,Manpat,27.53088,91.71341,pakka road,4g unreliable,vodafone#bsnl#airtel,0.1,on-grid,traditional,no
2958,Energy & ICT,Street Light,Tawang,Lumla,Manpat,27.529459999999997,91.71053,pakka road,4g unreliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
2993,Energy & ICT,Street Light,West Kameng,Shergaon,Shergaon,27.128759999999996,92.26012,pakka road,4g unreliable,bsnl#airtel,2.0,on-grid,traditional,no
3025,Energy & ICT,Street Light,West Kameng,Dirang,Dirang,27.34037,92.27285,pakka road,4g unreliable,vodafone#bsnl#airtel,0.0,off- grid,traditional,no
3026,Energy & ICT,Street Light,West Kameng,Dirang,Dirang,27.86879,93.59852,pakka road,4g unreliable,vodafone#bsnl#airtel,0.0,off- grid,traditional,no
3252,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.583759999999998,93.84467,pakka road,2g unreliable,vodafone#bsnl#airtel,3.0,on-grid,traditional,no
3254,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58369,93.84467,pakka road,2g unreliable,vodafone#bsnl#airtel,3.0,on-grid,traditional,no
3330,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.58097,93.84119,kacha road,2g unreliable,vodafone#bsnl#airtel,0.0,off- grid,traditional,no
3333,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hari,27.580990000000003,93.84213000000001,kacha road,2g unreliable,vodafone#bsnl#airtel,0.0,off- grid,traditional,no
3397,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hija,27.569329999999997,93.83154,footway,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,no
3405,Energy & ICT,Street Light,Lower Subansiri,Ziro,Hija,27.583479999999998,93.84551,pakka road,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,yes
3423,Energy & ICT,Street Light,Lower Subansiri,Ziro,Bamin,27.56987,93.83068,kacha road,3g reliable,vodafone#bsnl#airtel,0.5,on-grid,solar,no
3425,Energy & ICT,Street Light,Lower Subansiri,Ziro,Bamin,27.56924,93.83003000000001,kacha road,3g reliable,vodafone#bsnl#airtel,0.5,on-grid,solar,yes
3426,Energy & ICT,Street Light,Lower Subansiri,Ziro,Bamin,27.569540000000003,93.82972,kacha road,3g reliable,vodafone#bsnl#airtel,0.5,on-grid,solar,no
3443,Energy & ICT,Street Light,Lower Subansiri,Ziro,Bamin,27.569840000000003,93.83010999999999,kacha road,3g reliable,vodafone#bsnl#airtel,0.5,on-grid,solar,no
