id,category,sub-category,district,circle,village,latitude,longitude,accessibility,availability,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,ngo_support,digital_technologies,inputs,infrastructure,marketing,operations,products,customers,logistics,inventory,food_wastage,overall score
2491,Agriculture,Community Local Market,Papumpare,Parang,Parang,27.33142,93.50579,50.625,77.6786,60.0,5.5444,22.5,76.0,0.0,0.0,20.0,0.0,0.0,0.0,33.3333,14.2857,25.0,7.8667,55.0,10.002,20.0,50.0,16.6667,33.3371
2617,Agriculture,Community Local Market,West Kameng,Dirang,Dirang,27.36725,92.24531,51.6667,93.75,100.0,11.6333,58.5,94.0,0.0,48.0,40.0,30.0,0.0,0.0,33.3333,28.5714,12.5,43.4667,40.0,24.0,20.0,33.3333,25.0,40.3039
2619,Agriculture,Community Local Market,West Kameng,Dirang,Dirang,27.359340000000003,92.24432,51.6667,93.75,100.0,11.6333,54.0,0.0,0.0,48.0,40.0,30.0,0.0,0.0,33.3333,28.5714,12.5,44.2667,30.0,12.0,20.0,50.0,16.6667,37.7105
3338,Agriculture,Community Local Market,Papumpare,Doimukh,Soppo,27.213959999999997,93.79715999999999,77.0833,59.8214,100.0,11.6333,0.0,94.0,0.0,32.0,40.0,0.0,0.0,0.0,33.3333,14.2857,25.0,43.9333,100.0,32.4,50.0,50.0,8.3333,48.9903
5308,Agriculture,Community Local Market,Papumpare,Doimukh,Doimukh,27.14395,93.75376,75.0,31.25,100.0,5.5444,32.5,94.0,0.0,80.0,40.0,50.0,0.0,0.0,33.3333,42.8571,37.5,58.3733,75.0,45.5,90.0,50.0,25.0,55.7998
5549,Agriculture,Community Local Market,Lower Subansiri,Ziro,Modang Tage,27.576009999999997,93.83239,55.0,74.1071,0.0,11.6333,11.25,0.0,0.0,48.0,40.0,0.0,0.0,0.0,0.0,0.0,25.0,17.0691,15.0,10.0025,50.0,50.0,16.6667,30.8956
7190,Agriculture,Community Local Market,Lower Subansiri,Ziro,Bamin,27.54559,93.82551,60.625,66.0714,100.0,5.5444,11.25,0.0,0.0,48.0,40.0,0.0,0.0,0.0,33.3333,14.2857,25.0,23.4667,100.0,40.5,50.0,50.0,8.3333,41.716
713,Agriculture,Community Local Market,Papumpare,Banderdewa,Karsingsa Complex,27.121809999999996,93.78276,80.0,43.75,100.0,27.0889,21.25,88.0,0.0,32.0,20.0,0.0,0.0,0.0,33.3333,28.5714,25.0,42.2,58.0,13.0,60.0,33.3333,8.3333,47.1746
766,Agriculture,Community Local Market,Lower Subansiri,Yachuli,Jara,27.52559,93.76899999999999,83.9583,43.75,90.0,11.6333,43.75,82.0,0.0,48.0,40.0,0.0,0.0,0.0,0.0,28.5714,25.0,41.1333,44.0,20.54,50.0,0.0,25.0,45.4
1759,Agriculture,Community Local Market,East Siang,Oyan,Oyan Village,27.88319000000001,95.31589,80.0,31.25,100.0,11.6333,48.25,0.0,0.0,64.0,40.0,0.0,0.0,0.0,33.3333,42.8571,37.5,29.2133,27.5,10.5,10.0,50.0,25.0,44.2246
1804,Agriculture,Community Local Market,Lower Subansiri,Pistana,Did,27.60029,93.67012,41.25,87.5,0.0,11.0889,24.75,0.0,0.0,0.0,40.0,30.0,0.0,0.0,33.3333,14.2857,25.0,38.8667,20.0,70.0,10.0,50.0,0.0,31.9949
