id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,availability,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,ngo_support,digital_technologies,classification,marketing,inventory,food_wastage,operations,products,customers,logistics,overall score
3257,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.583609999999997,93.84512,53.3333,50.0,50.0,0.0,16.25,10.0,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,95.0,100.0,20.0,0.0,35.5196
3259,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.5836,93.84515999999999,53.3333,50.0,50.0,0.0,16.25,10.0,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,95.0,100.0,20.0,0.0,35.5196
3313,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.584459999999996,93.84598000000001,45.8333,50.0,50.0,0.0,16.25,10.0,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,100.0,100.0,20.0,0.0,34.6946
3314,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.584540000000004,93.84585,45.8333,50.0,50.0,0.0,16.25,10.0,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,100.0,100.0,20.0,0.0,34.6946
3315,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.5845,93.84572,45.8333,50.0,50.0,0.0,16.25,10.0,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,100.0,100.0,20.0,0.0,34.6946
3316,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.584529999999997,93.84573,45.8333,50.0,50.0,0.0,16.25,10.0,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,34.5446
3317,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58457000000001,93.84564,45.8333,50.0,50.0,0.0,16.25,10.0,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,34.5446
3363,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.606890000000003,93.83775,39.5833,0.0,100.0,64.0,32.5,5.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,14.2857,50.0,70.0,92.5,25.0,20.0,23.0769,28.4627
3364,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.6171,93.91535999999999,43.3333,0.0,100.0,24.0,32.5,5.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,14.2857,50.0,70.0,92.5,25.0,20.0,0.0,26.9021
3366,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.58702000000001,93.88542,43.3333,0.0,85.7143,24.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,14.2857,50.0,70.0,92.5,25.0,20.0,0.0,28.8736
