id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,availability,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,educational_materials,digital_technologies,health,facilities,educational_statistics,disaster_preparedness,diversity,govt_supplies,anganwadi_score
2385,Education,Anganwadi Building,Papumpare,Doimukh,Lekha,27.16322000000001,93.77228000000001,32.0952,6.0,10.9048,100.0,11.1111,85.0,100.0,0.0,60.0,100.0,166.6667,100.0,0.0,60.0,65.0,87.5,0.0,25.0,73.0,58.9864
2386,Education,Anganwadi Building,Papumpare,Doimukh,Lekha,27.1142,93.73624000000001,32.0952,56.0,19.2381,100.0,11.1111,85.0,100.0,0.0,60.0,100.0,166.6667,100.0,0.0,60.0,65.0,60.5,0.0,25.0,64.0,62.9864
2489,Education,Anganwadi Building,Papumpare,Parang,Parang,27.3305,93.50596999999999,24.8571,50.8,35.9048,100.0,11.1111,55.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,95.0,56.5,0.0,25.0,64.0,52.7634
2521,Education,Anganwadi Building,Namsai,Namsai,Kaisu L/C,27.4133,96.24263,51.3571,56.0,27.5714,100.0,22.2222,0.0,0.0,0.0,60.0,100.0,0.0,0.0,0.0,100.0,65.0,32.5,0.0,50.0,9.0,38.104
2589,Education,Anganwadi Building,Tawang,Kitpi,Kitpi,27.5689,91.89838,39.7619,90.0,44.2381,50.0,11.1111,85.0,100.0,25.0,60.0,100.0,200.0,100.0,0.0,120.0,25.0,47.5,0.0,25.0,64.0,68.9898
2611,Education,Anganwadi Building,Lower Subansiri,Yachuli,Toon,27.463620000000002,93.77408,24.381,4.0,27.1429,100.0,22.2222,45.0,0.0,0.0,60.0,100.0,100.0,100.0,0.0,100.0,65.0,57.5,0.0,25.0,18.0,42.5831
2757,Education,Anganwadi Building,Tawang,Mukto,Mukto,27.54694000000001,91.90682,26.8333,56.0,50.4286,100.0,11.1111,55.0,0.0,0.0,60.0,100.0,0.0,0.0,0.0,60.0,25.0,60.0,0.0,25.0,64.0,43.2862
3130,Education,Anganwadi Building,Papumpare,Doimukh,Chiputa,27.180970000000002,93.77671,38.4286,20.0,10.9048,100.0,22.2222,85.0,100.0,0.0,60.0,100.0,50.0,100.0,0.0,60.0,65.0,57.5,0.0,25.0,82.0,55.3798
3179,Education,Anganwadi Building,West Kameng,Dirang,Dirang,27.337229999999998,92.27051999999999,54.1905,6.0,27.1429,100.0,11.1111,0.0,0.0,0.0,60.0,100.0,66.6667,48.0,0.0,60.0,50.0,67.5,0.0,25.0,64.0,42.6412
3222,Education,Anganwadi Building,Tawang,Lumla,Manpat,27.533690000000004,91.71893,51.6905,10.0,34.1905,100.0,11.1111,45.0,0.0,0.0,60.0,100.0,0.0,52.0,0.0,60.0,30.0,25.5,0.0,25.0,73.0,40.9326
3270,Education,Anganwadi Building,Lower Subansiri,Ziro,Hari,27.584220000000002,93.84496,17.5952,50.4,27.5714,100.0,22.2222,15.0,0.0,0.0,60.0,100.0,0.0,100.0,0.0,100.0,75.0,50.5,0.0,25.0,73.0,49.0111
3312,Education,Anganwadi Building,Lower Subansiri,Ziro,Hari,27.58448,93.84591,17.5952,0.48,27.5714,100.0,22.2222,45.0,0.0,0.0,60.0,100.0,0.0,100.0,0.0,100.0,70.0,45.5,0.0,25.0,36.0,38.4507
3507,Education,Anganwadi Building,Lower Subansiri,Ziro,Hija,27.613559999999996,93.85948,21.7619,1.6,18.8095,100.0,11.1111,45.0,0.0,0.0,60.0,100.0,0.0,17.3333,0.0,60.0,30.0,16.5,0.0,25.0,9.0,25.5189
3661,Education,Anganwadi Building,Papumpare,Sangdupota,Jote,27.04062,93.45761999999999,23.7619,0.96,35.9048,100.0,22.2222,15.0,0.0,0.0,20.0,100.0,83.3333,100.0,0.0,0.0,25.0,54.5,0.0,25.0,9.0,28.5016
3667,Education,Anganwadi Building,Papumpare,Sangdupota,Jote,27.03926,93.46919,27.9286,55.64,27.5714,100.0,22.2222,0.0,0.0,0.0,20.0,100.0,0.0,100.0,0.0,0.0,25.0,62.5,0.0,25.0,9.0,29.4866
3989,Education,Anganwadi Building,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55808,93.84963,22.6667,0.8,35.4762,100.0,11.1111,85.0,0.0,0.0,60.0,100.0,100.0,52.0,0.0,60.0,70.0,26.5,0.0,25.0,18.0,39.5753
