id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the farm land until it was open and accesible?,What is the type of the road available to the farm land?,How much distance should one travel from the farm land to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the farm land?,What are different Mobile network service providers available at the location of the farm land?,What is the type of structure of the farm land?,What is the type of security available for the farm land?,How many are employed in the farm land?,Where do you get water for operational purposes for the farm land?,How do you deal with the agricultural waste generated from the farm land?,Are the premises of farm land cleaned with disinfectant regularly?,How frequently are the premises at the farm land cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the farm land?,How many hours per day are you facing power cuts in the farm land?,What is the alternative energy source available for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How do you maintain records for operations of the farm land?,What are the areas the farm land gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the farm land?,Are you using digital technologies that can be used in the farm land?,Where do you procure inputs required for the farm land?,What are different chemical inputs used in the farm land?,What is the type of covering material used in the farm land?,What is the water source used for irrigation mechanism?,What is the type of irrigation mechanism used in the farm land?,How does the farm land advertise about the services available?,What is the average operational cost per month to run the farm land?(Excluding Salary of the Employees),How much amount of products are produced in the farm land in a year?(In K.G),What is the average cost per K.G of the products produced from the farm land?(In Rupees),Which type of customers purchase the products produced in the farm land?,How does the customers transport the goods produced from the farm land?,access,road_connectivity,public_transport,mobile_connectivity,accessibility,building_type,security,infrastructure,observation,staff,employability,water_for_operational_purposes,water,waste_management,general_cleanliness,sanitation,electricity,energy,alternate_energy,mobile,communication,records,record_maintenance,support,govt_support,ngo_support,awareness,digital_technologies,general,procurement,chemical_inputs,inputs,covering_material,water_source,type,irrigation,advertisement,marketing,operational_cost,operations,quantity,cost,products,customers,transport_of_goods,logistics,specific,overall score
2401,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.353270000000002,92.27716,1.0,1.0,0.95,0.8333,0.5,1.0,0.3333,0.0,0.3333,0.4,0.0,0.0,1.0,0.8,0.0,0.0,0.125,0.0,0.0,0.0,0.3333,0.3333,0.0,0.125,0.125,0.25,0.0233,1.0,0.5,0.1111,0.1538,100.0,100.0,95.0,83.3333,95.6667,100.0,33.3333,0.0,89.8667,0.0,0.0,33.3333,33.3333,40.0,0.0,40.0,90.0,90.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,25.2917,33.3333,33.3333,33.3333,0.0,12.5,11.1111,12.5,25.0,25.0,2.3333,2.3333,100.0,50.0,75.0,11.1111,15.3846,15.3846,25.3829,44.7007
2487,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.133979999999998,95.74489,1.0,0.5,0.5,1.0,0.6667,0.0,0.3333,0.0,0.3333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.125,0.0,0.04,0.5,0.0,0.2308,100.0,50.0,50.0,100.0,75.0,0.0,33.3333,0.0,63.3333,0.0,0.0,33.3333,33.3333,40.0,0.0,40.0,0.0,0.0,0.0,66.6667,66.6667,12.5,12.5,0.0,0.0,0.0,0.0,0.0,17.9583,0.0,0.0,0.0,0.0,25.0,0.0,18.75,12.5,12.5,0.0,0.0,4.0,50.0,27.0,0.0,23.0769,23.0769,11.9827,29.1806
2488,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.1334,95.74283,1.0,0.5,0.25,1.0,0.6667,0.0,0.3333,0.0,0.1111,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.125,0.0,0.4,0.5,0.1111,0.3846,100.0,50.0,25.0,100.0,70.0,0.0,33.3333,0.0,59.3333,0.0,0.0,11.1111,11.1111,40.0,0.0,40.0,0.0,0.0,0.0,66.6667,66.6667,12.5,12.5,0.0,0.0,0.0,0.0,0.0,13.5139,0.0,0.0,0.0,0.0,25.0,11.1111,18.75,12.5,12.5,0.0,0.0,40.0,50.0,45.0,11.1111,38.4615,38.4615,17.3323,28.7871
2495,Agriculture,Farm land,Namsai,Lekang,Lekang,27.55967,95.87619000000001,1.0,1.0,0.0,0.6667,0.6667,0.0,0.3333,0.1333,0.2222,0.4,1.0,0.0,1.0,0.6,0.1538,0.3333,0.125,0.1111,0.0,0.0,0.3333,0.3333,0.25,0.375,0.25,0.25,0.6667,0.2,0.5,0.2222,0.1538,100.0,100.0,0.0,66.6667,73.3333,0.0,33.3333,25.0,62.0,13.3333,13.3333,22.2222,22.2222,40.0,0.0,40.0,80.0,80.0,24.359,66.6667,66.6667,12.5,12.5,0.0,11.1111,0.0,0.0,0.0,27.3985,33.3333,33.3333,33.3333,25.0,37.5,22.2222,31.25,25.0,25.0,66.6667,66.6667,20.0,50.0,35.0,22.2222,15.3846,15.3846,31.9274,39.5905
2510,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.573990000000002,91.89775,1.0,0.5,0.875,0.3333,0.5,0.0,0.3333,1.0,0.3333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.3333,0.3333,0.0,0.25,0.25,0.25,0.3333,1.0,0.5,0.2222,0.2308,100.0,50.0,87.5,33.3333,69.1667,0.0,33.3333,0.0,58.6667,100.0,100.0,33.3333,33.3333,40.0,0.0,40.0,0.0,0.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,26.2917,33.3333,33.3333,33.3333,0.0,25.0,22.2222,25.0,25.0,25.0,33.3333,33.3333,100.0,50.0,75.0,22.2222,23.0769,23.0769,32.8632,38.6328
2551,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.52542,93.77161,1.0,0.5,0.9625,0.3333,0.5,0.0,0.0,0.0,0.1111,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.125,0.125,0.0,0.5,0.5,0.1111,0.0769,100.0,50.0,96.25,33.3333,70.9167,0.0,0.0,25.0,56.7333,0.0,0.0,11.1111,11.1111,40.0,0.0,40.0,0.0,0.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,11.8472,0.0,0.0,0.0,25.0,25.0,11.1111,18.75,12.5,12.5,0.0,0.0,50.0,50.0,50.0,11.1111,7.6923,7.6923,16.2553,27.0763
2584,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.52742000000001,93.77784,1.0,0.25,0.95,0.1667,0.3333,0.0,0.0,0.0,0.2222,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.125,0.125,0.0,0.055,1.0,0.2222,0.3846,100.0,25.0,95.0,16.6667,59.8333,0.0,0.0,25.0,47.8667,0.0,0.0,22.2222,22.2222,40.0,0.0,40.0,0.0,0.0,0.0,33.3333,33.3333,12.5,12.5,0.0,0.0,0.0,0.0,0.0,12.4028,0.0,0.0,0.0,25.0,25.0,22.2222,18.75,12.5,12.5,0.0,0.0,5.5,100.0,52.75,22.2222,38.4615,38.4615,20.8559,26.4232
2585,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.52655,93.7777,1.0,1.0,0.975,0.1667,0.5,0.0,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.125,0.125,0.0667,0.5,0.5,0.4444,0.3846,100.0,100.0,97.5,16.6667,82.8333,0.0,0.0,25.0,66.2667,0.0,0.0,11.1111,11.1111,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,7.8472,0.0,0.0,0.0,25.0,25.0,44.4444,18.75,12.5,12.5,6.6667,6.6667,50.0,50.0,50.0,44.4444,38.4615,38.4615,23.3323,31.5671
2598,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.57576,91.89712,1.0,0.5,0.875,0.3333,0.5,0.0,0.3333,0.4,0.2222,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1667,0.0,0.0,0.3333,0.3333,0.0,0.25,0.25,0.125,0.0333,1.0,0.5,0.3333,0.0769,100.0,50.0,87.5,33.3333,69.1667,0.0,33.3333,0.0,58.6667,40.0,40.0,22.2222,22.2222,40.0,0.0,40.0,0.0,0.0,0.0,50.0,50.0,12.5,12.5,0.0,16.6667,0.0,0.0,0.0,19.7361,33.3333,33.3333,33.3333,0.0,25.0,33.3333,25.0,12.5,12.5,3.3333,3.3333,100.0,50.0,75.0,33.3333,7.6923,7.6923,27.5609,34.5452
2600,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.56772,91.8946,1.0,0.5,1.0,0.3333,0.5,0.0,0.3333,1.0,0.2222,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.1667,0.3333,0.0,0.25,0.25,0.125,0.3333,1.0,0.5,0.3333,0.2308,100.0,50.0,100.0,33.3333,71.6667,0.0,33.3333,0.0,60.6667,100.0,100.0,22.2222,22.2222,40.0,0.0,40.0,0.0,0.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,24.0694,16.6667,33.3333,25.0,0.0,25.0,33.3333,25.0,12.5,12.5,33.3333,33.3333,100.0,50.0,75.0,33.3333,23.0769,23.0769,30.8494,37.7606
