id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,ngo_support,digital_technologies,inputs,infrastructure,irrigation,marketing,operations,products,customers,logistics,overall score
2401,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.353270000000002,92.27716,95.6667,0.0,0.0,33.3333,40.0,90.0,0.0,50.0,12.5,0.0,0.0,0.0,33.3333,0.0,12.5,25.0,2.3333,75.0,11.1111,15.3846,44.7007
2487,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.133979999999998,95.74489,75.0,0.0,0.0,33.3333,40.0,0.0,0.0,66.6667,12.5,0.0,0.0,0.0,0.0,0.0,18.75,12.5,0.0,27.0,0.0,23.0769,29.1806
2488,Agriculture,Farm land,Changlang,Changlang,Changlang (CT),27.1334,95.74283,70.0,0.0,0.0,11.1111,40.0,0.0,0.0,66.6667,12.5,0.0,0.0,0.0,0.0,0.0,18.75,12.5,0.0,45.0,11.1111,38.4615,28.7871
2495,Agriculture,Farm land,Namsai,Lekang,Lekang,27.55967,95.87619000000001,73.3333,25.0,13.3333,22.2222,40.0,80.0,24.359,66.6667,12.5,11.1111,0.0,0.0,33.3333,25.0,31.25,25.0,66.6667,35.0,22.2222,15.3846,39.5905
2510,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.573990000000002,91.89775,69.1667,0.0,100.0,33.3333,40.0,0.0,0.0,50.0,12.5,0.0,0.0,0.0,33.3333,0.0,25.0,25.0,33.3333,75.0,22.2222,23.0769,38.6328
2551,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.52542,93.77161,70.9167,25.0,0.0,11.1111,40.0,0.0,0.0,50.0,12.5,0.0,0.0,0.0,0.0,25.0,18.75,12.5,0.0,50.0,11.1111,7.6923,27.0763
2584,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.52742000000001,93.77784,59.8333,25.0,0.0,22.2222,40.0,0.0,0.0,33.3333,12.5,0.0,0.0,0.0,0.0,25.0,18.75,12.5,0.0,52.75,22.2222,38.4615,26.4232
2585,Agriculture,Farm land,Lower Subansiri,Yachuli,Jara,27.52655,93.7777,82.8333,25.0,0.0,11.1111,0.0,0.0,0.0,50.0,12.5,0.0,0.0,0.0,0.0,25.0,18.75,12.5,6.6667,50.0,44.4444,38.4615,31.5671
2598,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.57576,91.89712,69.1667,0.0,40.0,22.2222,40.0,0.0,0.0,50.0,12.5,16.6667,0.0,0.0,33.3333,0.0,25.0,12.5,3.3333,75.0,33.3333,7.6923,34.5452
2600,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.56772,91.8946,71.6667,0.0,100.0,22.2222,40.0,0.0,0.0,50.0,12.5,0.0,0.0,0.0,25.0,0.0,25.0,12.5,33.3333,75.0,33.3333,23.0769,37.7606
2603,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.56772,91.8946,71.6667,0.0,100.0,22.2222,40.0,0.0,0.0,50.0,12.5,0.0,0.0,0.0,25.0,0.0,25.0,12.5,33.3333,75.0,33.3333,23.0769,37.7606
2620,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.34955,92.26113000000001,89.1667,0.0,0.0,33.3333,40.0,90.0,0.0,50.0,12.5,0.0,0.0,0.0,33.3333,0.0,12.5,25.0,3.3333,75.0,0.0,15.3846,42.7362
2621,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.569290000000002,91.89756,54.1667,0.0,20.0,33.3333,40.0,0.0,0.0,50.0,12.5,0.0,0.0,0.0,16.6667,0.0,18.75,12.5,40.0,75.0,33.3333,7.6923,33.4785
2631,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.572159999999997,91.89704,45.8333,0.0,100.0,11.1111,40.0,0.0,0.0,50.0,12.5,0.0,0.0,0.0,16.6667,0.0,18.75,12.5,8.0,60.0,33.3333,7.6923,26.3652
2637,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.57305,91.89851999999999,59.1667,0.0,80.0,11.1111,40.0,0.0,3.8462,50.0,12.5,0.0,0.0,0.0,16.6667,0.0,18.75,12.5,40.0,55.0,33.3333,7.6923,31.0029
2658,Agriculture,Farm land,Tawang,Lumla,Manpat,27.53484000000001,91.71727,79.9167,25.0,0.0,33.3333,40.0,0.0,0.0,50.0,12.5,16.6667,0.0,0.0,16.6667,25.0,18.75,12.5,46.6667,30.0,11.1111,7.6923,35.7363
2659,Agriculture,Farm land,Tawang,Lumla,Manpat,27.53476,91.71709,79.9167,25.0,0.0,33.3333,40.0,0.0,0.0,50.0,12.5,16.6667,0.0,0.0,16.6667,25.0,18.75,12.5,66.6667,28.0,11.1111,7.6923,37.4163
2728,Agriculture,Farm land,Changlang,Changlang,Old Changlang,27.14152,95.74235999999999,67.5,0.0,6.6667,33.3333,0.0,0.0,0.0,66.6667,12.5,0.0,0.0,0.0,8.3333,0.0,18.75,12.5,16.6667,75.0,11.1111,7.6923,29.2563
2730,Agriculture,Farm land,Changlang,Changlang,Old Changlang,27.14269,95.74121,67.5,0.0,6.6667,33.3333,40.0,0.0,0.0,66.6667,12.5,0.0,0.0,0.0,8.3333,0.0,18.75,12.5,20.0,75.0,11.1111,15.3846,31.8973
2731,Agriculture,Farm land,Changlang,Changlang,Old Changlang,27.14257000000001,95.74078,67.5,0.0,6.6667,33.3333,40.0,0.0,0.0,66.6667,12.5,0.0,0.0,0.0,8.3333,0.0,18.75,12.5,20.0,75.0,11.1111,15.3846,31.8973
2749,Agriculture,Farm land,Tawang,Mukto,Gomkelling,27.55154000000001,91.92865,72.1667,25.0,100.0,33.3333,40.0,0.0,0.0,50.0,12.5,0.0,0.0,0.0,16.6667,25.0,31.25,25.0,100.0,75.0,22.2222,7.6923,40.4041
2842,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.340840000000004,92.27933,71.6667,0.0,6.6667,33.3333,40.0,0.0,0.0,50.0,12.5,0.0,0.0,0.0,33.3333,0.0,18.75,12.5,3.3333,28.0,11.1111,7.6923,30.103
2843,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.338759999999997,92.27901999999999,71.6667,0.0,6.6667,33.3333,40.0,0.0,0.0,50.0,12.5,0.0,0.0,0.0,16.6667,0.0,18.75,12.5,3.3333,50.0,0.0,7.6923,32.9785
2844,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.31679,92.28921,71.6667,0.0,6.6667,33.3333,40.0,0.0,0.0,50.0,12.5,0.0,0.0,0.0,33.3333,0.0,25.0,12.5,1.3333,27.5,11.1111,7.6923,33.493
2851,Agriculture,Farm land,West Kameng,Nafra,Lower Dzong,27.36856,92.53724,96.6667,25.0,13.3333,33.3333,40.0,0.0,0.0,50.0,12.5,0.0,0.0,0.0,25.0,25.0,18.75,12.5,33.3333,65.0,11.1111,38.4615,40.9537
2853,Agriculture,Farm land,West Kameng,Nafra,Lower Dzong,27.36925,92.53723000000001,96.6667,25.0,40.0,33.3333,40.0,80.0,0.0,50.0,12.5,0.0,0.0,0.0,25.0,25.0,18.75,12.5,80.0,75.0,11.1111,38.4615,46.6204
2854,Agriculture,Farm land,West Kameng,Nafra,Lower Dzong,27.37288,92.5347,73.6667,25.0,80.0,22.2222,40.0,80.0,0.0,50.0,12.5,0.0,0.0,0.0,25.0,25.0,25.0,12.5,100.0,75.0,11.1111,53.8462,42.5491
2856,Agriculture,Farm land,West Kameng,Nafra,Nafra,27.370359999999998,92.53516,95.6667,25.0,33.3333,33.3333,40.0,80.0,0.0,50.0,12.5,0.0,0.0,0.0,25.0,25.0,18.75,12.5,80.0,75.0,11.1111,38.4615,46.1804
3132,Agriculture,Farm land,West Kameng,Shergaon,Shergaon,27.13428,92.27441,61.6667,25.0,86.6667,33.3333,40.0,60.0,45.5128,33.3333,25.0,61.1111,0.0,0.0,33.3333,25.0,31.25,50.0,100.0,75.0,55.5556,7.6923,49.3209
