id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the fish pond until it was open?,What is the type of the road available to the fish pond?,How much distance should one travel from the fish pond to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What is the type of security available for the fish pond?,How many are employed in the fish pond?,Where do you get water for operational purposes for the fish pond?,How do you deal with the waste generated from the fish pond?,Do you have grid connection for energy supply for the fish pond?,What is the alternative energy source available for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How do you maintain records for operations of the fish pond?,What are the areas the fish pond gets support from government agencies?,Do you get any support from NGO(s) for the fish pond?,Are you using digital technologies that can be used in the fish pond?,Where do you primarily procure inputs required for the Fish Pond?,What are different chemical inputs used in the fish pond?,What are different organic inputs used in the fish pond?,How does this Asset advertise about the products produced in the fish pond?,How many KGs of fish are procured from fish pond per year?,What is the average cost per unit of the products produced from the fish pond?,Which type of customers purchase the products produced in the fish pond?,How does the customers transport the goods produced from the fish pond?,How do you determine the selling price of the products?,access,road_connectivity,public_transport,mobile_connectivity,accessibility,security,infrastructure,observation,staff,employability,water_for_operational_purposes,water,waste_management,sanitation,electricity,energy,alternate_energy,mobile,communication,records,record_maintenance,support,govt_support,ngo_support,awareness,digital_technologies,general,procurement,chemical_inputs,organic_inputs,inputs,advertisement,marketing,quantity,cost,cost_policy,products,type,customers,transport_of_goods,logistics,specific,overall score
2391,Fisheries,Fish Pond,Papumpare,Doimukh,Doimukh,27.131709999999998,93.77085,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.2727,0.125,1.0,0.0769,0.4,0.25,0.1667,0.0,0.0,0.2857,0.2857,0.1667,0.4,1.0,0.975,0.1,0.1111,0.3333,100.0,100.0,50.0,100.0,87.5,25.0,25.0,62.5,100.0,100.0,27.2727,27.2727,12.5,12.5,100.0,100.0,23.8462,100.0,100.0,25.0,25.0,0.0,16.6667,0.0,0.0,0.0,40.6999,28.5714,28.5714,16.6667,23.8095,40.0,40.0,100.0,97.5,33.3333,79.0,10.0,10.0,11.1111,11.1111,28.7841,42.4736
2501,Fisheries,Fish Pond,Namsai,Lekang,Old Mohang,27.55464000000001,95.88231999999999,1.0,1.0,0.25,0.8333,0.6,0.25,0.2,0.2727,0.25,1.0,0.0,0.0,0.25,0.4167,0.0,0.0,0.2857,0.2857,0.1667,0.2,1.0,0.98,0.3,0.1111,0.3333,100.0,100.0,25.0,83.3333,77.9167,25.0,25.0,56.75,20.0,20.0,27.2727,27.2727,25.0,25.0,100.0,100.0,0.0,60.0,60.0,25.0,25.0,0.0,41.6667,0.0,0.0,0.0,31.2576,28.5714,28.5714,16.6667,23.8095,20.0,20.0,100.0,98.0,33.3333,79.2,30.0,30.0,11.1111,11.1111,30.8241,38.7319
2732,Fisheries,Fish Pond,Changlang,Changlang,Old Changlang,27.1428,95.74078,1.0,0.25,0.5,1.0,0.8,0.25,0.2,0.1818,0.125,1.0,0.2308,0.4,0.25,0.0,0.0,0.0,0.1429,0.1429,0.1667,0.1,0.6,0.96,0.1,0.1111,0.3333,100.0,25.0,50.0,100.0,65.0,25.0,25.0,49.0,20.0,20.0,18.1818,18.1818,12.5,12.5,100.0,100.0,31.5385,80.0,80.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,28.0542,14.2857,14.2857,16.6667,15.2381,10.0,10.0,60.0,96.0,33.3333,66.4,10.0,10.0,11.1111,11.1111,21.5498,31.7362
2885,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Toon,27.462690000000002,93.77192,1.0,0.5,0.75,0.6667,0.6,0.0,0.4,0.1818,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.4286,0.0,0.0,0.2,1.0,0.995,0.2,0.2222,0.3333,100.0,50.0,75.0,66.6667,72.0833,0.0,0.0,43.25,40.0,40.0,18.1818,18.1818,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,16.4773,42.8571,0.0,0.0,12.8571,20.0,20.0,100.0,99.5,33.3333,79.8,20.0,20.0,22.2222,22.2222,28.9759,29.5085
3133,Fisheries,Fish Pond,West Kameng,Shergaon,Shergaon,27.127779999999998,92.23859,1.0,0.5,0.0,0.0,0.0,0.25,0.0,0.1818,0.125,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.98,0.1,0.2222,0.2222,100.0,50.0,0.0,0.0,40.0,25.0,25.0,34.0,0.0,0.0,18.1818,18.1818,12.5,12.5,100.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,16.4773,0.0,0.0,0.0,0.0,20.0,20.0,20.0,98.0,22.2222,51.8667,10.0,10.0,22.2222,22.2222,18.8178,22.6703
3137,Fisheries,Fish Pond,West Kameng,Shergaon,Shergaon,27.10697,92.24585,1.0,0.5,0.0,0.8333,0.4,0.25,0.4,0.2727,0.125,1.0,0.0,0.0,0.25,0.25,0.0,0.0,0.2857,0.0,0.0,0.2,0.4,0.88,0.1,0.2222,0.3333,100.0,50.0,0.0,83.3333,56.6667,25.0,25.0,44.0,40.0,40.0,27.2727,27.2727,12.5,12.5,100.0,100.0,0.0,40.0,40.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,28.3409,28.5714,0.0,0.0,8.5714,20.0,20.0,40.0,88.0,33.3333,57.2,10.0,10.0,22.2222,22.2222,21.5987,30.3418
3143,Fisheries,Fish Pond,Papumpare,Doimukh,Lekhi,27.21694,93.81814,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2727,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.98,0.1,0.1111,0.3333,100.0,25.0,0.0,0.0,32.5,0.0,0.0,19.5,0.0,0.0,27.2727,27.2727,25.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,9.0909,0.0,0.0,0.0,0.0,10.0,10.0,100.0,98.0,33.3333,79.2,10.0,10.0,11.1111,11.1111,21.0622,17.0022
3155,Fisheries,Fish Pond,Papumpare,Doimukh,Lekha,27.1632,93.77051,1.0,0.5,0.0,1.0,1.0,0.0,0.2,0.2727,0.125,0.0,0.0,0.0,0.25,0.1667,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.975,0.3,0.3333,0.3333,100.0,50.0,0.0,100.0,60.0,0.0,0.0,36.0,20.0,20.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,100.0,100.0,25.0,25.0,0.0,16.6667,0.0,0.0,0.0,21.5076,0.0,0.0,0.0,0.0,20.0,20.0,100.0,97.5,33.3333,79.0,30.0,30.0,33.3333,33.3333,30.4667,29.4389
3675,Fisheries,Fish Pond,Papumpare,Itanagar,Ganga,27.08813,93.59394,1.0,0.5,0.75,1.0,0.8,0.0,0.0,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2857,0.0,0.0,0.2,1.0,0.982,0.2,0.2222,0.2222,100.0,50.0,75.0,100.0,78.75,0.0,0.0,47.25,0.0,0.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,80.0,80.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,15.8409,28.5714,0.0,0.0,8.5714,20.0,20.0,100.0,98.2,22.2222,75.9467,20.0,20.0,22.2222,22.2222,27.3481,29.8665
3819,Fisheries,Fish Pond,Papumpare,Doimukh,Chiputa,27.18358,93.78464,1.0,0.5,0.0,1.0,0.8,0.25,0.2,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.1429,0.0,0.0,0.2,1.0,0.975,0.8,0.2222,0.3333,100.0,50.0,0.0,100.0,60.0,25.0,25.0,46.0,20.0,20.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,80.0,80.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,17.8409,14.2857,0.0,0.0,4.2857,20.0,20.0,100.0,97.5,33.3333,79.0,80.0,80.0,22.2222,22.2222,39.1016,34.7929
3854,Fisheries,Fish Pond,Papumpare,Gumto,Gumto,27.136159999999997,93.80651999999999,1.0,0.5,1.0,1.0,0.8,0.0,0.4,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2857,0.0,0.0,0.2,1.0,0.98,0.2,0.1111,0.3333,100.0,50.0,100.0,100.0,85.0,0.0,0.0,51.0,40.0,40.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,80.0,80.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,19.8409,28.5714,0.0,0.0,8.5714,20.0,20.0,100.0,98.0,33.3333,79.2,20.0,20.0,11.1111,11.1111,25.7765,31.5629
3855,Fisheries,Fish Pond,Papumpare,Gumto,Gumto,27.139429999999997,93.7996,1.0,1.0,0.0,1.0,0.8,0.0,0.6,0.2727,0.125,0.0,0.0,0.0,0.25,0.4167,0.0,0.0,0.4286,0.0,0.0,0.2,1.0,0.98,0.2,0.1111,0.2222,100.0,100.0,0.0,100.0,75.0,0.0,0.0,45.0,60.0,60.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,80.0,80.0,25.0,25.0,0.0,41.6667,0.0,0.0,0.0,26.0076,42.8571,0.0,0.0,12.8571,20.0,20.0,100.0,98.0,22.2222,75.8667,20.0,20.0,11.1111,11.1111,25.967,31.6891
4889,Fisheries,Fish Pond,Lower Subansiri,Ziro,Hija,27.58525,93.84551,1.0,0.5,0.25,0.3333,0.6,0.0,0.4,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.99,0.2,0.1111,0.3333,100.0,50.0,25.0,33.3333,52.9167,0.0,0.0,31.75,40.0,40.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,17.8409,0.0,0.0,0.0,0.0,30.0,30.0,100.0,99.0,33.3333,79.6,20.0,20.0,11.1111,11.1111,25.1422,24.9342
4908,Fisheries,Fish Pond,Lower Subansiri,Ziro,Hija,27.60295,93.84151999999999,1.0,0.5,0.25,0.3333,0.6,0.0,1.0,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.99,0.2,0.1111,0.3333,100.0,50.0,25.0,33.3333,52.9167,0.0,0.0,31.75,100.0,100.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,23.8409,0.0,0.0,0.0,0.0,30.0,30.0,100.0,99.0,33.3333,79.6,20.0,20.0,11.1111,11.1111,25.1422,26.7342
