id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,ngo_support,digital_technologies,inputs,marketing,products,customers,logistics,overall score
2391,Fisheries,Fish Pond,Papumpare,Doimukh,Doimukh,27.131709999999998,93.77085,87.5,25.0,100.0,27.2727,12.5,100.0,23.8462,100.0,25.0,16.6667,0.0,0.0,23.8095,40.0,79.0,10.0,11.1111,42.4736
2501,Fisheries,Fish Pond,Namsai,Lekang,Old Mohang,27.55464000000001,95.88231999999999,77.9167,25.0,20.0,27.2727,25.0,100.0,0.0,60.0,25.0,41.6667,0.0,0.0,23.8095,20.0,79.2,30.0,11.1111,38.7319
2732,Fisheries,Fish Pond,Changlang,Changlang,Old Changlang,27.1428,95.74078,65.0,25.0,20.0,18.1818,12.5,100.0,31.5385,80.0,25.0,0.0,0.0,0.0,15.2381,10.0,66.4,10.0,11.1111,31.7362
2885,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Toon,27.462690000000002,93.77192,72.0833,0.0,40.0,18.1818,12.5,0.0,0.0,60.0,25.0,0.0,0.0,0.0,12.8571,20.0,79.8,20.0,22.2222,29.5085
3133,Fisheries,Fish Pond,West Kameng,Shergaon,Shergaon,27.127779999999998,92.23859,40.0,25.0,0.0,18.1818,12.5,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,20.0,51.8667,10.0,22.2222,22.6703
3137,Fisheries,Fish Pond,West Kameng,Shergaon,Shergaon,27.10697,92.24585,56.6667,25.0,40.0,27.2727,12.5,100.0,0.0,40.0,25.0,25.0,0.0,0.0,8.5714,20.0,57.2,10.0,22.2222,30.3418
3143,Fisheries,Fish Pond,Papumpare,Doimukh,Lekhi,27.21694,93.81814,32.5,0.0,0.0,27.2727,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,10.0,79.2,10.0,11.1111,17.0022
3155,Fisheries,Fish Pond,Papumpare,Doimukh,Lekha,27.1632,93.77051,60.0,0.0,20.0,27.2727,12.5,0.0,0.0,100.0,25.0,16.6667,0.0,0.0,0.0,20.0,79.0,30.0,33.3333,29.4389
3675,Fisheries,Fish Pond,Papumpare,Itanagar,Ganga,27.08813,93.59394,78.75,0.0,0.0,27.2727,12.5,0.0,0.0,80.0,25.0,0.0,0.0,0.0,8.5714,20.0,75.9467,20.0,22.2222,29.8665
3819,Fisheries,Fish Pond,Papumpare,Doimukh,Chiputa,27.18358,93.78464,60.0,25.0,20.0,27.2727,12.5,0.0,0.0,80.0,25.0,0.0,0.0,0.0,4.2857,20.0,79.0,80.0,22.2222,34.7929
